Measurement time:; 04/09/2023 17:30:18;;;;;;Measurement time:; 04/09/2023 17:30:54;;;;;;Measurement time:; 04/09/2023 17:31:58;;;;;;Measurement time:; 04/09/2023 17:33:22;;;;;;Measurement time:; 04/09/2023 17:34:12;;;;;;Measurement time:; 04/09/2023 17:35:37;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 23 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 23 MV ;;;;;;Energy:; 23 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 200 x 200 mm;;;;;;Field size:; 200 x 200 mm;;;;;;Field size:; 200 x 200 mm;;;;;;Field size:; 200 x 200 mm;;;;;;Field size:; 200 x 200 mm;;;;;;Field size:; 200 x 200 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Crossline;;;;;;Scan type:; Crossline;;;;;;Scan type:; Crossline;;;;;;Scan type:; Beam;;;;;;Scan type:; Crossline;;;;;;Scan type:; Beam;;;;
Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;
Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;
;;;Crossline 20 X6 ouverture;;;;;;;Crossline 20 X23 ouverture;;;;;;;Crossline 20 X6;;;;;;;Rendement 20 X6;;;;;;;Crossline 20 X23;;;;;;;rendement 20 X23;;
Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;-140;100;64,24;18509,8;9,49;;0;-140;100;47,96;13818,2;6,26;;0;-140;100;60,17;17335,7;9,74;;0;0;310;208,61;60108;24,34;;0;140;100;50,58;14573;6,17;;0;0;310;336,05;96827,1;35,34
0;-139;100;61,56;17738,1;9,65;;0;-138,9;100;43,94;12661,1;6,4;;0;-139;100;61,93;17843,2;9,72;;0;0;309;224,83;64781,2;24,44;;0;139;100;44,35;12777,7;6,28;;0;0;308,9;317,47;91473,9;35,49
0;-137,2;100;65,06;18746,1;10,18;;0;-137,1;100;47,14;13583,5;6,8;;0;-137,2;100;64,94;18710,9;10,17;;0;0;307,1;227,74;65617,8;24,7;;0;137,2;100;46,72;13462,2;6,68;;0;0;307,1;322,21;92839,8;35,82
0;-135,9;100;66,86;19265,9;10,47;;0;-135,9;100;48,55;13987,6;7,01;;0;-135,9;100;66,83;19256,9;10,48;;0;0;305,8;229,53;66133,8;24,94;;0;135,6;100;48,3;13916;6,93;;0;0;305,6;328,43;94631,6;35,92
