Measurement time:; 04/09/2023 15:09:43;;;;;;Measurement time:; 04/09/2023 15:10:46;;;;;;Measurement time:; 04/09/2023 15:10:56;;;;;;Measurement time:; 04/09/2023 15:14:31;;;;;;Measurement time:; 04/09/2023 15:17:14;;;;;;Measurement time:; 04/09/2023 15:23:58;;;;;;Measurement time:; 04/09/2023 15:25:25;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;out;0,5cm;;Controller:; CCU;;;out;0,05cm
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;out;0,1cm;;Measurement device:; Blue Phantom 2  (48*48*41);;;out;0,1cm;;Measurement device:; Blue Phantom 2  (48*48*41);;;out;0,1cm;;Measurement device:; Blue Phantom 2  (48*48*41);;;in  ;1 cm;;Measurement device:; Blue Phantom 2  (48*48*41);;;in  ;0,2 cm
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;in  ;0,5 cm;;Field detector:; CC 13 -  F;;;in  ;0,5 cm;;Field detector:; CC 13 -  F;;;in  ;0,5 cm;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;IN : -30% … +30%;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Crossline;;;;;;Scan type:; Crossline;;;;;;Scan type:; Crossline;;;1s;;;Scan type:; Crossline;;;0,5s;;;Scan type:; Crossline;;;3s;;;Scan type:; Crossline;;;1s;;;Scan type:; Crossline;;1s;;
Scan mode:; Continuous;;continue lent;;;;Scan mode:; Continuous;;continue rapide;;;;Scan mode:; StepByStep;;step by step;normal field;;;Scan mode:; StepByStep;;;normal field;;;Scan mode:; StepByStep;;;normal field;;;Scan mode:; StepByStep;;;SS1;;;Scan mode:; StepByStep;;SS2;;
Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;75;100;32349,66;13717,7;8,01;;0;-72,8;100;32068,94;13598,7;8,38;;0;75;100;30719,95;13026,6;8,05;;0;-75;100;30866,56;13088,8;8,07;;0;75;100;30721,37;13027,3;8,01;;0;-75;100;31316,71;13279,7;8,17;;0;75;100;31167,18;13216,3;8,06
0;74,3;100;30990,96;13141,6;8,04;;0;-70,5;100;35471,35;15041,5;9,13;;0;73,9;100;31930,36;13539,9;8,22;;0;-74,1;100;31778,68;13475,6;8,19;;0;74;100;31708,33;13445,8;8,16;;0;-70;100;36763,17;15589,2;9,47;;0;74,4;100;31418,97;13323,1;8,1
0;73;100;32708,57;13869,9;8,45;;0;-69,1;100;37532,54;15915,5;9,66;;0;72,9;100;32567,79;13810,2;8,41;;0;-72,9;100;32740,74;13883,6;8,47;;0;73;100;32728,45;13878,3;8,42;;0;-64,9;100;44953,01;19062,1;11,66;;0;74;100;32016,24;13576,3;8,22
0;71,8;100;33642,37;14265,9;8,71;;0;-67,6;100;39609,98;16796,4;10,18;;0;71,9;100;33652,56;14270,2;8,69;;0;-72;100;33892,56;14372;8,75;;0;72;100;33744,55;14309,2;8,69;;0;-59,9;100;67836,24;28765,6;18,18;;0;73,5;100;32405,7;13741,5;8,34
0;70,6;100;35032,37;14855,3;9,07;;0;-66,2;100;41745,95;17702,2;10,76;;0;70,9;100;34988;14836,5;9,02;;0;-70,9;100;35265,15;14954;9,1;;0;71;100;34936,2;14814,5;8,99;;0;-54,9;100;220732,41;93600,5;56,77;;0;72,9;100;32984,45;13986,9;8,5
0;69,4;100;36841,53;15622,5;9,52;;0;-64,9;100;44755,14;18978,2;11,5;;0;70;100;36093,06;15305,1;9,31;;0;-69,9;100;36449,42;15456,2;9,4;;0;70;100;36206,06;15353;9,31;;0;-50;100;356142,95;151020,7;91,04;;0;72,5;100;33628,46;14260;8,62
0;68,2;100;38678,85;16401,6;9,99;;0;-63,6;100;47501,45;20142,8;12,29;;0;68,9;100;37461,03;15885,2;9,66;;0;-68,9;100;37666,25;15972,2;9,75;;0;68,9;100;37599,77;15944;9,67;;0;-44,9;100;373521,86;158390,2;96,05;;0;71,9;100;34073,38;14448,7;8,79
0;67;100;40318,44;17096,8;10,43;;0;-62,3;100;51797,08;21964,3;13,34;;0;67,9;100;38989,9;16533,5;10,06;;0;-68;100;39474,08;16738,8;10,17;;0;67,9;100;38951,77;16517,3;10,03;;0;-40;100;379319,47;160848,6;97,55;;0;71,5;100;34776,31;14746,7;8,92
0;65,8;100;42315,13;17943,5;10,96;;0;-61,1;100;57857,49;24534,2;15,02;;0;66,9;100;40663,41;17243,1;10,49;;0;-66,9;100;40631,08;17229,4;10,51;;0;66,9;100;40515,66;17180,5;10,42;;0;-35;100;383741,59;162723,8;98,7;;0;70,9;100;35235,22;14941,3;9,08
0;64,6;100;44857,26;19021,5;11,62;;0;-59,9;100;67889,38;28788,2;17,59;;0;65,9;100;42309,41;17941,1;10,92;;0;-65,9;100;42590,93;18060,5;11,01;;0;65,9;100;42048,41;17830,4;10,83;;0;-33;100;384119,91;162884,2;98,87;;0;70,5;100;35793,8;15178,2;9,21
