Measurement time:; 04/09/2023 16:06:53;;;;;;Measurement time:; 04/09/2023 16:07:26;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Inline;;;;;;Scan type:; Inline;;;;
Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;
Wedge:; none;;;;;;Wedge:; none;;;;
;;;Inline X6 20cm;;;;;;;Inline X6 3cm;;
Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio 1;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
-80;0;200;8,49;11135,3;12,19;;80;0;30;7,91;10380,5;4,61
-79;0;200;9,29;12181,8;12,84;;79;0;30;7,78;10210,3;4,41
-77,2;0;200;9,85;12923,3;13,68;;77,2;0;30;8,13;10669,4;4,56
-75,8;0;200;10,22;13408,5;14,19;;75,8;0;30;8,51;11163,8;4,77
-74,7;0;200;10,35;13574,3;14,41;;74,7;0;30;8,74;11457,2;4,89
-73,6;0;200;10,55;13837,3;14,7;;73,6;0;30;8,98;11771,7;5,03
-72,5;0;200;11,07;14518,3;15,38;;72,5;0;30;9,37;12285,7;5,23
-71,3;0;200;11,42;14981,8;15,91;;71,3;0;30;9,65;12660,9;5,41
-70,1;0;200;11,98;15715,6;16,65;;70,1;0;30;10,07;13214,1;5,63
-68,8;0;200;12,52;16419,1;17,48;;68,8;0;30;10,31;13527,9;5,78
-67,6;0;200;13,55;17768;18,81;;67,6;0;30;10,85;14228,2;6,05
-66,4;0;200;14,61;19163,7;20,43;;66,4;0;30;11,13;14592;6,25
-65,3;0;200;16,64;21828,7;23,23;;65,2;0;30;11,64;15263,1;6,52
-64;0;200;19,52;25608,5;27,38;;64;0;30;12,18;15975,1;6,83
-62,8;0;200;24,3;31872,7;33,92;;62,8;0;30;12,85;16852,9;7,22
-61,6;0;200;30,33;39778,1;42,3;;61,6;0;30;13,72;17988,8;7,68
-60,4;0;200;37,74;49498;52,55;;60,4;0;30;14,79;19397,2;8,3
-59,2;0;200;45,31;59425,5;63,01;;59,2;0;30;16,33;21418;9,18
-58;0;200;52,69;69101;73,05;;57,9;0;30;18,8;24662;10,62
-56,8;0;200;58,37;76561,3;80,96;;56,7;0;30;23,32;30592,1;13,2
