Measurement time:; 04/09/2023 16:06:53
Radiation device:; Clinac2 Accelerator
Energy:; 6 MV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-80,0; 0,0; 200,0; 8,49; 11135,3; 12,19
-79,0; 0,0; 200,0; 9,29; 12181,8; 12,84
-77,2; 0,0; 200,0; 9,85; 12923,3; 13,68
-75,8; 0,0; 200,0; 10,22; 13408,5; 14,19
-74,7; 0,0; 200,0; 10,35; 13574,3; 14,41
-73,6; 0,0; 200,0; 10,55; 13837,3; 14,70
-72,5; 0,0; 200,0; 11,07; 14518,3; 15,38
-71,3; 0,0; 200,0; 11,42; 14981,8; 15,91
-70,1; 0,0; 200,0; 11,98; 15715,6; 16,65
-68,8; 0,0; 200,0; 12,52; 16419,1; 17,48
-67,6; 0,0; 200,0; 13,55; 17768,0; 18,81
-66,4; 0,0; 200,0; 14,61; 19163,7; 20,43
-65,3; 0,0; 200,0; 16,64; 21828,7; 23,23
-64,0; 0,0; 200,0; 19,52; 25608,5; 27,38
-62,8; 0,0; 200,0; 24,30; 31872,7; 33,92
-61,6; 0,0; 200,0; 30,33; 39778,1; 42,30
-60,4; 0,0; 200,0; 37,74; 49498,0; 52,55
-59,2; 0,0; 200,0; 45,31; 59425,5; 63,01
-58,0; 0,0; 200,0; 52,69; 69101,0; 73,05
-56,8; 0,0; 200,0; 58,37; 76561,3; 80,96
-55,6; 0,0; 200,0; 62,50; 81977,4; 86,52
-54,4; 0,0; 200,0; 64,48; 84571,7; 89,46
-53,1; 0,0; 200,0; 65,96; 86518,5; 91,65
-51,9; 0,0; 200,0; 66,64; 87407,3; 92,97
-50,8; 0,0; 200,0; 67,55; 88591,8; 93,85
-49,5; 0,0; 200,0; 67,93; 89096,4; 94,58
-48,3; 0,0; 200,0; 68,27; 89542,5; 95,03
-47,1; 0,0; 200,0; 68,46; 89788,4; 95,34
-45,9; 0,0; 200,0; 68,95; 90437,1; 95,75
-44,7; 0,0; 200,0; 68,73; 90149,4; 95,87
-43,5; 0,0; 200,0; 69,27; 90847,7; 96,25
-42,3; 0,0; 200,0; 69,58; 91260,7; 96,80
-41,1; 0,0; 200,0; 69,79; 91540,3; 97,00
-39,9; 0,0; 200,0; 69,82; 91581,3; 97,39
-38,6; 0,0; 200,0; 69,95; 91748,1; 97,46
-37,5; 0,0; 200,0; 70,23; 92117,9; 97,72
-36,2; 0,0; 200,0; 70,28; 92183,1; 97,96
-35,0; 0,0; 200,0; 70,80; 92855,2; 98,42
-33,8; 0,0; 200,0; 70,94; 93044,4; 98,55
-32,6; 0,0; 200,0; 70,90; 92990,6; 98,82
-31,4; 0,0; 200,0; 71,04; 93178,3; 99,06
-30,2; 0,0; 200,0; 71,26; 93466,7; 99,29
-29,0; 0,0; 200,0; 71,35; 93583,7; 99,46
-27,8; 0,0; 200,0; 71,46; 93719,9; 99,43
-26,6; 0,0; 200,0; 71,65; 93977,3; 99,75
-25,4; 0,0; 200,0; 71,76; 94121,5; 99,67
-24,2; 0,0; 200,0; 71,67; 94003,9; 99,55
-23,0; 0,0; 200,0; 71,85; 94232,3; 99,61
-21,8; 0,0; 200,0; 71,90; 94297,0; 99,81
