Measurement time:; 05/09/2023 16:02:32;;;;;;Measurement time:; 05/09/2023 16:03:09;;;;;;Measurement time:; 05/09/2023 16:03:31;;;;;;Measurement time:; 05/09/2023 16:03:54;;;;;;Measurement time:; 05/09/2023 16:06:11;;;;;;Measurement time:; 05/09/2023 16:06:34;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; PTW60019 Diamant;;;;;;Field detector:; PTW60019 Diamant;;;;;;Field detector:; PTW60019 Diamant;;;;;;Field detector:; PTW60019 Diamant;;;;;;Field detector:; PTW60019 Diamant;;;;;;Field detector:; PTW60019 Diamant;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 30 x 30 mm;;;;;;Field size:; 30 x 30 mm;;;;;;Field size:; 30 x 30 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;
