Measurement time:; 20/10/2023 18:25:25
Radiation device:; Clinac3 Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 140 x 140 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-170,9; 0,0; 12,8; 3267,56; 1264,4; 0,49
-169,9; 0,0; 12,8; 1849,30; 715,6; 0,37
-168,4; 0,0; 12,8; 2008,36; 777,1; 0,41
-167,4; 0,0; 12,8; 1927,33; 745,8; 0,37
-166,1; 0,0; 12,8; 1736,18; 671,8; 0,35
-164,9; 0,0; 12,8; 1842,70; 713,0; 0,38
-163,7; 0,0; 12,8; 2230,86; 863,2; 0,43
-162,5; 0,0; 12,8; 1972,85; 763,4; 0,40
-161,3; 0,0; 12,8; 1992,05; 770,8; 0,38
-160,1; 0,0; 12,8; 2052,82; 794,3; 0,42
-158,9; 0,0; 12,8; 1829,53; 707,9; 0,37
-157,7; 0,0; 12,8; 1862,54; 720,7; 0,36
-156,5; 0,0; 12,8; 2093,92; 810,2; 0,43
-155,3; 0,0; 12,8; 2232,85; 864,0; 0,43
-154,1; 0,0; 12,8; 1990,16; 770,1; 0,41
-152,9; 0,0; 12,8; 2324,41; 899,4; 0,47
-151,6; 0,0; 12,8; 2274,46; 880,1; 0,44
-150,4; 0,0; 12,8; 1974,53; 764,0; 0,40
-149,2; 0,0; 12,8; 2065,30; 799,2; 0,39
-148,0; 0,0; 12,8; 2397,31; 927,6; 0,49
-146,8; 0,0; 12,8; 2254,66; 872,4; 0,46
-145,6; 0,0; 12,8; 2400,65; 928,9; 0,46
-144,4; 0,0; 12,8; 2198,04; 850,5; 0,45
-143,2; 0,0; 12,8; 2356,95; 912,0; 0,45
-142,0; 0,0; 12,8; 2512,46; 972,2; 0,51
-140,8; 0,0; 12,8; 2321,07; 898,1; 0,48
-139,6; 0,0; 12,8; 2365,64; 915,4; 0,45
-138,4; 0,0; 12,8; 2361,67; 913,8; 0,49
-137,2; 0,0; 12,8; 2526,25; 977,5; 0,49
-136,0; 0,0; 12,8; 2625,36; 1015,9; 0,52
-134,8; 0,0; 12,8; 2641,05; 1021,9; 0,54
-133,6; 0,0; 12,8; 2836,76; 1097,7; 0,54
-132,4; 0,0; 12,8; 2585,57; 1000,5; 0,53
-131,2; 0,0; 12,8; 2598,58; 1005,5; 0,53
-130,0; 0,0; 12,8; 2821,22; 1091,7; 0,53
-128,7; 0,0; 12,8; 2678,21; 1036,3; 0,55
-127,6; 0,0; 12,8; 2861,92; 1107,4; 0,54
-126,3; 0,0; 12,8; 2657,50; 1028,3; 0,55
