Measurement time:; 20/10/2023 18:54:03
Radiation device:; Clinac3 Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1050 mm
Field size:; 140 x 140 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 174,5; 21,0; 1402,22; 542,6; 0,31
0,0; 173,2; 21,0; 1716,45; 664,2; 0,38
0,0; 172,2; 21,0; 1460,26; 565,0; 0,32
0,0; 171,1; 21,0; 1231,64; 476,6; 0,28
0,0; 169,9; 21,0; 1291,73; 499,8; 0,28
0,0; 168,6; 21,0; 1687,76; 653,1; 0,35
0,0; 167,4; 21,0; 1337,31; 517,5; 0,31
0,0; 166,2; 21,0; 1635,06; 632,7; 0,35
0,0; 165,0; 21,0; 1446,49; 559,7; 0,33
0,0; 163,8; 21,0; 1583,44; 612,7; 0,34
0,0; 162,7; 21,0; 1416,63; 548,2; 0,30
0,0; 161,4; 21,0; 1661,23; 642,8; 0,38
0,0; 160,2; 21,0; 1650,87; 638,8; 0,37
0,0; 159,0; 21,0; 1530,03; 592,0; 0,34
0,0; 157,8; 21,0; 1522,05; 589,0; 0,34
0,0; 156,6; 21,0; 1609,83; 622,9; 0,34
0,0; 155,4; 21,0; 1262,60; 488,6; 0,29
0,0; 154,2; 21,0; 1757,29; 680,0; 0,37
0,0; 153,0; 21,0; 1502,29; 581,3; 0,33
0,0; 151,8; 21,0; 1660,34; 642,5; 0,37
0,0; 150,6; 21,0; 1572,62; 608,5; 0,33
0,0; 149,4; 21,0; 1363,11; 527,5; 0,31
0,0; 148,2; 21,0; 1685,94; 652,4; 0,37
0,0; 147,0; 21,0; 1623,51; 628,2; 0,36
0,0; 145,8; 21,0; 1611,52; 623,6; 0,36
0,0; 144,6; 21,0; 1678,55; 649,5; 0,36
0,0; 143,4; 21,0; 1582,81; 612,5; 0,36
0,0; 142,2; 21,0; 1772,02; 685,7; 0,39
0,0; 141,0; 21,0; 1494,96; 578,5; 0,33
0,0; 139,8; 21,0; 1607,64; 622,1; 0,36
0,0; 138,6; 21,0; 1711,04; 662,1; 0,37
0,0; 137,4; 21,0; 1395,17; 539,9; 0,32
0,0; 136,2; 21,0; 1583,41; 612,7; 0,34
0,0; 135,0; 21,0; 1492,62; 577,6; 0,33
0,0; 133,8; 21,0; 1598,84; 618,7; 0,35
0,0; 132,6; 21,0; 1472,36; 569,7; 0,32
0,0; 131,3; 21,0; 1683,16; 651,3; 0,38
0,0; 130,2; 21,0; 1658,60; 641,8; 0,37
0,0; 129,0; 21,0; 1796,43; 695,1; 0,41
0,0; 127,8; 21,0; 1638,75; 634,1; 0,36
0,0; 126,6; 21,0; 1748,30; 676,5; 0,37
0,0; 125,4; 21,0; 1724,20; 667,2; 0,39
0,0; 124,2; 21,0; 1857,98; 718,9; 0,42
0,0; 123,0; 21,0; 1912,17; 739,9; 0,43
0,0; 121,8; 21,0; 2299,66; 889,8; 0,50
0,0; 120,6; 21,0; 2241,10; 867,2; 0,48
0,0; 119,3; 21,0; 2199,37; 851,0; 0,49
0,0; 118,1; 21,0; 2538,44; 982,2; 0,57
0,0; 117,0; 21,0; 2642,41; 1022,5; 0,60
0,0; 115,8; 21,0; 2499,65; 967,2; 0,54
0,0; 114,5; 21,0; 2713,65; 1050,0; 0,58
0,0; 113,3; 21,0; 2638,76; 1021,1; 0,59
0,0; 112,1; 21,0; 2645,61; 1023,7; 0,60
0,0; 110,9; 21,0; 2436,45; 942,8; 0,56
0,0; 109,7; 21,0; 3064,54; 1185,8; 0,66
0,0; 108,5; 21,0; 2755,86; 1066,4; 0,62
0,0; 107,3; 21,0; 2834,35; 1096,7; 0,62
0,0; 106,1; 21,0; 3269,02; 1264,9; 0,69
0,0; 104,9; 21,0; 2942,77; 1138,7; 0,68
0,0; 103,7; 21,0; 3012,93; 1165,8; 0,67
0,0; 102,5; 21,0; 3426,56; 1325,9; 0,72
0,0; 101,3; 21,0; 3443,91; 1332,6; 0,75
0,0; 100,1; 21,0; 3136,82; 1213,8; 0,72
0,0; 98,9; 21,0; 3118,02; 1206,5; 0,71
0,0; 97,7; 21,0; 3263,66; 1262,9; 0,70
0,0; 96,5; 21,0; 2919,22; 1129,6; 0,65
0,0; 95,3; 21,0; 3343,83; 1293,9; 0,73
0,0; 94,1; 21,0; 3347,14; 1295,2; 0,76
0,0; 92,9; 21,0; 3538,32; 1369,1; 0,81
0,0; 91,7; 21,0; 3763,45; 1456,3; 0,81
0,0; 90,5; 21,0; 3960,17; 1532,4; 0,88
0,0; 89,3; 21,0; 4172,18; 1614,4; 0,91
0,0; 88,1; 21,0; 4333,65; 1676,9; 0,98
0,0; 86,8; 21,0; 4562,55; 1765,5; 1,04
0,0; 85,7; 21,0; 5638,91; 2182,0; 1,21
0,0; 84,5; 21,0; 5452,04; 2109,7; 1,22
0,0; 83,3; 21,0; 6225,33; 2408,9; 1,39
0,0; 82,1; 21,0; 7044,22; 2725,7; 1,55
0,0; 80,9; 21,0; 7668,17; 2967,2; 1,74
0,0; 79,6; 21,0; 9064,04; 3507,3; 1,94
0,0; 78,4; 21,0; 9795,83; 3790,5; 2,18
0,0; 77,2; 21,0; 11233,10; 4346,6; 2,51
0,0; 76,1; 21,0; 13407,18; 5187,9; 2,94
0,0; 74,8; 21,0; 14676,78; 5679,1; 3,38
0,0; 73,7; 21,0; 18650,68; 7216,8; 3,95
0,0; 72,4; 21,0; 21064,04; 8150,7; 4,73
0,0; 71,2; 21,0; 24133,58; 9338,4; 5,48
0,0; 70,0; 21,0; 29654,19; 11474,6; 6,45
0,0; 68,8; 21,0; 33564,82; 12987,8; 7,69
0,0; 67,7; 21,0; 41878,83; 16204,9; 8,97
0,0; 66,4; 21,0; 47488,65; 18375,6; 10,75
0,0; 65,2; 21,0; 58530,40; 22648,2; 12,73
0,0; 64,0; 21,0; 65950,29; 25519,3; 15,00
0,0; 62,8; 21,0; 76765,49; 29704,2; 17,73
0,0; 61,6; 21,0; 99241,58; 38401,3; 21,03
0,0; 60,4; 21,0; 108691,18; 42057,8; 24,68
0,0; 59,2; 21,0; 134193,62; 51925,9; 28,92
0,0; 58,0; 21,0; 158353,84; 61274,7; 33,72
0,0; 56,8; 21,0; 170565,97; 66000,1; 38,83
0,0; 55,6; 21,0; 208237,42; 80577,0; 44,40
0,0; 54,4; 21,0; 220071,54; 85156,2; 49,86
0,0; 53,2; 21,0; 260365,52; 100747,9; 55,94
0,0; 52,0; 21,0; 289888,35; 112171,7; 61,45
