Measurement time:; 20/10/2023 19:02:48
Radiation device:; Clinac3 Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1100 mm
Field size:; 140 x 140 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 178,5; 21,0; 819,66; 317,2; 0,54
0,0; 177,5; 21,0; 1383,48; 535,3; 0,33
0,0; 176,0; 21,0; 1571,95; 608,3; 0,42
0,0; 175,0; 21,0; 1811,90; 701,1; 0,42
0,0; 173,8; 21,0; 1499,12; 580,1; 0,38
0,0; 172,6; 21,0; 1390,51; 538,1; 0,35
0,0; 171,3; 21,0; 1678,07; 649,3; 0,40
0,0; 170,1; 21,0; 1408,02; 544,8; 0,36
0,0; 168,9; 21,0; 1840,13; 712,0; 0,43
0,0; 167,7; 21,0; 1439,27; 556,9; 0,36
0,0; 166,5; 21,0; 1644,41; 636,3; 0,41
0,0; 165,3; 21,0; 1607,94; 622,2; 0,38
0,0; 164,1; 21,0; 1423,29; 550,7; 0,36
0,0; 162,9; 21,0; 1322,47; 511,7; 0,31
0,0; 161,7; 21,0; 1465,82; 567,2; 0,37
0,0; 160,5; 21,0; 1254,95; 485,6; 0,32
0,0; 159,3; 21,0; 1750,53; 677,4; 0,41
0,0; 158,1; 21,0; 1590,77; 615,5; 0,40
0,0; 156,9; 21,0; 1650,57; 638,7; 0,39
0,0; 155,7; 21,0; 1622,41; 627,8; 0,41
0,0; 154,5; 21,0; 1858,06; 719,0; 0,44
0,0; 153,3; 21,0; 1739,01; 672,9; 0,44
0,0; 152,1; 21,0; 1734,96; 671,3; 0,44
0,0; 150,9; 21,0; 1696,97; 656,6; 0,40
0,0; 149,7; 21,0; 1651,46; 639,0; 0,42
0,0; 148,5; 21,0; 1472,81; 569,9; 0,37
0,0; 147,3; 21,0; 1610,29; 623,1; 0,38
0,0; 146,0; 21,0; 1571,25; 608,0; 0,40
0,0; 144,9; 21,0; 1664,52; 644,1; 0,39
0,0; 143,6; 21,0; 1704,94; 659,7; 0,43
0,0; 142,5; 21,0; 1707,53; 660,7; 0,43
0,0; 141,3; 21,0; 2074,23; 802,6; 0,49
0,0; 140,1; 21,0; 1759,94; 681,0; 0,45
0,0; 138,9; 21,0; 2030,81; 785,8; 0,48
0,0; 137,7; 21,0; 1791,91; 693,4; 0,46
0,0; 136,4; 21,0; 1923,38; 744,2; 0,46
0,0; 135,2; 21,0; 1777,73; 687,9; 0,44
0,0; 134,0; 21,0; 1731,46; 670,0; 0,44
0,0; 132,8; 21,0; 1757,29; 680,0; 0,41
0,0; 131,6; 21,0; 1933,13; 748,0; 0,49
0,0; 130,4; 21,0; 2154,80; 833,8; 0,52
0,0; 129,2; 21,0; 2332,77; 902,7; 0,58
0,0; 128,0; 21,0; 2574,49; 996,2; 0,61
0,0; 126,8; 21,0; 2399,84; 928,6; 0,61
0,0; 125,6; 21,0; 2793,40; 1080,9; 0,66
0,0; 124,4; 21,0; 2470,87; 956,1; 0,62
0,0; 123,2; 21,0; 2575,74; 996,7; 0,61
0,0; 122,0; 21,0; 2784,78; 1077,6; 0,70
0,0; 120,8; 21,0; 2791,05; 1080,0; 0,66
0,0; 119,6; 21,0; 2717,97; 1051,7; 0,69
0,0; 118,4; 21,0; 2703,56; 1046,1; 0,66
0,0; 117,2; 21,0; 2977,28; 1152,1; 0,73
0,0; 116,0; 21,0; 2834,89; 1097,0; 0,72
0,0; 114,8; 21,0; 2955,61; 1143,7; 0,69
0,0; 113,6; 21,0; 3087,83; 1194,8; 0,78
0,0; 112,4; 21,0; 2886,77; 1117,0; 0,71
0,0; 111,2; 21,0; 2810,49; 1087,5; 0,68
0,0; 110,0; 21,0; 3079,29; 1191,5; 0,73
0,0; 108,8; 21,0; 3069,84; 1187,9; 0,77
0,0; 107,5; 21,0; 3564,63; 1379,3; 0,84
0,0; 106,4; 21,0; 3183,45; 1231,8; 0,80
0,0; 105,1; 21,0; 3238,30; 1253,1; 0,77
0,0; 104,0; 21,0; 3121,31; 1207,8; 0,79
0,0; 102,7; 21,0; 3707,49; 1434,6; 0,87
0,0; 101,5; 21,0; 3384,73; 1309,7; 0,86
0,0; 100,3; 21,0; 3670,91; 1420,5; 0,91
0,0; 99,1; 21,0; 3911,97; 1513,7; 0,94
0,0; 97,9; 21,0; 3767,97; 1458,0; 0,96
0,0; 96,7; 21,0; 4340,29; 1679,5; 1,02
0,0; 95,5; 21,0; 4268,70; 1651,8; 1,08
0,0; 94,3; 21,0; 4306,40; 1666,4; 1,07
0,0; 93,1; 21,0; 5185,79; 2006,6; 1,24
0,0; 91,9; 21,0; 5090,94; 1969,9; 1,30
0,0; 90,7; 21,0; 5892,48; 2280,1; 1,40
0,0; 89,5; 21,0; 6081,20; 2353,1; 1,55
0,0; 88,3; 21,0; 6805,93; 2633,5; 1,69
0,0; 87,1; 21,0; 7886,14; 3051,5; 1,87
0,0; 85,9; 21,0; 8151,55; 3154,2; 2,07
0,0; 84,7; 21,0; 9745,34; 3770,9; 2,34
