Measurement time:; 04/09/2023 18:34:08;;;;;;Measurement time:; 04/09/2023 18:34:43;;;;;;Measurement time:; 04/09/2023 18:35:21;;;;;;Measurement time:; 04/09/2023 18:36:18;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 23 MV ;;;;;;Energy:; 23 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Inline;;;;;;Scan type:; Crossline;;;;;;Scan type:; Inline;;;;;;Scan type:; Crossline;;;;
Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;
Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;
