Measurement time:; 04/09/2023 15:45:20;;;;;;Measurement time:; 04/09/2023 15:45:45;;;;;;Measurement time:; 04/09/2023 15:46:52;;;;;;Measurement time:; 04/09/2023 15:47:19;;;;;;Measurement time:; 04/09/2023 15:48:27;;;;;;Measurement time:; 04/09/2023 15:48:54;;;;;;Measurement time:; 04/09/2023 15:49:58;;;;;;Measurement time:; 04/09/2023 15:50:26;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 23 MV ;;;;;;Energy:; 23 MV ;;;;;;Energy:; 23 MV ;;;;;;Energy:; 23 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Inline;;;;;;Scan type:; Crossline;;;;;;Scan type:; Inline;;;;;;Scan type:; Crossline;;;;;;Scan type:; Inline;;;;;;Scan type:; Crossline;;;;;;Scan type:; Inline;;;;;;Scan type:; Crossline;;;;
Scan mode:; Continuous;;Ouverture Inline X6;;;;Scan mode:; Continuous;;Ouverture crosseline X6;;;;Scan mode:; Continuous;;Ouverture Inline X23;;;;Scan mode:; Continuous;;Ouverture crossline X23;;;;Scan mode:; Continuous;;fermeture Inline X23;;;;Scan mode:; Continuous;;fermeture crosslinee X23;;;;Scan mode:; Continuous;;fermeture Inline X6;;;;Scan mode:; Continuous;;fermeture crosslinee X6;;
Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
-80;0;100;86986,23;13704,3;7,93;;0;80;100;71172,73;11213;7,1;;80;0;100;72425,28;11410,3;5,93;;0;80;100;54325,87;8558,8;4,59;;80;0;100;69356,53;10926,8;5,8;;0;80;100;58240,11;9175,5;4,76;;-80;0;100;89585,28;14113,8;8,06;;0;80;100;72300,03;11390,6;6,85
-79;0;100;84438,22;13302,9;8,07;;0;78,9;100;74181,33;11687;7,12;;79;0;100;71202,51;11217,7;5,85;;0;78,9;100;59716,51;9408,1;4,81;;79;0;100;71691,59;11294,7;5,85;;0;78,9;100;57416,52;9045,7;4,79;;-78,9;0;100;85264,88;13433,1;8,15;;0;78,9;100;73896,94;11642,2;7,07
-77,2;0;100;89051,57;14029,7;8,51;;0;77,1;100;79323,16;12497;7,57;;77,2;0;100;73955,51;11651,4;6,18;;0;77,1;100;64567,78;10172,4;5,28;;77,2;0;100;76549,1;12060;6,33;;0;77,1;100;61043,83;9617,2;5,19;;-77,1;0;100;89838,45;14153,7;8,57;;0;77,1;100;79229,54;12482,3;7,56
-75,9;0;100;93496,41;14730;8,91;;0;75,6;100;81256,18;12801,6;7,78;;75,8;0;100;78941,44;12436,9;6,56;;0;75,7;100;68386,41;10774;5,65;;75,8;0;100;79632,43;12545,8;6,6;;0;75,8;100;66043,77;10404,9;5,55;;-75,7;0;100;93647,4;14753,8;8,94;;0;75,8;100;82326,3;12970,2;7,87
-74,7;0;100;95209,37;14999,9;9,13;;0;74,7;100;85149,15;13414,9;8,12;;74,7;0;100;83582,18;13168;6,92;;0;74,6;100;71108,63;11202,9;5,9;;74,7;0;100;83022,88;13079,9;6,87;;0;74,6;100;68962,74;10864,8;5,79;;-74,6;0;100;96966,76;15276,7;9,27;;0;74,6;100;85524,44;13474;8,18
-73,6;0;100;99074,75;15608,8;9,46;;0;73,5;100;89270,82;14064,3;8,52;;73,6;0;100;87917,39;13851;7,25;;0;73,5;100;76626,73;12072,2;6,36;;73,6;0;100;87096,36;13721,7;7,2;;0;73,5;100;74552,83;11745,5;6,17;;-73,5;0;100;99978,4;15751,2;9,55;;0;73,5;100;88546,7;13950,2;8,48
-72,5;0;100;101556,37;15999,8;9,73;;0;72,4;100;91755,33;14455,7;8,79;;72,5;0;100;91930,69;14483,3;7,61;;0;72,3;100;81318,17;12811,3;6,73;;72,5;0;100;91395,46;14399;7,53;;0;72,4;100;79453,26;12517,5;6,58;;-72,4;0;100;102478,64;16145,1;9,81;;0;72,4;100;91633,69;14436,5;8,79
-71,3;0;100;105260,52;16583,4;10,05;;0;71,1;100;95766,79;15087,7;9,15;;71,4;0;100;98112,7;15457,3;8,05;;0;71,1;100;85640,46;13492,3;7,06;;71,3;0;100;98334,84;15492,3;7,99;;0;71,2;100;84117,55;13252,4;6,87;;-71,2;0;100;107042,88;16864,2;10,2;;0;71,2;100;95787,17;15090,9;9,18
-70,1;0;100;109109,84;17189,8;10,44;;0;69,9;100;98958,39;15590,5;9,48;;70,1;0;100;104424,32;16451,6;8,52;;0;69,9;100;93695,6;14761,4;7,63;;70;0;100;104263,53;16426,3;8,45;;0;70;100;90687,98;14287,5;7,52;;-69,9;0;100;109984,98;17327,7;10,52;;0;70;100;99901,6;15739,1;9,57
-68,8;0;100;113005,93;17803,6;10,82;;0;68,7;100;104234,95;16421,8;9,95;;68,8;0;100;111660,01;17591,6;9,27;;0;68,6;100;101477,65;15987,4;8,26;;68,8;0;100;113321,7;17853,4;9,08;;0;68,7;100;97943,77;15430,6;8,19;;-68,7;0;100;114435,14;18028,8;10,96;;0;68,7;100;103046,02;16234,5;9,89
-67,6;0;100;119098,07;18763,4;11,36;;0;67,5;100;108190,76;17045;10,35;;67,6;0;100;119422,62;18814,6;9,97;;0;67,5;100;110425,94;17397,2;8,95;;67,6;0;100;121524,91;19145,8;9,83;;0;67,5;100;105420,54;16608,6;8,88;;-67,5;0;100;119471,71;18822,3;11,43;;0;67,5;100;108609,78;17111;10,41
-66,5;0;100;123391,93;19439,9;11,81;;0;66,3;100;113370,21;17861;10,85;;66,4;0;100;129847,27;20456,9;10,85;;0;66,3;100;121570,9;19153;9,86;;66,4;0;100;129889,7;20463,6;10,77;;0;66,3;100;117945,12;18581,8;9,81;;-66,3;0;100;124469,95;19609,7;11,9;;0;66,3;100;115108,65;18134,9;11
-65,3;0;100;130560,24;20569,2;12,5;;0;65,1;100;119849,88;18881,9;11,47;;65,2;0;100;143468,73;22602,9;11,92;;0;65,1;100;132961,14;20947,5;10,94;;65,2;0;100;142032,15;22376,6;11,85;;0;65,1;100;129700,65;20433,8;10,76;;-65,1;0;100;130780,46;20603,9;12,52;;0;65,1;100;120257,21;18946;11,52
-64,1;0;100;138534,24;21825,5;13,23;;0;63,9;100;127888,5;20148,3;12,25;;64;0;100;159732,31;25165,2;13,36;;0;63,8;100;146975,95;23155,5;12,16;;64;0;100;159503,17;25129,1;13,22;;0;63,9;100;145897,87;22985,6;12,07;;-63,9;0;100;139350,46;21954,1;13,35;;0;63,9;100;127740,26;20125;12,21
-62,9;0;100;148378,05;23376,4;14,24;;0;62,6;100;138193,64;21771,8;13,27;;62,8;0;100;186847,58;29437,1;15,33;;0;62,6;100;166707,47;26264,1;13,91;;62,8;0;100;178503,3;28122,5;14,91;;0;62,7;100;168646,32;26569,5;13,82;;-62,7;0;100;151581,6;23881,1;14,52;;0;62,6;100;137523,47;21666,3;13,2
-61,7;0;100;165637,46;26095,5;15,91;;0;61,4;100;151633,7;23889,3;14,5;;61,6;0;100;216934,91;34177,2;17,83;;0;61,4;100;192690,02;30357,5;16,22;;61,6;0;100;209163,97;32952,9;17,27;;0;61,5;100;195252,37;30761,2;15,91;;-61,5;0;100;168596,62;26561,7;16,22;;0;61,4;100;150579,38;23723,2;14,48
-60,4;0;100;196202,77;30911;18,91;;0;60,2;100;170235,67;26819,9;16,42;;60,3;0;100;257820,6;40618,6;21,48;;0;60,2;100;227441,48;35832,5;19,09;;60,4;0;100;250968,17;39539;20,62;;0;60,3;100;224412,25;35355,2;18,69;;-60,3;0;100;200779,27;31632;19,34;;0;60,3;100;172901,46;27239,9;16,61
-59,2;0;100;245624,82;38697,2;23,63;;0;59,1;100;208232,54;32806,2;20,17;;59,2;0;100;316011,71;49786,4;26,76;;0;59;100;284355,76;44799,1;23,35;;59,2;0;100;309803,84;48808,3;25,21;;0;59,1;100;270402,12;42600,8;22,93;;-59,1;0;100;251524,92;39626,7;24,28;;0;59,1;100;207409,59;32676,5;20,1
-58;0;100;319263,48;50298,7;30,71;;0;57,8;100;282575,95;44518,7;27,31;;58;0;100;407583,71;64213,2;34,4;;0;57,8;100;366759,68;57781,5;30,06;;58;0;100;398648,74;62805,5;32,43;;0;57,9;100;350158,2;55166;29,52;;-57,9;0;100;328033,16;51680,3;31,51;;0;57,9;100;279264,03;43996,9;27,01
-56,8;0;100;418887,76;65994,1;40,19;;0;56,6;100;393494,01;61993,4;37,82;;56,8;0;100;526068,69;82880;44,07;;0;56,6;100;486211,63;76600,7;39,58;;56,7;0;100;525724,24;82825,7;42,12;;0;56,7;100;465375,75;73318,1;38,6;;-56,7;0;100;424091,76;66813,9;40,61;;0;56,7;100;386116,01;60831;37,11
