Measurement time:; 04/09/2023 15:55:31;;;;;;Measurement time:; 04/09/2023 15:59:24;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Beam;;;;;;Scan type:; Beam;;;;
Scan mode:; Continuous;;RP avec chambre de ref;;;;Scan mode:; Continuous;;RP sans chambre de ref;;
Wedge:; none;;;;;;Wedge:; none;;;;
;;;;;;;;;;;;
Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;310;469,11;52604,8;20,59;;0;0;310;104,4;53749,4;13,53
0;0;308,9;459,87;51568,2;20,71;;0;0;309;100,2;51590,7;15,34
0;0;307,1;464,92;52134,8;20,91;;0;0;307,1;101,78;52404,1;18,17
0;0;305,8;469,69;52670;21,11;;0;0;305,8;102,5;52774,6;17,89
0;0;304,7;474,02;53155,2;21,24;;0;0;304,7;102,93;52992;18,76
0;0;303,7;476,04;53381,8;21,36;;0;0;303,7;104,05;53568,5;19,98
0;0;302,5;477,75;53573,6;21,47;;0;0;302,5;104,17;53631,5;18,23
0;0;301,2;480,4;53871;21,63;;0;0;301,3;104,88;53997,3;18,42
0;0;300;483,52;54220,7;21,74;;0;0;300;105,85;54499,5;19,96
0;0;298,8;486,8;54588,6;21,9;;0;0;298,8;106,21;54680,8;18,59
0;0;297,6;488,7;54801,5;22;;0;0;297,6;107,34;55262,8;18,74
0;0;296,4;494,64;55467,3;22,24;;0;0;296,4;108,09;55649,9;19,85
0;0;295,2;496,31;55654,3;22,33;;0;0;295,2;108,49;55854,9;19,86
0;0;294;499,82;56047,9;22,49;;0;0;294;109,15;56196,3;19,66
0;0;292,8;503,64;56477;22,67;;0;0;292,8;109,9;56582,2;18,68
0;0;291,6;507,26;56882,2;22,82;;0;0;291,6;111,03;57162,6;20,8
0;0;290,4;509,7;57156,3;22,98;;0;0;290,4;111,13;57216,5;19,64
0;0;289,2;513,38;57568,9;23,13;;0;0;289,1;111,71;57515;23,46
0;0;288;514,93;57742,3;23,2;;0;0;287,9;112,83;58093,3;21,63
0;0;286,7;521,47;58476,1;23,41;;0;0;286,7;113,97;58676,9;19,62
