Measurement time:; 04/09/2023 16:47:28;;;;;;Measurement time:; 04/09/2023 16:47:49;;;;;;Measurement time:; 04/09/2023 16:48:24;;;;;;Measurement time:; 04/09/2023 16:49:22;;;;;;Measurement time:; 04/09/2023 16:50:09;;;;;;Measurement time:; 04/09/2023 16:50:56;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 23 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;;;Energy:; 23 MV ;;;;;;Energy:; 23 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 60 x 60 mm;;;;;;Field size:; 60 x 60 mm;;;;;;Field size:; 60 x 60 mm;;;;;;Field size:; 60 x 60 mm;;;;;;Field size:; 60 x 60 mm;;;;;;Field size:; 60 x 60 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Crossline;;;;;;Scan type:; Crossline;;;;;;Scan type:; Crossline;;;;;;Scan type:; Beam;;;;;;Scan type:; Crossline;;;;;;Scan type:; Beam;;;;
Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;;;Scan mode:; Continuous;;;;
Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;;;Wedge:; none;;;;
;;;Crossline X6 Ouverture;;;;;;;Crossline X23 Ouverture;;;;;;;Crossline X6 Fermeture;;;;;;;Rendement X6;;;;;;;Crossline X23 Fermeture;;;;;;;rendement X23;;
Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;60;100;3,38;6370,5;4,09;;0;60;100;2,84;5364,1;2,84;;0;60;100;3,37;6360,6;4,25;;0;0;310;24,21;45669,7;18,82;;0;-60;100;2,83;5339,4;3,43;;0;0;310;41,62;78526;32,72
0;59;100;3,48;6558,1;4,32;;0;59;100;2,67;5040,1;2,84;;0;59;100;3,55;6693,7;4,38;;0;0;308,9;23,58;44480,1;18,68;;0;-58,9;100;2,8;5289,3;3,05;;0;0;308,9;40,81;76984,4;32,81
0;57,1;100;3,71;6994,3;4,64;;0;57,2;100;2,93;5519,1;3,17;;0;57,2;100;3,79;7144,8;4,69;;0;0;307,1;23,89;45070,5;18,89;;0;-56,7;100;3,09;5830,6;3,28;;0;0;307,1;41,07;77471,5;33,19
0;55,9;100;3,9;7364,9;4,87;;0;55,9;100;3,18;6001;3,41;;0;56;100;4,02;7591,8;4,99;;0;0;305,8;24,12;45512,2;19,04;;0;-56,1;100;3,35;6315,7;3,49;;0;0;305,7;40,37;76150,6;33,29
0;54,6;100;4,1;7737,9;5,12;;0;54,8;100;3,34;6293,9;3,57;;0;54,8;100;4,15;7823,8;5,17;;0;0;304,7;24,11;45486,7;19,11;;0;-54,6;100;3,76;7096;3,89;;0;0;304,6;40,5;76395,5;33,46
