Measurement time:; 20/10/2023 18:47:05
Radiation device:; Clinac3 Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 140 x 140 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -172,1; 30,0; 704,92; 272,8; 0,15
0,0; -170,8; 30,0; 989,22; 382,8; 0,24
0,0; -168,3; 30,0; 957,11; 370,4; 0,23
0,0; -167,2; 30,0; 924,43; 357,7; 0,22
0,0; -165,7; 30,0; 546,33; 211,4; 0,15
0,0; -164,3; 30,0; 748,70; 289,7; 0,17
0,0; -162,9; 30,0; 1172,22; 453,6; 0,26
0,0; -161,6; 30,0; 1332,76; 515,7; 0,35
0,0; -160,3; 30,0; 1385,85; 536,3; 0,38
0,0; -159,1; 30,0; 677,86; 262,3; 0,15
0,0; -157,8; 30,0; 1105,53; 427,8; 0,25
0,0; -156,6; 30,0; 1775,09; 686,9; 0,39
0,0; -155,4; 30,0; 1351,46; 522,9; 0,30
0,0; -154,3; 30,0; 1298,99; 502,6; 0,40
0,0; -153,1; 30,0; 1271,84; 492,1; 0,30
0,0; -151,9; 30,0; 1611,17; 623,4; 0,37
0,0; -150,7; 30,0; 1175,87; 455,0; 0,36
0,0; -149,5; 30,0; 1695,29; 656,0; 0,40
0,0; -148,3; 30,0; 421,83; 163,2; 0,09
0,0; -147,0; 30,0; 1350,09; 522,4; 0,30
0,0; -145,9; 30,0; 1331,46; 515,2; 0,40
0,0; -144,7; 30,0; 1910,82; 739,4; 0,46
0,0; -143,4; 30,0; 1341,35; 519,0; 0,30
0,0; -142,2; 30,0; 1784,46; 690,5; 0,40
0,0; -140,9; 30,0; 1881,48; 728,0; 0,42
0,0; -139,7; 30,0; 1169,10; 452,4; 0,35
0,0; -138,6; 30,0; 1963,13; 759,6; 0,48
0,0; -137,3; 30,0; 1539,36; 595,7; 0,35
0,0; -136,1; 30,0; 1839,62; 711,8; 0,53
0,0; -134,8; 30,0; 1618,98; 626,5; 0,41
0,0; -133,6; 30,0; 2187,22; 846,3; 0,48
0,0; -132,4; 30,0; 1748,67; 676,6; 0,39
0,0; -131,3; 30,0; 1946,52; 753,2; 0,53
0,0; -130,0; 30,0; 1695,73; 656,2; 0,43
0,0; -128,7; 30,0; 1940,89; 751,0; 0,44
0,0; -127,5; 30,0; 1750,37; 677,3; 0,38
0,0; -126,3; 30,0; 1420,57; 549,7; 0,32
0,0; -125,0; 30,0; 1527,39; 591,0; 0,41
0,0; -123,8; 30,0; 1675,80; 648,4; 0,44
0,0; -122,6; 30,0; 1839,04; 711,6; 0,40
0,0; -121,4; 30,0; 1568,99; 607,1; 0,41
0,0; -120,2; 30,0; 1533,37; 593,3; 0,41
0,0; -118,8; 30,0; 2275,18; 880,4; 0,51
0,0; -117,7; 30,0; 1732,68; 670,5; 0,39
0,0; -116,5; 30,0; 1946,30; 753,1; 0,47
0,0; -115,3; 30,0; 1479,45; 572,5; 0,45
0,0; -114,1; 30,0; 2384,72; 922,8; 0,54
0,0; -112,9; 30,0; 2096,95; 811,4; 0,46
0,0; -111,7; 30,0; 1497,47; 579,4; 0,47
0,0; -110,5; 30,0; 2104,50; 814,3; 0,48
0,0; -109,2; 30,0; 1484,46; 574,4; 0,47
0,0; -108,1; 30,0; 2612,29; 1010,8; 0,60
0,0; -106,9; 30,0; 2348,64; 908,8; 0,52
0,0; -105,6; 30,0; 1754,80; 679,0; 0,56
0,0; -104,4; 30,0; 2598,09; 1005,3; 0,60
0,0; -103,1; 30,0; 2012,45; 778,7; 0,45
0,0; -101,9; 30,0; 2557,75; 989,7; 0,58
0,0; -100,8; 30,0; 2289,83; 886,0; 0,71
0,0; -99,5; 30,0; 2386,16; 923,3; 0,56
0,0; -98,3; 30,0; 2506,56; 969,9; 0,54
0,0; -97,1; 30,0; 2303,41; 891,3; 0,52
0,0; -95,9; 30,0; 2164,59; 837,6; 0,47
0,0; -94,7; 30,0; 2537,46; 981,9; 0,74
0,0; -93,5; 30,0; 2551,87; 987,4; 0,62
0,0; -92,3; 30,0; 2508,58; 970,7; 0,56
0,0; -91,1; 30,0; 2334,77; 903,4; 0,67
0,0; -89,9; 30,0; 2088,62; 808,2; 0,53
0,0; -88,6; 30,0; 3442,67; 1332,1; 0,78
0,0; -87,4; 30,0; 3014,65; 1166,5; 0,66
0,0; -86,3; 30,0; 2169,88; 839,6; 0,59
0,0; -85,0; 30,0; 2259,57; 874,3; 0,58
0,0; -83,8; 30,0; 3231,39; 1250,4; 0,72
