Measurement time:; 20/10/2023 19:17:40
Radiation device:; Clinac3 Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -151,5; 30,0; 21,80; 8,4; 0,00
0,0; -150,5; 30,0; 1418,19; 548,8; 0,34
0,0; -149,1; 30,0; 1183,19; 457,8; 0,31
0,0; -148,0; 30,0; 1584,18; 613,0; 0,37
0,0; -146,8; 30,0; 1453,69; 562,5; 0,37
0,0; -145,6; 30,0; 1553,89; 601,3; 0,40
0,0; -144,4; 30,0; 1376,46; 532,6; 0,33
0,0; -143,2; 30,0; 1301,11; 503,5; 0,33
0,0; -142,0; 30,0; 1615,04; 624,9; 0,39
0,0; -140,8; 30,0; 1516,36; 586,8; 0,38
0,0; -139,5; 30,0; 1469,89; 568,8; 0,38
0,0; -138,3; 30,0; 1646,40; 637,1; 0,39
0,0; -137,1; 30,0; 1483,47; 574,0; 0,38
0,0; -136,0; 30,0; 1751,54; 677,8; 0,43
0,0; -134,7; 30,0; 1804,40; 698,2; 0,45
0,0; -133,5; 30,0; 1835,17; 710,1; 0,47
0,0; -132,3; 30,0; 1857,57; 718,8; 0,44
0,0; -131,1; 30,0; 1501,17; 580,9; 0,39
0,0; -129,9; 30,0; 1948,36; 753,9; 0,47
0,0; -128,7; 30,0; 1885,78; 729,7; 0,48
0,0; -127,5; 30,0; 1730,35; 669,6; 0,45
0,0; -126,3; 30,0; 1720,93; 665,9; 0,41
0,0; -125,1; 30,0; 1950,10; 754,6; 0,50
0,0; -123,9; 30,0; 1821,16; 704,7; 0,44
0,0; -122,7; 30,0; 1915,85; 741,3; 0,48
0,0; -121,5; 30,0; 2056,82; 795,9; 0,53
0,0; -120,3; 30,0; 2452,67; 949,1; 0,59
0,0; -119,1; 30,0; 2283,03; 883,4; 0,58
0,0; -117,9; 30,0; 2057,56; 796,2; 0,51
0,0; -116,7; 30,0; 2368,40; 916,4; 0,59
0,0; -115,5; 30,0; 2318,96; 897,3; 0,59
0,0; -114,3; 30,0; 2599,38; 1005,8; 0,62
0,0; -113,1; 30,0; 2538,02; 982,1; 0,65
0,0; -111,9; 30,0; 2239,79; 866,7; 0,56
0,0; -110,7; 30,0; 2287,18; 885,0; 0,57
0,0; -109,5; 30,0; 2411,80; 933,2; 0,61
0,0; -108,3; 30,0; 2758,56; 1067,4; 0,65
0,0; -107,1; 30,0; 2634,48; 1019,4; 0,63
0,0; -105,8; 30,0; 2392,04; 925,6; 0,61
0,0; -104,6; 30,0; 2458,74; 951,4; 0,60
0,0; -103,5; 30,0; 2526,03; 977,4; 0,64
0,0; -102,2; 30,0; 2596,95; 1004,9; 0,62
0,0; -101,1; 30,0; 2524,04; 976,7; 0,64
0,0; -99,8; 30,0; 2529,55; 978,8; 0,65
0,0; -98,6; 30,0; 2475,63; 957,9; 0,60
0,0; -97,5; 30,0; 2296,07; 888,5; 0,57
0,0; -96,2; 30,0; 2457,54; 950,9; 0,59
0,0; -95,0; 30,0; 2271,58; 879,0; 0,58
0,0; -93,8; 30,0; 2304,28; 891,6; 0,58
0,0; -92,6; 30,0; 2248,37; 870,0; 0,57
0,0; -91,4; 30,0; 2087,86; 807,9; 0,52
0,0; -90,2; 30,0; 2091,18; 809,2; 0,49
0,0; -89,0; 30,0; 2109,21; 816,2; 0,54
0,0; -87,8; 30,0; 2359,89; 913,2; 0,59
0,0; -86,6; 30,0; 2177,37; 842,5; 0,55
0,0; -85,4; 30,0; 2352,58; 910,3; 0,58
0,0; -84,2; 30,0; 2480,12; 959,7; 0,59
0,0; -83,0; 30,0; 2125,94; 822,6; 0,55
0,0; -81,8; 30,0; 2481,38; 960,2; 0,62
0,0; -80,6; 30,0; 2634,18; 1019,3; 0,67
0,0; -79,4; 30,0; 2678,32; 1036,4; 0,66
0,0; -78,2; 30,0; 2785,34; 1077,8; 0,67
0,0; -77,0; 30,0; 2500,50; 967,6; 0,63
0,0; -75,8; 30,0; 2694,25; 1042,5; 0,69
0,0; -74,5; 30,0; 2524,85; 977,0; 0,59
0,0; -73,4; 30,0; 2588,40; 1001,6; 0,63
0,0; -72,1; 30,0; 2550,14; 986,8; 0,63
0,0; -71,0; 30,0; 2568,01; 993,7; 0,65
0,0; -69,7; 30,0; 2634,84; 1019,5; 0,67
0,0; -68,5; 30,0; 2704,48; 1046,5; 0,70
0,0; -67,3; 30,0; 2683,31; 1038,3; 0,65
0,0; -66,1; 30,0; 2626,04; 1016,1; 0,63
0,0; -64,9; 30,0; 2915,59; 1128,2; 0,72
0,0; -63,7; 30,0; 3024,64; 1170,4; 0,76
0,0; -62,6; 30,0; 3091,99; 1196,4; 0,73
0,0; -61,3; 30,0; 3200,89; 1238,6; 0,78
0,0; -60,1; 30,0; 3840,03; 1485,9; 0,91
0,0; -58,9; 30,0; 3821,06; 1478,6; 0,95
0,0; -57,7; 30,0; 4564,14; 1766,1; 1,13
0,0; -56,5; 30,0; 5019,67; 1942,3; 1,29
0,0; -55,3; 30,0; 6287,66; 2433,0; 1,52
0,0; -54,1; 30,0; 7913,62; 3062,2; 1,89
0,0; -52,9; 30,0; 9364,32; 3623,5; 2,33
0,0; -51,7; 30,0; 11445,74; 4428,9; 2,80
0,0; -50,5; 30,0; 13697,74; 5300,3; 3,49
0,0; -49,3; 30,0; 17635,67; 6824,1; 4,25
0,0; -48,1; 30,0; 21393,73; 8278,3; 5,34
0,0; -46,9; 30,0; 25794,67; 9981,2; 6,53
0,0; -45,7; 30,0; 32473,94; 12565,7; 7,96
0,0; -44,5; 30,0; 37988,29; 14699,5; 9,80
0,0; -43,3; 30,0; 48564,06; 18791,8; 11,58
0,0; -42,1; 30,0; 54758,53; 21188,7; 13,88
0,0; -40,8; 30,0; 65390,54; 25302,7; 16,59
0,0; -39,7; 30,0; 80104,69; 30996,3; 19,47
0,0; -38,4; 30,0; 95613,15; 36997,3; 22,77
0,0; -37,2; 30,0; 111111,18; 42994,2; 26,49
0,0; -36,0; 30,0; 118721,30; 45938,9; 30,24
0,0; -34,8; 30,0; 139294,18; 53899,6; 35,35
0,0; -33,6; 30,0; 161781,23; 62600,9; 39,30
0,0; -32,4; 30,0; 171173,92; 66235,4; 44,15
0,0; -31,3; 30,0; 205839,56; 79649,2; 49,34
0,0; -30,0; 30,0; 212291,18; 82145,6; 53,90
0,0; -28,8; 30,0; 235586,16; 91159,5; 59,74
0,0; -27,6; 30,0; 258502,95; 100027,2; 63,25
0,0; -26,4; 30,0; 265093,92; 102577,5; 68,07
0,0; -25,3; 30,0; 303963,54; 117618,0; 72,71
0,0; -24,0; 30,0; 320458,25; 124000,6; 76,49
0,0; -22,8; 30,0; 315002,52; 121889,5; 79,25
0,0; -21,6; 30,0; 340730,29; 131844,8; 83,45
0,0; -20,4; 30,0; 330193,47; 127767,6; 84,96
0,0; -19,2; 30,0; 369937,61; 143146,5; 88,84
0,0; -18,0; 30,0; 376840,09; 145817,4; 89,95
0,0; -16,8; 30,0; 361995,56; 140073,4; 91,35
0,0; -15,6; 30,0; 389992,72; 150906,8; 94,32
0,0; -14,4; 30,0; 361488,92; 139877,3; 93,43
0,0; -13,2; 30,0; 400365,85; 154920,7; 95,64
0,0; -12,1; 30,0; 405049,66; 156733,1; 96,39
0,0; -10,8; 30,0; 382227,52; 147902,1; 97,27
0,0; -9,6; 30,0; 401712,48; 155441,8; 97,57
0,0; -8,4; 30,0; 383307,74; 148320,1; 98,43
0,0; -7,3; 30,0; 410528,91; 158853,3; 97,82
0,0; -6,0; 30,0; 391883,13; 151638,3; 99,75
0,0; -4,8; 30,0; 381606,15; 147661,7; 98,23
0,0; -3,6; 30,0; 411731,47; 159318,6; 98,70
0,0; -2,4; 30,0; 386100,01; 149400,6; 99,46
0,0; -1,2; 30,0; 416281,80; 161079,3; 98,59
0,0; 0,0; 30,0; 390305,40; 151027,8; 100,02
0,0; 1,2; 30,0; 388083,28; 150168,0; 98,59
0,0; 2,4; 30,0; 413079,35; 159840,2; 99,37
0,0; 3,6; 30,0; 389635,11; 150768,5; 99,20
0,0; 4,8; 30,0; 410293,15; 158762,0; 98,27
0,0; 6,1; 30,0; 387224,94; 149835,8; 98,50
0,0; 7,3; 30,0; 384191,12; 148661,9; 98,58
0,0; 8,4; 30,0; 408823,15; 158193,2; 97,71
0,0; 9,7; 30,0; 377427,59; 146044,8; 97,37
0,0; 10,9; 30,0; 400857,92; 155111,1; 96,30
0,0; 12,0; 30,0; 375753,43; 145397,0; 95,79
0,0; 13,3; 30,0; 373237,48; 144423,4; 95,50
0,0; 14,5; 30,0; 387536,26; 149956,3; 92,98
0,0; 15,7; 30,0; 359890,58; 139258,9; 92,71
0,0; 16,9; 30,0; 381071,26; 147454,7; 90,48
0,0; 18,1; 30,0; 345235,93; 133588,3; 89,20
0,0; 19,3; 30,0; 335869,73; 129964,1; 86,08
0,0; 20,5; 30,0; 348693,74; 134926,3; 84,06
0,0; 21,7; 30,0; 341885,48; 132291,8; 81,22
0,0; 22,9; 30,0; 326791,13; 126451,1; 78,28
0,0; 24,1; 30,0; 288411,51; 111600,2; 74,01
0,0; 25,3; 30,0; 269806,89; 104401,2; 70,00
0,0; 26,6; 30,0; 276998,67; 107184,0; 66,26
0,0; 27,7; 30,0; 258416,53; 99993,7; 61,55
0,0; 29,0; 30,0; 237486,82; 91895,0; 56,58
0,0; 30,2; 30,0; 215067,45; 83219,9; 51,54
0,0; 31,3; 30,0; 183393,75; 70963,8; 46,95
0,0; 32,6; 30,0; 174495,20; 67520,5; 41,88
0,0; 33,8; 30,0; 154055,28; 59611,4; 36,95
0,0; 35,0; 30,0; 136609,30; 52860,7; 32,49
0,0; 36,2; 30,0; 119131,39; 46097,6; 28,56
0,0; 37,4; 30,0; 96030,38; 37158,7; 24,70
0,0; 38,6; 30,0; 88388,19; 34201,6; 21,09
0,0; 39,8; 30,0; 75090,68; 29056,2; 18,00
0,0; 41,0; 30,0; 64003,74; 24766,1; 15,16
0,0; 42,2; 30,0; 49108,74; 19002,5; 12,70
0,0; 43,4; 30,0; 40747,13; 15767,0; 10,44
0,0; 44,6; 30,0; 36339,43; 14061,5; 8,70
0,0; 45,8; 30,0; 27590,75; 10676,2; 7,13
0,0; 47,0; 30,0; 24074,76; 9315,7; 5,79
0,0; 48,3; 30,0; 18109,95; 7007,6; 4,61
0,0; 49,4; 30,0; 15047,95; 5822,8; 3,82
0,0; 50,6; 30,0; 12855,79; 4974,5; 3,07
0,0; 51,8; 30,0; 9384,47; 3631,3; 2,43
0,0; 53,1; 30,0; 8316,71; 3218,1; 2,01
0,0; 54,3; 30,0; 6601,25; 2554,3; 1,66
0,0; 55,4; 30,0; 5109,30; 1977,0; 1,30
0,0; 56,7; 30,0; 4794,68; 1855,3; 1,15
0,0; 57,9; 30,0; 3536,26; 1368,3; 0,91
0,0; 59,1; 30,0; 3742,09; 1448,0; 0,90
0,0; 60,2; 30,0; 3029,87; 1172,4; 0,77
0,0; 61,5; 30,0; 2650,48; 1025,6; 0,68
0,0; 62,7; 30,0; 3030,08; 1172,5; 0,72
0,0; 63,9; 30,0; 2397,30; 927,6; 0,62
0,0; 65,0; 30,0; 2620,77; 1014,1; 0,65
0,0; 66,3; 30,0; 2881,78; 1115,1; 0,71
0,0; 67,5; 30,0; 2445,59; 946,3; 0,63
0,0; 68,7; 30,0; 2854,74; 1104,6; 0,68
0,0; 69,9; 30,0; 2310,63; 894,1; 0,59
0,0; 71,1; 30,0; 2548,94; 986,3; 0,63
0,0; 72,3; 30,0; 2668,87; 1032,7; 0,62
0,0; 73,5; 30,0; 2696,67; 1043,5; 0,69
0,0; 74,7; 30,0; 2525,73; 977,3; 0,60
0,0; 75,9; 30,0; 2501,92; 968,1; 0,60
0,0; 77,2; 30,0; 2496,11; 965,9; 0,62
0,0; 78,3; 30,0; 2486,91; 962,3; 0,64
0,0; 79,5; 30,0; 2652,04; 1026,2; 0,66
0,0; 80,7; 30,0; 2690,43; 1041,1; 0,64
0,0; 81,9; 30,0; 2618,31; 1013,2; 0,62
0,0; 83,1; 30,0; 2426,25; 938,8; 0,62
0,0; 84,4; 30,0; 2324,15; 899,3; 0,59
0,0; 85,5; 30,0; 2437,28; 943,1; 0,61
0,0; 86,7; 30,0; 2715,65; 1050,8; 0,65
0,0; 88,0; 30,0; 2603,41; 1007,4; 0,63
0,0; 89,2; 30,0; 2414,46; 934,3; 0,61
0,0; 90,4; 30,0; 2692,35; 1041,8; 0,64
0,0; 91,6; 30,0; 2420,14; 936,5; 0,60
0,0; 92,8; 30,0; 2733,14; 1057,6; 0,65
0,0; 94,0; 30,0; 2638,86; 1021,1; 0,63
0,0; 95,2; 30,0; 2473,54; 957,1; 0,63
0,0; 96,4; 30,0; 2706,42; 1047,2; 0,64
0,0; 97,6; 30,0; 2364,12; 914,8; 0,58
0,0; 98,8; 30,0; 2370,15; 917,1; 0,57
0,0; 100,0; 30,0; 2220,87; 859,4; 0,57
0,0; 101,2; 30,0; 2465,49; 954,0; 0,63
0,0; 102,4; 30,0; 2559,08; 990,2; 0,60
0,0; 103,6; 30,0; 2696,46; 1043,4; 0,66
0,0; 104,8; 30,0; 2546,47; 985,4; 0,62
0,0; 106,0; 30,0; 2250,07; 870,7; 0,58
0,0; 107,2; 30,0; 2526,35; 977,6; 0,64
0,0; 108,4; 30,0; 2566,86; 993,2; 0,61
0,0; 109,6; 30,0; 2544,60; 984,6; 0,62
0,0; 110,8; 30,0; 2377,92; 920,1; 0,56
0,0; 112,0; 30,0; 2483,57; 961,0; 0,60
0,0; 113,2; 30,0; 2299,49; 889,8; 0,58
0,0; 114,5; 30,0; 2420,28; 936,5; 0,62
0,0; 115,7; 30,0; 2545,75; 985,1; 0,61
0,0; 116,9; 30,0; 2381,99; 921,7; 0,57
0,0; 118,1; 30,0; 2240,44; 866,9; 0,55
0,0; 119,3; 30,0; 1925,36; 745,0; 0,48
0,0; 120,5; 30,0; 2085,10; 806,8; 0,50
0,0; 121,7; 30,0; 2032,45; 786,5; 0,49
0,0; 122,9; 30,0; 1916,37; 741,5; 0,46
0,0; 124,1; 30,0; 1858,42; 719,1; 0,46
0,0; 125,3; 30,0; 2091,37; 809,3; 0,52
0,0; 126,5; 30,0; 1754,59; 678,9; 0,45
0,0; 127,7; 30,0; 1890,11; 731,4; 0,45
0,0; 128,9; 30,0; 1641,89; 635,3; 0,41
0,0; 130,1; 30,0; 1991,65; 770,7; 0,51
0,0; 131,3; 30,0; 1791,43; 693,2; 0,44
0,0; 132,5; 30,0; 1523,21; 589,4; 0,39
0,0; 133,7; 30,0; 1862,83; 720,8; 0,45
0,0; 134,9; 30,0; 1812,28; 701,3; 0,46
0,0; 136,1; 30,0; 1348,61; 521,8; 0,34
0,0; 137,3; 30,0; 1539,64; 595,8; 0,38
0,0; 138,5; 30,0; 1354,99; 524,3; 0,35
0,0; 139,7; 30,0; 1275,78; 493,7; 0,31
0,0; 141,0; 30,0; 1592,21; 616,1; 0,40
0,0; 142,1; 30,0; 1265,19; 489,6; 0,32
0,0; 143,3; 30,0; 1582,59; 612,4; 0,39
0,0; 144,5; 30,0; 1558,28; 603,0; 0,40
0,0; 145,7; 30,0; 1567,88; 606,7; 0,38
0,0; 146,9; 30,0; 1245,34; 481,9; 0,30
0,0; 148,1; 30,0; 1686,01; 652,4; 0,42
0,0; 149,3; 30,0; 1494,25; 578,2; 0,36
0,0; 150,5; 30,0; 1443,70; 558,6; 0,37
0,0; 151,5; 30,0; 1475,74; 571,0; 0,36


Measurement time:; 20/10/2023 19:18:52
Radiation device:; Clinac3 Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 200,0; 2477,09; 958,5; 0,63
0,0; 0,0; 199,1; 2125,15; 822,3; 0,44
0,0; 0,0; 197,6; 2450,30; 948,1; 0,45
0,0; 0,0; 196,6; 2381,72; 921,6; 0,49
0,0; 0,0; 195,3; 2198,39; 850,7; 0,43
0,0; 0,0; 194,1; 2422,38; 937,3; 0,48
0,0; 0,0; 192,9; 2250,53; 870,8; 0,46
0,0; 0,0; 191,7; 2045,74; 791,6; 0,43
0,0; 0,0; 190,5; 2371,45; 917,6; 0,47
0,0; 0,0; 189,3; 2030,59; 785,7; 0,41
0,0; 0,0; 188,1; 2047,14; 792,1; 0,43
0,0; 0,0; 186,9; 2129,41; 824,0; 0,43
0,0; 0,0; 185,7; 2219,65; 858,9; 0,43
0,0; 0,0; 184,5; 2253,04; 871,8; 0,44
0,0; 0,0; 183,3; 2274,67; 880,2; 0,46
0,0; 0,0; 182,1; 2185,53; 845,7; 0,43
0,0; 0,0; 180,9; 2287,56; 885,2; 0,47
0,0; 0,0; 179,7; 2422,53; 937,4; 0,47
0,0; 0,0; 178,5; 2435,11; 942,3; 0,47
0,0; 0,0; 177,3; 2406,33; 931,1; 0,47
0,0; 0,0; 176,1; 2443,06; 945,3; 0,50
0,0; 0,0; 174,9; 2410,26; 932,6; 0,48
0,0; 0,0; 173,6; 2339,30; 905,2; 0,49
0,0; 0,0; 172,5; 2708,37; 1048,0; 0,53
0,0; 0,0; 171,2; 2458,72; 951,4; 0,48
0,0; 0,0; 170,0; 2724,44; 1054,2; 0,56
0,0; 0,0; 168,8; 2629,35; 1017,4; 0,53
0,0; 0,0; 167,6; 2729,65; 1056,2; 0,53
0,0; 0,0; 166,4; 2727,66; 1055,5; 0,54
0,0; 0,0; 165,2; 2786,21; 1078,1; 0,55
0,0; 0,0; 164,0; 2625,51; 1015,9; 0,54
0,0; 0,0; 162,8; 2665,62; 1031,5; 0,54
0,0; 0,0; 161,6; 2662,63; 1030,3; 0,53
0,0; 0,0; 160,4; 2721,11; 1052,9; 0,54
0,0; 0,0; 159,2; 3190,21; 1234,4; 0,64
0,0; 0,0; 158,0; 2476,08; 958,1; 0,52
0,0; 0,0; 156,8; 3001,85; 1161,6; 0,61
0,0; 0,0; 155,6; 2975,17; 1151,2; 0,59
0,0; 0,0; 154,4; 3064,88; 1185,9; 0,61
0,0; 0,0; 153,2; 3040,78; 1176,6; 0,60
0,0; 0,0; 152,0; 2579,45; 998,1; 0,54
0,0; 0,0; 150,8; 2882,35; 1115,3; 0,58
0,0; 0,0; 149,6; 2765,25; 1070,0; 0,55
0,0; 0,0; 148,4; 2894,40; 1120,0; 0,57
0,0; 0,0; 147,2; 2800,69; 1083,7; 0,55
0,0; 0,0; 146,0; 2870,76; 1110,8; 0,61
0,0; 0,0; 144,8; 3114,26; 1205,1; 0,62
0,0; 0,0; 143,6; 2970,45; 1149,4; 0,64
0,0; 0,0; 142,4; 3050,87; 1180,5; 0,60
0,0; 0,0; 141,1; 2850,34; 1102,9; 0,61
0,0; 0,0; 140,0; 3137,38; 1214,0; 0,67
0,0; 0,0; 138,7; 3188,24; 1233,7; 0,64
0,0; 0,0; 137,5; 3224,71; 1247,8; 0,64
0,0; 0,0; 136,3; 3262,96; 1262,6; 0,65
0,0; 0,0; 135,1; 3364,43; 1301,9; 0,67
0,0; 0,0; 133,9; 2913,49; 1127,4; 0,62
0,0; 0,0; 132,7; 3247,96; 1256,8; 0,65
0,0; 0,0; 131,5; 3088,00; 1194,9; 0,66
0,0; 0,0; 130,3; 3475,34; 1344,8; 0,69
0,0; 0,0; 129,1; 3315,26; 1282,8; 0,66
0,0; 0,0; 127,9; 3106,31; 1202,0; 0,66
0,0; 0,0; 126,7; 3239,82; 1253,6; 0,64
0,0; 0,0; 125,5; 3383,30; 1309,2; 0,67
0,0; 0,0; 124,3; 3479,39; 1346,3; 0,69
0,0; 0,0; 123,1; 3391,50; 1312,3; 0,72
0,0; 0,0; 121,9; 3218,63; 1245,4; 0,68
0,0; 0,0; 120,7; 3467,46; 1341,7; 0,69
0,0; 0,0; 119,5; 3497,88; 1353,5; 0,69
0,0; 0,0; 118,3; 3699,86; 1431,7; 0,73
0,0; 0,0; 117,1; 3695,10; 1429,8; 0,73
0,0; 0,0; 115,9; 3498,57; 1353,8; 0,74
0,0; 0,0; 114,7; 3606,11; 1395,4; 0,72
0,0; 0,0; 113,5; 3628,67; 1404,1; 0,72
0,0; 0,0; 112,3; 3828,38; 1481,4; 0,76
0,0; 0,0; 111,1; 3939,73; 1524,5; 0,78
0,0; 0,0; 109,9; 3716,55; 1438,1; 0,79
0,0; 0,0; 108,7; 3911,61; 1513,6; 0,78
0,0; 0,0; 107,5; 3758,52; 1454,3; 0,75
0,0; 0,0; 106,3; 4041,98; 1564,0; 0,81
0,0; 0,0; 105,0; 4055,85; 1569,4; 0,81
0,0; 0,0; 103,9; 3740,54; 1447,4; 0,80
0,0; 0,0; 102,6; 3972,11; 1537,0; 0,80
0,0; 0,0; 101,4; 3737,22; 1446,1; 0,75
0,0; 0,0; 100,2; 4103,88; 1588,0; 0,82
0,0; 0,0; 99,0; 3903,05; 1510,3; 0,78
0,0; 0,0; 97,8; 3755,53; 1453,2; 0,81
0,0; 0,0; 96,6; 4085,04; 1580,7; 0,82
0,0; 0,0; 95,4; 4341,53; 1679,9; 0,87
0,0; 0,0; 94,2; 4402,77; 1703,6; 0,88
0,0; 0,0; 93,0; 4508,66; 1744,6; 0,91
0,0; 0,0; 91,8; 4094,32; 1584,3; 0,89
0,0; 0,0; 90,6; 4491,04; 1737,8; 0,90
0,0; 0,0; 89,4; 4610,43; 1784,0; 0,93
0,0; 0,0; 88,2; 4384,60; 1696,6; 0,87
0,0; 0,0; 87,0; 4220,29; 1633,0; 0,91
0,0; 0,0; 85,8; 4209,78; 1629,0; 0,90
0,0; 0,0; 84,6; 4722,24; 1827,3; 0,95
0,0; 0,0; 83,4; 4311,76; 1668,4; 0,94
0,0; 0,0; 82,2; 4823,45; 1866,4; 0,96
0,0; 0,0; 81,0; 4596,21; 1778,5; 0,92
0,0; 0,0; 79,8; 4634,62; 1793,4; 0,99
0,0; 0,0; 78,5; 4732,52; 1831,2; 0,96
0,0; 0,0; 77,3; 4284,49; 1657,9; 0,93
0,0; 0,0; 76,1; 4763,44; 1843,2; 0,95
0,0; 0,0; 74,9; 4956,22; 1917,8; 0,99
0,0; 0,0; 73,7; 4635,44; 1793,7; 1,00
0,0; 0,0; 72,5; 4958,27; 1918,6; 1,00
0,0; 0,0; 71,3; 4873,78; 1885,9; 0,97
0,0; 0,0; 70,1; 4843,09; 1874,0; 0,98
0,0; 0,0; 68,9; 4599,51; 1779,8; 0,99
0,0; 0,0; 67,7; 4722,46; 1827,3; 1,02
0,0; 0,0; 66,5; 4990,09; 1930,9; 1,00
0,0; 0,0; 65,3; 4714,20; 1824,2; 1,02
0,0; 0,0; 64,0; 5024,93; 1944,4; 1,02
0,0; 0,0; 62,8; 4982,41; 1927,9; 1,06
0,0; 0,0; 61,6; 4858,93; 1880,2; 1,05
0,0; 0,0; 60,4; 5674,96; 2195,9; 1,13
0,0; 0,0; 59,2; 5136,97; 1987,7; 1,12
0,0; 0,0; 58,0; 5854,23; 2265,3; 1,20
0,0; 0,0; 56,8; 5190,22; 2008,3; 1,11
0,0; 0,0; 55,6; 5383,34; 2083,1; 1,15
0,0; 0,0; 54,4; 5733,29; 2218,5; 1,15
0,0; 0,0; 53,2; 5192,29; 2009,1; 1,14
0,0; 0,0; 52,0; 5944,40; 2300,2; 1,25
0,0; 0,0; 50,8; 6620,87; 2561,9; 1,40
0,0; 0,0; 49,6; 7941,64; 3073,0; 1,67
0,0; 0,0; 48,3; 10960,95; 4241,3; 2,21
0,0; 0,0; 47,1; 16073,77; 6219,7; 3,25
0,0; 0,0; 45,9; 23518,98; 9100,6; 4,97
0,0; 0,0; 44,7; 35251,50; 13640,5; 7,46
