Measurement time:; 20/10/2023 19:35:36
Radiation device:; Clinac3 Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 240 x 240 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 222,5; 21,0; 590,17; 228,4; 0,12
0,0; 221,6; 21,0; 974,29; 377,0; 0,20
0,0; 220,1; 21,0; 1009,88; 390,8; 0,20
0,0; 219,1; 21,0; 1109,76; 429,4; 0,23
0,0; 217,9; 21,0; 1307,08; 505,8; 0,25
0,0; 216,7; 21,0; 862,88; 333,9; 0,17
0,0; 215,4; 21,0; 947,37; 366,6; 0,20
0,0; 214,3; 21,0; 1031,36; 399,1; 0,20
0,0; 213,0; 21,0; 1002,99; 388,1; 0,21
0,0; 211,8; 21,0; 1186,90; 459,3; 0,23
0,0; 210,6; 21,0; 1112,70; 430,6; 0,22
0,0; 209,4; 21,0; 1189,77; 460,4; 0,25
0,0; 208,2; 21,0; 1219,89; 472,0; 0,24
0,0; 207,0; 21,0; 1291,23; 499,6; 0,25
0,0; 205,8; 21,0; 1439,42; 557,0; 0,28
0,0; 204,6; 21,0; 1075,92; 416,3; 0,21
0,0; 203,4; 21,0; 1172,93; 453,9; 0,24
0,0; 202,2; 21,0; 1257,02; 486,4; 0,25
0,0; 201,0; 21,0; 1246,87; 482,5; 0,26
0,0; 199,8; 21,0; 1182,63; 457,6; 0,23
0,0; 198,6; 21,0; 1323,89; 512,3; 0,26
0,0; 197,4; 21,0; 1444,81; 559,1; 0,30
0,0; 196,2; 21,0; 1365,73; 528,5; 0,27
0,0; 195,0; 21,0; 1293,47; 500,5; 0,27
0,0; 193,8; 21,0; 1495,28; 578,6; 0,29
