Measurement time:; 20/10/2023 19:54:36
Radiation device:; Clinac3 Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; ROOS
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 140 x 140 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 200,0; 87,05; 712,8; 0,19
0,0; 0,0; 199,1; 121,93; 998,4; 0,17
0,0; 0,0; 197,6; 132,69; 1086,5; 0,18
0,0; 0,0; 196,6; 138,50; 1134,1; 0,19
0,0; 0,0; 195,3; 121,05; 991,2; 0,16
0,0; 0,0; 194,1; 136,09; 1114,4; 0,18
0,0; 0,0; 193,0; 143,14; 1172,1; 0,20
0,0; 0,0; 191,7; 145,79; 1193,7; 0,20
0,0; 0,0; 190,5; 148,92; 1219,4; 0,19
0,0; 0,0; 189,3; 132,67; 1086,4; 0,18
0,0; 0,0; 188,1; 121,00; 990,8; 0,16
0,0; 0,0; 186,9; 150,37; 1231,3; 0,20
0,0; 0,0; 185,7; 146,57; 1200,2; 0,20
0,0; 0,0; 184,5; 150,27; 1230,4; 0,19
0,0; 0,0; 183,3; 149,33; 1222,8; 0,20
0,0; 0,0; 182,1; 142,08; 1163,4; 0,19
0,0; 0,0; 180,9; 145,00; 1187,3; 0,19
0,0; 0,0; 179,7; 135,86; 1112,4; 0,19
0,0; 0,0; 178,5; 158,58; 1298,5; 0,20
0,0; 0,0; 177,3; 162,91; 1334,0; 0,22
0,0; 0,0; 176,1; 150,03; 1228,5; 0,20
0,0; 0,0; 174,9; 146,82; 1202,2; 0,19
0,0; 0,0; 173,6; 150,35; 1231,1; 0,21
0,0; 0,0; 172,5; 156,19; 1278,9; 0,20
0,0; 0,0; 171,2; 152,71; 1250,4; 0,21
0,0; 0,0; 170,0; 161,42; 1321,7; 0,22
0,0; 0,0; 168,8; 169,75; 1389,9; 0,22
0,0; 0,0; 167,6; 153,26; 1254,9; 0,21
0,0; 0,0; 166,4; 171,93; 1407,8; 0,22
0,0; 0,0; 165,2; 161,16; 1319,6; 0,22
0,0; 0,0; 164,0; 144,46; 1182,9; 0,20
0,0; 0,0; 162,8; 169,36; 1386,7; 0,22
0,0; 0,0; 161,6; 166,44; 1362,9; 0,23
0,0; 0,0; 160,4; 181,80; 1488,6; 0,24
0,0; 0,0; 159,2; 158,78; 1300,1; 0,22
0,0; 0,0; 158,0; 163,13; 1335,7; 0,23
0,0; 0,0; 156,8; 178,15; 1458,7; 0,23
0,0; 0,0; 155,6; 157,17; 1286,9; 0,22
0,0; 0,0; 154,4; 183,15; 1499,7; 0,24
0,0; 0,0; 153,2; 171,06; 1400,7; 0,23
0,0; 0,0; 152,0; 157,08; 1286,2; 0,22
0,0; 0,0; 150,8; 170,91; 1399,5; 0,23
0,0; 0,0; 149,6; 176,96; 1449,0; 0,25
0,0; 0,0; 148,4; 188,40; 1542,7; 0,25
0,0; 0,0; 147,1; 178,40; 1460,8; 0,24
0,0; 0,0; 146,0; 182,50; 1494,3; 0,26
0,0; 0,0; 144,8; 199,11; 1630,4; 0,26
0,0; 0,0; 143,6; 165,31; 1353,6; 0,23
0,0; 0,0; 142,4; 176,46; 1444,9; 0,24
0,0; 0,0; 141,2; 186,29; 1525,4; 0,25
0,0; 0,0; 139,9; 176,02; 1441,3; 0,25
0,0; 0,0; 138,7; 182,77; 1496,6; 0,24
0,0; 0,0; 137,5; 173,64; 1421,8; 0,24
0,0; 0,0; 136,3; 175,62; 1438,1; 0,24
0,0; 0,0; 135,1; 203,93; 1669,8; 0,27
0,0; 0,0; 133,9; 189,77; 1553,9; 0,27
0,0; 0,0; 132,7; 202,45; 1657,7; 0,26
0,0; 0,0; 131,5; 192,95; 1579,9; 0,27
0,0; 0,0; 130,3; 201,55; 1650,4; 0,28
0,0; 0,0; 129,1; 225,29; 1844,7; 0,30
0,0; 0,0; 127,9; 198,55; 1625,8; 0,28
0,0; 0,0; 126,7; 237,07; 1941,2; 0,31
0,0; 0,0; 125,5; 206,44; 1690,4; 0,29
0,0; 0,0; 124,3; 219,89; 1800,5; 0,29
0,0; 0,0; 123,1; 227,10; 1859,5; 0,32
0,0; 0,0; 121,9; 197,54; 1617,5; 0,28
0,0; 0,0; 120,7; 233,07; 1908,5; 0,30
0,0; 0,0; 119,5; 214,12; 1753,3; 0,30
0,0; 0,0; 118,3; 221,96; 1817,4; 0,29
0,0; 0,0; 117,1; 241,93; 1981,0; 0,34
0,0; 0,0; 115,9; 219,74; 1799,3; 0,29
0,0; 0,0; 114,7; 232,20; 1901,3; 0,32
0,0; 0,0; 113,5; 227,79; 1865,2; 0,32
0,0; 0,0; 112,3; 238,95; 1956,6; 0,31
0,0; 0,0; 111,1; 224,99; 1842,3; 0,32
0,0; 0,0; 109,9; 218,65; 1790,3; 0,31
0,0; 0,0; 108,7; 252,81; 2070,1; 0,33
0,0; 0,0; 107,5; 236,42; 1935,8; 0,33
0,0; 0,0; 106,3; 267,70; 2192,0; 0,35
0,0; 0,0; 105,1; 244,14; 1999,1; 0,34
0,0; 0,0; 103,9; 252,16; 2064,7; 0,36
0,0; 0,0; 102,7; 277,37; 2271,2; 0,36
0,0; 0,0; 101,5; 258,47; 2116,4; 0,37
0,0; 0,0; 100,3; 247,81; 2029,1; 0,35
0,0; 0,0; 99,1; 276,10; 2260,7; 0,37
0,0; 0,0; 97,9; 261,02; 2137,3; 0,37
0,0; 0,0; 96,6; 279,42; 2288,0; 0,37
0,0; 0,0; 95,4; 262,74; 2151,4; 0,37
0,0; 0,0; 94,2; 264,49; 2165,8; 0,37
0,0; 0,0; 93,0; 280,24; 2294,7; 0,37
