Measurement time:; 20/10/2023 20:10:20
Radiation device:; Clinac3 Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; ROOS
SAD:; 1000 mm
SSD:; 1050 mm
Field size:; 140 x 140 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 200,0; 23,28; 2098,1; 0,30
0,0; 0,0; 199,1; 23,21; 2091,5; 0,38
0,0; 0,0; 197,6; 23,36; 2105,6; 0,38
0,0; 0,0; 196,6; 23,92; 2155,4; 0,40
0,0; 0,0; 195,3; 23,91; 2155,3; 0,40
0,0; 0,0; 194,1; 23,79; 2144,5; 0,40
0,0; 0,0; 192,9; 24,52; 2210,1; 0,40
0,0; 0,0; 191,7; 25,84; 2329,2; 0,41
0,0; 0,0; 190,5; 23,10; 2081,6; 0,39
0,0; 0,0; 189,3; 24,21; 2181,6; 0,40
0,0; 0,0; 188,1; 23,29; 2098,8; 0,39
0,0; 0,0; 186,9; 25,85; 2329,6; 0,41
0,0; 0,0; 185,7; 24,59; 2216,5; 0,39
0,0; 0,0; 184,5; 25,34; 2283,6; 0,42
0,0; 0,0; 183,3; 24,64; 2220,9; 0,41
0,0; 0,0; 182,1; 25,11; 2263,0; 0,42
0,0; 0,0; 180,9; 27,32; 2462,1; 0,43
0,0; 0,0; 179,7; 25,88; 2332,7; 0,42
0,0; 0,0; 178,5; 26,62; 2399,4; 0,44
0,0; 0,0; 177,2; 26,47; 2385,6; 0,43
0,0; 0,0; 176,0; 25,39; 2288,5; 0,43
0,0; 0,0; 174,9; 27,34; 2464,3; 0,43
0,0; 0,0; 173,6; 26,85; 2420,3; 0,44
0,0; 0,0; 172,4; 27,80; 2505,2; 0,45
0,0; 0,0; 171,2; 26,18; 2359,2; 0,44
0,0; 0,0; 170,1; 26,58; 2395,5; 0,45
0,0; 0,0; 168,8; 29,31; 2641,3; 0,47
0,0; 0,0; 167,6; 28,45; 2564,3; 0,47
0,0; 0,0; 166,4; 29,36; 2646,1; 0,48
0,0; 0,0; 165,2; 28,12; 2534,0; 0,48
0,0; 0,0; 164,0; 27,49; 2477,5; 0,47
0,0; 0,0; 162,8; 30,33; 2733,3; 0,48
0,0; 0,0; 161,6; 29,46; 2655,6; 0,49
0,0; 0,0; 160,4; 29,21; 2632,4; 0,48
0,0; 0,0; 159,2; 28,91; 2605,6; 0,50
0,0; 0,0; 158,0; 29,26; 2637,0; 0,50
0,0; 0,0; 156,8; 31,24; 2816,0; 0,50
0,0; 0,0; 155,6; 29,98; 2701,7; 0,50
0,0; 0,0; 154,4; 31,35; 2825,1; 0,51
0,0; 0,0; 153,2; 30,12; 2715,1; 0,49
0,0; 0,0; 152,0; 30,19; 2720,7; 0,52
0,0; 0,0; 150,8; 30,25; 2726,8; 0,51
0,0; 0,0; 149,6; 33,78; 3044,8; 0,53
0,0; 0,0; 148,4; 31,92; 2876,5; 0,52
0,0; 0,0; 147,2; 31,19; 2811,0; 0,52
0,0; 0,0; 146,0; 32,13; 2895,5; 0,53
0,0; 0,0; 144,8; 34,76; 3133,1; 0,56
0,0; 0,0; 143,6; 31,10; 2802,7; 0,53
0,0; 0,0; 142,4; 33,72; 3039,1; 0,54
0,0; 0,0; 141,1; 33,90; 3054,9; 0,56
0,0; 0,0; 140,0; 34,29; 3090,6; 0,57
0,0; 0,0; 138,7; 33,82; 3048,1; 0,58
0,0; 0,0; 137,5; 35,66; 3213,9; 0,56
0,0; 0,0; 136,3; 37,06; 3340,3; 0,60
0,0; 0,0; 135,1; 33,93; 3058,0; 0,58
0,0; 0,0; 133,9; 33,52; 3021,0; 0,58
0,0; 0,0; 132,7; 36,93; 3328,4; 0,59
0,0; 0,0; 131,5; 34,33; 3094,5; 0,58
0,0; 0,0; 130,3; 36,63; 3301,1; 0,59
0,0; 0,0; 129,1; 33,97; 3061,8; 0,58
0,0; 0,0; 127,9; 32,98; 2972,6; 0,57
0,0; 0,0; 126,7; 38,50; 3469,9; 0,61
0,0; 0,0; 125,5; 36,12; 3255,4; 0,62
0,0; 0,0; 124,3; 35,77; 3224,0; 0,61
0,0; 0,0; 123,1; 38,77; 3494,3; 0,62
0,0; 0,0; 121,9; 36,46; 3285,8; 0,62
0,0; 0,0; 120,7; 40,12; 3615,6; 0,64
0,0; 0,0; 119,5; 37,79; 3406,2; 0,65
0,0; 0,0; 118,3; 39,41; 3551,6; 0,63
0,0; 0,0; 117,1; 37,41; 3371,6; 0,64
0,0; 0,0; 115,9; 38,52; 3471,8; 0,66
0,0; 0,0; 114,7; 41,99; 3784,8; 0,67
0,0; 0,0; 113,5; 37,69; 3397,0; 0,65
0,0; 0,0; 112,3; 39,42; 3552,8; 0,63
0,0; 0,0; 111,1; 39,69; 3577,3; 0,69
0,0; 0,0; 109,9; 38,89; 3505,4; 0,67
0,0; 0,0; 108,7; 42,36; 3818,1; 0,68
0,0; 0,0; 107,4; 39,58; 3567,1; 0,69
0,0; 0,0; 106,3; 44,29; 3992,1; 0,72
0,0; 0,0; 105,0; 40,39; 3640,0; 0,69
0,0; 0,0; 103,9; 43,33; 3904,9; 0,70
0,0; 0,0; 102,6; 42,80; 3857,8; 0,75
0,0; 0,0; 101,4; 44,10; 3974,8; 0,70
0,0; 0,0; 100,3; 42,68; 3846,2; 0,70
0,0; 0,0; 99,0; 42,63; 3842,5; 0,73
0,0; 0,0; 97,9; 42,47; 3827,6; 0,74
0,0; 0,0; 96,6; 45,57; 4107,4; 0,74
0,0; 0,0; 95,4; 46,13; 4158,0; 0,74
