Measurement time:; 20/10/2023 20:17:17
Radiation device:; Clinac3 Accelerator
Energy:; 9 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; ROOS
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1100 mm
Field size:; 140 x 140 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 200,0; 0,36; 1596,4; 0,29
0,0; 0,0; 199,1; 0,47; 2079,8; 0,41
0,0; 0,0; 197,6; 0,40; 1764,3; 0,38
0,0; 0,0; 196,6; 0,46; 2020,1; 0,39
0,0; 0,0; 195,3; 0,43; 1893,9; 0,39
0,0; 0,0; 194,1; 0,47; 2078,9; 0,41
0,0; 0,0; 193,0; 0,49; 2166,3; 0,42
0,0; 0,0; 191,7; 0,43; 1878,4; 0,39
0,0; 0,0; 190,5; 0,50; 2219,2; 0,43
0,0; 0,0; 189,3; 0,45; 1980,6; 0,41
0,0; 0,0; 188,1; 0,49; 2177,6; 0,42
0,0; 0,0; 186,9; 0,49; 2145,1; 0,41
0,0; 0,0; 185,7; 0,49; 2140,5; 0,44
0,0; 0,0; 184,5; 0,50; 2200,6; 0,42
0,0; 0,0; 183,3; 0,46; 2030,4; 0,42
0,0; 0,0; 182,1; 0,52; 2288,3; 0,44
0,0; 0,0; 180,9; 0,49; 2145,5; 0,41
0,0; 0,0; 179,7; 0,47; 2070,7; 0,43
0,0; 0,0; 178,5; 0,52; 2302,8; 0,44
0,0; 0,0; 177,3; 0,49; 2146,2; 0,44
0,0; 0,0; 176,1; 0,52; 2286,9; 0,44
0,0; 0,0; 174,8; 0,54; 2392,6; 0,46
0,0; 0,0; 173,6; 0,50; 2214,3; 0,46
0,0; 0,0; 172,4; 0,53; 2344,0; 0,45
0,0; 0,0; 171,3; 0,53; 2333,5; 0,48
0,0; 0,0; 170,0; 0,52; 2293,0; 0,44
0,0; 0,0; 168,8; 0,52; 2302,0; 0,48
0,0; 0,0; 167,6; 0,50; 2197,2; 0,46
0,0; 0,0; 166,4; 0,56; 2486,1; 0,49
0,0; 0,0; 165,2; 0,52; 2305,2; 0,48
0,0; 0,0; 164,0; 0,55; 2436,2; 0,47
0,0; 0,0; 162,8; 0,54; 2361,1; 0,49
0,0; 0,0; 161,6; 0,54; 2401,7; 0,51
0,0; 0,0; 160,4; 0,58; 2572,9; 0,50
0,0; 0,0; 159,2; 0,54; 2401,2; 0,51
0,0; 0,0; 158,0; 0,51; 2268,8; 0,48
0,0; 0,0; 156,8; 0,62; 2744,0; 0,54
0,0; 0,0; 155,6; 0,52; 2313,1; 0,49
0,0; 0,0; 154,4; 0,62; 2714,3; 0,53
0,0; 0,0; 153,2; 0,57; 2530,7; 0,53
0,0; 0,0; 152,0; 0,56; 2489,2; 0,53
0,0; 0,0; 150,8; 0,65; 2867,7; 0,56
0,0; 0,0; 149,5; 0,58; 2545,5; 0,54
0,0; 0,0; 148,3; 0,60; 2665,5; 0,52
0,0; 0,0; 147,1; 0,60; 2631,2; 0,56
0,0; 0,0; 145,9; 0,62; 2756,4; 0,57
0,0; 0,0; 144,7; 0,64; 2832,1; 0,57
0,0; 0,0; 143,5; 0,60; 2644,2; 0,56
0,0; 0,0; 142,3; 0,67; 2940,0; 0,57
0,0; 0,0; 141,1; 0,62; 2733,7; 0,58
0,0; 0,0; 139,9; 0,62; 2732,2; 0,56
0,0; 0,0; 138,7; 0,64; 2817,8; 0,57
0,0; 0,0; 137,5; 0,62; 2739,7; 0,58
0,0; 0,0; 136,3; 0,68; 2993,5; 0,59
0,0; 0,0; 135,1; 0,65; 2854,2; 0,60
0,0; 0,0; 133,9; 0,65; 2877,7; 0,60
0,0; 0,0; 132,7; 0,70; 3094,2; 0,61
0,0; 0,0; 131,5; 0,64; 2828,8; 0,60
0,0; 0,0; 130,3; 0,73; 3206,2; 0,63
0,0; 0,0; 129,1; 0,66; 2915,1; 0,61
0,0; 0,0; 127,9; 0,64; 2805,9; 0,59
0,0; 0,0; 126,7; 0,72; 3161,3; 0,62
0,0; 0,0; 125,5; 0,68; 2990,2; 0,63
0,0; 0,0; 124,3; 0,75; 3289,7; 0,66
0,0; 0,0; 123,0; 0,69; 3057,9; 0,63
0,0; 0,0; 121,9; 0,71; 3115,1; 0,66
0,0; 0,0; 120,7; 0,75; 3296,3; 0,64
0,0; 0,0; 119,4; 0,70; 3107,6; 0,66
0,0; 0,0; 118,3; 0,76; 3349,1; 0,67
0,0; 0,0; 117,0; 0,77; 3400,7; 0,70
0,0; 0,0; 115,8; 0,72; 3161,9; 0,67
0,0; 0,0; 114,6; 0,81; 3573,3; 0,69
0,0; 0,0; 113,4; 0,75; 3320,4; 0,70
0,0; 0,0; 112,2; 0,80; 3519,5; 0,70
0,0; 0,0; 111,0; 0,75; 3321,2; 0,69
0,0; 0,0; 109,8; 0,75; 3289,1; 0,69
0,0; 0,0; 108,6; 0,83; 3644,5; 0,72
0,0; 0,0; 107,4; 0,75; 3300,8; 0,71
0,0; 0,0; 106,2; 0,81; 3558,7; 0,73
0,0; 0,0; 105,0; 0,79; 3471,4; 0,71
0,0; 0,0; 103,8; 0,80; 3525,1; 0,74
0,0; 0,0; 102,6; 0,82; 3636,4; 0,73
0,0; 0,0; 101,4; 0,82; 3597,7; 0,76
0,0; 0,0; 100,2; 0,88; 3900,6; 0,78
0,0; 0,0; 99,0; 0,85; 3768,1; 0,75
0,0; 0,0; 97,8; 0,82; 3600,2; 0,76
0,0; 0,0; 96,6; 0,89; 3917,3; 0,78
0,0; 0,0; 95,4; 0,82; 3638,8; 0,78
0,0; 0,0; 94,2; 0,86; 3813,6; 0,79
0,0; 0,0; 93,0; 0,86; 3796,3; 0,79
0,0; 0,0; 91,8; 0,89; 3923,7; 0,82
0,0; 0,0; 90,6; 0,92; 4071,6; 0,81
0,0; 0,0; 89,4; 0,83; 3671,6; 0,78
0,0; 0,0; 88,2; 0,96; 4256,0; 0,84
0,0; 0,0; 87,0; 0,88; 3877,0; 0,83
0,0; 0,0; 85,8; 0,95; 4207,7; 0,84
0,0; 0,0; 84,6; 0,97; 4293,6; 0,85
0,0; 0,0; 83,3; 0,88; 3875,5; 0,83
0,0; 0,0; 82,1; 1,00; 4391,3; 0,86
0,0; 0,0; 80,9; 0,88; 3877,2; 0,84
0,0; 0,0; 79,7; 0,97; 4289,2; 0,87
0,0; 0,0; 78,5; 1,01; 4441,8; 0,86
0,0; 0,0; 77,3; 0,92; 4063,6; 0,87
0,0; 0,0; 76,1; 1,05; 4630,2; 0,92
0,0; 0,0; 74,9; 0,95; 4183,4; 0,90
0,0; 0,0; 73,7; 1,01; 4466,4; 0,89
0,0; 0,0; 72,5; 1,03; 4554,1; 0,91
0,0; 0,0; 71,3; 0,99; 4369,8; 0,93
0,0; 0,0; 70,1; 1,06; 4689,7; 0,94
0,0; 0,0; 68,9; 0,97; 4264,0; 0,92
0,0; 0,0; 67,7; 1,03; 4543,0; 0,92
0,0; 0,0; 66,5; 1,11; 4889,2; 0,94
0,0; 0,0; 65,2; 1,02; 4495,8; 0,95
0,0; 0,0; 64,0; 1,04; 4596,9; 0,98
0,0; 0,0; 62,8; 1,03; 4532,0; 0,96
0,0; 0,0; 61,6; 1,10; 4849,7; 0,98
0,0; 0,0; 60,4; 1,13; 5005,7; 1,00
0,0; 0,0; 59,2; 1,05; 4636,0; 0,98
0,0; 0,0; 58,0; 1,09; 4787,3; 1,01
0,0; 0,0; 56,8; 1,13; 4967,9; 1,06
0,0; 0,0; 55,6; 1,18; 5188,9; 1,04
0,0; 0,0; 54,4; 1,14; 5032,9; 1,05
0,0; 0,0; 53,1; 1,13; 4971,0; 1,03
0,0; 0,0; 52,0; 1,15; 5082,2; 1,07
0,0; 0,0; 50,7; 1,16; 5112,8; 1,09
0,0; 0,0; 49,5; 1,25; 5501,9; 1,11
0,0; 0,0; 48,3; 1,26; 5570,9; 1,17
0,0; 0,0; 47,1; 1,48; 6540,2; 1,34
0,0; 0,0; 45,9; 1,95; 8598,1; 1,74
0,0; 0,0; 44,7; 2,62; 11551,2; 2,44
0,0; 0,0; 43,5; 4,39; 19358,6; 3,87
0,0; 0,0; 42,3; 6,38; 28138,3; 5,96
0,0; 0,0; 41,1; 9,96; 43959,5; 8,96
0,0; 0,0; 39,9; 14,15; 62438,9; 13,32
0,0; 0,0; 38,6; 19,06; 84077,4; 18,19
0,0; 0,0; 37,5; 27,83; 122751,9; 24,40
0,0; 0,0; 36,2; 33,83; 149245,7; 31,65
0,0; 0,0; 35,0; 43,46; 191702,3; 38,56
0,0; 0,0; 33,8; 53,24; 234858,0; 46,57
0,0; 0,0; 32,6; 57,76; 254815,8; 54,16
0,0; 0,0; 31,4; 69,83; 308036,6; 60,94
0,0; 0,0; 30,2; 73,97; 326321,6; 68,72
0,0; 0,0; 29,0; 85,73; 378204,1; 74,64
0,0; 0,0; 27,8; 93,47; 412322,4; 80,38
0,0; 0,0; 26,6; 91,75; 404728,4; 85,95
0,0; 0,0; 25,4; 104,71; 461935,6; 89,23
0,0; 0,0; 24,2; 102,10; 450423,0; 93,35
0,0; 0,0; 23,0; 112,66; 496991,5; 96,29
0,0; 0,0; 21,8; 114,54; 505289,3; 97,92
0,0; 0,0; 20,6; 108,64; 479274,6; 98,93
0,0; 0,0; 19,4; 118,68; 523549,2; 99,80
0,0; 0,0; 18,2; 111,62; 492408,4; 100,00
0,0; 0,0; 16,9; 117,49; 518274,3; 99,74
0,0; 0,0; 15,8; 118,78; 524004,3; 98,96
0,0; 0,0; 14,5; 109,21; 481776,8; 97,68
0,0; 0,0; 13,3; 116,02; 511815,9; 96,63
0,0; 0,0; 12,1; 107,89; 475944,3; 95,11
0,0; 0,0; 10,9; 112,45; 496074,5; 93,95
0,0; 0,0; 9,7; 113,19; 499344,9; 92,71
0,0; 0,0; 8,5; 103,40; 456136,8; 91,44
0,0; 0,0; 7,3; 109,27; 482031,9; 89,86
0,0; 0,0; 6,1; 101,73; 448762,3; 88,69
0,0; 0,0; 4,9; 107,10; 472474,3; 87,60
0,0; 0,0; 3,7; 106,23; 468644,6; 86,26
0,0; 0,0; 2,5; 97,81; 431467,8; 85,45
0,0; 0,0; 1,3; 102,98; 454299,3; 83,87
0,0; 0,0; -0,5; 98,54; 434692,2; 82,39


