 Crossline; Ratio;;Inline; Ratio;; Depth; Ratio
-10;3,09;;10;2,67;;250;21,7
-9,9;3,22;;9,9;2,78;;247;22,19
-9,9;3,42;;9,8;2,86;;244;22,49
-9,7;3,72;;9,7;2,93;;241;22,9
-9,7;3,77;;9,6;3,08;;238;23,4
-9,5;3,95;;9,5;3,17;;235;23,81
-9,5;4,09;;9,4;3,32;;232;24,17
-9,2;4,57;;9,3;3,38;;229;24,76
-9,2;4,6;;9,2;3,51;;226;25,23
-9,2;4,67;;9,1;3,63;;223,1;25,71
-9;4,86;;9;3,79;;220;26,27
-8,7;5,5;;8,9;3,86;;217;26,67
-8,9;5,35;;8,8;4,02;;214;27,3
-8,7;5,88;;8,7;4,24;;211;27,61
-8,7;5,85;;8,6;4,39;;208;28,3
-8,4;6,7;;8,5;4,48;;205;28,82
-8,4;6,56;;8,4;4,79;;202;29,22
-8,3;6,96;;8,3;4,88;;199;29,81
-8,3;7,09;;8,3;5,03;;196;30,42
-8,2;7,47;;8,1;5,32;;193;31,04
-7,9;8,65;;8;5,64;;190;31,52
-7,9;8,59;;7,9;5,83;;187;32,07
-7,7;9,48;;7,8;6,07;;184;32,82
-7,7;9,64;;7,7;6,34;;181;33,39
-7,7;9,88;;7,6;6,76;;178,1;34,16
-7,6;10,33;;7,5;6,97;;175,1;34,75
-7,4;11,94;;7,4;7,33;;172;35,35
-7,4;11,89;;7,3;7,73;;169,1;36,11
-7,2;12,77;;7,2;8,18;;166;36,79
-7,1;13,75;;7,1;8,61;;163;37,6
-7,1;13,99;;7;8,98;;160;38,29
-6,9;16,09;;6,9;9,52;;157;39,19
-6,9;16,29;;6,9;9,91;;154;39,57
-6,6;19,5;;6,7;10,65;;151;40,43
-6,6;19,35;;6,7;11,31;;148;41,27
-6,4;23;;6,6;11,93;;145;41,93
-6,4;22,64;;6,4;12,82;;142;43
-6,4;22,9;;6,3;13,63;;139;43,81
-6,2;25,45;;6,2;14,68;;136;44,48
-6;30,47;;6,1;15,7;;133;45,74
-6;28,98;;6;16,48;;130,1;46,35
-5,9;32,67;;5,9;17,99;;127,1;47,27
-5,9;32,45;;5,8;19,2;;124,1;48,38
-5,7;36,07;;5,7;21,03;;121;49,02
-5,6;38,21;;5,6;22,44;;118;50,19
-5,5;41,42;;5,5;24,27;;115;51,19
-5,4;45,82;;5,4;26,48;;112;52,36
-5,4;45,22;;5,3;28,36;;109;53,26
-5,2;50,77;;5,2;30,82;;106;54,27
-5,2;51,55;;5,1;33,36;;103;55,45
-4,9;57,49;;5;35,84;;100;56,61
-4,9;57,6;;4,9;38,62;;97;57,73
-4,8;60,52;;4,8;42;;94;58,87
-4,7;63,07;;4,7;44,43;;91,1;59,99
-4,6;68,37;;4,6;46,9;;88;61,28
-4,6;67,77;;4,5;49,98;;85;62,38
-4,4;71,2;;4,4;52,94;;82,1;63,81
-4,3;73,55;;4,3;55,7;;79;65,17
-4,2;77,67;;4,2;58,43;;76;66,53
-4,1;78,24;;4,1;61,62;;73;67,97
-4;80,61;;4,1;64,62;;70;69,3
-4;81,47;;3,9;67,21;;67;70,71
-3,8;86,02;;3,8;70,03;;64;72,15
-3,8;85,26;;3,7;72,54;;61;74
-3,6;87,53;;3,6;74,82;;58;75,09
-3,6;87,95;;3,5;77,16;;54,9;76,64
-3,3;90,22;;3,4;79,32;;51,9;78,42
-3,3;90,28;;3,3;81,26;;48,9;80,1
-3,3;90,95;;3,2;83,29;;45,9;81,73
-3,1;92,5;;3,1;84,64;;42,9;83,37
-3,1;92,9;;3;86,2;;39,9;85,03
-3;93,57;;2,9;87,73;;36,9;86,87
-2,8;94,58;;2,9;88,78;;33,9;88,85
-2,7;94,45;;2,8;90,07;;30,9;90,46
-2,7;94,62;;2,7;90,72;;27,9;92,5
-2,6;95,36;;2,6;92,01;;24,9;94,41
-2,4;96,33;;2,5;92,74;;21,9;96,31
-2,4;95,95;;2,3;93,57;;20;97,49
-2,2;96,73;;2,2;94,26;;20;97,68
-2,1;96,82;;2,2;94,84;;19,9;97,62
-2;97,32;;2,1;95,75;;19,8;97,5
-2;97,35;;2;95,72;;19,7;97,66
-1,8;97,65;;1,9;96,21;;19,6;97,64
-1,8;97,52;;1,8;96,64;;19,5;97,87
-1,7;98,34;;1,6;97,25;;19,3;98,02
-1,4;98,79;;1,5;97,69;;19,3;97,92
-1,4;98,45;;1,5;97,29;;19,1;98,1
-1,3;98,93;;1,4;97,89;;19;97,98
-1,2;98,59;;1,3;98,27;;19;98,3
-1,1;99,15;;1,1;98,74;;18,9;98,24
-1;99,02;;1,1;98,87;;18,8;98,14
-0,9;99,29;;0,9;98,95;;18,6;98,23
-0,8;98,93;;0,8;98,79;;18,5;98,59
-0,8;99,16;;0,7;99,32;;18,4;98,52
-0,6;99,25;;0,7;99,49;;18,4;98,52
-0,6;99,32;;0,6;99,54;;18,2;98,36
-0,3;99,25;;0,4;99,27;;18,1;98,5
-0,4;99,47;;0,4;99,19;;18;98,73
-0,2;99,43;;0,3;99,56;;17,9;98,54
-0,2;99,36;;0,2;99,57;;17,9;98,7
0;99,45;;0;99,78;;17,7;98,9
0;99,39;;-0,1;99,52;;17,6;98,99
0,2;99,46;;-0,2;100,07;;17,5;98,85
0,3;99,59;;-0,3;99,79;;17,4;98,89
0,3;99,49;;-0,4;99,72;;17,3;99,2
0,5;99,51;;-0,4;100,16;;17,2;99,17
0,6;99,21;;-0,5;99,81;;17,1;99,15
0,6;99,05;;-0,8;99,34;;17;99,05
0,8;99,12;;-0,8;99,38;;17;99,12
0,8;99,41;;-1;99,38;;16,8;99,22
1;98,89;;-1;99,32;;16,7;99,51
1;99,17;;-1;99,07;;16,7;99,38
1,1;98,76;;-1,2;99;;16,5;99,45
1,3;98,54;;-1,2;99,01;;16,4;99,49
1,3;98,75;;-1,5;98,4;;16,3;99,54
1,5;98,38;;-1,5;98,55;;16,3;99,8
1,6;98,23;;-1,5;98,18;;16,2;99,55
1,7;97,71;;-1,6;97,82;;16;99,64
1,8;97,78;;-1,7;97,66;;16;99,7
1,8;97,63;;-1,9;97,51;;15,9;99,75
2;97,05;;-2;96,83;;15,7;99,8
2,1;96,96;;-2,1;96,88;;15,7;100,12
2,2;96,43;;-2,1;96,47;;15,5;100,03
2,3;96,32;;-2,2;96,08;;15,5;100,02
2,4;95,91;;-2,3;95,61;;15,4;100,18
2,5;95,75;;-2,5;95,23;;15,2;100,16
2,6;94,95;;-2,6;94,92;;15,1;100,21
2,7;94,4;;-2,6;94,09;;15,1;100,16
2,8;94,4;;-2,9;92,14;;14,9;100,37
2,8;93,48;;-2,9;92,69;;14,8;99,85
3;92,53;;-2,9;92,11;;14,7;100,34
3;92,55;;-3;91,36;;14,7;100,28
3,2;91,32;;-3,1;90,4;;14,5;100,36
3,2;91,26;;-3,2;89,13;;14,5;100,37
3,3;90,26;;-3,4;87,74;;14,3;100,33
3,4;89,27;;-3,4;86,92;;14,2;100,46
3,7;86,8;;-3,5;85,2;;14,1;99,99
3,7;87,22;;-3,6;83,71;;14;100,2
3,8;84,47;;-3,8;81,74;;13,9;100,55
3,9;84,71;;-3,9;79,66;;13,8;100,42
4;83;;-4;77,28;;13,7;100,53
4,1;81,22;;-4;75,93;;13,6;100,44
4,2;80,15;;-4,2;72,09;;13,5;100,64
4,3;78,95;;-4,2;70,72;;13,4;100,62
4,3;77,14;;-4,4;67,18;;13,3;100,55
4,5;74,49;;-4,4;65,29;;13,2;100,73
4,6;72,26;;-4,6;61,19;;13,1;100,67
4,6;71,89;;-4,7;58,92;;13;100,81
4,7;69;;-4,8;54,93;;12,9;100,94
4,8;66,73;;-4,8;53,35;;12,8;100,91
4,9;64,26;;-4,9;50,18;;12,8;100,64
5;59,72;;-5;47,11;;12,6;100,76
5,1;59,07;;-5,2;42,05;;12,5;101,06
5,2;55,59;;-5,3;41,37;;12,5;100,93
5,4;52,47;;-5,4;38,05;;12,3;100,78
5,4;51,77;;-5,5;35,19;;12,2;100,72
5,5;47,36;;-5,6;32,02;;12,1;100,89
5,6;45,03;;-5,6;30,9;;12;101,03
5,7;42,41;;-5,9;25,03;;11,9;100,81
5,9;38,93;;-5,9;25;;11,8;100,89
5,9;36,2;;-6,1;21,37;;11,7;100,8
6,1;33,03;;-6,1;21,39;;11,6;100,91
6,1;32,37;;-6,1;20,77;;11,5;100,95
6,3;28,85;;-6,3;18,74;;11,4;100,85
6,4;25,7;;-6,4;17,06;;11,3;100,83
6,4;25,58;;-6,4;16,49;;11,2;100,72
6,6;22,53;;-6,6;14,67;;11,1;100,53
6,7;20,89;;-6,7;14,04;;11;100,79
6,8;19,36;;-6,7;13,3;;10,9;100,47
6,8;18,19;;-6,9;11,98;;10,8;100,75
7;16,33;;-6,9;11,54;;10,7;100,56
7;16,03;;-7,2;10,22;;10,6;100,67
7,2;13,99;;-7,2;10,03;;10,5;100,55
7,2;13,91;;-7,3;9,4;;10,4;100,2
7,4;12,53;;-7,4;9,02;;10,3;100,31
7,4;11,72;;-7,4;8,58;;10,2;100,42
7,6;10,98;;-7,6;8,07;;10,2;100,53
7,7;10,53;;-7,6;7,78;;10;100,16
7,7;9,86;;-7,8;7,26;;9,9;100,09
7,9;9,16;;-7,9;6,89;;9,8;99,93
7,9;8,94;;-7,9;6,71;;9,7;99,94
8,1;8,08;;-8,1;6,27;;9,6;100
8,1;7,97;;-8,1;6,11;;9,5;99,52
8,3;7,49;;-8,3;5,69;;9,4;99,87
8,4;7,1;;-8,3;5,61;;9,3;99,4
8,5;6,57;;-8,4;5,33;;9,2;99,42
8,5;6,52;;-8,6;5,06;;9,1;99,35
8,7;5,98;;-8,6;4,94;;9;99,25
8,8;5,68;;-8,8;4,64;;8,9;99,15
8,8;5,69;;-8,8;4,62;;8,8;99,35
9;5,4;;-9;4,4;;8,7;99,04
9,1;5,06;;-9;4,09;;8,6;98,97
9,1;4,9;;-9,2;3,98;;8,5;98,7
9,3;4,66;;-9,4;3,67;;8,4;98,72
9,4;4,53;;-9,4;3,72;;8,3;98,49
9,4;4,4;;-9,5;3,59;;8,2;98,31
9,6;4,1;;-9,5;3,43;;8,1;97,85
9,6;3,97;;-9,6;3,33;;8;97,72
9,7;3,83;;-9,7;3,2;;7,9;97,92
9,8;3,74;;-9,9;3,04;;7,8;97,1
10;3,48;;-10;3,01;;7,7;97,56
;;;;;;7,6;96,92
;;;;;;7,5;96,98
;;;;;;7,4;96,77
;;;;;;7,3;96,43
;;;;;;7,2;96,51
;;;;;;7,1;95,63
;;;;;;7;96,04
;;;;;;6,9;95,31
;;;;;;6,8;95,21
;;;;;;6,7;94,92
;;;;;;6,6;94,47
;;;;;;6,5;94,58
;;;;;;6,4;93,98
;;;;;;6,3;93,5
;;;;;;6,2;93,35
;;;;;;6,1;92,98
;;;;;;6;92,34
;;;;;;5,9;92,09
;;;;;;5,8;92,03
;;;;;;5,7;91,32
;;;;;;5,6;90,81
;;;;;;5,5;90,47
;;;;;;5,4;90,02
;;;;;;5,3;89,35
;;;;;;5,3;89,18
;;;;;;5,1;88,42
;;;;;;5;88,07
;;;;;;4,9;87,49
;;;;;;4,8;87,1
;;;;;;4,7;86,03
;;;;;;4,6;85,68
;;;;;;4,5;85,07
;;;;;;4,4;84,45
;;;;;;4,3;83,8
;;;;;;4,2;83,06
;;;;;;4,1;82,38
;;;;;;4;81,71
;;;;;;3,9;81,07
;;;;;;3,8;80,09
;;;;;;3,7;79,44
;;;;;;3,6;78,38
;;;;;;3,5;77,64
;;;;;;3,4;76,66
;;;;;;3,3;75,46
;;;;;;3,2;74,69
;;;;;;3,1;73,69
;;;;;;3;72,68
;;;;;;2,9;71,72
;;;;;;2,8;70,6
;;;;;;2,7;69,3
;;;;;;2,6;68,39
;;;;;;2,5;66,88
;;;;;;2,4;65,57
;;;;;;2,3;64,14
;;;;;;2,2;62,57
;;;;;;2,1;61,26
;;;;;;2;59,66
;;;;;;1,9;58,41
;;;;;;1,8;56,2
;;;;;;1,7;54,86
;;;;;;1,6;52,86
;;;;;;1,5;51,45
;;;;;;1,4;49,17
;;;;;;1,3;47,54
;;;;;;1,2;46,47
;;;;;;1,1;46,34
;;;;;;1;46,28
;;;;;;0,9;46,82
;;;;;;0,8;46,97
;;;;;;0,7;46,98
;;;;;;0,6;47
;;;;;;0,5;46,9
;;;;;;0,4;47,24
;;;;;;0,3;47,21
;;;;;;0,2;46,98
;;;;;;0,1;46,93
;;;;;;0;47,18
;;;;;;-0,1;47,24
;;;;;;-0,2;47,26
;;;;;;-0,3;47,2
;;;;;;-0,5;47,05
