 Crossline; Ratio;;Inline; Ratio;; Depth; Ratio
23;4,33;;-23;4,41;;250;20,02
22,9;4,5;;-22,9;4,41;;247;20,45
22,9;4,54;;-22,8;4,45;;244;20,85
22,6;4,7;;-22,7;4,49;;241;21,26
22,6;4,71;;-22,7;4,55;;238;21,65
22,5;4,67;;-22,5;4,59;;235;22,11
22,4;4,8;;-22,5;4,62;;232;22,58
22,4;4,79;;-22,4;4,65;;229;23
22,3;4,87;;-22,2;4,69;;226;23,45
22,1;4,93;;-22,1;4,74;;223;23,96
22;5,04;;-22;4,82;;220;24,36
22;5;;-22;4,82;;217;24,92
21,8;5,15;;-21,9;4,9;;214;25,36
21,8;5,17;;-21,7;4,96;;211;25,9
21,6;5,25;;-21,6;5,02;;208;26,38
21,5;5,39;;-21,5;5,08;;205;26,96
21,5;5,42;;-21,4;5,11;;202;27,5
21,3;5,51;;-21,4;5,19;;199;27,99
21,2;5,56;;-21,3;5,24;;196;28,59
21,1;5,7;;-21,1;5,29;;193;29,13
21,1;5,67;;-21,1;5,34;;190;29,77
21;5,74;;-21;5,4;;187;30,35
20,9;5,86;;-20,9;5,48;;184;30,95
20,8;5,93;;-20,8;5,55;;181;31,59
20,7;6,04;;-20,7;5,64;;178;32,18
20,5;6,13;;-20,6;5,71;;175,1;32,96
20,5;6,22;;-20,5;5,76;;172,1;33,53
20,4;6,36;;-20,4;5,87;;169,1;34,3
20,3;6,46;;-20,3;5,96;;166;35,02
20;6,73;;-20,2;6,05;;163;35,8
20;6,77;;-20,1;6,11;;160;36,46
19,9;6,84;;-20;6,24;;157;37,25
19,9;6,94;;-19,8;6,34;;154;37,94
19,7;7,14;;-19,7;6,45;;151;38,77
19,6;7,21;;-19,7;6,51;;148;39,6
19,6;7,33;;-19,6;6,66;;145,1;40,4
19,4;7,65;;-19,5;6,75;;142;41,28
19,3;7,75;;-19,3;6,9;;139;42,14
19,2;7,84;;-19,3;7,02;;136;43,07
19,1;8,01;;-19,2;7,16;;133;43,99
19,1;8,19;;-19,1;7,28;;130,1;44,88
18,9;8,45;;-18,9;7,45;;127,1;45,88
18,9;8,58;;-18,8;7,64;;124;46,81
18,7;9,01;;-18,7;7,75;;121,1;47,86
18,7;9,06;;-18,7;7,9;;118;48,89
18,6;9,3;;-18,6;8,09;;115;49,87
18,4;9,64;;-18,5;8,28;;112;50,95
18,3;10,06;;-18,4;8,49;;109;51,97
18,2;10,19;;-18,2;8,67;;106;53,23
18,1;10,64;;-18,2;8,83;;103;54,34
17,9;11,28;;-18,1;9,05;;100,1;55,43
17,9;11,32;;-18;9,34;;97;56,65
17,9;11,56;;-17,9;9,53;;94;57,86
17,7;12,1;;-17,6;10,23;;91,1;59,2
17,7;12,42;;-17,6;10,21;;88;60,44
17,5;13,07;;-17,5;10,53;;85;61,83
17,5;13,55;;-17,4;10,87;;82;63,17
17,3;14,41;;-17,3;11,6;;79;64,5
17,3;14,75;;-17,2;11,71;;76;65,85
17,2;15,58;;-17,2;11,93;;73;67,33
17,1;16,44;;-17,1;12,42;;70;68,81
16,9;17,66;;-16,9;13,05;;67;70,27
16,9;18,25;;-16,8;13,51;;64;71,78
16,7;19,69;;-16,8;14,17;;61;73,34
16,7;20,25;;-16,6;14,88;;58;75,03
16,5;22,62;;-16,6;15,45;;55;76,7
16,4;23,45;;-16,5;16,21;;51,9;78,42
16,4;25,37;;-16,3;18,74;;48,9;79,96
16,2;27,25;;-16,2;18,59;;45,9;81,7
16,1;30,5;;-16,2;19,28;;42,9;83,56
16,1;30,82;;-16;21,22;;39,9;85,27
15,9;35,31;;-16;21,83;;36,9;87,21
15,9;35,36;;-15,8;25;;33,9;88,72
15,8;37,52;;-15,7;25,18;;30,9;90,79
15,6;40,16;;-15,7;26,88;;27,9;92,65
15,5;44,03;;-15,5;29,76;;24,9;94,37
15,4;45,74;;-15,4;30,98;;21,9;96,33
15,4;47,64;;-15,4;32,81;;20;97,38
15,2;50,73;;-15,1;38,06;;20;97,37
15,1;55,58;;-15,1;38,06;;19,9;97,42
15,1;55,75;;-15;41,47;;19,8;97,43
14,8;62,11;;-15;42,66;;19,7;97,53
14,8;62,22;;-14,9;45,48;;19,6;97,6
14,8;63,19;;-14,7;51,3;;19,5;97,62
14,5;67,6;;-14,6;51,99;;19,4;97,7
14,5;68,68;;-14,6;53,93;;19,2;97,74
14,5;71,22;;-14,4;58,33;;19,2;97,82
14,4;72;;-14,3;60,54;;19;97,81
14,3;73,77;;-14,3;62,58;;18,9;97,91
14,1;76,15;;-14,1;65,84;;18,9;98,03
14;77,79;;-14,1;67,37;;18,8;98,03
14;78,68;;-13,9;70,43;;18,7;98,07
13,7;81,7;;-13,8;74,86;;18,6;98,1
13,7;81,77;;-13,7;75,08;;18,5;98,17
13,6;82,82;;-13,7;76,32;;18,3;98,12
13,5;83,95;;-13,6;78,12;;18,2;98,23
13,5;84,63;;-13,5;79,8;;18,2;98,34
13,4;85,64;;-13,4;81,26;;18;98,33
13,2;86,36;;-13,3;82,43;;18;98,26
13;88,75;;-13,2;83,93;;17,9;98,45
13;88,15;;-13,1;84,88;;17,8;98,56
13;88,52;;-12,9;85,95;;17,7;98,57
12,8;89,67;;-12,9;86,65;;17,5;98,66
12,7;89,85;;-12,7;87,57;;17,4;98,62
12,6;90,53;;-12,7;88,38;;17,3;98,68
12,6;90,8;;-12,6;88,93;;17,2;98,64
12,4;91,2;;-12,5;89,4;;17,2;98,81
12,2;92,05;;-12,4;90,07;;17;98,85
12,2;92,12;;-12,3;90,33;;17;98,78
12,1;92,46;;-12,2;90,73;;16,8;98,96
12,1;92,82;;-12,1;91,15;;16,7;98,97
11,9;93,3;;-12;91,57;;16,7;98,83
