 Crossline;Ratio;;Inline;Ratio;; Depth;Ratio
-9;1;;-9;1,13;;250;17,77
-8,9;1,06;;-8,9;1,15;;247;18,17
-8,8;1,15;;-8,8;1,2;;244;18,53
-8,6;1,25;;-8,7;1,23;;241;18,97
-8,7;1,29;;-8,6;1,25;;238;19,33
-8,6;1,31;;-8,5;1,28;;235;19,78
-8,4;1,41;;-8,4;1,32;;232;20,12
-8,3;1,45;;-8,3;1,37;;229;20,52
-8,2;1,49;;-8,2;1,41;;226;20,9
-8,2;1,6;;-8,1;1,43;;223;21,38
-8;1,66;;-8;1,46;;220;21,82
-7,9;1,73;;-7,9;1,49;;217;22,26
-7,8;1,74;;-7,8;1,57;;214;22,71
-7,7;1,86;;-7,7;1,6;;211;23,2
-7,6;1,91;;-7,6;1,66;;208;23,64
-7,5;2,03;;-7,5;1,73;;205;24,13
-7,5;2,07;;-7,4;1,79;;202;24,64
-7,3;2,27;;-7,3;1,85;;199;25,16
-7,2;2,31;;-7,2;1,92;;196;25,74
-7,1;2,43;;-7,1;1,99;;193;26,29
-7,1;2,5;;-7;2,07;;190;26,76
-6,9;2,63;;-6,9;2,14;;187;27,34
-6,8;2,8;;-6,9;2,2;;184;27,91
-6,8;2,85;;-6,7;2,32;;181;28,43
-6,6;3;;-6,6;2,43;;178;29,09
-6,6;3,22;;-6,5;2,53;;175;29,67
-6,4;3,33;;-6,5;2,64;;172;30,29
-6,3;3,75;;-6,4;2,74;;169,1;30,95
-6,3;3,74;;-6,3;2,89;;166;31,68
-6,2;4;;-6,2;3,04;;163;32,32
-6,1;4,22;;-6;3,18;;160;33,07
-6;4,5;;-6;3,34;;157;33,81
-5,8;4,98;;-5,9;3,49;;154;34,39
-5,7;5,51;;-5,7;3,75;;151;35,22
-5,6;5,54;;-5,7;3,87;;148;36
-5,6;5,78;;-5,5;4,06;;145;36,75
-5,4;6,58;;-5,5;4,29;;142;37,49
-5,4;6,59;;-5,3;4,57;;139;38,43
-5,3;7,3;;-5,3;4,86;;136;39,12
-5,1;8,18;;-5,2;5,17;;133;40,07
-5,1;8,35;;-5;5,6;;130,1;40,99
-4,9;9,14;;-4,9;5,91;;127;41,89
-4,7;10,47;;-4,8;6,36;;124;42,79
-4,8;10,46;;-4,7;6,76;;121;43,87
-4,7;12,01;;-4,6;7,31;;118;44,6
-4,6;12,19;;-4,5;7,8;;115;45,65
-4,5;13,6;;-4,4;8,39;;112;46,7
-4,3;15,3;;-4,4;8,95;;109;47,82
-4,2;17,05;;-4,3;9,72;;106;48,77
-4,2;17,41;;-4,2;10,57;;103;49,9
-4;19,73;;-4;11,7;;100;50,97
-4;20,27;;-4;12,61;;97;52,21
-3,8;23,22;;-3,9;13,75;;94;53,27
-3,7;25,87;;-3,8;14,93;;91,1;54,64
-3,7;26,16;;-3,7;16,55;;88;55,87
-3,5;28,6;;-3,6;17,96;;85;57,21
-3,5;30,56;;-3,5;19,71;;82;58,39
-3,3;36,61;;-3,3;22,05;;79;59,87
-3,3;36,43;;-3,3;23,65;;76;61,19
-3;42,64;;-3,1;28,26;;73;62,76
-3;42,6;;-3;29,99;;70;63,99
-2,8;49,57;;-2,9;31,66;;67;65,63
-2,8;49,24;;-2,9;34,18;;63,9;67
-2,7;55,98;;-2,8;36,94;;61;68,72
-2,6;56,15;;-2,6;42,06;;58;70,31
-2,5;61;;-2,6;43,97;;54,9;72,03
-2,5;60,99;;-2,5;47,11;;51,9;73,69
