 Crossline; Ratio 1s 0,5cm;; Crossline; Ratio 2s 0,01cm;; Crossline; Ratio 0,1s 0,01cm;; Crossline; Ratio Continu 2,5 cm/s;; Crossline; Ratio Continu 1 cm/s;; Crossline; Ratio Continu 0,5 cm/s;; Crossline; Ratio Continu 0,3 cm/s
-10;2,86;;-10;3,07;;10;3,22;;-10;3,14;;10;3,29;;-10;3,26;;9,5;3,65
-9,5;3,55;;-9,9;3,19;;9,9;3,33;;-8,7;4,28;;9,3;3,9;;-8,7;5,26;;8,4;6,93
-8,9;4,66;;-9,8;3,33;;9,9;3,42;;-6,5;17,93;;7,8;10,01;;-7,4;11,73;;7,3;12,58
-8,5;5,5;;-9,6;3,61;;9,7;3,63;;-5,1;47,85;;6,3;32,44;;-6,4;24,21;;6,1;34,35
-8;7,34;;-9,6;3,59;;9,7;3,68;;-3,7;84,82;;5,1;66,65;;-5,2;52,05;;4,9;67,18
-7,4;10,03;;-9,6;3,67;;9,4;3,98;;-2,2;98,99;;4;88,39;;-3,9;84,39;;3,7;89,84
-7;13,95;;-9,5;3,85;;9,4;4,05;;-0,9;101,47;;2,9;97,51;;-2,8;97,49;;2,5;98,37
-6,5;20,44;;-9,3;4,03;;9,4;4,12;;0,5;101,51;;1,7;101,15;;-1,6;100,64;;1,3;101,61
-6;28,94;;-9,2;4,17;;9,3;4,26;;1,8;100,15;;0,5;101,79;;-0,4;101,91;;0,1;101,76
-5,5;41,78;;-9,2;4,28;;9,1;4,51;;3;94,92;;-0,7;101,53;;0,8;101,33;;-1,1;101,21
-5;55,84;;-9;4,56;;9;4,62;;4,3;80,2;;-1,9;99,69;;2;99,48;;-2,3;98,58
-4,5;70,84;;-8,9;4,77;;8,9;4,98;;5,5;50,72;;-3,2;92,59;;3,3;92,36;;-3,5;90,74
-4;83,82;;-8,9;4,91;;8,8;5,03;;6,7;22,8;;-4,4;69,89;;4,5;74,25;;-4,7;63,23
-3,5;91,47;;-8,7;5,31;;8,7;5,46;;7,8;10,06;;-5,6;35,52;;5,6;41,31;;-5,9;29,97
-3;95,35;;-8,7;5,33;;8,6;5,38;;8,8;5,26;;-6,8;13,87;;6,9;16,13;;-7,1;12,3
-2,5;97,58;;-8,5;5,78;;8,5;5,95;;9,5;3,66;;-8;6,48;;8;6,95;;-8,3;5,89
-2;99,08;;-8,5;5,82;;8,3;6,42;;10;2,95;;-10;3,13;;10;3,41;;-10;3,38
-1,5;99,84;;-8,3;6,55;;8,3;6,5;;;;;;;;;;;;
-1;100,36;;-8,2;6,59;;8,3;6,73;;;;;;;;;;;;
-0,5;100,81;;-8,2;6,88;;8,2;7,02;;;;;;;;;;;;
0;100,83;;-8;7,13;;8;7,44;;;;;;;;;;;;
0,5;100,8;;-8;7,38;;8;7,84;;;;;;;;;;;;
1;100,34;;-7,7;8,39;;7,8;8,68;;;;;;;;;;;;
1,5;99,96;;-7,8;8,43;;7,7;8,72;;;;;;;;;;;;
1,9;99,03;;-7,6;9,36;;7,7;9,44;;;;;;;;;;;;
2,5;97,2;;-7,6;9,44;;7,4;10,75;;;;;;;;;;;;
3;94,51;;-7,4;10,08;;7,4;10,93;;;;;;;;;;;;
3,5;90,44;;-7,3;11,08;;7,3;11,74;;;;;;;;;;;;
4;84,17;;-7,3;11,42;;7,2;12,12;;;;;;;;;;;;
4,5;74,95;;-7,1;12,26;;7,2;12,96;;;;;;;;;;;;
5;62,75;;-7;13,45;;7;14,24;;;;;;;;;;;;
5,5;47,42;;-7;13,93;;6,9;15,74;;;;;;;;;;;;
6;33,76;;-6,9;14,97;;6,8;16,48;;;;;;;;;;;;
6,5;22,14;;-6,7;16,51;;6,8;17,98;;;;;;;;;;;;
7;14,57;;-6,7;17,18;;6,7;18,97;;;;;;;;;;;;
