Measurement time:; 14/05/2024 18:19:39
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 10,0; 100,0; 2,87; 2664,1; 2,87
0,0; 9,8; 100,0; 3,13; 2913,2; 3,14
0,0; 9,8; 100,0; 3,17; 2945,8; 3,17
0,0; 9,7; 100,0; 3,36; 3122,1; 3,36
0,0; 9,7; 100,0; 3,42; 3173,5; 3,42
0,0; 9,6; 100,0; 3,56; 3309,9; 3,56
0,0; 9,4; 100,0; 3,68; 3418,5; 3,68
0,0; 9,4; 100,0; 3,79; 3520,4; 3,79
0,0; 9,3; 100,0; 3,97; 3685,0; 3,97
0,0; 9,1; 100,0; 4,32; 4011,4; 4,32
0,0; 9,0; 100,0; 4,33; 4022,6; 4,33
0,0; 8,9; 100,0; 4,68; 4344,4; 4,68
0,0; 8,8; 100,0; 4,76; 4419,9; 4,76
0,0; 8,7; 100,0; 4,96; 4608,9; 4,96
0,0; 8,7; 100,0; 4,98; 4631,3; 4,99
0,0; 8,5; 100,0; 5,35; 4970,3; 5,35
0,0; 8,5; 100,0; 5,46; 5076,9; 5,47
0,0; 8,4; 100,0; 5,84; 5426,3; 5,84
0,0; 8,2; 100,0; 6,04; 5613,9; 6,05
0,0; 8,2; 100,0; 6,45; 5997,3; 6,46
0,0; 8,0; 100,0; 6,71; 6234,9; 6,71
0,0; 7,9; 100,0; 7,42; 6892,3; 7,42
0,0; 7,8; 100,0; 7,50; 6971,5; 7,50
0,0; 7,8; 100,0; 7,84; 7289,6; 7,85
0,0; 7,6; 100,0; 8,42; 7823,4; 8,42
0,0; 7,6; 100,0; 8,81; 8184,0; 8,81
0,0; 7,4; 100,0; 9,71; 9021,2; 9,71
0,0; 7,4; 100,0; 10,13; 9410,6; 10,13
0,0; 7,2; 100,0; 10,89; 10116,8; 10,90
0,0; 7,1; 100,0; 11,64; 10815,4; 11,65
0,0; 7,1; 100,0; 12,20; 11341,2; 12,21
0,0; 7,0; 100,0; 13,44; 12486,5; 13,45
0,0; 6,8; 100,0; 14,84; 13794,3; 14,85
0,0; 6,8; 100,0; 15,49; 14392,0; 15,49
0,0; 6,5; 100,0; 18,52; 17214,5; 18,52
0,0; 6,5; 100,0; 18,57; 17257,7; 18,59
0,0; 6,5; 100,0; 20,20; 18772,1; 20,21
0,0; 6,3; 100,0; 22,65; 21051,2; 22,67
0,0; 6,3; 100,0; 23,13; 21493,7; 23,15
0,0; 6,1; 100,0; 26,68; 24791,5; 26,69
0,0; 6,1; 100,0; 27,52; 25572,0; 27,54
0,0; 6,0; 100,0; 30,26; 28117,2; 30,29
0,0; 5,8; 100,0; 34,20; 31784,0; 34,22
0,0; 5,8; 100,0; 35,19; 32706,2; 35,21
0,0; 5,6; 100,0; 39,63; 36826,3; 39,66
0,0; 5,5; 100,0; 42,85; 39820,4; 42,88
0,0; 5,5; 100,0; 43,23; 40172,9; 43,27
0,0; 5,3; 100,0; 47,80; 44422,0; 47,87
0,0; 5,3; 100,0; 49,18; 45703,4; 49,24
0,0; 5,1; 100,0; 53,75; 49948,1; 53,74
0,0; 5,1; 100,0; 56,28; 52297,7; 56,30
0,0; 5,0; 100,0; 58,68; 54533,5; 58,75
0,0; 4,9; 100,0; 61,70; 57333,0; 61,75
0,0; 4,8; 100,0; 64,18; 59637,8; 64,20
0,0; 4,5; 100,0; 72,40; 67275,9; 72,45
0,0; 4,6; 100,0; 70,97; 65946,8; 71,01
0,0; 4,5; 100,0; 71,70; 66634,3; 71,76
0,0; 4,3; 100,0; 74,24; 68994,2; 74,30
0,0; 4,3; 100,0; 76,37; 70970,2; 76,42
0,0; 4,2; 100,0; 78,60; 73046,0; 78,66
0,0; 4,0; 100,0; 80,63; 74928,2; 80,72
0,0; 3,9; 100,0; 82,58; 76739,6; 82,56
0,0; 3,9; 100,0; 82,83; 76975,4; 82,87
0,0; 3,7; 100,0; 84,87; 78864,8; 84,89
0,0; 3,6; 100,0; 86,15; 80062,2; 86,16
0,0; 3,6; 100,0; 87,07; 80916,0; 87,11
0,0; 3,5; 100,0; 88,66; 82391,9; 88,79
0,0; 3,2; 100,0; 90,12; 83743,6; 90,17
0,0; 3,2; 100,0; 90,31; 83921,3; 90,39
0,0; 3,1; 100,0; 92,13; 85610,9; 92,20
0,0; 3,0; 100,0; 91,99; 85487,1; 92,10
0,0; 3,0; 100,0; 92,52; 85980,2; 92,59
0,0; 2,8; 100,0; 93,78; 87151,9; 93,86
0,0; 2,7; 100,0; 93,91; 87270,8; 93,99
0,0; 2,6; 100,0; 94,75; 88051,0; 94,81
0,0; 2,6; 100,0; 94,89; 88183,7; 94,97
0,0; 2,4; 100,0; 95,58; 88818,2; 95,67
0,0; 2,4; 100,0; 95,70; 88933,1; 95,77
0,0; 2,3; 100,0; 96,14; 89343,6; 96,23
0,0; 2,1; 100,0; 96,73; 89891,1; 96,77
