Measurement time:; 14/05/2024 21:20:37
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -10,0; 100,0; 3,09; 843,0; 3,09
0,0; -9,9; 100,0; 3,22; 878,5; 3,22
0,0; -9,9; 100,0; 3,41; 932,3; 3,42
0,0; -9,7; 100,0; 3,71; 1013,8; 3,72
0,0; -9,7; 100,0; 3,77; 1028,9; 3,77
0,0; -9,5; 100,0; 3,94; 1076,6; 3,95
0,0; -9,5; 100,0; 4,08; 1114,3; 4,09
0,0; -9,2; 100,0; 4,57; 1248,1; 4,57
0,0; -9,2; 100,0; 4,59; 1252,6; 4,60
0,0; -9,2; 100,0; 4,66; 1273,0; 4,67
0,0; -9,0; 100,0; 4,85; 1323,6; 4,86
0,0; -8,7; 100,0; 5,49; 1501,0; 5,50
0,0; -8,9; 100,0; 5,33; 1457,3; 5,35
0,0; -8,7; 100,0; 5,87; 1602,4; 5,88
0,0; -8,7; 100,0; 5,83; 1593,1; 5,85
0,0; -8,4; 100,0; 6,68; 1825,7; 6,70
0,0; -8,4; 100,0; 6,54; 1786,4; 6,56
0,0; -8,3; 100,0; 6,95; 1898,0; 6,96
0,0; -8,3; 100,0; 7,08; 1934,1; 7,09
0,0; -8,2; 100,0; 7,45; 2034,5; 7,47
0,0; -7,9; 100,0; 8,62; 2353,9; 8,65
0,0; -7,9; 100,0; 8,58; 2343,2; 8,59
0,0; -7,7; 100,0; 9,44; 2579,0; 9,48
0,0; -7,7; 100,0; 9,62; 2628,1; 9,64
0,0; -7,7; 100,0; 9,85; 2691,8; 9,88
0,0; -7,6; 100,0; 10,30; 2814,7; 10,33
0,0; -7,4; 100,0; 11,91; 3254,3; 11,94
0,0; -7,4; 100,0; 11,84; 3233,8; 11,89
