Measurement time:; 14/05/2024 22:06:48
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -10,0; 100,0; 2,86; 2631,2; 2,86
0,0; -9,5; 100,0; 3,54; 3261,0; 3,55
0,0; -8,9; 100,0; 4,65; 4282,2; 4,66
0,0; -8,5; 100,0; 5,49; 5057,4; 5,50
0,0; -8,0; 100,0; 7,32; 6743,2; 7,34
0,0; -7,4; 100,0; 10,01; 9215,8; 10,03
0,0; -7,0; 100,0; 13,92; 12818,1; 13,95
0,0; -6,5; 100,0; 20,39; 18779,1; 20,44
0,0; -6,0; 100,0; 28,88; 26596,0; 28,94
0,0; -5,5; 100,0; 41,71; 38408,8; 41,78
0,0; -5,0; 100,0; 55,71; 51304,0; 55,84
0,0; -4,5; 100,0; 70,71; 65116,6; 70,84
0,0; -4,0; 100,0; 83,63; 77018,3; 83,82
0,0; -3,5; 100,0; 91,26; 84043,0; 91,47
0,0; -3,0; 100,0; 95,12; 87603,3; 95,35
0,0; -2,5; 100,0; 97,36; 89667,7; 97,58
0,0; -2,0; 100,0; 98,85; 91035,0; 99,08
0,0; -1,5; 100,0; 99,57; 91702,4; 99,84
0,0; -1,0; 100,0; 100,14; 92223,5; 100,36
0,0; -0,5; 100,0; 100,60; 92646,9; 100,81
0,0; 0,0; 100,0; 100,56; 92608,0; 100,83
0,0; 0,5; 100,0; 100,51; 92566,4; 100,80
0,0; 1,0; 100,0; 100,08; 92165,3; 100,34
0,0; 1,5; 100,0; 99,71; 91831,5; 99,96
0,0; 1,9; 100,0; 98,76; 90950,0; 99,03
0,0; 2,5; 100,0; 96,94; 89274,6; 97,20
0,0; 3,0; 100,0; 94,27; 86820,0; 94,51
0,0; 3,5; 100,0; 90,20; 83066,9; 90,44
0,0; 4,0; 100,0; 83,97; 77328,9; 84,17
