Measurement time:; 02/08/2022 20:24:23
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
100,0; 0,0; 100,0; 5,02; 6259,5; 5,17
99,1; 0,0; 100,0; 5,44; 6783,6; 5,44
97,7; 0,0; 100,0; 5,69; 7102,8; 5,70
96,6; 0,0; 100,0; 5,72; 7142,4; 5,74
95,4; 0,0; 100,0; 5,97; 7445,4; 5,98
94,2; 0,0; 100,0; 6,16; 7689,6; 6,17
92,9; 0,0; 100,0; 6,30; 7865,5; 6,31
91,8; 0,0; 100,0; 6,43; 8019,8; 6,43
90,5; 0,0; 100,0; 6,80; 8483,1; 6,81
89,3; 0,0; 100,0; 6,98; 8712,7; 6,98
88,1; 0,0; 100,0; 7,16; 8936,4; 7,15
86,9; 0,0; 100,0; 7,47; 9323,2; 7,48
85,7; 0,0; 100,0; 7,68; 9578,1; 7,69
84,5; 0,0; 100,0; 7,86; 9805,4; 7,86
83,3; 0,0; 100,0; 8,18; 10200,9; 8,18
82,1; 0,0; 100,0; 8,58; 10712,0; 8,58
80,9; 0,0; 100,0; 8,82; 11005,9; 8,83
79,7; 0,0; 100,0; 9,06; 11303,1; 9,06
78,5; 0,0; 100,0; 9,38; 11707,8; 9,39
77,3; 0,0; 100,0; 9,72; 12134,6; 9,74
76,1; 0,0; 100,0; 10,01; 12486,4; 10,02
74,9; 0,0; 100,0; 10,32; 12880,4; 10,32
73,7; 0,0; 100,0; 10,75; 13417,8; 10,76
72,5; 0,0; 100,0; 11,21; 13985,3; 11,22
71,3; 0,0; 100,0; 11,66; 14543,4; 11,67
70,1; 0,0; 100,0; 12,03; 15009,5; 12,03
68,8; 0,0; 100,0; 12,64; 15770,5; 12,64
67,7; 0,0; 100,0; 13,16; 16417,6; 13,16
66,4; 0,0; 100,0; 13,74; 17146,9; 13,75
65,2; 0,0; 100,0; 14,54; 18145,7; 14,55
64,0; 0,0; 100,0; 15,62; 19486,7; 15,62
62,8; 0,0; 100,0; 16,94; 21139,9; 16,96
61,6; 0,0; 100,0; 18,80; 23454,4; 18,82
60,4; 0,0; 100,0; 22,11; 27588,2; 22,13
59,2; 0,0; 100,0; 27,57; 34401,4; 27,58
58,0; 0,0; 100,0; 36,38; 45390,7; 36,40
56,8; 0,0; 100,0; 50,11; 62521,6; 50,18
55,6; 0,0; 100,0; 64,61; 80625,6; 64,76
54,4; 0,0; 100,0; 80,18; 100050,1; 80,12
53,2; 0,0; 100,0; 94,08; 117390,5; 94,16
52,0; 0,0; 100,0; 104,72; 130675,2; 104,83
50,7; 0,0; 100,0; 112,82; 140781,4; 113,01
49,6; 0,0; 100,0; 117,97; 147199,7; 117,93
48,4; 0,0; 100,0; 121,23; 151266,5; 121,17
47,1; 0,0; 100,0; 123,18; 153710,3; 123,46
46,0; 0,0; 100,0; 124,46; 155298,2; 124,63
44,7; 0,0; 100,0; 125,41; 156484,3; 125,50
43,6; 0,0; 100,0; 126,17; 157434,6; 126,18
42,3; 0,0; 100,0; 126,50; 157848,1; 126,83
41,2; 0,0; 100,0; 126,74; 158149,6; 126,94
40,0; 0,0; 100,0; 127,34; 158900,6; 127,50
38,7; 0,0; 100,0; 127,70; 159346,5; 127,98
37,6; 0,0; 100,0; 128,12; 159863,5; 128,00
36,3; 0,0; 100,0; 128,43; 160249,7; 128,42
35,1; 0,0; 100,0; 128,84; 160766,2; 128,78
33,9; 0,0; 100,0; 129,12; 161115,3; 129,34
32,7; 0,0; 100,0; 129,59; 161703,9; 129,86
31,5; 0,0; 100,0; 129,83; 161997,7; 130,02
30,3; 0,0; 100,0; 130,07; 162308,3; 130,42
29,1; 0,0; 100,0; 130,28; 162566,8; 130,52
27,9; 0,0; 100,0; 130,48; 162809,7; 130,67
26,7; 0,0; 100,0; 130,70; 163082,7; 130,81
25,5; 0,0; 100,0; 130,83; 163252,2; 130,95
24,3; 0,0; 100,0; 131,19; 163700,6; 131,40
23,1; 0,0; 100,0; 131,23; 163755,8; 131,41
21,9; 0,0; 100,0; 131,44; 164015,4; 131,43
20,7; 0,0; 100,0; 131,69; 164319,5; 131,84
19,5; 0,0; 100,0; 131,71; 164348,2; 131,73
18,3; 0,0; 100,0; 131,65; 164271,5; 131,81
17,1; 0,0; 100,0; 131,99; 164697,0; 132,19
15,9; 0,0; 100,0; 131,82; 164484,7; 132,03
14,6; 0,0; 100,0; 131,96; 164654,9; 132,00
13,5; 0,0; 100,0; 132,04; 164755,4; 132,04
12,2; 0,0; 100,0; 132,13; 164870,4; 132,39
11,1; 0,0; 100,0; 132,12; 164857,5; 132,06
9,9; 0,0; 100,0; 132,30; 165084,7; 132,41
8,6; 0,0; 100,0; 132,10; 164833,3; 132,28
7,5; 0,0; 100,0; 132,15; 164900,3; 132,18
6,2; 0,0; 100,0; 132,21; 164967,8; 132,28
5,1; 0,0; 100,0; 132,36; 165164,3; 132,23
3,8; 0,0; 100,0; 132,23; 164994,6; 132,50
2,6; 0,0; 100,0; 132,11; 164847,8; 132,28
1,5; 0,0; 100,0; 132,33; 165126,7; 132,36
0,2; 0,0; 100,0; 132,31; 165102,9; 132,43
-1,0; 0,0; 100,0; 132,60; 165454,5; 132,75
-2,2; 0,0; 100,0; 132,44; 165263,6; 132,64
-3,4; 0,0; 100,0; 132,59; 165450,0; 132,83
-4,6; 0,0; 100,0; 132,55; 165395,7; 132,32
-5,8; 0,0; 100,0; 132,51; 165350,1; 132,53
-7,0; 0,0; 100,0; 132,55; 165397,7; 132,77
-8,2; 0,0; 100,0; 132,60; 165458,4; 132,66
-9,4; 0,0; 100,0; 132,77; 165671,1; 132,74
-10,6; 0,0; 100,0; 132,74; 165636,6; 132,92
-11,8; 0,0; 100,0; 132,71; 165592,7; 132,84
-13,0; 0,0; 100,0; 132,99; 165943,8; 132,89
-14,2; 0,0; 100,0; 132,90; 165834,8; 132,80
-15,4; 0,0; 100,0; 132,86; 165779,7; 133,04
-16,6; 0,0; 100,0; 132,94; 165878,3; 132,94
-17,9; 0,0; 100,0; 132,76; 165664,6; 132,70
-19,1; 0,0; 100,0; 132,84; 165752,4; 132,87
-20,3; 0,0; 100,0; 132,51; 165349,0; 132,69
-21,4; 0,0; 100,0; 132,69; 165565,4; 132,82
-22,6; 0,0; 100,0; 132,42; 165234,4; 132,51
-23,9; 0,0; 100,0; 132,31; 165100,6; 132,37
-25,0; 0,0; 100,0; 132,19; 164946,6; 132,12
-26,3; 0,0; 100,0; 131,80; 164460,1; 131,89
-27,5; 0,0; 100,0; 131,89; 164570,9; 131,89
-28,6; 0,0; 100,0; 131,91; 164596,0; 131,89
-29,9; 0,0; 100,0; 131,58; 164185,2; 131,74
-31,1; 0,0; 100,0; 131,23; 163745,5; 131,39
-32,3; 0,0; 100,0; 131,13; 163622,9; 131,36
-33,5; 0,0; 100,0; 130,86; 163285,3; 131,02
-34,6; 0,0; 100,0; 130,63; 162995,1; 130,63
-35,9; 0,0; 100,0; 130,17; 162430,0; 130,04
-37,1; 0,0; 100,0; 130,00; 162212,4; 130,19
-38,3; 0,0; 100,0; 129,77; 161931,7; 129,98
-39,5; 0,0; 100,0; 129,46; 161537,7; 129,57
-40,7; 0,0; 100,0; 129,23; 161251,1; 129,27
-41,9; 0,0; 100,0; 128,93; 160883,6; 128,95
-43,1; 0,0; 100,0; 128,29; 160077,9; 128,34
-44,3; 0,0; 100,0; 127,82; 159488,4; 127,89
-45,5; 0,0; 100,0; 127,36; 158922,5; 127,63
-46,7; 0,0; 100,0; 126,41; 157738,6; 126,57
-47,9; 0,0; 100,0; 125,14; 156154,9; 125,23
-49,1; 0,0; 100,0; 123,18; 153700,6; 123,42
-50,3; 0,0; 100,0; 120,12; 149881,6; 120,33
-51,5; 0,0; 100,0; 114,64; 143052,5; 114,60
-52,7; 0,0; 100,0; 105,31; 131406,3; 105,42
-54,0; 0,0; 100,0; 91,59; 114292,5; 91,71
-55,1; 0,0; 100,0; 76,26; 95157,0; 76,32
-56,3; 0,0; 100,0; 60,81; 75880,9; 60,94
-57,6; 0,0; 100,0; 46,43; 57940,8; 46,47
-58,7; 0,0; 100,0; 35,71; 44553,3; 35,70
-60,0; 0,0; 100,0; 27,29; 34058,4; 27,28
-61,2; 0,0; 100,0; 22,09; 27562,0; 22,09
-62,4; 0,0; 100,0; 18,90; 23589,2; 18,91
-63,6; 0,0; 100,0; 16,84; 21010,4; 16,83
-64,8; 0,0; 100,0; 15,63; 19501,7; 15,66
-66,0; 0,0; 100,0; 14,58; 18188,6; 14,57
-67,2; 0,0; 100,0; 13,78; 17192,3; 13,79
-68,4; 0,0; 100,0; 13,31; 16610,1; 13,30
-69,6; 0,0; 100,0; 12,60; 15716,6; 12,60
-70,8; 0,0; 100,0; 12,08; 15070,7; 12,07
-72,0; 0,0; 100,0; 11,65; 14534,5; 11,65
-73,2; 0,0; 100,0; 11,23; 14007,4; 11,22
-74,4; 0,0; 100,0; 10,72; 13377,1; 10,74
-75,6; 0,0; 100,0; 10,37; 12934,8; 10,35
-76,8; 0,0; 100,0; 10,11; 12614,7; 10,10
-78,0; 0,0; 100,0; 9,71; 12121,5; 9,70
-79,2; 0,0; 100,0; 9,37; 11696,6; 9,37
-80,4; 0,0; 100,0; 9,10; 11359,7; 9,10
-81,6; 0,0; 100,0; 8,74; 10908,4; 8,74
-82,8; 0,0; 100,0; 8,52; 10634,1; 8,52
-84,1; 0,0; 100,0; 8,17; 10188,9; 8,18
-85,2; 0,0; 100,0; 7,85; 9798,2; 7,84
-86,5; 0,0; 100,0; 7,62; 9508,7; 7,62
-87,7; 0,0; 100,0; 7,34; 9157,9; 7,34
-88,8; 0,0; 100,0; 7,07; 8819,2; 7,06
-90,1; 0,0; 100,0; 6,90; 8611,9; 6,90
-91,3; 0,0; 100,0; 6,71; 8371,8; 6,70
-92,5; 0,0; 100,0; 6,51; 8120,4; 6,50
-93,7; 0,0; 100,0; 6,23; 7770,9; 6,22
-94,9; 0,0; 100,0; 6,12; 7641,3; 6,12
-96,1; 0,0; 100,0; 5,96; 7431,6; 5,95
-97,3; 0,0; 100,0; 5,81; 7253,7; 5,82
-98,5; 0,0; 100,0; 5,51; 6871,3; 5,51
-100,0; 0,0; 100,0; 5,36; 6682,2; 5,35


Measurement time:; 02/08/2022 20:25:37
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 100,0; 100,0; 4,63; 5771,1; 4,81
0,0; 99,2; 100,0; 4,50; 5614,2; 4,50
0,0; 97,7; 100,0; 4,79; 5975,0; 4,78
0,0; 96,5; 100,0; 4,83; 6032,9; 4,84
0,0; 95,4; 100,0; 4,89; 6096,9; 4,89
0,0; 94,1; 100,0; 5,12; 6386,8; 5,13
0,0; 92,9; 100,0; 5,35; 6678,4; 5,35
0,0; 91,8; 100,0; 5,56; 6936,9; 5,57
0,0; 90,5; 100,0; 5,73; 7151,3; 5,74
0,0; 89,4; 100,0; 5,81; 7248,8; 5,81
0,0; 88,1; 100,0; 6,13; 7643,3; 6,13
0,0; 86,9; 100,0; 6,31; 7872,4; 6,31
0,0; 85,8; 100,0; 6,59; 8227,8; 6,60
0,0; 84,5; 100,0; 6,84; 8537,7; 6,84
0,0; 83,3; 100,0; 7,10; 8855,3; 7,10
0,0; 82,1; 100,0; 7,38; 9204,4; 7,38
0,0; 80,9; 100,0; 7,58; 9454,4; 7,59
0,0; 79,7; 100,0; 8,00; 9984,0; 8,00
0,0; 78,5; 100,0; 8,21; 10243,6; 8,21
0,0; 77,3; 100,0; 8,51; 10622,4; 8,52
0,0; 76,1; 100,0; 8,91; 11114,6; 8,91
0,0; 74,9; 100,0; 9,41; 11736,7; 9,41
0,0; 73,7; 100,0; 9,75; 12169,1; 9,76
0,0; 72,5; 100,0; 10,17; 12687,9; 10,17
0,0; 71,3; 100,0; 10,58; 13199,1; 10,59
0,0; 70,1; 100,0; 11,01; 13738,0; 11,00
0,0; 68,9; 100,0; 11,55; 14417,2; 11,54
0,0; 67,7; 100,0; 12,16; 15168,5; 12,17
0,0; 66,5; 100,0; 12,78; 15952,6; 12,80
0,0; 65,3; 100,0; 13,43; 16760,8; 13,43
0,0; 64,1; 100,0; 14,32; 17874,0; 14,31
0,0; 62,9; 100,0; 15,51; 19348,8; 15,51
0,0; 61,7; 100,0; 16,98; 21189,8; 16,99
0,0; 60,5; 100,0; 19,48; 24302,1; 19,48
0,0; 59,3; 100,0; 23,44; 29248,1; 23,43
0,0; 58,0; 100,0; 30,86; 38502,2; 30,84
0,0; 56,9; 100,0; 42,72; 53311,1; 42,72
0,0; 55,6; 100,0; 57,16; 71324,4; 57,21
0,0; 54,4; 100,0; 73,44; 91643,8; 73,48
0,0; 53,2; 100,0; 89,34; 111481,8; 89,36
0,0; 52,0; 100,0; 102,89; 128391,2; 103,07
0,0; 50,8; 100,0; 112,61; 140510,5; 112,77
0,0; 49,6; 100,0; 118,09; 147357,9; 118,23
0,0; 48,4; 100,0; 121,89; 152089,8; 121,86
0,0; 47,2; 100,0; 123,80; 154473,5; 124,06
0,0; 46,0; 100,0; 125,20; 156222,4; 125,22
0,0; 44,7; 100,0; 126,09; 157336,3; 126,32
0,0; 43,6; 100,0; 126,60; 157976,8; 126,61
0,0; 42,3; 100,0; 127,31; 158863,6; 127,47
0,0; 41,2; 100,0; 127,69; 159329,9; 127,86
0,0; 40,0; 100,0; 128,29; 160084,9; 128,44
0,0; 38,8; 100,0; 128,63; 160507,0; 128,84
0,0; 37,5; 100,0; 128,96; 160920,8; 129,08
0,0; 36,3; 100,0; 129,26; 161285,5; 129,47
0,0; 35,2; 100,0; 129,79; 161953,9; 129,80
0,0; 33,9; 100,0; 129,84; 162014,7; 129,87
0,0; 32,8; 100,0; 130,18; 162441,6; 130,47
0,0; 31,5; 100,0; 130,59; 162956,1; 130,65
0,0; 30,3; 100,0; 130,87; 163299,6; 131,02
0,0; 29,1; 100,0; 131,16; 163666,7; 131,42
0,0; 27,9; 100,0; 131,10; 163590,7; 131,44
0,0; 26,7; 100,0; 131,53; 164124,7; 131,83
0,0; 25,5; 100,0; 131,79; 164449,7; 131,91
