Measurement time:; 02/08/2022 19:59:54;;;;
Radiation device:; Novalis TB Accelerator;;;;
Energy:; 6 MV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;306,6;35,9;52112,8;20,92
0;0;305,3;36,3;52694;21,17
0;0;304,1;36,46;52937,8;21,27
0;0;302,9;36,69;53262,2;21,34
0;0;301,7;37,04;53780,3;21,59
0;0;300,5;37,17;53956,3;21,64
0;0;299,3;37,49;54424,6;21,86
0;0;298,1;37,75;54811,3;22
0;0;296,9;38,05;55242;22,13
0;0;295,7;38,27;55552,8;22,32
0;0;294,5;38,52;55922,7;22,47
0;0;293,3;38,72;56211,9;22,52
0;0;292,1;39,09;56745,1;22,75
0;0;290,9;39,2;56910,8;22,81
0;0;289,7;39,64;57551,2;23,1
0;0;288,5;39,77;57732,3;23,12
0;0;287,3;40,01;58090,4;23,26
0;0;286,1;40,42;58685;23,59
0;0;284,9;40,6;58936;23,62
0;0;283,7;40,89;59368,1;23,77
0;0;282,4;41,18;59790,2;23,98
0;0;281,3;41,42;60126,6;24,11
0;0;280;41,64;60447,9;24,21
0;0;278,9;41,94;60885;24,41
0;0;277,6;42,26;61345,6;24,54
0;0;276,4;42,66;61939;24,8
0;0;275,3;42,83;62185,5;24,89
0;0;274;43,17;62678,4;25,11
0;0;272,9;43,41;63018,3;25,28
0;0;271,7;43,61;63313,8;25,4
0;0;270,4;44;63873,3;25,61
0;0;269,3;44,3;64311,4;25,72
0;0;268;44,51;64623,9;25,91
0;0;266,8;44,96;65265,1;26,19
0;0;265,6;45,07;65431,4;26,21
0;0;264,4;45,41;65922,1;26,36
0;0;263,2;45,75;66422,7;26,67
0;0;262;46,12;66960,4;26,87
0;0;260,9;46,47;67463,1;27,04
0;0;259,6;46,62;67676;27,15
0;0;258,4;47,03;68279,6;27,39
0;0;257,2;47,39;68806,7;27,61
0;0;256;47,56;69051,2;27,7
0;0;254,8;47,98;69662,7;27,87
0;0;253,6;48,3;70117,9;28,15
0;0;252,4;48,66;70643,6;28,37
0;0;251,2;48,92;71021,2;28,47
0;0;250;49,33;71619,5;28,71
0;0;248,8;49,62;72034,4;28,9
0;0;247,6;50,01;72598,3;29,08
0;0;246,4;50,14;72797;29,15
0;0;245,2;50,74;73659,4;29,52
0;0;244;51,06;74135,1;29,81
0;0;242,8;51,41;74635,4;29,95
0;0;241,6;51,6;74917,7;30
0;0;240,3;52,03;75530,9;30,3
0;0;239,2;52,4;76073,4;30,54
0;0;237,9;52,73;76556,9;30,72
0;0;236,8;53,02;76980,4;30,87
0;0;235,5;53,31;77401,2;31,06
0;0;234,3;53,74;78023,6;31,31
0;0;233,1;54,03;78443,9;31,47
0;0;231,9;54,46;79070,5;31,73
0;0;230,7;54,79;79543,7;31,88
0;0;229,5;55,3;80280,5;32,17
0;0;228,3;55,54;80627,6;32,35
0;0;227,1;56,12;81467,7;32,64
0;0;225,9;56,41;81896,4;32,86
0;0;224,7;56,71;82324,2;33,06
0;0;223,5;57,14;82953,9;33,29
0;0;222,3;57,44;83397,7;33,42
0;0;221,1;58,05;84273,8;33,84
0;0;219,9;58,41;84797,4;34,01
0;0;218,7;58,67;85182,3;34,15
0;0;217,5;59,08;85766,2;34,42
0;0;216,3;59,62;86552,6;34,65
0;0;215,1;59,95;87032,8;34,93
0;0;213,9;60,16;87335,7;35,03
0;0;212,7;60,72;88155,7;35,27
0;0;211,5;61,06;88647,7;35,55
0;0;210,3;61,44;89204,3;35,79
0;0;209,1;61,89;89853,6;36,02
0;0;207,9;62,33;90487,9;36,3
0;0;206,7;62,74;91085,1;36,54
0;0;205,5;63,15;91680,9;36,74
0;0;204,2;63,64;92393,1;37,05
0;0;203,1;64,01;92923,4;37,26
0;0;201,8;64,58;93761,3;37,65
0;0;200,6;64,9;94213,8;37,77
0;0;199,5;65,38;94913,9;38,05
0;0;198,2;65,8;95534,1;38,28
0;0;197;66,13;96010,8;38,54
0;0;195,8;66,73;96880,1;38,84
0;0;194,6;67,01;97289,3;38,9
0;0;193,4;67,61;98160,7;39,33
0;0;192,2;68,21;99024,1;39,7
0;0;191;68,44;99360,7;39,87
0;0;189,8;69,04;100227,4;40,14
0;0;188,6;69,46;100842,7;40,47
0;0;187,4;69,96;101571,8;40,7
0;0;186,2;70,51;102360,5;41,02
0;0;185;70,9;102934,4;41,21
0;0;183,8;71,54;103854,3;41,63
0;0;182,6;72,14;104728,5;42,03
0;0;181,4;72,36;105056,8;42,15
0;0;180,2;72,86;105770,1;42,36
0;0;178,9;73,18;106237;42,62
0;0;177,7;74,03;107468,7;43,12
0;0;176,6;74,56;108246,6;43,39
0;0;175,3;74,82;108620,6;43,53
0;0;174,1;75,56;109692,9;43,96
0;0;173;75,96;110277,5;44,23
0;0;171,7;76,42;110939,8;44,45
0;0;170,5;77,01;111795,4;44,79
0;0;169,3;77,33;112271,3;45,03
0;0;168,1;77,88;113064,8;45,32
0;0;166,9;78,62;114144,4;45,71
0;0;165,7;79,13;114882,9;46,06
0;0;164,5;79,66;115654;46,38
0;0;163,3;80,27;116533,6;46,75
0;0;162,1;80,83;117345,8;47,04
0;0;160,9;81,39;118162,6;47,35
0;0;159,7;81,83;118796;47,69
0;0;158,5;82,46;119712,1;47,92
0;0;157,3;82,94;120410,9;48,31
0;0;156,1;83,28;120905,1;48,5
0;0;154,9;84,03;121986,5;48,99
0;0;153,7;84,52;122702,7;49,2
0;0;152,5;85,18;123662,3;49,49
0;0;151,3;85,87;124670,2;49,95
0;0;150,1;86,28;125254,4;50,19
0;0;148,9;86,78;125988,2;50,6
0;0;147,6;87,62;127203,7;50,94
0;0;146,5;88,01;127768,7;51,25
0;0;145,2;88,79;128898,3;51,65
0;0;144;89,25;129574,6;52,02
0;0;142,8;89,81;130382,3;52,23
0;0;141,6;90,56;131469;52,65
0;0;140,4;91,08;132222,4;53,02
0;0;139,2;91,9;133416,2;53,5
0;0;138;92,3;133993,4;53,78
0;0;136,8;92,91;134888,3;54,06
0;0;135,6;93,82;136212,8;54,59
0;0;134,4;94,23;136800,4;54,8
0;0;133,2;94,93;137817,8;55,23
0;0;132;95,59;138779,5;55,67
0;0;130,8;96,02;139402,8;55,92
0;0;129,6;96,9;140674,7;56,46
0;0;128,4;97,27;141221,4;56,54
0;0;127,2;97,96;142219,3;57,08
0;0;126;98,72;143318,6;57,5
0;0;124,8;99,41;144320,1;57,75
0;0;123,5;99,99;145163,7;58,15
0;0;122,4;100,76;146276,7;58,6
0;0;121,1;101,21;146937,7;58,93
0;0;120;101,95;148003,4;59,35
0;0;118,8;102,74;149159,3;59,72
0;0;117,5;103,56;150349,3;60,29
0;0;116,4;104,07;151091,1;60,66
0;0;115,1;104,9;152295,1;61,08
0;0;113,9;105,59;153300,8;61,41
0;0;112,7;106,29;154317,1;61,79
0;0;111,5;106,87;155146;62,24
0;0;110,3;107,26;155722;62,45
0;0;109,1;108,49;157501,4;63,02
0;0;107,9;109,12;158422,2;63,44
0;0;106,7;109,75;159332,4;63,87
0;0;105,5;110,64;160619,9;64,33
