Measurement time:; 30/08/2022 16:29:49
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-155,0; 0,0; 100,0; 97,82; 3347,0; 1,98
-154,1; 0,0; 100,0; 104,92; 3590,1; 2,14
-152,6; 0,0; 100,0; 107,93; 3692,8; 2,21
-151,5; 0,0; 100,0; 107,71; 3685,5; 2,20
-150,4; 0,0; 100,0; 110,71; 3787,9; 2,26
-149,1; 0,0; 100,0; 113,19; 3872,8; 2,31
-147,9; 0,0; 100,0; 112,91; 3863,2; 2,31
-146,7; 0,0; 100,0; 115,21; 3941,9; 2,35
-145,5; 0,0; 100,0; 118,72; 4062,0; 2,43
-144,3; 0,0; 100,0; 121,10; 4143,7; 2,47
-143,1; 0,0; 100,0; 121,05; 4142,0; 2,47
-141,9; 0,0; 100,0; 121,73; 4164,9; 2,49
-140,7; 0,0; 100,0; 124,22; 4250,4; 2,53
-139,5; 0,0; 100,0; 125,30; 4287,4; 2,56
-138,3; 0,0; 100,0; 125,42; 4291,3; 2,56
-137,1; 0,0; 100,0; 130,80; 4475,5; 2,68
-135,9; 0,0; 100,0; 131,48; 4498,7; 2,68
-134,7; 0,0; 100,0; 132,49; 4533,1; 2,70
-133,5; 0,0; 100,0; 135,51; 4636,7; 2,76
-132,3; 0,0; 100,0; 136,41; 4667,3; 2,78
-131,1; 0,0; 100,0; 141,39; 4837,7; 2,88
-129,9; 0,0; 100,0; 142,63; 4880,2; 2,91
-128,7; 0,0; 100,0; 145,56; 4980,5; 2,97
-127,5; 0,0; 100,0; 151,43; 5181,4; 3,09
-126,3; 0,0; 100,0; 152,81; 5228,6; 3,12
-125,1; 0,0; 100,0; 152,26; 5209,8; 3,11
-123,9; 0,0; 100,0; 155,96; 5336,3; 3,18
-122,7; 0,0; 100,0; 161,76; 5534,6; 3,30
-121,5; 0,0; 100,0; 161,02; 5509,4; 3,29
-120,3; 0,0; 100,0; 166,78; 5706,5; 3,40
-119,1; 0,0; 100,0; 166,77; 5706,0; 3,39
-117,8; 0,0; 100,0; 170,75; 5842,3; 3,48
-116,7; 0,0; 100,0; 175,50; 6004,7; 3,58
-115,4; 0,0; 100,0; 178,38; 6103,3; 3,64
-114,2; 0,0; 100,0; 185,21; 6337,2; 3,78
-113,0; 0,0; 100,0; 189,00; 6466,7; 3,85
-111,8; 0,0; 100,0; 189,41; 6480,9; 3,86
