Measurement time:; 23/08/2022 08:52:49
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 300 x 300 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-187,0; 0,0; 100,0; 16,04; 31759,4; 15,29
-186,6; 0,0; 100,0; 15,26; 30210,0; 15,29
-186,0; 0,0; 100,0; 15,42; 30536,4; 15,40
-185,6; 0,0; 100,0; 15,54; 30772,2; 15,55
-185,2; 0,0; 100,0; 15,68; 31038,7; 15,66
-184,9; 0,0; 100,0; 15,75; 31188,6; 15,75
-184,5; 0,0; 100,0; 15,84; 31366,9; 15,86
-184,1; 0,0; 100,0; 15,99; 31651,3; 15,99
-183,7; 0,0; 100,0; 16,16; 31994,4; 16,09
-183,3; 0,0; 100,0; 16,13; 31939,4; 16,18
-182,9; 0,0; 100,0; 16,29; 32242,2; 16,31
-182,4; 0,0; 100,0; 16,53; 32731,3; 16,47
-182,0; 0,0; 100,0; 16,59; 32845,7; 16,61
-181,7; 0,0; 100,0; 16,66; 32985,3; 16,71
-181,3; 0,0; 100,0; 16,81; 33276,7; 16,81
-180,9; 0,0; 100,0; 16,92; 33500,8; 16,94
-180,4; 0,0; 100,0; 17,06; 33781,2; 17,07
-180,0; 0,0; 100,0; 17,20; 34060,5; 17,20
-179,6; 0,0; 100,0; 17,30; 34245,6; 17,35
-179,2; 0,0; 100,0; 17,54; 34727,7; 17,50
-178,8; 0,0; 100,0; 17,59; 34826,8; 17,64
-178,4; 0,0; 100,0; 17,80; 35238,8; 17,75
-178,0; 0,0; 100,0; 17,86; 35357,2; 17,87
-177,6; 0,0; 100,0; 18,00; 35635,9; 18,05
-177,2; 0,0; 100,0; 18,27; 36175,4; 18,26
-176,8; 0,0; 100,0; 18,50; 36630,9; 18,48
-176,4; 0,0; 100,0; 18,66; 36932,9; 18,67
-176,0; 0,0; 100,0; 18,88; 37381,9; 18,86
