Measurement time:; 02/09/2022 19:41:19;;;;
Radiation device:; Clinac3 Accelerator;;;;
Energy:; 6 MeV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 150 x 150 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;200;2,03;2980,7;3,48
0;0;199,3;1,57;2305,9;1,84
0;0;198;1,57;2305,3;1,84
0;0;196,8;1,56;2286,1;1,86
0;0;195,6;1,58;2310;1,81
0;0;194,4;1,58;2318,8;1,86
0;0;193,2;1,58;2320,8;1,89
0;0;192;1,57;2296,2;1,8
0;0;190,8;1,59;2331,2;1,88
0;0;189,6;1,63;2383,5;1,94
0;0;188,4;1,55;2266,1;1,78
0;0;187,2;1,57;2301,6;1,85
0;0;186;1,63;2381,7;1,94
0;0;184,8;1,54;2255;1,77
0;0;183,6;1,54;2259,8;1,82
0;0;182,3;1,58;2307,7;1,88
0;0;181,1;1,57;2303,9;1,8
0;0;180;1,56;2290,6;1,84
0;0;178,8;1,57;2297;1,87
0;0;177,5;1,49;2182,1;1,71
0;0;176,3;1,53;2247,6;1,8
0;0;175,1;1,53;2242,3;1,83
0;0;173,9;1,47;2160,1;1,68
0;0;172,7;1,55;2277,5;1,85
0;0;171,5;1,55;2276,2;1,85
0;0;170,3;1,5;2190,5;1,7
0;0;169,1;1,54;2249,7;1,82
0;0;167,9;1,53;2245,5;1,83
0;0;166,7;1,5;2190,5;1,72
0;0;165,5;1,47;2151,4;1,74
0;0;164,3;1,5;2195,5;1,78
0;0;163,1;1,5;2192,4;1,71
0;0;161,9;1,5;2203;1,79
0;0;160,7;1,46;2132,7;1,74
0;0;159,5;1,51;2206,3;1,72
0;0;158,3;1,51;2217,6;1,8
0;0;157,1;1,53;2239,5;1,81
0;0;155,9;1,45;2125,9;1,66
0;0;154,7;1,45;2119,6;1,71
0;0;153,5;1,49;2178,6;1,78
0;0;152,3;1,43;2098,4;1,65
0;0;151,1;1,52;2219,7;1,8
0;0;149,9;1,49;2175,3;1,77
0;0;148,7;1,45;2128;1,69
0;0;147,5;1,42;2083,5;1,68
0;0;146,3;1,47;2153,8;1,71
0;0;145,1;1,41;2066,6;1,63
0;0;143,9;1,45;2118,5;1,68
0;0;142,7;1,49;2187,5;1,75
0;0;141,5;1,47;2150;1,72
0;0;140,3;1,41;2060,1;1,62
0;0;139;1,48;2164,2;1,78
0;0;137,9;1,43;2098,1;1,68
0;0;136,6;1,42;2086,3;1,7
0;0;135,4;1,4;2045,8;1,62
0;0;134,3;1,4;2044;1,64
0;0;133;1,43;2095,1;1,71
0;0;131,8;1,45;2121,4;1,66
0;0;130,6;1,46;2140,5;1,73
0;0;129,4;1,43;2094,9;1,71
0;0;128,2;1,45;2118,4;1,65
0;0;127;1,42;2076,9;1,69
0;0;125,8;1,42;2078;1,7
0;0;124,6;1,43;2087,7;1,62
0;0;123,4;1,43;2087,9;1,69
0;0;122,2;1,41;2058,9;1,67
0;0;121;1,39;2031,1;1,59
0;0;119,8;1,42;2085;1,68
0;0;118,6;1,45;2118,8;1,72
0;0;117,4;1,37;2002,7;1,58
