Measurement time:; 02/09/2022 21:04:31
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
151,4; 0,0; 28,0; 0,69; 1372,4; 0,55
150,4; 0,0; 28,0; 1,51; 2990,8; 1,52
148,6; 0,0; 28,0; 1,51; 2989,7; 1,50
147,2; 0,0; 28,0; 1,40; 2764,8; 1,18
146,0; 0,0; 28,0; 1,52; 3006,5; 1,81
144,9; 0,0; 28,0; 1,44; 2850,3; 1,42
143,9; 0,0; 28,0; 1,47; 2907,6; 1,41
142,6; 0,0; 28,0; 1,48; 2916,6; 1,54
141,4; 0,0; 28,0; 1,45; 2872,2; 1,27
140,1; 0,0; 28,0; 1,52; 2993,8; 1,73
138,9; 0,0; 28,0; 1,46; 2885,1; 1,41
137,7; 0,0; 28,0; 1,47; 2897,8; 1,42
136,5; 0,0; 28,0; 1,49; 2952,0; 1,58
135,3; 0,0; 28,0; 1,42; 2797,5; 1,22
134,1; 0,0; 28,0; 1,57; 3104,3; 1,76
132,9; 0,0; 28,0; 1,45; 2857,1; 1,39
131,7; 0,0; 28,0; 1,43; 2821,4; 1,39
130,5; 0,0; 28,0; 1,44; 2845,6; 1,49
129,3; 0,0; 28,0; 1,38; 2719,7; 1,17
128,1; 0,0; 28,0; 1,46; 2889,5; 1,66
126,9; 0,0; 28,0; 1,41; 2786,5; 1,36
125,7; 0,0; 28,0; 1,45; 2865,5; 1,41
124,5; 0,0; 28,0; 1,46; 2887,6; 1,59
123,3; 0,0; 28,0; 1,43; 2819,2; 1,36
122,1; 0,0; 28,0; 1,44; 2839,3; 1,61
120,9; 0,0; 28,0; 1,26; 2494,8; 1,20
119,7; 0,0; 28,0; 1,43; 2829,7; 1,44
118,5; 0,0; 28,0; 1,42; 2808,8; 1,47
117,2; 0,0; 28,0; 1,37; 2701,9; 1,18
116,1; 0,0; 28,0; 1,38; 2716,5; 1,55
114,8; 0,0; 28,0; 1,34; 2650,0; 1,29
113,6; 0,0; 28,0; 1,38; 2719,9; 1,39
112,4; 0,0; 28,0; 1,37; 2699,8; 1,42
111,2; 0,0; 28,0; 1,25; 2474,3; 1,09
110,0; 0,0; 28,0; 1,35; 2674,6; 1,49
108,8; 0,0; 28,0; 1,45; 2854,6; 1,41
107,6; 0,0; 28,0; 1,36; 2689,3; 1,46
106,4; 0,0; 28,0; 1,35; 2674,0; 1,36
105,1; 0,0; 28,0; 1,18; 2329,8; 1,09
104,0; 0,0; 28,0; 1,31; 2596,1; 1,37
102,7; 0,0; 28,0; 1,32; 2611,1; 1,34
101,5; 0,0; 28,0; 1,32; 2604,3; 1,37
100,3; 0,0; 28,0; 1,28; 2535,5; 1,28
99,1; 0,0; 28,0; 1,22; 2409,9; 1,10
97,9; 0,0; 28,0; 1,27; 2506,8; 1,30
96,6; 0,0; 28,0; 1,12; 2212,4; 1,14
95,5; 0,0; 28,0; 1,21; 2386,3; 1,26
94,3; 0,0; 28,0; 1,19; 2357,2; 1,15
93,0; 0,0; 28,0; 1,10; 2172,1; 1,02
91,8; 0,0; 28,0; 1,05; 2070,7; 1,06
90,6; 0,0; 28,0; 1,13; 2223,3; 1,20
89,4; 0,0; 28,0; 1,00; 1984,3; 1,01
88,2; 0,0; 28,0; 0,92; 1815,6; 0,88
87,0; 0,0; 28,0; 0,74; 1455,1; 0,68
85,8; 0,0; 28,0; 0,70; 1376,8; 0,70
84,5; 0,0; 28,0; 0,63; 1237,5; 0,66
83,4; 0,0; 28,0; 0,42; 823,0; 0,41
82,1; 0,0; 28,0; 0,40; 786,6; 0,41
80,9; 0,0; 28,0; 0,31; 614,6; 0,32
79,7; 0,0; 28,0; 0,14; 285,6; 0,14
78,5; 0,0; 28,0; 0,01; 16,8; 0,01
77,3; 0,0; 28,0; 0,19; 374,2; 0,19
76,1; 0,0; 28,0; 0,47; 923,0; 0,45
74,9; 0,0; 28,0; 0,64; 1273,5; 0,61
73,7; 0,0; 28,0; 0,94; 1866,4; 0,96
72,5; 0,0; 28,0; 1,05; 2066,3; 1,10
71,3; 0,0; 28,0; 1,58; 3124,4; 1,59
70,1; 0,0; 28,0; 2,17; 4293,9; 2,11
68,8; 0,0; 28,0; 2,71; 5353,6; 2,59
67,6; 0,0; 28,0; 2,70; 5336,5; 2,97
66,4; 0,0; 28,0; 3,81; 7533,5; 3,90
65,2; 0,0; 28,0; 5,68; 11228,4; 5,08
64,0; 0,0; 28,0; 5,44; 10737,7; 5,84
62,8; 0,0; 28,0; 7,17; 14164,2; 7,34
61,6; 0,0; 28,0; 9,14; 18049,0; 8,96
60,3; 0,0; 28,0; 11,40; 22510,7; 11,09
59,2; 0,0; 28,0; 13,18; 26032,6; 13,58
58,0; 0,0; 28,0; 16,12; 31844,9; 16,64
56,7; 0,0; 28,0; 21,01; 41488,7; 20,83
55,6; 0,0; 28,0; 24,13; 47653,0; 25,32
54,3; 0,0; 28,0; 31,74; 62698,2; 31,00
53,1; 0,0; 28,0; 37,87; 74795,4; 36,88
51,9; 0,0; 28,0; 45,95; 90754,8; 43,50
50,7; 0,0; 28,0; 51,00; 100734,3; 49,95
49,5; 0,0; 28,0; 54,16; 106978,1; 56,65
48,3; 0,0; 28,0; 63,78; 125970,6; 63,12
47,1; 0,0; 28,0; 72,41; 143007,2; 69,16
45,9; 0,0; 28,0; 66,67; 131679,2; 73,59
44,6; 0,0; 28,0; 74,79; 147718,0; 78,75
43,5; 0,0; 28,0; 80,41; 158823,1; 82,34
42,2; 0,0; 28,0; 88,98; 175742,6; 85,84
41,0; 0,0; 28,0; 91,78; 181276,4; 88,60
39,8; 0,0; 28,0; 96,38; 190353,8; 90,87
38,6; 0,0; 28,0; 91,24; 180209,4; 92,02
37,5; 0,0; 28,0; 88,43; 174652,5; 93,21
36,2; 0,0; 28,0; 96,66; 190904,2; 94,81
35,1; 0,0; 28,0; 99,06; 195658,4; 95,45
33,8; 0,0; 28,0; 98,41; 194363,9; 96,05
