Measurement time:; 07/09/2022 19:11:32
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; ROOS
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 60 x 60 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 150,0; 0,36; 2018,7; 0,55
0,0; 0,0; 149,3; 1,04; 5746,0; 0,94
0,0; 0,0; 147,9; 1,09; 6059,1; 0,96
0,0; 0,0; 146,7; 1,06; 5854,3; 0,96
0,0; 0,0; 145,5; 1,08; 5999,7; 0,96
0,0; 0,0; 144,3; 1,09; 6049,6; 0,98
0,0; 0,0; 143,1; 1,09; 6047,4; 0,98
0,0; 0,0; 141,9; 1,11; 6168,9; 0,99
0,0; 0,0; 140,7; 1,10; 6083,7; 0,98
0,0; 0,0; 139,5; 1,12; 6185,4; 1,00
0,0; 0,0; 138,3; 1,12; 6200,2; 1,00
0,0; 0,0; 137,1; 1,16; 6419,3; 1,03
0,0; 0,0; 135,9; 1,15; 6379,1; 1,03
0,0; 0,0; 134,7; 1,15; 6397,7; 1,03
0,0; 0,0; 133,5; 1,18; 6529,9; 1,05
0,0; 0,0; 132,3; 1,17; 6488,1; 1,05
0,0; 0,0; 131,1; 1,20; 6677,3; 1,06
0,0; 0,0; 129,9; 1,19; 6609,6; 1,07
0,0; 0,0; 128,7; 1,20; 6675,2; 1,07
0,0; 0,0; 127,5; 1,24; 6901,4; 1,10
0,0; 0,0; 126,3; 1,22; 6752,2; 1,09
0,0; 0,0; 125,1; 1,25; 6910,4; 1,11
0,0; 0,0; 123,9; 1,24; 6893,2; 1,11
0,0; 0,0; 122,7; 1,27; 7016,5; 1,13
0,0; 0,0; 121,5; 1,27; 7034,3; 1,13
0,0; 0,0; 120,3; 1,28; 7096,2; 1,14
0,0; 0,0; 119,1; 1,30; 7226,7; 1,16
0,0; 0,0; 117,9; 1,32; 7314,4; 1,18
0,0; 0,0; 116,7; 1,32; 7293,9; 1,17
0,0; 0,0; 115,5; 1,32; 7312,7; 1,18
0,0; 0,0; 114,3; 1,36; 7524,5; 1,21
0,0; 0,0; 113,1; 1,34; 7442,3; 1,21
0,0; 0,0; 111,9; 1,37; 7574,9; 1,22
0,0; 0,0; 110,7; 1,37; 7598,7; 1,22
0,0; 0,0; 109,5; 1,38; 7653,4; 1,25
0,0; 0,0; 108,3; 1,40; 7770,5; 1,25
0,0; 0,0; 107,1; 1,41; 7834,9; 1,26
0,0; 0,0; 105,8; 1,43; 7938,4; 1,28
0,0; 0,0; 104,7; 1,43; 7951,0; 1,29
0,0; 0,0; 103,4; 1,47; 8127,4; 1,29
0,0; 0,0; 102,3; 1,44; 7976,5; 1,29
0,0; 0,0; 101,1; 1,47; 8164,5; 1,32
0,0; 0,0; 99,8; 1,50; 8301,6; 1,32
0,0; 0,0; 98,7; 1,50; 8343,7; 1,35
0,0; 0,0; 97,4; 1,51; 8357,6; 1,35
0,0; 0,0; 96,2; 1,59; 8822,4; 1,37
0,0; 0,0; 95,0; 1,51; 8378,0; 1,37
0,0; 0,0; 93,8; 1,58; 8758,4; 1,38
0,0; 0,0; 92,6; 1,63; 9014,7; 1,41
0,0; 0,0; 91,4; 1,57; 8697,0; 1,42
0,0; 0,0; 90,2; 1,65; 9124,2; 1,43
0,0; 0,0; 89,0; 1,61; 8936,4; 1,45
0,0; 0,0; 87,8; 1,61; 8947,3; 1,46
