Measurement time:; 07/09/2022 17:12:56
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
150,0; 0,0; 0,0; 0,32; 634,9; 0,71
149,2; 0,0; 0,0; 0,70; 1376,3; 0,77
147,8; 0,0; 0,0; 0,70; 1374,1; 0,76
146,6; 0,0; 0,0; 0,66; 1295,8; 0,73
145,4; 0,0; 0,0; 0,69; 1350,4; 0,74
144,2; 0,0; 0,0; 0,67; 1317,0; 0,72
143,0; 0,0; 0,0; 0,69; 1357,9; 0,77
141,8; 0,0; 0,0; 0,73; 1430,8; 0,80
140,6; 0,0; 0,0; 0,66; 1285,8; 0,71
139,4; 0,0; 0,0; 0,71; 1380,8; 0,78
138,2; 0,0; 0,0; 0,68; 1324,6; 0,76
137,0; 0,0; 0,0; 0,69; 1354,8; 0,74
135,8; 0,0; 0,0; 0,68; 1336,7; 0,76
134,6; 0,0; 0,0; 0,68; 1338,6; 0,75
133,4; 0,0; 0,0; 0,73; 1421,2; 0,78
132,2; 0,0; 0,0; 0,70; 1377,3; 0,78
131,0; 0,0; 0,0; 0,73; 1432,9; 0,78
129,8; 0,0; 0,0; 0,71; 1390,8; 0,76
128,6; 0,0; 0,0; 0,67; 1321,1; 0,75
127,4; 0,0; 0,0; 0,70; 1360,8; 0,74
126,2; 0,0; 0,0; 0,67; 1302,5; 0,74
125,0; 0,0; 0,0; 0,66; 1292,0; 0,73
123,8; 0,0; 0,0; 0,69; 1350,1; 0,76
122,6; 0,0; 0,0; 0,67; 1304,4; 0,70
121,4; 0,0; 0,0; 0,66; 1288,8; 0,73
120,2; 0,0; 0,0; 0,67; 1314,7; 0,75
119,0; 0,0; 0,0; 0,71; 1392,2; 0,76
117,8; 0,0; 0,0; 0,66; 1301,5; 0,75
116,6; 0,0; 0,0; 0,69; 1352,8; 0,76
115,4; 0,0; 0,0; 0,73; 1432,6; 0,78
114,2; 0,0; 0,0; 0,69; 1346,8; 0,77
113,0; 0,0; 0,0; 0,71; 1397,9; 0,77
111,8; 0,0; 0,0; 0,76; 1485,9; 0,80
110,6; 0,0; 0,0; 0,70; 1371,7; 0,79
109,4; 0,0; 0,0; 0,69; 1341,2; 0,78
108,2; 0,0; 0,0; 0,78; 1529,6; 0,82
106,9; 0,0; 0,0; 0,71; 1382,1; 0,80
105,8; 0,0; 0,0; 0,79; 1545,7; 0,86
104,6; 0,0; 0,0; 0,81; 1579,6; 0,84
103,4; 0,0; 0,0; 0,77; 1500,9; 0,87
102,2; 0,0; 0,0; 0,81; 1578,0; 0,89
101,0; 0,0; 0,0; 0,88; 1723,3; 0,92
99,8; 0,0; 0,0; 0,80; 1567,4; 0,91
98,6; 0,0; 0,0; 0,86; 1682,4; 0,95
97,3; 0,0; 0,0; 0,88; 1716,3; 0,94
96,2; 0,0; 0,0; 0,96; 1872,2; 1,04
94,9; 0,0; 0,0; 0,89; 1750,3; 1,04
93,7; 0,0; 0,0; 1,00; 1956,4; 1,06
92,5; 0,0; 0,0; 0,99; 1941,5; 1,13
91,3; 0,0; 0,0; 1,11; 2169,3; 1,22
90,2; 0,0; 0,0; 1,15; 2252,8; 1,21
88,9; 0,0; 0,0; 1,11; 2172,0; 1,27
87,7; 0,0; 0,0; 1,16; 2276,8; 1,26
86,5; 0,0; 0,0; 1,27; 2492,9; 1,32
85,3; 0,0; 0,0; 1,18; 2300,7; 1,33
84,1; 0,0; 0,0; 1,33; 2601,7; 1,44
82,9; 0,0; 0,0; 1,42; 2779,2; 1,50
81,7; 0,0; 0,0; 1,38; 2700,6; 1,56
80,5; 0,0; 0,0; 1,43; 2797,3; 1,57
79,3; 0,0; 0,0; 1,55; 3036,0; 1,64
78,1; 0,0; 0,0; 1,51; 2948,8; 1,72
76,9; 0,0; 0,0; 1,58; 3096,6; 1,74
75,7; 0,0; 0,0; 1,77; 3460,4; 1,86
74,5; 0,0; 0,0; 1,75; 3419,8; 1,98
73,3; 0,0; 0,0; 1,95; 3820,3; 2,11
72,1; 0,0; 0,0; 2,09; 4087,7; 2,18
70,9; 0,0; 0,0; 1,98; 3879,4; 2,27
69,7; 0,0; 0,0; 2,19; 4287,8; 2,38
68,5; 0,0; 0,0; 2,34; 4583,1; 2,43
67,3; 0,0; 0,0; 2,28; 4461,2; 2,59
66,1; 0,0; 0,0; 2,36; 4625,8; 2,70
64,9; 0,0; 0,0; 2,68; 5238,7; 2,80
63,7; 0,0; 0,0; 2,58; 5050,5; 2,95
62,5; 0,0; 0,0; 2,84; 5553,6; 3,12
61,3; 0,0; 0,0; 3,16; 6179,2; 3,32
60,1; 0,0; 0,0; 3,01; 5885,7; 3,44
58,8; 0,0; 0,0; 3,26; 6371,3; 3,62
57,7; 0,0; 0,0; 3,69; 7216,0; 3,91
56,4; 0,0; 0,0; 3,77; 7376,1; 4,25
55,2; 0,0; 0,0; 4,74; 9284,5; 5,24
