Measurement time:; 07/09/2022 18:27:16
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW31014 perpendiculaire
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-151,4; 0,0; 28,0; 4,88; 1002,3; 3,44
-150,7; 0,0; 28,0; 0,59; 120,8; 0,59
-149,3; 0,0; 28,0; 0,48; 98,7; 0,48
-148,1; 0,0; 28,0; 0,45; 92,1; 0,45
-146,9; 0,0; 28,0; 0,73; 150,1; 0,73
-145,7; 0,0; 28,0; 0,61; 124,9; 0,61
-144,5; 0,0; 28,0; 1,20; 246,3; 1,20
-143,3; 0,0; 28,0; 1,04; 214,5; 1,05
-142,1; 0,0; 28,0; 0,68; 140,1; 0,68
-140,9; 0,0; 28,0; 0,89; 183,0; 0,89
-139,7; 0,0; 28,0; 0,84; 173,0; 0,84
-138,5; 0,0; 28,0; 0,97; 199,5; 0,96
-137,3; 0,0; 28,0; 0,82; 168,4; 0,82
-136,1; 0,0; 28,0; 0,86; 176,4; 0,85
-134,9; 0,0; 28,0; 0,91; 186,6; 0,90
-133,7; 0,0; 28,0; 0,46; 94,3; 0,45
-132,5; 0,0; 28,0; 0,88; 180,1; 0,86
-131,3; 0,0; 28,0; 1,08; 221,2; 1,12
-130,1; 0,0; 28,0; 0,82; 168,3; 0,81
-128,9; 0,0; 28,0; 1,10; 225,9; 1,09
-127,7; 0,0; 28,0; 1,06; 217,3; 1,06
-126,5; 0,0; 28,0; 1,11; 229,1; 1,11
-125,3; 0,0; 28,0; 0,98; 201,5; 0,99
-124,1; 0,0; 28,0; 1,05; 214,8; 1,05
-122,9; 0,0; 28,0; 0,90; 184,1; 0,89
-121,7; 0,0; 28,0; 0,93; 191,8; 0,94
-120,5; 0,0; 28,0; 0,85; 173,9; 0,84
-119,3; 0,0; 28,0; 1,33; 272,6; 1,31
-118,1; 0,0; 28,0; 1,10; 225,8; 1,09
-116,9; 0,0; 28,0; 0,78; 159,8; 0,77
-115,7; 0,0; 28,0; 0,72; 148,6; 0,72
-114,5; 0,0; 28,0; 1,31; 268,6; 1,29
-113,3; 0,0; 28,0; 0,83; 170,3; 0,86
-112,0; 0,0; 28,0; 1,09; 224,8; 1,08
-110,9; 0,0; 28,0; 1,36; 280,5; 1,34
-109,6; 0,0; 28,0; 1,05; 216,3; 1,06
-108,5; 0,0; 28,0; 0,90; 185,2; 0,90
-107,3; 0,0; 28,0; 1,09; 224,8; 1,10
-106,0; 0,0; 28,0; 1,25; 257,5; 1,28
-104,9; 0,0; 28,0; 0,91; 186,4; 0,91
-103,6; 0,0; 28,0; 0,88; 180,4; 0,89
-102,4; 0,0; 28,0; 1,11; 228,1; 1,12
-101,2; 0,0; 28,0; 1,21; 248,0; 1,21
-100,0; 0,0; 28,0; 1,13; 232,9; 1,15
-98,8; 0,0; 28,0; 0,96; 196,5; 0,97
-97,6; 0,0; 28,0; 1,36; 278,9; 1,38
-96,4; 0,0; 28,0; 0,92; 188,9; 0,92
-95,2; 0,0; 28,0; 1,08; 221,3; 1,09
-94,0; 0,0; 28,0; 1,43; 294,6; 1,43
-92,8; 0,0; 28,0; 1,19; 244,3; 1,18
