Measurement time:; 07/09/2022 18:43:02
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; ROOS
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-151,4; 0,0; 28,0; 0,25; 1547,0; 0,26
-150,6; 0,0; 28,0; 0,27; 1700,8; 0,28
-149,2; 0,0; 28,0; 0,31; 1973,6; 0,31
-148,1; 0,0; 28,0; 0,28; 1794,5; 0,29
-146,8; 0,0; 28,0; 0,28; 1736,9; 0,29
-145,6; 0,0; 28,0; 0,32; 2027,8; 0,32
-144,4; 0,0; 28,0; 0,32; 2016,2; 0,30
-143,2; 0,0; 28,0; 0,30; 1867,2; 0,31
-142,0; 0,0; 28,0; 0,28; 1794,4; 0,30
-140,8; 0,0; 28,0; 0,31; 1946,3; 0,30
-139,6; 0,0; 28,0; 0,29; 1857,4; 0,31
-138,4; 0,0; 28,0; 0,30; 1864,3; 0,30
-137,2; 0,0; 28,0; 0,32; 1998,7; 0,31
-136,0; 0,0; 28,0; 0,27; 1709,7; 0,28
-134,9; 0,0; 28,0; 0,30; 1921,1; 0,31
-133,6; 0,0; 28,0; 0,31; 1951,3; 0,30
-132,4; 0,0; 28,0; 0,31; 1935,0; 0,32
-131,2; 0,0; 28,0; 0,32; 2031,1; 0,32
-130,0; 0,0; 28,0; 0,31; 1954,2; 0,31
-128,8; 0,0; 28,0; 0,30; 1865,4; 0,31
-127,6; 0,0; 28,0; 0,30; 1904,4; 0,30
-126,4; 0,0; 28,0; 0,31; 1939,4; 0,30
-125,2; 0,0; 28,0; 0,30; 1909,1; 0,31
-124,0; 0,0; 28,0; 0,28; 1792,5; 0,29
-122,8; 0,0; 28,0; 0,32; 1987,4; 0,30
-121,6; 0,0; 28,0; 0,29; 1830,8; 0,30
-120,4; 0,0; 28,0; 0,30; 1868,2; 0,31
-119,2; 0,0; 28,0; 0,32; 2017,5; 0,30
-118,0; 0,0; 28,0; 0,32; 2029,1; 0,33
-116,8; 0,0; 28,0; 0,31; 1957,2; 0,31
-115,6; 0,0; 28,0; 0,34; 2113,9; 0,33
-114,4; 0,0; 28,0; 0,34; 2129,1; 0,35
-113,2; 0,0; 28,0; 0,32; 2044,8; 0,33
-112,0; 0,0; 28,0; 0,33; 2054,2; 0,33
-110,8; 0,0; 28,0; 0,34; 2147,0; 0,36
-109,6; 0,0; 28,0; 0,34; 2143,8; 0,34
-108,4; 0,0; 28,0; 0,38; 2411,8; 0,37
-107,2; 0,0; 28,0; 0,36; 2242,2; 0,36
-106,0; 0,0; 28,0; 0,37; 2347,7; 0,39
-104,8; 0,0; 28,0; 0,41; 2605,2; 0,40
-103,6; 0,0; 28,0; 0,40; 2498,6; 0,41
-102,4; 0,0; 28,0; 0,43; 2679,3; 0,43
