Measurement time:; 07/09/2022 18:59:16
Radiation device:; Clinac3 Accelerator
Energy:; 18 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; ROOS
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1050 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 200,0; 2,61; 14480,4; 2,52
0,0; 0,0; 199,3; 2,39; 13272,4; 2,34
0,0; 0,0; 197,9; 2,35; 13059,8; 2,34
0,0; 0,0; 196,7; 2,34; 12959,9; 2,37
0,0; 0,0; 195,5; 2,44; 13535,7; 2,38
0,0; 0,0; 194,3; 2,42; 13426,9; 2,41
0,0; 0,0; 193,1; 2,39; 13250,1; 2,41
0,0; 0,0; 191,9; 2,45; 13562,2; 2,41
0,0; 0,0; 190,7; 2,49; 13832,8; 2,44
0,0; 0,0; 189,5; 2,46; 13663,2; 2,46
0,0; 0,0; 188,3; 2,50; 13845,3; 2,46
0,0; 0,0; 187,1; 2,53; 14025,3; 2,46
0,0; 0,0; 185,9; 2,49; 13837,0; 2,50
0,0; 0,0; 184,7; 2,52; 13991,8; 2,49
0,0; 0,0; 183,5; 2,60; 14400,5; 2,52
0,0; 0,0; 182,3; 2,54; 14101,3; 2,56
0,0; 0,0; 181,1; 2,56; 14181,7; 2,54
0,0; 0,0; 179,9; 2,63; 14563,4; 2,57
0,0; 0,0; 178,7; 2,55; 14127,9; 2,58
0,0; 0,0; 177,5; 2,61; 14482,3; 2,60
0,0; 0,0; 176,3; 2,71; 15003,7; 2,63
0,0; 0,0; 175,1; 2,63; 14585,4; 2,65
0,0; 0,0; 173,9; 2,66; 14729,5; 2,66
0,0; 0,0; 172,7; 2,74; 15209,9; 2,66
0,0; 0,0; 171,5; 2,69; 14931,6; 2,70
0,0; 0,0; 170,3; 2,72; 15076,2; 2,71
0,0; 0,0; 169,1; 2,82; 15641,3; 2,73
0,0; 0,0; 167,9; 2,74; 15198,9; 2,75
0,0; 0,0; 166,7; 2,77; 15376,0; 2,77
0,0; 0,0; 165,5; 2,89; 16007,1; 2,79
0,0; 0,0; 164,3; 2,80; 15507,2; 2,80
0,0; 0,0; 163,1; 2,83; 15707,4; 2,82
0,0; 0,0; 161,9; 2,95; 16364,4; 2,84
0,0; 0,0; 160,7; 2,83; 15681,7; 2,85
0,0; 0,0; 159,5; 2,89; 16008,0; 2,87
