Measurement time:; 29/09/2022 19:18:35
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; ROOS
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 150,0; 1,24; 7053,7; 1,11
0,0; 0,0; 149,1; 1,10; 6288,6; 1,07
0,0; 0,0; 147,6; 1,25; 7138,1; 1,10
0,0; 0,0; 146,6; 1,14; 6513,3; 1,09
0,0; 0,0; 145,3; 1,12; 6370,0; 1,11
0,0; 0,0; 144,1; 1,24; 7059,8; 1,12
0,0; 0,0; 142,9; 1,20; 6842,5; 1,14
0,0; 0,0; 141,7; 1,26; 7162,8; 1,15
0,0; 0,0; 140,5; 1,17; 6650,7; 1,15
0,0; 0,0; 139,3; 1,17; 6655,2; 1,16
0,0; 0,0; 138,1; 1,32; 7495,2; 1,19
0,0; 0,0; 136,9; 1,23; 6990,5; 1,19
0,0; 0,0; 135,7; 1,23; 7016,4; 1,18
0,0; 0,0; 134,5; 1,33; 7565,9; 1,20
0,0; 0,0; 133,3; 1,22; 6943,3; 1,20
0,0; 0,0; 132,1; 1,33; 7588,3; 1,22
0,0; 0,0; 130,9; 1,30; 7375,1; 1,22
0,0; 0,0; 129,7; 1,27; 7216,7; 1,23
0,0; 0,0; 128,5; 1,38; 7864,0; 1,22
0,0; 0,0; 127,3; 1,28; 7276,8; 1,25
0,0; 0,0; 126,0; 1,29; 7356,1; 1,25
0,0; 0,0; 124,9; 1,30; 7425,9; 1,27
0,0; 0,0; 123,6; 1,42; 8066,2; 1,29
0,0; 0,0; 122,4; 1,38; 7828,8; 1,29
0,0; 0,0; 121,3; 1,34; 7606,8; 1,30
0,0; 0,0; 120,0; 1,42; 8100,0; 1,29
0,0; 0,0; 118,9; 1,38; 7860,3; 1,32
0,0; 0,0; 117,6; 1,36; 7751,1; 1,31
0,0; 0,0; 116,4; 1,44; 8198,9; 1,35
0,0; 0,0; 115,2; 1,37; 7781,6; 1,34
0,0; 0,0; 114,0; 1,50; 8516,1; 1,35
0,0; 0,0; 112,8; 1,39; 7911,4; 1,35
0,0; 0,0; 111,6; 1,44; 8208,1; 1,40
0,0; 0,0; 110,4; 1,49; 8459,5; 1,39
0,0; 0,0; 109,2; 1,45; 8239,2; 1,42
0,0; 0,0; 108,0; 1,54; 8778,8; 1,41
0,0; 0,0; 106,8; 1,48; 8403,7; 1,43
0,0; 0,0; 105,6; 1,48; 8421,6; 1,45
0,0; 0,0; 104,4; 1,56; 8884,0; 1,45
0,0; 0,0; 103,2; 1,52; 8633,4; 1,48
0,0; 0,0; 102,0; 1,62; 9226,3; 1,49
0,0; 0,0; 100,8; 1,53; 8697,6; 1,48
0,0; 0,0; 99,6; 1,52; 8636,7; 1,50
0,0; 0,0; 98,4; 1,66; 9462,9; 1,52
0,0; 0,0; 97,2; 1,57; 8946,2; 1,56
0,0; 0,0; 95,9; 1,68; 9536,3; 1,54
0,0; 0,0; 94,8; 1,58; 8974,1; 1,53
0,0; 0,0; 93,5; 1,60; 9117,1; 1,57
0,0; 0,0; 92,3; 1,73; 9821,1; 1,59
0,0; 0,0; 91,2; 1,63; 9249,9; 1,62
0,0; 0,0; 89,9; 1,73; 9845,2; 1,60
0,0; 0,0; 88,7; 1,65; 9366,3; 1,61
0,0; 0,0; 87,5; 1,67; 9522,9; 1,65
0,0; 0,0; 86,3; 1,82; 10383,0; 1,67
0,0; 0,0; 85,1; 1,67; 9497,1; 1,66
0,0; 0,0; 83,9; 1,81; 10277,1; 1,69
0,0; 0,0; 82,7; 1,76; 9996,7; 1,69
0,0; 0,0; 81,5; 1,73; 9820,7; 1,69
0,0; 0,0; 80,3; 1,84; 10461,6; 1,71
0,0; 0,0; 79,1; 1,76; 10022,4; 1,77
0,0; 0,0; 77,9; 1,83; 10397,9; 1,73
0,0; 0,0; 76,7; 1,80; 10254,8; 1,75
0,0; 0,0; 75,4; 1,82; 10378,2; 1,78
