Measurement time:; 12/04/2023 19:58:03
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; <none>
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
10,0; 0,0; 100,0; 2,08; 21021,6; 0,00
9,5; 0,0; 100,0; 2,41; 24354,7; 0,00
9,0; 0,0; 100,0; 2,83; 28669,4; 0,00
8,5; 0,0; 100,0; 3,35; 33941,4; 0,00
8,0; 0,0; 100,0; 4,05; 40970,2; 0,00
7,6; 0,0; 100,0; 4,91; 49654,4; 0,00
7,0; 0,0; 100,0; 6,42; 65004,7; 0,00
6,5; 0,0; 100,0; 8,27; 83677,0; 0,00
6,1; 0,0; 100,0; 11,06; 111900,2; 0,00
5,5; 0,0; 100,0; 17,15; 173530,5; 0,00
5,1; 0,0; 100,0; 29,47; 298161,4; 0,00
4,5; 0,0; 100,0; 61,54; 622620,0; 0,00
4,0; 0,0; 100,0; 80,50; 814487,6; 0,00
3,5; 0,0; 100,0; 87,70; 887289,9; 0,00
3,0; 0,0; 100,0; 92,19; 932793,8; 0,00
2,5; 0,0; 100,0; 94,94; 960575,2; 0,00
2,1; 0,0; 100,0; 96,70; 978414,8; 0,00
1,5; 0,0; 100,0; 98,30; 994599,5; 0,00
1,0; 0,0; 100,0; 99,02; 1001844,1; 0,00
0,5; 0,0; 100,0; 99,66; 1008313,5; 0,00
0,0; 0,0; 100,0; 99,98; 1011554,7; 0,00
-0,5; 0,0; 100,0; 100,35; 1015283,7; 0,00
-0,9; 0,0; 100,0; 99,60; 1007688,9; 0,00
-1,5; 0,0; 100,0; 99,20; 1003647,2; 0,00
-2,1; 0,0; 100,0; 97,82; 989755,4; 0,00
-2,5; 0,0; 100,0; 96,47; 976078,7; 0,00
-3,0; 0,0; 100,0; 94,39; 955021,1; 0,00
-3,4; 0,0; 100,0; 91,64; 927204,0; 0,00
-4,0; 0,0; 100,0; 86,23; 872471,4; 0,00
-4,5; 0,0; 100,0; 77,03; 779381,5; 0,00
-5,0; 0,0; 100,0; 51,61; 522224,6; 0,00
