Measurement time:; 12/04/2023 18:06:08
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
5,0; 0,0; 100,0; 97,71; 34144,8; 3,97
4,5; 0,0; 100,0; 140,14; 48973,5; 5,70
4,0; 0,0; 100,0; 194,29; 67896,0; 7,90
3,5; 0,0; 100,0; 308,49; 107801,2; 12,55
3,0; 0,0; 100,0; 499,06; 174398,1; 20,26
2,5; 0,0; 100,0; 866,43; 302775,5; 35,21
2,0; 0,0; 100,0; 1452,08; 507428,6; 59,05
1,5; 0,0; 100,0; 2003,44; 700104,6; 81,38
1,0; 0,0; 100,0; 2275,87; 795304,4; 92,42
0,6; 0,0; 100,0; 2407,50; 841303,4; 97,85
-0,1; 0,0; 100,0; 2464,92; 861366,9; 100,27
-0,5; 0,0; 100,0; 2439,73; 852564,1; 99,25
-1,0; 0,0; 100,0; 2354,74; 822866,6; 95,73
-1,5; 0,0; 100,0; 2133,14; 745428,1; 86,74
-2,0; 0,0; 100,0; 1694,82; 592255,7; 68,88
-2,5; 0,0; 100,0; 1142,05; 399091,4; 46,39
-3,0; 0,0; 100,0; 662,79; 231612,8; 26,97
-3,5; 0,0; 100,0; 408,10; 142610,5; 16,59
-4,0; 0,0; 100,0; 266,30; 93057,5; 10,84
-4,5; 0,0; 100,0; 175,73; 61408,8; 7,14
-5,0; 0,0; 100,0; 122,57; 42830,6; 4,99


Measurement time:; 12/04/2023 18:06:57
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 5,0; 100,0; 155,02; 54172,8; 6,30
0,0; 4,5; 100,0; 257,82; 90094,1; 10,49
0,0; 4,0; 100,0; 420,45; 146926,6; 17,11
0,0; 3,5; 100,0; 693,21; 242243,6; 28,19
0,0; 3,0; 100,0; 1110,45; 388048,1; 45,16
0,0; 2,4; 100,0; 1664,66; 581714,5; 67,72
0,0; 1,9; 100,0; 2023,11; 706976,4; 82,30
0,0; 1,4; 100,0; 2250,34; 786383,1; 91,46
0,0; 1,0; 100,0; 2363,39; 825886,7; 95,95
0,0; 0,5; 100,0; 2428,48; 848633,3; 98,70
0,0; 0,0; 100,0; 2461,33; 860112,3; 100,06
0,0; -0,5; 100,0; 2458,56; 859144,7; 99,84
0,0; -1,0; 100,0; 2416,30; 844378,3; 98,19
0,0; -1,5; 100,0; 2301,10; 804120,1; 93,60
0,0; -2,0; 100,0; 2074,60; 724970,8; 84,37
0,0; -2,5; 100,0; 1669,76; 583497,5; 67,90
0,0; -3,0; 100,0; 1167,72; 408061,8; 47,51
0,0; -3,5; 100,0; 775,27; 270919,4; 31,54
0,0; -4,0; 100,0; 502,35; 175547,5; 20,43
0,0; -4,5; 100,0; 322,33; 112637,9; 13,11
0,0; -5,0; 100,0; 210,22; 73462,0; 8,55


Measurement time:; 12/04/2023 18:07:44
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 250,0; 819,69; 286442,0; 16,13
0,0; 0,0; 245,0; 845,62; 295502,1; 16,67
0,0; 0,0; 240,0; 878,37; 306946,0; 17,30
0,0; 0,0; 235,0; 907,50; 317125,8; 17,85
0,0; 0,0; 230,0; 940,27; 328578,4; 18,52
0,0; 0,0; 225,0; 977,00; 341413,7; 19,21
0,0; 0,0; 220,0; 1011,19; 353359,9; 19,92
0,0; 0,0; 215,1; 1045,77; 365445,3; 20,62
0,0; 0,0; 210,0; 1081,97; 378093,9; 21,32
0,0; 0,0; 205,1; 1124,98; 393125,8; 22,16
0,0; 0,0; 200,1; 1166,30; 407562,5; 22,98
