Measurement time:; 12/04/2023 18:56:46
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
20,0; 0,0; 100,0; 2,13; 22053,6; 1,94
18,9; 0,0; 100,0; 2,36; 24456,3; 2,15
18,0; 0,0; 100,0; 2,69; 27836,0; 2,45
17,0; 0,0; 100,0; 3,09; 32030,1; 2,82
16,0; 0,0; 100,0; 3,53; 36619,3; 3,22
15,0; 0,0; 100,0; 4,39; 45541,6; 4,01
14,0; 0,0; 100,0; 5,39; 55826,9; 4,91
13,0; 0,0; 100,0; 7,04; 72998,1; 6,42
12,0; 0,0; 100,0; 9,88; 102436,1; 9,01
11,1; 0,0; 100,0; 14,71; 152454,4; 13,41
10,0; 0,0; 100,0; 28,34; 293760,0; 25,84
9,1; 0,0; 100,0; 63,93; 662650,2; 58,30
8,1; 0,0; 100,0; 89,92; 931979,2; 81,99
7,0; 0,0; 100,0; 100,07; 1037173,0; 91,23
6,1; 0,0; 100,0; 104,37; 1081755,1; 95,11
5,1; 0,0; 100,0; 106,37; 1102512,7; 96,97
4,1; 0,0; 100,0; 107,90; 1118337,4; 98,36
3,1; 0,0; 100,0; 108,61; 1125681,3; 99,07
2,1; 0,0; 100,0; 109,19; 1131732,7; 99,58
1,0; 0,0; 100,0; 109,62; 1136126,6; 100,00
0,0; 0,0; 100,0; 109,63; 1136307,4; 100,00
-1,0; 0,0; 100,0; 109,53; 1135231,2; 99,91
-2,1; 0,0; 100,0; 109,62; 1136140,4; 99,97
-3,0; 0,0; 100,0; 109,13; 1131054,8; 99,54
-4,0; 0,0; 100,0; 108,83; 1128016,0; 99,25
-5,0; 0,0; 100,0; 107,78; 1117130,0; 98,28
-6,0; 0,0; 100,0; 106,26; 1101322,2; 96,94
-7,1; 0,0; 100,0; 103,64; 1074132,1; 94,52
-8,1; 0,0; 100,0; 99,41; 1030372,7; 90,68
-9,0; 0,0; 100,0; 89,75; 930210,3; 81,86
-9,9; 0,0; 100,0; 58,72; 608609,6; 53,55
-10,9; 0,0; 100,0; 26,49; 274576,5; 24,16
-11,9; 0,0; 100,0; 14,65; 151850,9; 13,37
-12,9; 0,0; 100,0; 9,56; 99098,5; 8,72
-14,0; 0,0; 100,0; 6,85; 71017,3; 6,25
-15,0; 0,0; 100,0; 5,30; 54925,3; 4,84
-16,0; 0,0; 100,0; 4,27; 44292,6; 3,90
-17,1; 0,0; 100,0; 3,45; 35796,0; 3,15
-18,0; 0,0; 100,0; 3,00; 31086,6; 2,74
-19,0; 0,0; 100,0; 2,67; 27696,4; 2,44
-20,0; 0,0; 100,0; 2,36; 24477,1; 2,16


Measurement time:; 12/04/2023 18:59:35
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 20,0; 100,0; 8,04; 24252,4; 2,14
0,0; 19,0; 100,0; 9,20; 27731,8; 2,44
0,0; 18,0; 100,0; 10,60; 31967,0; 2,81
0,0; 17,0; 100,0; 12,29; 37065,7; 3,26
0,0; 16,0; 100,0; 14,97; 45157,1; 3,97
0,0; 15,0; 100,0; 18,35; 55327,8; 4,87
0,0; 14,0; 100,0; 24,16; 72867,7; 6,42
0,0; 13,0; 100,0; 33,86; 102116,3; 8,99
0,0; 12,0; 100,0; 52,60; 158625,6; 13,96
0,0; 11,1; 100,0; 99,58; 300326,6; 26,44
0,0; 10,0; 100,0; 212,24; 640106,2; 56,35
0,0; 9,0; 100,0; 301,03; 907859,0; 79,95
0,0; 8,0; 100,0; 338,09; 1019655,2; 89,76
0,0; 7,1; 100,0; 355,45; 1072010,1; 94,35
0,0; 6,0; 100,0; 364,06; 1097953,2; 96,68
0,0; 5,0; 100,0; 369,31; 1113809,5; 98,00
0,0; 4,0; 100,0; 372,97; 1124844,8; 99,01
0,0; 3,1; 100,0; 374,28; 1128776,3; 99,42
0,0; 2,1; 100,0; 375,94; 1133784,6; 99,81
0,0; 1,1; 100,0; 376,10; 1134281,7; 99,92
0,0; 0,1; 100,0; 376,61; 1135797,8; 99,99
0,0; -0,9; 100,0; 376,81; 1136408,2; 100,11
0,0; -1,9; 100,0; 375,69; 1133035,5; 99,79
0,0; -2,9; 100,0; 374,78; 1130283,3; 99,58
0,0; -3,9; 100,0; 373,48; 1126380,5; 99,16
0,0; -4,9; 100,0; 370,06; 1116059,5; 98,28
0,0; -5,9; 100,0; 366,94; 1106654,3; 97,43
0,0; -6,9; 100,0; 359,21; 1083335,9; 95,37
0,0; -7,9; 100,0; 349,27; 1053343,3; 92,76
0,0; -9,0; 100,0; 323,21; 974760,8; 85,87
0,0; -9,9; 100,0; 241,90; 729549,8; 64,23
0,0; -10,9; 100,0; 129,73; 391255,8; 34,47
0,0; -11,9; 100,0; 65,90; 198741,7; 17,50
0,0; -13,0; 100,0; 39,43; 118903,0; 10,47
0,0; -14,0; 100,0; 27,21; 82055,8; 7,23
0,0; -15,0; 100,0; 20,36; 61393,2; 5,41
0,0; -15,9; 100,0; 16,02; 48329,4; 4,25
0,0; -17,0; 100,0; 13,01; 39229,0; 3,45
0,0; -17,9; 100,0; 10,99; 33133,0; 2,92
0,0; -18,9; 100,0; 9,59; 28919,8; 2,55
0,0; -20,0; 100,0; 8,37; 25242,5; 2,22


Measurement time:; 12/04/2023 19:01:28
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 250,0; 130,81; 394497,1; 18,48
0,0; 0,0; 245,0; 135,93; 409950,4; 19,19
0,0; 0,0; 240,0; 139,35; 420271,5; 19,68
0,0; 0,0; 235,0; 145,04; 437426,3; 20,49
0,0; 0,0; 230,0; 149,65; 451336,2; 21,13
0,0; 0,0; 225,0; 155,04; 467598,0; 21,90
0,0; 0,0; 220,1; 159,99; 482500,8; 22,58
0,0; 0,0; 215,1; 166,05; 500779,3; 23,45
0,0; 0,0; 210,1; 171,79; 518108,3; 24,26
0,0; 0,0; 205,1; 177,19; 534371,5; 25,03
0,0; 0,0; 200,1; 183,73; 554094,7; 25,94
0,0; 0,0; 195,0; 189,78; 572349,4; 26,80
0,0; 0,0; 190,0; 197,07; 594351,2; 27,84
0,0; 0,0; 185,1; 203,73; 614439,3; 28,77
0,0; 0,0; 180,1; 211,23; 637054,7; 29,84
0,0; 0,0; 175,1; 218,74; 659683,4; 30,90
0,0; 0,0; 170,1; 226,60; 683398,6; 32,02
0,0; 0,0; 165,1; 234,26; 706502,6; 33,09
0,0; 0,0; 160,1; 242,66; 731842,8; 34,29
0,0; 0,0; 155,0; 251,30; 757901,2; 35,50
0,0; 0,0; 150,1; 260,24; 784865,1; 36,77
0,0; 0,0; 145,1; 269,89; 813952,8; 38,14
0,0; 0,0; 140,0; 279,78; 843774,0; 39,54
0,0; 0,0; 135,1; 291,05; 877785,4; 41,11
0,0; 0,0; 130,1; 301,14; 908190,9; 42,56
0,0; 0,0; 125,1; 312,46; 942343,4; 44,15
0,0; 0,0; 120,1; 324,76; 979452,1; 45,90
0,0; 0,0; 115,0; 336,26; 1014113,4; 47,52
0,0; 0,0; 110,1; 349,19; 1053109,3; 49,34
0,0; 0,0; 105,1; 361,44; 1090072,1; 51,08
0,0; 0,0; 100,1; 376,21; 1134618,6; 53,17
0,0; 0,0; 95,1; 390,44; 1177525,9; 55,18
0,0; 0,0; 90,1; 405,06; 1221607,9; 57,25
0,0; 0,0; 85,0; 421,24; 1270418,4; 59,53
0,0; 0,0; 80,0; 436,63; 1316841,1; 61,73
0,0; 0,0; 75,1; 453,46; 1367581,3; 64,09
0,0; 0,0; 70,0; 470,72; 1419628,5; 66,55
0,0; 0,0; 65,0; 489,48; 1476222,0; 69,20
0,0; 0,0; 60,0; 508,68; 1534123,9; 71,94
0,0; 0,0; 55,0; 527,30; 1590268,3; 74,56
0,0; 0,0; 50,0; 548,69; 1654774,4; 77,56
0,0; 0,0; 44,9; 569,99; 1719032,0; 80,58
0,0; 0,0; 39,9; 591,42; 1783651,4; 83,62
0,0; 0,0; 34,9; 614,39; 1852928,0; 86,86
0,0; 0,0; 29,9; 637,85; 1923695,3; 90,17
0,0; 0,0; 24,9; 661,73; 1995715,4; 93,58
0,0; 0,0; 20,0; 684,93; 2065685,6; 96,87
0,0; 0,0; 19,1; 689,60; 2079761,8; 97,47
0,0; 0,0; 18,1; 693,19; 2090569,5; 98,01
0,0; 0,0; 17,1; 696,62; 2100918,5; 98,56
0,0; 0,0; 16,1; 700,68; 2113176,1; 99,05
0,0; 0,0; 15,1; 703,60; 2121986,4; 99,47
0,0; 0,0; 14,1; 705,71; 2128336,5; 99,78
0,0; 0,0; 13,1; 707,03; 2132334,9; 100,00
0,0; 0,0; 12,1; 707,09; 2132496,7; 99,96
0,0; 0,0; 11,1; 706,23; 2129905,9; 99,85
0,0; 0,0; 10,1; 704,77; 2125506,1; 99,61
0,0; 0,0; 9,1; 698,29; 2105965,2; 98,73
0,0; 0,0; 8,0; 689,43; 2079233,0; 97,51
0,0; 0,0; 7,0; 676,34; 2039749,6; 95,68
0,0; 0,0; 6,0; 661,52; 1995062,8; 93,52
0,0; 0,0; 5,0; 637,08; 1921357,8; 90,12
0,0; 0,0; 4,0; 605,88; 1827272,6; 85,70
0,0; 0,0; 3,0; 556,97; 1679759,1; 78,80
0,0; 0,0; 2,0; 486,47; 1467145,4; 68,82
0,0; 0,0; 1,0; 370,24; 1116591,2; 52,37
0,0; 0,0; 0,0; 343,63; 1036362,3; 48,61
0,0; 0,0; -0,5; 343,52; 1036029,9; 48,60


