Measurement time:; 27/05/2023 10:11:08
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-10,0; 0,0; 100,0; 54,94; 713,0; 0,95
-9,5; 0,0; 100,0; 58,36; 757,5; 1,01
-9,0; 0,0; 100,0; 67,74; 879,2; 1,17
-8,4; 0,0; 100,0; 83,09; 1078,4; 1,44
-8,0; 0,0; 100,0; 96,87; 1257,2; 1,68
-7,5; 0,0; 100,0; 116,72; 1514,9; 2,03
-7,0; 0,0; 100,0; 134,31; 1743,2; 2,33
-6,6; 0,0; 100,0; 158,31; 2054,7; 2,75
-6,0; 0,0; 100,0; 206,94; 2685,9; 3,59
-5,5; 0,0; 100,0; 260,45; 3380,3; 4,52
-5,0; 0,0; 100,0; 362,46; 4704,3; 6,30
-4,5; 0,0; 100,0; 499,22; 6479,3; 8,65
-4,1; 0,0; 100,0; 733,22; 9516,4; 12,69
-3,4; 0,0; 100,0; 1329,75; 17258,7; 23,10
-3,0; 0,0; 100,0; 1917,02; 24880,8; 33,25
-2,5; 0,0; 100,0; 2850,84; 37000,9; 49,32
-2,0; 0,0; 100,0; 3856,07; 50047,6; 66,90
-1,5; 0,0; 100,0; 4777,49; 62006,6; 82,48
-1,0; 0,0; 100,0; 5432,54; 70508,5; 93,71
-0,5; 0,0; 100,0; 5742,58; 74532,4; 99,12
0,0; 0,0; 100,0; 5802,08; 75304,7; 100,04
0,6; 0,0; 100,0; 5644,80; 73263,4; 97,56
1,0; 0,0; 100,0; 5287,35; 68624,1; 91,58
1,5; 0,0; 100,0; 4471,65; 58037,2; 77,52
2,0; 0,0; 100,0; 3472,06; 45063,6; 59,96
2,5; 0,0; 100,0; 2359,08; 30618,3; 40,70
3,0; 0,0; 100,0; 1521,50; 19747,4; 26,29
3,5; 0,0; 100,0; 890,33; 11555,5; 15,36
4,0; 0,0; 100,0; 564,82; 7330,7; 9,78
4,5; 0,0; 100,0; 401,14; 5206,4; 6,93
5,0; 0,0; 100,0; 291,24; 3780,0; 5,03
5,4; 0,0; 100,0; 221,85; 2879,4; 3,83
6,0; 0,0; 100,0; 164,01; 2128,7; 2,84
6,5; 0,0; 100,0; 131,50; 1706,7; 2,28
7,0; 0,0; 100,0; 103,39; 1341,9; 1,79
7,5; 0,0; 100,0; 84,03; 1090,6; 1,45
8,0; 0,0; 100,0; 71,77; 931,5; 1,24
8,5; 0,0; 100,0; 63,14; 819,5; 1,09
9,0; 0,0; 100,0; 54,70; 710,0; 0,94
9,5; 0,0; 100,0; 51,78; 672,0; 0,89
