Measurement time:; 27/05/2023 10:34:11
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
20,0; 0,0; 100,0; 63,26; 534,4; 0,58
19,5; 0,0; 100,0; 64,68; 546,3; 0,59
19,0; 0,0; 100,0; 71,45; 603,5; 0,65
18,5; 0,0; 100,0; 67,96; 574,1; 0,62
18,0; 0,0; 100,0; 78,11; 659,8; 0,71
17,5; 0,0; 100,0; 80,81; 682,6; 0,74
17,0; 0,0; 100,0; 82,80; 699,4; 0,76
16,5; 0,0; 100,0; 91,61; 773,8; 0,84
16,0; 0,0; 100,0; 88,95; 751,4; 0,81
15,5; 0,0; 100,0; 97,15; 820,6; 0,89
15,0; 0,0; 100,0; 98,78; 834,4; 0,90
14,5; 0,0; 100,0; 105,25; 889,1; 0,96
14,0; 0,0; 100,0; 106,81; 902,2; 0,97
13,5; 0,0; 100,0; 122,44; 1034,3; 1,12
13,0; 0,0; 100,0; 124,80; 1054,2; 1,14
12,5; 0,0; 100,0; 137,17; 1158,6; 1,25
12,0; 0,0; 100,0; 161,03; 1360,3; 1,47
11,5; 0,0; 100,0; 177,43; 1498,7; 1,62
11,0; 0,0; 100,0; 192,47; 1625,8; 1,76
10,5; 0,0; 100,0; 230,15; 1944,1; 2,10
10,0; 0,0; 100,0; 254,87; 2152,9; 2,33
9,5; 0,0; 100,0; 299,51; 2530,0; 2,74
9,0; 0,0; 100,0; 354,01; 2990,3; 3,23
8,5; 0,0; 100,0; 429,12; 3624,9; 3,92
8,0; 0,0; 100,0; 524,09; 4427,0; 4,79
7,5; 0,0; 100,0; 660,51; 5579,4; 6,03
7,0; 0,0; 100,0; 874,68; 7388,5; 7,99
6,5; 0,0; 100,0; 1165,61; 9846,0; 10,66
6,0; 0,0; 100,0; 1597,97; 13498,2; 14,61
5,5; 0,0; 100,0; 2427,12; 20502,1; 22,17
5,0; 0,0; 100,0; 3772,34; 31865,3; 34,46
4,6; 0,0; 100,0; 5388,47; 45516,9; 49,25
4,1; 0,0; 100,0; 7030,90; 59390,6; 64,27
3,5; 0,0; 100,0; 8644,18; 73018,2; 78,97
3,0; 0,0; 100,0; 9572,27; 80857,8; 87,47
2,6; 0,0; 100,0; 10165,77; 85871,1; 92,86
2,0; 0,0; 100,0; 10535,72; 88996,2; 96,36
1,5; 0,0; 100,0; 10759,03; 90882,5; 98,43
1,0; 0,0; 100,0; 10868,21; 91804,7; 99,24
0,6; 0,0; 100,0; 10894,97; 92030,8; 99,55
-0,1; 0,0; 100,0; 10956,36; 92549,4; 100,07
-0,5; 0,0; 100,0; 10957,86; 92562,0; 100,01
-1,0; 0,0; 100,0; 10903,44; 92102,3; 99,58
-1,5; 0,0; 100,0; 10821,78; 91412,6; 98,90
-2,0; 0,0; 100,0; 10709,65; 90465,4; 97,82
-2,5; 0,0; 100,0; 10512,66; 88801,4; 96,14
-2,9; 0,0; 100,0; 10213,84; 86277,2; 93,29
-3,5; 0,0; 100,0; 9658,49; 81586,1; 88,19
-4,0; 0,0; 100,0; 8519,20; 71962,4; 77,85
-4,5; 0,0; 100,0; 7065,97; 59686,9; 64,54
-5,0; 0,0; 100,0; 5316,07; 44905,3; 48,51
-5,5; 0,0; 100,0; 3759,70; 31758,5; 34,33
-6,0; 0,0; 100,0; 2394,97; 20230,5; 21,87
-6,4; 0,0; 100,0; 1625,12; 13727,5; 14,85
-7,0; 0,0; 100,0; 1106,42; 9346,0; 10,11
-7,5; 0,0; 100,0; 824,88; 6967,8; 7,53
-8,0; 0,0; 100,0; 638,47; 5393,2; 5,84
-8,5; 0,0; 100,0; 503,40; 4252,3; 4,60
-8,9; 0,0; 100,0; 418,02; 3531,1; 3,82
-9,5; 0,0; 100,0; 336,97; 2846,4; 3,08
-10,0; 0,0; 100,0; 287,80; 2431,1; 2,63
-10,4; 0,0; 100,0; 250,41; 2115,2; 2,29
-11,0; 0,0; 100,0; 210,03; 1774,1; 1,92
-11,5; 0,0; 100,0; 181,01; 1529,0; 1,65
-12,0; 0,0; 100,0; 164,60; 1390,4; 1,51
-12,5; 0,0; 100,0; 153,91; 1300,1; 1,41
-12,9; 0,0; 100,0; 140,96; 1190,7; 1,28
-13,5; 0,0; 100,0; 130,40; 1101,5; 1,19
-14,0; 0,0; 100,0; 115,96; 979,6; 1,06
-14,4; 0,0; 100,0; 113,16; 955,8; 1,03
-15,0; 0,0; 100,0; 109,32; 923,4; 1,00
-15,5; 0,0; 100,0; 102,12; 862,7; 0,93
-16,0; 0,0; 100,0; 92,74; 783,4; 0,85
-16,4; 0,0; 100,0; 94,81; 800,8; 0,87
-17,0; 0,0; 100,0; 86,83; 733,5; 0,79
-17,5; 0,0; 100,0; 75,67; 639,2; 0,69
-18,0; 0,0; 100,0; 82,82; 699,6; 0,76
-18,5; 0,0; 100,0; 78,71; 664,9; 0,72
-19,0; 0,0; 100,0; 71,71; 605,8; 0,66
-19,5; 0,0; 100,0; 74,84; 632,2; 0,68
-20,0; 0,0; 100,0; 75,10; 634,4; 0,69


Measurement time:; 27/05/2023 10:37:20
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 20,0; 100,0; 72,57; 613,0; 0,66
0,0; 19,6; 100,0; 71,96; 607,9; 0,66
0,0; 19,0; 100,0; 82,01; 692,7; 0,75
0,0; 18,4; 100,0; 81,59; 689,2; 0,75
0,0; 17,9; 100,0; 84,62; 714,8; 0,77
0,0; 17,4; 100,0; 86,70; 732,3; 0,79
0,0; 17,0; 100,0; 94,40; 797,4; 0,86
0,0; 16,4; 100,0; 103,76; 876,4; 0,95
0,0; 15,9; 100,0; 106,34; 898,3; 0,97
0,0; 15,4; 100,0; 106,65; 900,9; 0,97
0,0; 15,0; 100,0; 114,11; 963,9; 1,04
0,0; 14,5; 100,0; 125,42; 1059,4; 1,14
0,0; 13,9; 100,0; 137,57; 1162,1; 1,25
0,0; 13,5; 100,0; 144,80; 1223,1; 1,32
0,0; 13,0; 100,0; 153,63; 1297,7; 1,40
0,0; 12,4; 100,0; 171,96; 1452,6; 1,57
0,0; 11,9; 100,0; 191,17; 1614,8; 1,74
0,0; 11,4; 100,0; 213,55; 1803,9; 1,95
0,0; 11,0; 100,0; 246,11; 2078,9; 2,25
0,0; 10,5; 100,0; 288,10; 2433,6; 2,63
0,0; 10,0; 100,0; 350,66; 2962,0; 3,20
0,0; 9,4; 100,0; 423,92; 3580,9; 3,87
0,0; 9,0; 100,0; 511,73; 4322,7; 4,66
0,0; 8,5; 100,0; 651,87; 5506,4; 5,94
0,0; 8,0; 100,0; 852,27; 7199,2; 7,77
0,0; 7,5; 100,0; 1190,31; 10054,7; 10,85
0,0; 7,0; 100,0; 1736,82; 14671,1; 15,83
0,0; 6,5; 100,0; 2618,92; 22122,3; 23,86
0,0; 6,0; 100,0; 4010,56; 33877,5; 36,57
0,0; 5,5; 100,0; 5591,35; 47230,7; 51,00
0,0; 5,0; 100,0; 7271,25; 61420,9; 66,29
0,0; 4,5; 100,0; 8413,67; 71071,0; 76,87
0,0; 4,0; 100,0; 9348,24; 78965,4; 85,24
0,0; 3,5; 100,0; 9903,18; 83653,1; 90,32
0,0; 3,0; 100,0; 10266,42; 86721,4; 93,72
0,0; 2,5; 100,0; 10584,09; 89404,8; 96,56
0,0; 2,0; 100,0; 10745,41; 90767,4; 98,06
0,0; 1,6; 100,0; 10834,82; 91522,7; 98,98
0,0; 1,0; 100,0; 10899,04; 92065,2; 99,43
0,0; 0,5; 100,0; 10947,68; 92476,1; 99,90
0,0; 0,0; 100,0; 10969,48; 92660,1; 100,00
0,0; -0,5; 100,0; 10936,56; 92382,1; 99,85
0,0; -1,0; 100,0; 10891,17; 91998,7; 99,31
0,0; -1,5; 100,0; 10802,05; 91245,9; 98,46
0,0; -2,0; 100,0; 10726,60; 90608,5; 97,84
0,0; -2,5; 100,0; 10568,52; 89273,2; 96,26
0,0; -3,0; 100,0; 10238,92; 86489,1; 93,30
0,0; -3,5; 100,0; 9600,94; 81100,0; 87,53
0,0; -4,0; 100,0; 8793,40; 74278,7; 80,17
