Measurement time:; 27/05/2023 13:03:36
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-30,0; 0,0; 100,0; 97,06; 565,7; 3,47
-29,1; 0,0; 100,0; 98,07; 571,6; 3,51
-28,1; 0,0; 100,0; 93,04; 542,2; 3,32
-27,0; 0,0; 100,0; 97,40; 567,7; 3,48
-26,0; 0,0; 100,0; 118,35; 689,7; 4,23
-25,1; 0,0; 100,0; 116,51; 679,0; 4,16
-24,1; 0,0; 100,0; 127,31; 742,0; 4,55
-23,0; 0,0; 100,0; 136,11; 793,3; 4,86
-22,1; 0,0; 100,0; 145,83; 849,9; 5,21
-21,0; 0,0; 100,0; 138,10; 804,8; 4,94
-20,0; 0,0; 100,0; 127,25; 741,6; 4,55
-19,1; 0,0; 100,0; 132,87; 774,4; 4,75
-18,0; 0,0; 100,0; 135,24; 788,2; 4,84
-17,0; 0,0; 100,0; 134,41; 783,4; 4,80
-16,0; 0,0; 100,0; 144,86; 844,2; 5,18
-15,0; 0,0; 100,0; 173,25; 1009,7; 6,20
-14,0; 0,0; 100,0; 234,86; 1368,8; 8,40
-13,0; 0,0; 100,0; 294,84; 1718,3; 10,54
-12,0; 0,0; 100,0; 415,45; 2421,2; 14,87
-11,0; 0,0; 100,0; 659,50; 3843,6; 23,58
-10,0; 0,0; 100,0; 1204,72; 7021,1; 43,06
-9,0; 0,0; 100,0; 1917,39; 11174,6; 68,56
-8,0; 0,0; 100,0; 2414,26; 14070,4; 86,31
-7,1; 0,0; 100,0; 2578,94; 15030,1; 92,24
-6,0; 0,0; 100,0; 2669,22; 15556,3; 95,45
-5,0; 0,0; 100,0; 2716,60; 15832,4; 97,11
-4,1; 0,0; 100,0; 2732,65; 15925,9; 97,69
-3,1; 0,0; 100,0; 2737,86; 15956,3; 97,93
-2,0; 0,0; 100,0; 2753,36; 16046,6; 98,43
-1,1; 0,0; 100,0; 2778,32; 16192,1; 99,34
-0,1; 0,0; 100,0; 2794,04; 16283,7; 99,96
