Measurement time:; 27/05/2023 10:11:08
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-10,0; 0,0; 100,0; 54,94; 713,0; 0,95
-9,0; 0,0; 100,0; 68,32; 886,7; 1,18
-8,0; 0,0; 100,0; 96,98; 1258,7; 1,68
-7,0; 0,0; 100,0; 134,42; 1744,6; 2,33
-6,0; 0,0; 100,0; 209,18; 2715,0; 3,63
-5,0; 0,0; 100,0; 362,15; 4700,4; 6,29
-4,0; 0,0; 100,0; 785,65; 10196,9; 13,61
-3,0; 0,0; 100,0; 1949,96; 25308,4; 33,82
-2,0; 0,0; 100,0; 3937,31; 51102,0; 68,27
-1,0; 0,0; 100,0; 5451,24; 70751,2; 94,03
0,0; 0,0; 100,0; 5799,80; 75275,1; 100,00
1,0; 0,0; 100,0; 5215,41; 67690,3; 90,34
2,0; 0,0; 100,0; 3421,05; 44401,5; 59,08
3,0; 0,0; 100,0; 1469,84; 19076,9; 25,40
4,0; 0,0; 100,0; 572,21; 7426,7; 9,91
5,0; 0,0; 100,0; 284,62; 3694,1; 4,91
6,0; 0,0; 100,0; 163,66; 2124,2; 2,83
7,0; 0,0; 100,0; 103,43; 1342,4; 1,79
8,0; 0,0; 100,0; 71,71; 930,8; 1,24
9,0; 0,0; 100,0; 54,55; 708,0; 0,94
10,0; 0,0; 100,0; 41,03; 532,6; 0,71


Measurement time:; 27/05/2023 10:12:41
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -10,0; 100,0; 47,36; 614,6; 0,81
0,0; -9,0; 100,0; 62,56; 811,9; 1,07
0,0; -8,0; 100,0; 84,83; 1101,0; 1,45
0,0; -7,0; 100,0; 139,10; 1805,4; 2,38
0,0; -6,0; 100,0; 236,57; 3070,4; 4,06
0,0; -5,0; 100,0; 468,06; 6074,9; 8,01
0,0; -4,0; 100,0; 1020,94; 13250,7; 17,56
0,0; -3,0; 100,0; 2288,84; 29706,7; 39,32
0,0; -2,0; 100,0; 4199,68; 54507,3; 72,07
0,0; -1,0; 100,0; 5433,23; 70517,4; 93,37
0,0; 0,0; 100,0; 5798,97; 75264,4; 100,00
0,0; 1,0; 100,0; 5593,83; 72601,9; 95,85
0,0; 2,0; 100,0; 4882,67; 63371,8; 83,90
0,0; 3,0; 100,0; 3231,00; 41934,9; 55,55
0,0; 4,0; 100,0; 1482,62; 19242,9; 25,39
0,0; 5,0; 100,0; 596,81; 7745,9; 10,23
0,0; 6,0; 100,0; 269,16; 3493,4; 4,63
0,0; 7,0; 100,0; 142,04; 1843,5; 2,43
0,0; 8,0; 100,0; 94,25; 1223,3; 1,61
0,0; 9,0; 100,0; 65,73; 853,1; 1,12
0,0; 10,0; 100,0; 54,14; 702,7; 0,93


Measurement time:; 27/05/2023 10:14:20
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; -0,5; 7277,92; 94459,5; 63,53
0,0; 0,0; 0,5; 7294,87; 94679,6; 63,55
0,0; 0,0; 1,5; 8012,87; 103998,4; 69,89
0,0; 0,0; 2,5; 9332,86; 121130,4; 81,57
0,0; 0,0; 3,5; 10292,12; 133580,6; 89,81
0,0; 0,0; 4,5; 10854,07; 140874,1; 94,65
0,0; 0,0; 5,5; 11176,23; 145055,4; 97,45
0,0; 0,0; 6,5; 11342,78; 147217,0; 98,77
0,0; 0,0; 7,5; 11422,71; 148254,4; 99,60
0,0; 0,0; 8,5; 11457,65; 148707,8; 99,86
0,0; 0,0; 9,5; 11462,66; 148772,9; 99,99
0,0; 0,0; 10,5; 11430,99; 148361,8; 100,00
0,0; 0,0; 11,5; 11377,30; 147665,1; 99,33
0,0; 0,0; 12,5; 11319,44; 146914,1; 98,88
0,0; 0,0; 13,5; 11240,58; 145890,5; 98,31
0,0; 0,0; 14,5; 11153,09; 144755,1; 97,43
0,0; 0,0; 15,5; 11084,52; 143865,0; 97,00
0,0; 0,0; 16,5; 11004,28; 142823,6; 96,21
0,0; 0,0; 17,5; 10917,81; 141701,3; 95,45
0,0; 0,0; 18,5; 10836,02; 140639,8; 94,90
0,0; 0,0; 19,5; 10747,81; 139494,9; 93,93
0,0; 0,0; 20,5; 10658,97; 138341,9; 93,16
