Measurement time:; 27/05/2023 10:55:28
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-30,0; 0,0; 100,0; 130,51; 1102,5; 1,08
-29,0; 0,0; 100,0; 153,93; 1300,2; 1,27
-28,0; 0,0; 100,0; 155,47; 1313,3; 1,29
-27,0; 0,0; 100,0; 168,92; 1426,9; 1,40
-26,0; 0,0; 100,0; 182,93; 1545,3; 1,51
-25,0; 0,0; 100,0; 197,03; 1664,4; 1,63
-24,0; 0,0; 100,0; 208,13; 1758,1; 1,72
-23,0; 0,0; 100,0; 217,63; 1838,3; 1,80
-22,0; 0,0; 100,0; 237,81; 2008,8; 1,97
-21,0; 0,0; 100,0; 255,65; 2159,5; 2,11
-20,0; 0,0; 100,0; 287,92; 2432,1; 2,38
-19,0; 0,0; 100,0; 309,60; 2615,2; 2,56
-18,0; 0,0; 100,0; 349,37; 2951,1; 2,89
-17,0; 0,0; 100,0; 396,29; 3347,5; 3,28
-16,0; 0,0; 100,0; 472,30; 3989,6; 3,91
-15,0; 0,0; 100,0; 565,48; 4776,6; 4,68
-14,0; 0,0; 100,0; 719,51; 6077,7; 5,95
-13,0; 0,0; 100,0; 976,30; 8246,9; 8,08
-12,0; 0,0; 100,0; 1486,51; 12556,7; 12,29
-11,0; 0,0; 100,0; 2786,29; 23536,1; 23,04
-10,0; 0,0; 100,0; 5843,77; 49362,8; 48,34
-9,0; 0,0; 100,0; 9145,20; 77250,3; 75,68
-8,0; 0,0; 100,0; 10813,56; 91343,1; 89,51
-7,0; 0,0; 100,0; 11397,53; 96276,0; 94,35
-6,0; 0,0; 100,0; 11673,46; 98606,8; 96,62
-5,0; 0,0; 100,0; 11847,90; 100080,2; 98,07
-4,0; 0,0; 100,0; 11984,99; 101238,3; 99,15
-3,0; 0,0; 100,0; 12035,27; 101663,0; 99,59
-2,0; 0,0; 100,0; 12065,42; 101917,7; 99,88
-1,0; 0,0; 100,0; 12103,99; 102243,5; 100,17
0,0; 0,0; 100,0; 12087,82; 102106,9; 100,00
1,0; 0,0; 100,0; 12064,21; 101907,5; 99,84
2,0; 0,0; 100,0; 12062,93; 101896,6; 99,79
3,0; 0,0; 100,0; 11977,90; 101178,4; 99,16
4,0; 0,0; 100,0; 11917,00; 100664,0; 98,67
5,0; 0,0; 100,0; 11794,03; 99625,2; 97,58
6,0; 0,0; 100,0; 11565,90; 97698,2; 95,70
7,0; 0,0; 100,0; 11113,65; 93878,0; 91,97
8,0; 0,0; 100,0; 10029,39; 84719,1; 82,98
9,0; 0,0; 100,0; 7402,99; 62533,7; 61,27
10,0; 0,0; 100,0; 3990,77; 33710,4; 33,03
11,0; 0,0; 100,0; 1952,78; 16495,3; 16,16
12,0; 0,0; 100,0; 1151,99; 9730,9; 9,53
13,0; 0,0; 100,0; 820,60; 6931,6; 6,79
14,0; 0,0; 100,0; 611,70; 5167,1; 5,06
15,0; 0,0; 100,0; 493,66; 4170,0; 4,09
16,0; 0,0; 100,0; 413,56; 3493,4; 3,42
17,0; 0,0; 100,0; 355,05; 2999,1; 2,94
18,0; 0,0; 100,0; 306,88; 2592,3; 2,54
19,0; 0,0; 100,0; 286,36; 2418,9; 2,37
20,0; 0,0; 100,0; 259,36; 2190,8; 2,15
21,0; 0,0; 100,0; 232,30; 1962,3; 1,92
22,0; 0,0; 100,0; 219,48; 1854,0; 1,82
23,0; 0,0; 100,0; 209,18; 1766,9; 1,73
24,0; 0,0; 100,0; 194,79; 1645,4; 1,61
25,0; 0,0; 100,0; 182,02; 1537,5; 1,51
26,0; 0,0; 100,0; 173,98; 1469,6; 1,44
27,0; 0,0; 100,0; 165,45; 1397,6; 1,37
28,0; 0,0; 100,0; 162,58; 1373,3; 1,35
29,0; 0,0; 100,0; 165,87; 1401,1; 1,37
30,0; 0,0; 100,0; 150,42; 1270,6; 1,25


Measurement time:; 27/05/2023 10:58:20
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -30,0; 100,0; 141,02; 1191,2; 1,17
0,0; -29,0; 100,0; 147,52; 1246,1; 1,22
0,0; -28,0; 100,0; 162,24; 1370,5; 1,34
0,0; -27,0; 100,0; 173,19; 1462,9; 1,43
0,0; -26,0; 100,0; 180,71; 1526,5; 1,50
0,0; -25,0; 100,0; 196,42; 1659,2; 1,63
0,0; -24,0; 100,0; 204,26; 1725,4; 1,69
0,0; -23,0; 100,0; 216,02; 1824,7; 1,79
0,0; -22,0; 100,0; 235,39; 1988,4; 1,95
0,0; -21,0; 100,0; 251,74; 2126,5; 2,09
0,0; -20,0; 100,0; 281,39; 2376,9; 2,33
0,0; -19,0; 100,0; 313,78; 2650,6; 2,60
0,0; -18,0; 100,0; 348,22; 2941,5; 2,88
0,0; -17,0; 100,0; 395,73; 3342,8; 3,28
0,0; -16,0; 100,0; 473,51; 3999,8; 3,92
0,0; -15,0; 100,0; 585,60; 4946,6; 4,85
