Measurement time:; 27/05/2023 11:15:39
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0200195312500568 mm
Position Crossline:; -0,0946350097655682 mm
Position Depth:; 100,068801123047 mm
Dose:; 1,8372 Gy



Measurement time:; 27/05/2023 11:16:38
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0200195312500568 mm
Position Crossline:; -0,0306701660155682 mm
Position Depth:; 100,078780371094 mm
Dose:; 1,8356 Gy



Measurement time:; 27/05/2023 11:17:07
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0101928710938068 mm
Position Crossline:; -0,0745544433593182 mm
Position Depth:; 100,068801123047 mm
Dose:; 1,8358 Gy



Measurement time:; 27/05/2023 11:18:06
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0200195312500568 mm
Position Crossline:; -0,0617370605468182 mm
Position Depth:; 100,078780371094 mm
Dose:; 1,5569 Gy



Measurement time:; 27/05/2023 11:18:35
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0200195312500568 mm
Position Crossline:; -0,0463867187499432 mm
Position Depth:; 100,066634375 mm
Dose:; 1,5563 Gy



Measurement time:; 27/05/2023 11:19:16
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; -0,0101928710938068 mm
Position Crossline:; -0,0499572753905682 mm
Position Depth:; 100,068801123047 mm
Dose:; 1,5584 Gy



Measurement time:; 27/05/2023 11:21:09
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW60019 Diamant
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-30,0; 0,0; 100,0; 324,34; 2739,7; 2,56
-29,0; 0,0; 100,0; 353,13; 2982,9; 2,79
-28,0; 0,0; 100,0; 384,49; 3247,8; 3,04
-27,0; 0,0; 100,0; 406,39; 3432,8; 3,21
-26,0; 0,0; 100,0; 433,36; 3660,6; 3,43
-25,0; 0,0; 100,0; 466,95; 3944,4; 3,69
-24,0; 0,0; 100,0; 511,31; 4319,1; 4,04
-23,0; 0,0; 100,0; 558,57; 4718,3; 4,42
-22,0; 0,0; 100,0; 624,56; 5275,7; 4,94
-21,0; 0,0; 100,0; 703,96; 5946,5; 5,57
-20,0; 0,0; 100,0; 817,65; 6906,8; 6,47
-19,0; 0,0; 100,0; 996,10; 8414,1; 7,88
-18,0; 0,0; 100,0; 1280,57; 10817,1; 10,14
-17,0; 0,0; 100,0; 1837,55; 15522,0; 14,54
-16,0; 0,0; 100,0; 3296,43; 27845,2; 26,09
-15,0; 0,0; 100,0; 6398,06; 54045,0; 50,62
-14,0; 0,0; 100,0; 9612,72; 81199,5; 76,05
-13,0; 0,0; 100,0; 11185,93; 94488,6; 88,47
-12,0; 0,0; 100,0; 11745,68; 99216,8; 92,98
-11,0; 0,0; 100,0; 12066,54; 101927,2; 95,51
-10,0; 0,0; 100,0; 12249,13; 103469,5; 96,96
-9,0; 0,0; 100,0; 12345,99; 104287,7; 97,71
-8,0; 0,0; 100,0; 12447,67; 105146,5; 98,52
-7,0; 0,0; 100,0; 12510,58; 105678,0; 99,05
-6,0; 0,0; 100,0; 12565,55; 106142,3; 99,41
-5,0; 0,0; 100,0; 12582,41; 106284,8; 99,55
-4,0; 0,0; 100,0; 12609,12; 106510,4; 99,78
-3,0; 0,0; 100,0; 12625,13; 106645,6; 99,94
-2,0; 0,0; 100,0; 12641,31; 106782,3; 100,05
-1,0; 0,0; 100,0; 12636,29; 106739,9; 100,00
0,0; 0,0; 100,0; 12635,16; 106730,3; 100,00
1,0; 0,0; 100,0; 12619,16; 106595,2; 99,93
2,0; 0,0; 100,0; 12606,64; 106489,4; 99,77
3,0; 0,0; 100,0; 12586,79; 106321,8; 99,67
4,0; 0,0; 100,0; 12561,34; 106106,7; 99,46
5,0; 0,0; 100,0; 12528,09; 105825,9; 99,20
6,0; 0,0; 100,0; 12501,11; 105598,0; 98,96
7,0; 0,0; 100,0; 12437,03; 105056,7; 98,53
8,0; 0,0; 100,0; 12375,35; 104535,7; 98,00
9,0; 0,0; 100,0; 12249,77; 103474,9; 97,01
10,0; 0,0; 100,0; 12084,65; 102080,1; 95,64
11,0; 0,0; 100,0; 11830,99; 99937,4; 93,70
12,0; 0,0; 100,0; 11383,85; 96160,4; 90,16
13,0; 0,0; 100,0; 10177,88; 85973,4; 80,60
14,0; 0,0; 100,0; 7573,61; 63974,9; 59,95
15,0; 0,0; 100,0; 4106,23; 34685,7; 32,52
16,0; 0,0; 100,0; 2171,29; 18341,1; 17,21
17,0; 0,0; 100,0; 1412,36; 11930,3; 11,18
18,0; 0,0; 100,0; 1051,06; 8878,4; 8,32
19,0; 0,0; 100,0; 842,49; 7116,6; 6,67
20,0; 0,0; 100,0; 720,31; 6084,5; 5,70
21,0; 0,0; 100,0; 625,47; 5283,4; 4,95
22,0; 0,0; 100,0; 557,11; 4706,0; 4,41
23,0; 0,0; 100,0; 512,45; 4328,7; 4,06
