Measurement time:; 27/05/2023 13:03:36
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-30,0; 0,0; 100,0; 97,06; 565,7; 3,47
-29,0; 0,0; 100,0; 97,72; 569,5; 3,49
-28,0; 0,0; 100,0; 93,28; 543,6; 3,33
-27,0; 0,0; 100,0; 98,22; 572,4; 3,51
-26,0; 0,0; 100,0; 118,27; 689,3; 4,23
-25,0; 0,0; 100,0; 117,17; 682,9; 4,19
-24,0; 0,0; 100,0; 127,82; 744,9; 4,57
-23,0; 0,0; 100,0; 136,36; 794,7; 4,87
-22,0; 0,0; 100,0; 145,43; 847,6; 5,20
-21,0; 0,0; 100,0; 137,78; 803,0; 4,93
-20,0; 0,0; 100,0; 127,45; 742,8; 4,55
-19,0; 0,0; 100,0; 133,01; 775,2; 4,75
-18,0; 0,0; 100,0; 135,24; 788,2; 4,84
-17,0; 0,0; 100,0; 134,79; 785,6; 4,82
-16,0; 0,0; 100,0; 145,94; 850,6; 5,21
-15,0; 0,0; 100,0; 174,49; 1016,9; 6,24
-14,0; 0,0; 100,0; 236,15; 1376,3; 8,45
-13,0; 0,0; 100,0; 298,69; 1740,7; 10,68
-12,0; 0,0; 100,0; 421,18; 2454,6; 15,07
-11,0; 0,0; 100,0; 679,65; 3961,0; 24,30
-10,0; 0,0; 100,0; 1232,83; 7185,0; 44,07
-9,0; 0,0; 100,0; 1940,14; 11307,2; 69,38
-8,0; 0,0; 100,0; 2421,21; 14110,9; 86,56
-7,0; 0,0; 100,0; 2584,09; 15060,1; 92,42
-6,0; 0,0; 100,0; 2671,06; 15567,0; 95,52
-5,0; 0,0; 100,0; 2717,37; 15836,9; 97,14
-4,0; 0,0; 100,0; 2732,93; 15927,6; 97,70
-3,0; 0,0; 100,0; 2738,67; 15961,0; 97,95
-2,0; 0,0; 100,0; 2754,16; 16051,3; 98,46
-1,0; 0,0; 100,0; 2779,27; 16197,6; 99,38
0,0; 0,0; 100,0; 2795,25; 16290,8; 100,00
1,0; 0,0; 100,0; 2810,66; 16380,6; 100,51
2,0; 0,0; 100,0; 2800,58; 16321,8; 100,12
3,0; 0,0; 100,0; 2793,03; 16277,9; 99,90
4,0; 0,0; 100,0; 2777,50; 16187,3; 99,36
5,0; 0,0; 100,0; 2739,22; 15964,3; 97,94
6,0; 0,0; 100,0; 2684,42; 15644,9; 96,04
7,0; 0,0; 100,0; 2585,69; 15069,5; 92,45
8,0; 0,0; 100,0; 2379,48; 13867,7; 85,09
9,0; 0,0; 100,0; 1889,94; 11014,6; 67,59
10,0; 0,0; 100,0; 1203,47; 7013,8; 43,06
11,0; 0,0; 100,0; 650,92; 3793,6; 23,28
12,0; 0,0; 100,0; 393,69; 2294,4; 14,08
13,0; 0,0; 100,0; 270,56; 1576,8; 9,67
14,0; 0,0; 100,0; 224,43; 1308,0; 8,02
15,0; 0,0; 100,0; 178,85; 1042,4; 6,39
16,0; 0,0; 100,0; 158,83; 925,7; 5,68
17,0; 0,0; 100,0; 140,03; 816,1; 5,01
18,0; 0,0; 100,0; 124,98; 728,4; 4,47
19,0; 0,0; 100,0; 125,53; 731,6; 4,49
20,0; 0,0; 100,0; 118,85; 692,7; 4,25
21,0; 0,0; 100,0; 113,21; 659,8; 4,05
22,0; 0,0; 100,0; 110,76; 645,5; 3,96
23,0; 0,0; 100,0; 94,75; 552,2; 3,39
24,0; 0,0; 100,0; 91,03; 530,5; 3,26
25,0; 0,0; 100,0; 92,88; 541,3; 3,32
26,0; 0,0; 100,0; 93,22; 543,3; 3,33
27,0; 0,0; 100,0; 100,77; 587,3; 3,60
28,0; 0,0; 100,0; 93,06; 542,3; 3,33
29,0; 0,0; 100,0; 93,51; 544,9; 3,35
30,0; 0,0; 100,0; 89,90; 524,0; 3,22


Measurement time:; 27/05/2023 13:06:18
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -30,0; 100,0; 94,09; 548,4; 3,39
0,0; -29,0; 100,0; 96,81; 564,2; 3,49
0,0; -28,0; 100,0; 98,05; 571,5; 3,53
0,0; -27,0; 100,0; 101,09; 589,2; 3,65
0,0; -26,0; 100,0; 99,56; 580,2; 3,59
0,0; -25,0; 100,0; 101,82; 593,4; 3,67
0,0; -24,0; 100,0; 114,96; 670,0; 4,14
0,0; -23,0; 100,0; 91,96; 535,9; 3,32
0,0; -22,0; 100,0; 111,37; 649,1; 4,02
0,0; -21,0; 100,0; 116,11; 676,7; 4,19
0,0; -20,0; 100,0; 123,78; 721,4; 4,46
0,0; -19,0; 100,0; 130,80; 762,3; 4,72
0,0; -18,0; 100,0; 144,22; 840,5; 5,20
0,0; -17,0; 100,0; 149,18; 869,5; 5,38
0,0; -16,0; 100,0; 167,99; 979,0; 6,06
0,0; -15,0; 100,0; 193,82; 1129,6; 6,99
0,0; -14,0; 100,0; 257,23; 1499,2; 9,28
0,0; -13,0; 100,0; 366,81; 2137,8; 13,24
0,0; -12,0; 100,0; 579,96; 3380,0; 20,90
0,0; -11,0; 100,0; 995,27; 5800,5; 35,88
0,0; -10,0; 100,0; 1617,27; 9425,5; 58,37
0,0; -9,0; 100,0; 2187,11; 12746,5; 78,90
0,0; -8,0; 100,0; 2475,71; 14428,5; 89,38
0,0; -7,0; 100,0; 2612,51; 15225,8; 94,28
0,0; -6,0; 100,0; 2686,22; 15655,4; 96,85
0,0; -5,0; 100,0; 2721,92; 15863,4; 98,13
0,0; -4,0; 100,0; 2740,82; 15973,6; 98,82
0,0; -3,0; 100,0; 2760,99; 16091,1; 99,57
0,0; -2,0; 100,0; 2765,66; 16118,3; 99,80
0,0; -1,0; 100,0; 2787,43; 16245,2; 100,57
0,0; 0,0; 100,0; 2773,89; 16166,3; 100,00
0,0; 1,0; 100,0; 2776,98; 16184,3; 100,16
0,0; 2,0; 100,0; 2776,85; 16183,5; 100,22
0,0; 3,0; 100,0; 2764,50; 16111,6; 99,75
0,0; 4,0; 100,0; 2744,82; 15996,8; 99,00
0,0; 5,0; 100,0; 2709,67; 15792,0; 97,72
0,0; 6,0; 100,0; 2674,98; 15589,9; 96,48
0,0; 7,0; 100,0; 2588,30; 15084,7; 93,34
0,0; 8,0; 100,0; 2435,63; 14194,9; 87,88
0,0; 9,0; 100,0; 2154,16; 12554,5; 77,69
0,0; 10,0; 100,0; 1585,97; 9243,1; 57,22
0,0; 11,0; 100,0; 971,87; 5664,1; 35,06
0,0; 12,0; 100,0; 554,05; 3229,0; 19,99
0,0; 13,0; 100,0; 364,70; 2125,5; 13,16
0,0; 14,0; 100,0; 264,53; 1541,7; 9,54
0,0; 15,0; 100,0; 206,80; 1205,2; 7,46
0,0; 16,0; 100,0; 166,35; 969,5; 6,00
0,0; 17,0; 100,0; 151,57; 883,4; 5,47
0,0; 18,0; 100,0; 132,50; 772,2; 4,78
0,0; 19,0; 100,0; 120,87; 704,4; 4,36
0,0; 20,0; 100,0; 116,80; 680,7; 4,21
0,0; 21,0; 100,0; 113,85; 663,5; 4,11
0,0; 22,0; 100,0; 96,62; 563,1; 3,49
0,0; 23,0; 100,0; 95,78; 558,2; 3,46
0,0; 24,0; 100,0; 91,83; 535,2; 3,31
0,0; 25,0; 100,0; 90,06; 524,9; 3,25
0,0; 26,0; 100,0; 84,99; 495,3; 3,07
0,0; 27,0; 100,0; 97,80; 570,0; 3,53
0,0; 28,0; 100,0; 90,87; 529,6; 3,28
0,0; 29,0; 100,0; 74,00; 431,2; 2,67
0,0; 30,0; 100,0; 66,15; 385,5; 2,39


Measurement time:; 27/05/2023 13:09:05
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; -0,5; 2444,68; 14247,6; 48,01
0,0; 0,0; 0,5; 2515,57; 14660,8; 49,41
0,0; 0,0; 1,5; 2783,29; 16221,0; 54,68
0,0; 0,0; 2,5; 3338,43; 19456,4; 65,57
0,0; 0,0; 3,5; 3864,66; 22523,3; 75,93
0,0; 0,0; 4,5; 4227,77; 24639,5; 83,06
0,0; 0,0; 5,5; 4480,40; 26111,9; 88,01
0,0; 0,0; 6,5; 4674,40; 27242,5; 91,82
0,0; 0,0; 7,5; 4824,84; 28119,2; 94,73
0,0; 0,0; 8,5; 4924,51; 28700,2; 96,72
0,0; 0,0; 9,5; 4993,05; 29099,6; 98,08
0,0; 0,0; 10,5; 5045,05; 29402,7; 99,06
0,0; 0,0; 11,5; 5076,53; 29586,1; 99,68
0,0; 0,0; 12,5; 5089,20; 29660,0; 99,96
0,0; 0,0; 13,5; 5092,94; 29681,8; 100,00
0,0; 0,0; 14,5; 5092,29; 29678,0; 99,96
0,0; 0,0; 15,5; 5083,13; 29624,6; 99,80
0,0; 0,0; 16,5; 5054,56; 29458,1; 99,25
0,0; 0,0; 17,5; 5023,27; 29275,7; 98,65
0,0; 0,0; 18,5; 5003,92; 29162,9; 98,27
0,0; 0,0; 19,5; 4979,48; 29020,5; 97,76
0,0; 0,0; 20,5; 4946,82; 28830,2; 97,10
0,0; 0,0; 21,5; 4907,81; 28602,8; 96,34
0,0; 0,0; 22,5; 4865,70; 28357,4; 95,54
0,0; 0,0; 23,5; 4828,00; 28137,7; 94,82
0,0; 0,0; 24,5; 4797,24; 27958,4; 94,16
0,0; 0,0; 25,5; 4767,20; 27783,3; 93,57
0,0; 0,0; 26,5; 4735,64; 27599,4; 92,96
0,0; 0,0; 27,5; 4704,08; 27415,4; 92,35
0,0; 0,0; 28,5; 4672,51; 27231,5; 91,74
0,0; 0,0; 29,5; 4640,95; 27047,6; 91,13
0,0; 0,0; 30,5; 4608,06; 26855,9; 90,49
0,0; 0,0; 31,5; 4574,35; 26659,4; 89,82
0,0; 0,0; 32,5; 4540,65; 26463,0; 89,16
0,0; 0,0; 33,5; 4506,94; 26266,6; 88,49
0,0; 0,0; 34,5; 4473,24; 26070,1; 87,83
0,0; 0,0; 35,5; 4441,07; 25882,7; 87,19
0,0; 0,0; 36,5; 4409,91; 25701,0; 86,58
0,0; 0,0; 37,5; 4378,75; 25519,4; 85,96
0,0; 0,0; 38,5; 4347,58; 25337,8; 85,34
0,0; 0,0; 39,5; 4316,42; 25156,2; 84,72
0,0; 0,0; 40,5; 4286,46; 24981,6; 84,13
0,0; 0,0; 41,5; 4257,35; 24811,9; 83,56
0,0; 0,0; 42,5; 4228,24; 24642,2; 82,98
0,0; 0,0; 43,5; 4199,12; 24472,6; 82,41
0,0; 0,0; 44,5; 4170,01; 24302,9; 81,84
0,0; 0,0; 45,5; 4139,09; 24122,7; 81,23
0,0; 0,0; 46,5; 4106,95; 23935,4; 80,61
0,0; 0,0; 47,5; 4074,80; 23748,0; 79,99
0,0; 0,0; 48,5; 4042,66; 23560,7; 79,36
0,0; 0,0; 49,5; 4010,51; 23373,3; 78,74
0,0; 0,0; 50,5; 3981,23; 23202,7; 78,16
0,0; 0,0; 51,5; 3954,03; 23044,1; 77,62
0,0; 0,0; 52,5; 3926,82; 22885,6; 77,09
0,0; 0,0; 53,5; 3899,62; 22727,0; 76,55
0,0; 0,0; 54,5; 3872,41; 22568,5; 76,01
0,0; 0,0; 55,5; 3844,29; 22404,6; 75,45
0,0; 0,0; 56,5; 3815,36; 22236,0; 74,88
0,0; 0,0; 57,5; 3786,43; 22067,4; 74,30
0,0; 0,0; 58,5; 3757,50; 21898,8; 73,73
0,0; 0,0; 59,5; 3728,58; 21730,2; 73,16
0,0; 0,0; 60,5; 3700,82; 21568,5; 72,61
0,0; 0,0; 61,5; 3674,06; 21412,5; 72,09
0,0; 0,0; 62,5; 3647,29; 21256,5; 71,57
0,0; 0,0; 63,5; 3620,53; 21100,5; 71,05
0,0; 0,0; 64,5; 3593,76; 20944,5; 70,53
0,0; 0,0; 65,5; 3567,32; 20790,4; 70,02
0,0; 0,0; 66,5; 3541,14; 20637,9; 69,50
0,0; 0,0; 67,5; 3514,97; 20485,3; 68,99
0,0; 0,0; 68,5; 3488,80; 20332,8; 68,48
0,0; 0,0; 69,5; 3462,63; 20180,3; 67,97
0,0; 0,0; 70,5; 3438,42; 20039,2; 67,50
0,0; 0,0; 71,5; 3415,98; 19908,4; 67,05
0,0; 0,0; 72,5; 3393,54; 19777,6; 66,60
0,0; 0,0; 73,5; 3371,09; 19646,8; 66,15
0,0; 0,0; 74,5; 3348,65; 19516,0; 65,70
0,0; 0,0; 75,5; 3325,21; 19379,4; 65,23
0,0; 0,0; 76,5; 3300,58; 19235,8; 64,76
0,0; 0,0; 77,5; 3275,95; 19092,3; 64,28
0,0; 0,0; 78,5; 3251,32; 18948,8; 63,80
0,0; 0,0; 79,5; 3226,69; 18805,2; 63,32
0,0; 0,0; 80,5; 3202,32; 18663,2; 62,85
0,0; 0,0; 81,5; 3178,25; 18522,9; 62,38
0,0; 0,0; 82,5; 3154,17; 18382,6; 61,91
0,0; 0,0; 83,5; 3130,10; 18242,3; 61,43
0,0; 0,0; 84,5; 3106,02; 18101,9; 60,96
0,0; 0,0; 85,5; 3082,68; 17965,9; 60,50
0,0; 0,0; 86,5; 3060,22; 17835,0; 60,06
0,0; 0,0; 87,5; 3037,76; 17704,1; 59,62
0,0; 0,0; 88,5; 3015,31; 17573,3; 59,18
0,0; 0,0; 89,5; 2992,85; 17442,4; 58,73
0,0; 0,0; 90,5; 2972,27; 17322,5; 58,33
0,0; 0,0; 91,5; 2954,11; 17216,6; 57,97
0,0; 0,0; 92,5; 2935,95; 17110,8; 57,62
0,0; 0,0; 93,5; 2917,79; 17004,9; 57,27
0,0; 0,0; 94,5; 2899,63; 16899,1; 56,91
0,0; 0,0; 95,5; 2879,66; 16782,7; 56,52
0,0; 0,0; 96,5; 2857,40; 16653,0; 56,08
0,0; 0,0; 97,5; 2835,14; 16523,3; 55,64
0,0; 0,0; 98,5; 2812,89; 16393,6; 55,20
0,0; 0,0; 99,5; 2790,63; 16263,9; 54,76
0,0; 0,0; 100,5; 2770,39; 16145,9; 54,37
0,0; 0,0; 101,5; 2752,67; 16042,6; 54,03
0,0; 0,0; 102,5; 2734,95; 15939,4; 53,69
0,0; 0,0; 103,5; 2717,23; 15836,1; 53,34
0,0; 0,0; 104,5; 2699,51; 15732,8; 53,00
0,0; 0,0; 105,5; 2681,36; 15627,0; 52,65
0,0; 0,0; 106,5; 2662,66; 15518,0; 52,28
0,0; 0,0; 107,5; 2643,95; 15409,0; 51,91
0,0; 0,0; 108,5; 2625,25; 15300,0; 51,54
0,0; 0,0; 109,5; 2606,54; 15191,0; 51,17
0,0; 0,0; 110,5; 2586,67; 15075,1; 50,79
0,0; 0,0; 111,5; 2565,42; 14951,3; 50,37
0,0; 0,0; 112,5; 2544,18; 14827,5; 49,96
0,0; 0,0; 113,5; 2522,94; 14703,7; 49,54
0,0; 0,0; 114,5; 2501,69; 14579,9; 49,13
0,0; 0,0; 115,5; 2482,84; 14470,1; 48,76
0,0; 0,0; 116,5; 2466,51; 14374,9; 48,43
0,0; 0,0; 117,5; 2450,18; 14279,7; 48,10
0,0; 0,0; 118,5; 2433,85; 14184,5; 47,77
0,0; 0,0; 119,5; 2417,52; 14089,3; 47,44
0,0; 0,0; 120,5; 2401,55; 13996,3; 47,12
0,0; 0,0; 121,5; 2386,00; 13905,7; 46,81
0,0; 0,0; 122,5; 2370,46; 13815,1; 46,51
0,0; 0,0; 123,5; 2354,92; 13724,5; 46,20
0,0; 0,0; 124,5; 2339,38; 13633,9; 45,90
0,0; 0,0; 125,5; 2323,22; 13539,8; 45,58
0,0; 0,0; 126,5; 2306,28; 13441,0; 45,25
0,0; 0,0; 127,5; 2289,33; 13342,3; 44,92
0,0; 0,0; 128,5; 2272,39; 13243,5; 44,59
0,0; 0,0; 129,5; 2255,45; 13144,8; 44,26
0,0; 0,0; 130,5; 2240,48; 13057,6; 43,96
0,0; 0,0; 131,5; 2227,77; 12983,5; 43,71
0,0; 0,0; 132,5; 2215,06; 12909,4; 43,47
0,0; 0,0; 133,5; 2202,35; 12835,3; 43,22
0,0; 0,0; 134,5; 2189,64; 12761,2; 42,97
0,0; 0,0; 135,5; 2175,82; 12680,7; 42,70
0,0; 0,0; 136,5; 2160,54; 12591,7; 42,41
0,0; 0,0; 137,5; 2145,27; 12502,7; 42,11
0,0; 0,0; 138,5; 2129,99; 12413,6; 41,82
0,0; 0,0; 139,5; 2114,71; 12324,6; 41,53
0,0; 0,0; 140,5; 2099,23; 12234,3; 41,22
0,0; 0,0; 141,5; 2083,46; 12142,4; 40,91
0,0; 0,0; 142,5; 2067,69; 12050,5; 40,60
