Measurement time:; 27/05/2023 13:34:18
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-30,0; 0,0; 100,0; 134,13; 781,7; 4,62
-29,0; 0,0; 100,0; 136,35; 794,6; 4,69
-28,0; 0,0; 100,0; 155,90; 908,6; 5,36
-27,0; 0,0; 100,0; 171,64; 1000,3; 5,90
-26,0; 0,0; 100,0; 163,19; 951,1; 5,61
-25,0; 0,0; 100,0; 153,61; 895,2; 5,29
-24,0; 0,0; 100,0; 151,01; 880,1; 5,19
-23,0; 0,0; 100,0; 164,43; 958,3; 5,66
-22,0; 0,0; 100,0; 175,91; 1025,2; 6,05
-21,0; 0,0; 100,0; 190,88; 1112,5; 6,57
-20,0; 0,0; 100,0; 229,95; 1340,2; 7,92
-19,0; 0,0; 100,0; 281,37; 1639,8; 9,68
-18,0; 0,0; 100,0; 351,68; 2049,6; 12,10
-17,0; 0,0; 100,0; 484,87; 2825,8; 16,68
-16,0; 0,0; 100,0; 763,87; 4451,9; 26,28
-15,0; 0,0; 100,0; 1328,08; 7740,1; 45,70
-14,0; 0,0; 100,0; 2036,30; 11867,6; 70,08
-13,0; 0,0; 100,0; 2474,23; 14419,8; 85,14
-12,0; 0,0; 100,0; 2658,48; 15493,7; 91,48
-11,0; 0,0; 100,0; 2754,30; 16052,1; 94,81
-10,0; 0,0; 100,0; 2799,49; 16315,5; 96,37
-9,0; 0,0; 100,0; 2832,07; 16505,3; 97,49
-8,0; 0,0; 100,0; 2850,02; 16610,0; 98,10
-7,0; 0,0; 100,0; 2866,57; 16706,4; 98,59
-6,0; 0,0; 100,0; 2885,69; 16817,9; 99,28
-5,0; 0,0; 100,0; 2905,67; 16934,3; 99,99
-4,0; 0,0; 100,0; 2910,42; 16962,0; 100,12
-3,0; 0,0; 100,0; 2909,54; 16956,8; 100,07
-2,0; 0,0; 100,0; 2905,79; 16935,0; 99,99
-1,0; 0,0; 100,0; 2895,90; 16877,4; 99,68
0,0; 0,0; 100,0; 2904,67; 16928,5; 100,00
1,0; 0,0; 100,0; 2882,59; 16799,8; 99,21
2,0; 0,0; 100,0; 2880,50; 16787,6; 99,18
3,0; 0,0; 100,0; 2888,94; 16836,8; 99,42
4,0; 0,0; 100,0; 2891,15; 16849,7; 99,49
5,0; 0,0; 100,0; 2899,12; 16896,1; 99,79
6,0; 0,0; 100,0; 2887,15; 16826,4; 99,37
7,0; 0,0; 100,0; 2892,16; 16855,6; 99,58
8,0; 0,0; 100,0; 2872,10; 16738,6; 98,86
9,0; 0,0; 100,0; 2841,72; 16561,6; 97,81
10,0; 0,0; 100,0; 2800,16; 16319,4; 96,39
11,0; 0,0; 100,0; 2724,38; 15877,7; 93,80
12,0; 0,0; 100,0; 2631,54; 15336,6; 90,53
13,0; 0,0; 100,0; 2413,62; 14066,6; 83,06
14,0; 0,0; 100,0; 1901,53; 11082,1; 65,45
15,0; 0,0; 100,0; 1189,92; 6934,8; 40,95
16,0; 0,0; 100,0; 671,68; 3914,5; 23,12
17,0; 0,0; 100,0; 440,40; 2566,7; 15,16
18,0; 0,0; 100,0; 332,84; 1939,8; 11,46
19,0; 0,0; 100,0; 273,34; 1593,0; 9,41
20,0; 0,0; 100,0; 217,51; 1267,7; 7,49
21,0; 0,0; 100,0; 205,43; 1197,2; 7,07
22,0; 0,0; 100,0; 189,72; 1105,7; 6,53
23,0; 0,0; 100,0; 166,00; 967,4; 5,72
24,0; 0,0; 100,0; 154,64; 901,3; 5,32
25,0; 0,0; 100,0; 161,07; 938,7; 5,54
26,0; 0,0; 100,0; 141,68; 825,7; 4,88
27,0; 0,0; 100,0; 142,38; 829,8; 4,90
28,0; 0,0; 100,0; 132,72; 773,5; 4,57
29,0; 0,0; 100,0; 126,17; 735,3; 4,34
30,0; 0,0; 100,0; 120,82; 704,2; 4,16


Measurement time:; 27/05/2023 13:37:05
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 30 x 30 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -30,0; 100,0; 143,31; 835,2; 4,92
0,0; -29,0; 100,0; 154,69; 901,5; 5,31
0,0; -28,0; 100,0; 159,88; 931,8; 5,49
0,0; -27,0; 100,0; 164,81; 960,5; 5,66
0,0; -26,0; 100,0; 169,58; 988,3; 5,82
0,0; -25,0; 100,0; 164,77; 960,3; 5,65
