Measurement time:; 27/05/2023 12:25:45
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-10,0; 0,0; 100,0; 23,30; 135,8; 1,18
-9,0; 0,0; 100,0; 37,29; 217,3; 1,90
-8,0; 0,0; 100,0; 36,10; 210,4; 1,84
-7,0; 0,0; 100,0; 79,61; 464,0; 4,06
-6,0; 0,0; 100,0; 132,41; 771,7; 6,74
-5,0; 0,0; 100,0; 205,03; 1194,9; 10,49
-4,0; 0,0; 100,0; 340,81; 1986,3; 17,44
-3,0; 0,0; 100,0; 668,69; 3897,1; 34,15
-2,0; 0,0; 100,0; 1239,57; 7224,2; 62,99
-1,0; 0,0; 100,0; 1784,63; 10400,8; 90,94
0,0; 0,0; 100,0; 1964,63; 11449,9; 100,00
1,0; 0,0; 100,0; 1853,70; 10803,4; 94,01
2,0; 0,0; 100,0; 1365,47; 7958,0; 69,55
3,0; 0,0; 100,0; 708,03; 4126,4; 36,11
4,0; 0,0; 100,0; 339,24; 1977,1; 17,31
5,0; 0,0; 100,0; 198,05; 1154,3; 10,10
6,0; 0,0; 100,0; 145,55; 848,3; 7,42
7,0; 0,0; 100,0; 108,38; 631,6; 5,53
8,0; 0,0; 100,0; 89,60; 522,2; 4,59
9,0; 0,0; 100,0; 92,33; 538,1; 4,71
10,0; 0,0; 100,0; 78,07; 455,0; 3,97


Measurement time:; 27/05/2023 12:27:28
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -10,0; 100,0; 79,93; 465,8; 4,07
0,0; -9,0; 100,0; 85,52; 498,4; 4,35
0,0; -8,0; 100,0; 105,48; 614,8; 5,36
0,0; -7,0; 100,0; 119,48; 696,3; 6,09
0,0; -6,0; 100,0; 162,45; 946,8; 8,28
0,0; -5,0; 100,0; 264,23; 1539,9; 13,48
0,0; -4,0; 100,0; 505,73; 2947,4; 25,75
0,0; -3,0; 100,0; 966,53; 5632,9; 49,02
0,0; -2,0; 100,0; 1553,16; 9051,9; 78,54
0,0; -1,0; 100,0; 1913,43; 11151,5; 97,29
0,0; 0,0; 100,0; 1968,72; 11473,7; 100,00
0,0; 1,0; 100,0; 1887,12; 10998,2; 95,92
0,0; 2,0; 100,0; 1552,16; 9046,0; 78,90
0,0; 3,0; 100,0; 953,16; 5555,0; 48,62
0,0; 4,0; 100,0; 473,13; 2757,4; 24,05
0,0; 5,0; 100,0; 254,11; 1481,0; 12,95
0,0; 6,0; 100,0; 147,65; 860,5; 7,50
0,0; 7,0; 100,0; 113,06; 658,9; 5,75
0,0; 8,0; 100,0; 96,04; 559,7; 4,88
0,0; 9,0; 100,0; 77,82; 453,5; 3,98
0,0; 10,0; 100,0; 75,67; 441,0; 3,84


Measurement time:; 27/05/2023 12:28:57
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; Razor Nano
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; -0,5; 2373,54; 13833,0; 60,54
0,0; 0,0; 0,5; 2411,72; 14055,6; 61,23
0,0; 0,0; 1,5; 2652,90; 15461,1; 67,51
0,0; 0,0; 2,5; 3100,67; 18070,7; 78,97
0,0; 0,0; 3,5; 3466,90; 20205,2; 88,50
0,0; 0,0; 4,5; 3686,17; 21483,1; 94,22
0,0; 0,0; 5,5; 3813,02; 22222,3; 97,19
0,0; 0,0; 6,5; 3880,70; 22616,8; 98,84
0,0; 0,0; 7,5; 3914,51; 22813,9; 99,80
0,0; 0,0; 8,5; 3920,25; 22847,3; 99,88
0,0; 0,0; 9,5; 3921,86; 22856,7; 100,00
0,0; 0,0; 10,5; 3909,29; 22783,4; 99,79
0,0; 0,0; 11,5; 3894,82; 22699,1; 99,31
0,0; 0,0; 12,5; 3879,73; 22611,1; 98,82
0,0; 0,0; 13,5; 3851,13; 22444,5; 97,95
0,0; 0,0; 14,5; 3821,62; 22272,5; 96,99
0,0; 0,0; 15,5; 3789,51; 22085,3; 96,21
0,0; 0,0; 16,5; 3771,00; 21977,4; 95,99
0,0; 0,0; 17,5; 3748,25; 21844,8; 95,61
0,0; 0,0; 18,5; 3713,37; 21641,6; 94,62
0,0; 0,0; 19,5; 3680,34; 21449,1; 93,77
0,0; 0,0; 20,5; 3644,94; 21242,8; 93,15
0,0; 0,0; 21,5; 3616,35; 21076,1; 92,29
0,0; 0,0; 22,5; 3588,61; 20914,5; 91,55
0,0; 0,0; 23,5; 3557,93; 20735,7; 90,55
0,0; 0,0; 24,5; 3533,07; 20590,8; 89,84
0,0; 0,0; 25,5; 3504,89; 20426,5; 89,41
0,0; 0,0; 26,5; 3477,59; 20267,5; 88,74
0,0; 0,0; 27,5; 3450,29; 20108,4; 88,07
0,0; 0,0; 28,5; 3422,99; 19949,3; 87,40
0,0; 0,0; 29,5; 3395,70; 19790,2; 86,73
0,0; 0,0; 30,5; 3369,68; 19638,5; 86,09
0,0; 0,0; 31,5; 3344,47; 19491,6; 85,48
0,0; 0,0; 32,5; 3319,26; 19344,7; 84,86
0,0; 0,0; 33,5; 3294,05; 19197,8; 84,25
0,0; 0,0; 34,5; 3268,85; 19050,9; 83,63
0,0; 0,0; 35,5; 3244,99; 18911,9; 83,00
0,0; 0,0; 36,5; 3222,01; 18777,9; 82,34
0,0; 0,0; 37,5; 3199,02; 18643,9; 81,68
0,0; 0,0; 38,5; 3176,03; 18510,0; 81,03
0,0; 0,0; 39,5; 3153,05; 18376,0; 80,37
0,0; 0,0; 40,5; 3128,87; 18235,1; 79,76
0,0; 0,0; 41,5; 3103,75; 18088,7; 79,18
0,0; 0,0; 42,5; 3078,62; 17942,3; 78,59
0,0; 0,0; 43,5; 3053,49; 17795,8; 78,01
0,0; 0,0; 44,5; 3028,37; 17649,4; 77,43
0,0; 0,0; 45,5; 3003,28; 17503,2; 76,76
0,0; 0,0; 46,5; 2978,22; 17357,1; 76,02
0,0; 0,0; 47,5; 2953,16; 17211,1; 75,28
0,0; 0,0; 48,5; 2928,10; 17065,0; 74,55
0,0; 0,0; 49,5; 2903,05; 16919,0; 73,81
0,0; 0,0; 50,5; 2880,42; 16787,1; 73,20
0,0; 0,0; 51,5; 2859,70; 16666,4; 72,71
