Measurement time:; 12/04/2023 18:06:08
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-5,0; 0,0; 100,0; 122,57; 42830,6; 4,99
-4,0; 0,0; 100,0; 265,42; 92752,8; 10,80
-3,0; 0,0; 100,0; 666,49; 232904,3; 27,12
-2,0; 0,0; 100,0; 1674,49; 585152,0; 68,05
-1,0; 0,0; 100,0; 2342,77; 818683,6; 95,24
0,0; 0,0; 100,0; 2458,43; 859099,9; 100,00
1,0; 0,0; 100,0; 2282,07; 797470,3; 92,67
2,0; 0,0; 100,0; 1477,46; 516299,4; 60,07
3,0; 0,0; 100,0; 510,89; 178531,3; 20,74
4,0; 0,0; 100,0; 202,75; 70851,0; 8,24
5,0; 0,0; 100,0; 97,71; 34144,8; 3,97


Measurement time:; 12/04/2023 18:06:57
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -5,0; 100,0; 210,22; 73462,0; 8,55
0,0; -4,0; 100,0; 492,45; 172086,7; 20,03
0,0; -3,0; 100,0; 1169,55; 408700,3; 47,58
0,0; -2,0; 100,0; 2065,33; 721731,3; 83,99
0,0; -1,0; 100,0; 2419,53; 845505,3; 98,32
0,0; 0,0; 100,0; 2459,88; 859606,4; 100,00
0,0; 1,0; 100,0; 2360,54; 824893,3; 95,83
0,0; 2,0; 100,0; 1983,12; 693001,8; 80,67
0,0; 3,0; 100,0; 1081,90; 378070,8; 44,00
0,0; 4,0; 100,0; 406,76; 142143,4; 16,55
0,0; 5,0; 100,0; 155,02; 54172,8; 6,30


Measurement time:; 12/04/2023 18:07:44
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 5 x 5 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; -0,5; 2773,72; 969277,8; 54,60
0,0; 0,0; 0,5; 2956,49; 1033147,0; 58,31
0,0; 0,0; 1,5; 3583,71; 1252329,3; 70,68
0,0; 0,0; 2,5; 4270,33; 1492267,7; 84,20
0,0; 0,0; 3,5; 4635,25; 1619791,2; 91,39
0,0; 0,0; 4,5; 4850,47; 1695000,4; 95,61
0,0; 0,0; 5,5; 4971,74; 1737377,0; 98,04
0,0; 0,0; 6,5; 5035,81; 1759766,9; 99,33
0,0; 0,0; 7,5; 5070,14; 1771762,9; 99,90
0,0; 0,0; 8,5; 5075,24; 1773546,5; 100,00
0,0; 0,0; 9,5; 5061,53; 1768753,1; 99,75
0,0; 0,0; 10,5; 5042,96; 1762264,1; 99,32
0,0; 0,0; 11,5; 5016,95; 1753175,5; 98,78
0,0; 0,0; 12,5; 4977,53; 1739400,4; 98,04
0,0; 0,0; 13,5; 4947,59; 1728935,7; 97,57
0,0; 0,0; 14,5; 4915,58; 1717751,9; 96,85
0,0; 0,0; 15,5; 4881,78; 1705939,5; 96,11
0,0; 0,0; 16,5; 4839,37; 1691118,2; 95,37
0,0; 0,0; 17,5; 4797,78; 1676587,2; 94,59
0,0; 0,0; 18,5; 4762,59; 1664289,4; 93,90
0,0; 0,0; 19,5; 4719,47; 1649221,8; 93,03
0,0; 0,0; 20,5; 4680,21; 1635500,5; 92,19
0,0; 0,0; 21,5; 4641,84; 1622093,0; 91,46
0,0; 0,0; 22,5; 4603,47; 1608685,6; 90,72
0,0; 0,0; 23,5; 4565,11; 1595278,1; 89,98
0,0; 0,0; 24,5; 4526,74; 1581870,6; 89,24
0,0; 0,0; 25,5; 4490,27; 1569125,5; 88,52
0,0; 0,0; 26,5; 4454,84; 1556746,4; 87,81
0,0; 0,0; 27,5; 4419,42; 1544367,3; 87,10
0,0; 0,0; 28,5; 4383,99; 1531988,2; 86,39
0,0; 0,0; 29,5; 4348,57; 1519609,0; 85,68
0,0; 0,0; 30,5; 4313,78; 1507453,8; 85,00
0,0; 0,0; 31,5; 4279,42; 1495446,2; 84,33
0,0; 0,0; 32,5; 4245,06; 1483438,7; 83,66
0,0; 0,0; 33,5; 4210,70; 1471431,1; 82,99
0,0; 0,0; 34,5; 4176,34; 1459423,6; 82,32
0,0; 0,0; 35,5; 4141,96; 1447410,4; 81,64
0,0; 0,0; 36,5; 4107,57; 1435393,1; 80,96
0,0; 0,0; 37,5; 4073,18; 1423375,9; 80,28
0,0; 0,0; 38,5; 4038,80; 1411358,7; 79,59
0,0; 0,0; 39,5; 4004,41; 1399341,5; 78,91
0,0; 0,0; 40,5; 3971,14; 1387716,9; 78,24
0,0; 0,0; 41,5; 3938,72; 1376388,0; 77,59
0,0; 0,0; 42,5; 3906,30; 1365059,0; 76,94
0,0; 0,0; 43,5; 3873,88; 1353730,0; 76,29
0,0; 0,0; 44,5; 3841,46; 1342401,1; 75,64
0,0; 0,0; 45,5; 3809,40; 1331196,6; 75,01
0,0; 0,0; 46,5; 3777,62; 1320090,1; 74,40
0,0; 0,0; 47,5; 3745,83; 1308983,5; 73,79
0,0; 0,0; 48,5; 3714,05; 1297877,0; 73,18
0,0; 0,0; 49,5; 3682,27; 1286770,4; 72,57
0,0; 0,0; 50,5; 3652,28; 1276289,3; 71,99
0,0; 0,0; 51,5; 3623,75; 1266320,6; 71,43
0,0; 0,0; 52,5; 3595,22; 1256351,9; 70,87
0,0; 0,0; 53,5; 3566,70; 1246383,3; 70,32
0,0; 0,0; 54,5; 3538,17; 1236414,6; 69,76
0,0; 0,0; 55,5; 3509,06; 1226242,0; 69,18
0,0; 0,0; 56,5; 3479,44; 1215892,7; 68,59
0,0; 0,0; 57,5; 3449,83; 1205543,3; 68,00
0,0; 0,0; 58,5; 3420,21; 1195194,0; 67,40
0,0; 0,0; 59,5; 3390,59; 1184844,6; 66,81
0,0; 0,0; 60,5; 3363,03; 1175210,9; 66,26
0,0; 0,0; 61,5; 3337,38; 1166249,5; 65,75
0,0; 0,0; 62,5; 3311,74; 1157288,2; 65,24
0,0; 0,0; 63,5; 3286,09; 1148326,8; 64,73
0,0; 0,0; 64,5; 3260,45; 1139365,4; 64,22
0,0; 0,0; 65,5; 3235,05; 1130489,4; 63,72
0,0; 0,0; 66,5; 3209,89; 1121696,5; 63,23
0,0; 0,0; 67,5; 3184,73; 1112903,6; 62,73
0,0; 0,0; 68,5; 3159,56; 1104110,8; 62,24
0,0; 0,0; 69,5; 3134,40; 1095317,9; 61,75
0,0; 0,0; 70,5; 3109,66; 1086672,0; 61,28
0,0; 0,0; 71,5; 3085,35; 1078175,5; 60,82
0,0; 0,0; 72,5; 3061,03; 1069679,0; 60,37
0,0; 0,0; 73,5; 3036,72; 1061182,5; 59,91
0,0; 0,0; 74,5; 3012,40; 1052686,0; 59,45
0,0; 0,0; 75,5; 2988,39; 1044294,4; 58,98
0,0; 0,0; 76,5; 2964,72; 1036021,8; 58,50
0,0; 0,0; 77,5; 2941,04; 1027749,3; 58,01
0,0; 0,0; 78,5; 2917,37; 1019476,8; 57,52
0,0; 0,0; 79,5; 2893,70; 1011204,2; 57,04
0,0; 0,0; 80,5; 2870,67; 1003157,9; 56,58
0,0; 0,0; 81,5; 2848,28; 995331,8; 56,14
0,0; 0,0; 82,5; 2825,88; 987505,6; 55,70
0,0; 0,0; 83,5; 2803,49; 979679,4; 55,27
0,0; 0,0; 84,5; 2781,09; 971853,2; 54,83
0,0; 0,0; 85,5; 2758,40; 963923,3; 54,39
0,0; 0,0; 86,5; 2735,44; 955899,1; 53,94
0,0; 0,0; 87,5; 2712,47; 947874,9; 53,50
0,0; 0,0; 88,5; 2689,51; 939850,7; 53,05
0,0; 0,0; 89,5; 2666,55; 931826,5; 52,60
0,0; 0,0; 90,5; 2645,19; 924361,3; 52,17
0,0; 0,0; 91,5; 2625,86; 917607,1; 51,77
0,0; 0,0; 92,5; 2606,53; 910852,9; 51,37
0,0; 0,0; 93,5; 2587,20; 904098,7; 50,97
0,0; 0,0; 94,5; 2567,87; 897344,5; 50,57
0,0; 0,0; 95,5; 2548,32; 890510,3; 50,18
0,0; 0,0; 96,5; 2528,46; 883572,3; 49,79
0,0; 0,0; 97,5; 2508,61; 876634,3; 49,40
0,0; 0,0; 98,5; 2488,75; 869696,4; 49,02
0,0; 0,0; 99,5; 2468,90; 862758,4; 48,63
0,0; 0,0; 100,5; 2449,39; 855941,7; 48,25
0,0; 0,0; 101,5; 2430,39; 849299,6; 47,89
0,0; 0,0; 102,5; 2411,38; 842657,4; 47,52
0,0; 0,0; 103,5; 2392,37; 836015,3; 47,16
0,0; 0,0; 104,5; 2373,36; 829373,2; 46,79
0,0; 0,0; 105,5; 2355,08; 822983,6; 46,43
0,0; 0,0; 106,5; 2337,74; 816925,8; 46,07
0,0; 0,0; 107,5; 2320,41; 810868,0; 45,71
0,0; 0,0; 108,5; 2303,07; 804810,2; 45,36
0,0; 0,0; 109,5; 2285,74; 798752,4; 45,00
0,0; 0,0; 110,5; 2268,26; 792645,6; 44,65
0,0; 0,0; 111,5; 2250,60; 786473,3; 44,30
0,0; 0,0; 112,5; 2232,94; 780301,1; 43,96
0,0; 0,0; 113,5; 2215,28; 774128,9; 43,61
0,0; 0,0; 114,5; 2197,61; 767956,7; 43,26
0,0; 0,0; 115,5; 2180,26; 761891,6; 42,93
0,0; 0,0; 116,5; 2163,32; 755973,2; 42,60
0,0; 0,0; 117,5; 2146,38; 750054,8; 42,28
0,0; 0,0; 118,5; 2129,45; 744136,3; 41,95
0,0; 0,0; 119,5; 2112,51; 738217,9; 41,63
0,0; 0,0; 120,5; 2096,41; 732590,2; 41,32
0,0; 0,0; 121,5; 2081,34; 727323,5; 41,02
0,0; 0,0; 122,5; 2066,26; 722056,8; 40,73
0,0; 0,0; 123,5; 2051,19; 716790,0; 40,43
0,0; 0,0; 124,5; 2036,12; 711523,3; 40,14
0,0; 0,0; 125,5; 2021,34; 706356,8; 39,85
0,0; 0,0; 126,5; 2006,87; 701302,6; 39,56
0,0; 0,0; 127,5; 1992,41; 696248,3; 39,28
0,0; 0,0; 128,5; 1977,95; 691194,0; 38,99
0,0; 0,0; 129,5; 1963,48; 686139,7; 38,71
