Measurement time:; 12/04/2023 18:28:42
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-10,0; 0,0; 100,0; 2,24; 23220,6; 2,24
-9,0; 0,0; 100,0; 3,47; 35958,7; 3,47
-8,0; 0,0; 100,0; 5,60; 58041,1; 5,60
-7,0; 0,0; 100,0; 9,59; 99440,6; 9,60
-6,0; 0,0; 100,0; 19,65; 203612,8; 19,66
-5,0; 0,0; 100,0; 48,91; 506879,6; 48,93
-4,0; 0,0; 100,0; 83,40; 864432,6; 83,40
-3,0; 0,0; 100,0; 94,18; 976137,9; 94,26
-2,0; 0,0; 100,0; 98,23; 1018120,9; 98,28
-1,0; 0,0; 100,0; 99,70; 1033311,2; 99,77
0,0; 0,0; 100,0; 99,94; 1035779,3; 100,00
1,0; 0,0; 100,0; 99,07; 1026765,2; 99,13
2,0; 0,0; 100,0; 96,22; 997276,3; 96,30
3,0; 0,0; 100,0; 89,22; 924697,5; 89,28
4,0; 0,0; 100,0; 69,35; 718782,5; 69,40
5,0; 0,0; 100,0; 31,77; 329316,4; 31,80
6,0; 0,0; 100,0; 13,18; 136578,5; 13,19
7,0; 0,0; 100,0; 7,01; 72634,7; 7,01
8,0; 0,0; 100,0; 4,27; 44279,6; 4,28
9,0; 0,0; 100,0; 2,70; 27954,5; 2,70
10,0; 0,0; 100,0; 1,76; 18254,1; 1,76


Measurement time:; 12/04/2023 18:30:13
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -10,0; 100,0; 2,55; 26458,6; 2,56
0,0; -9,0; 100,0; 4,04; 41907,8; 4,05
0,0; -8,0; 100,0; 7,01; 72666,0; 7,03
0,0; -7,0; 100,0; 13,64; 141398,9; 13,68
0,0; -6,0; 100,0; 28,74; 297842,4; 28,82
0,0; -5,0; 100,0; 61,55; 637973,4; 61,73
0,0; -4,0; 100,0; 87,12; 902943,3; 87,30
0,0; -3,0; 100,0; 95,17; 986388,5; 95,43
0,0; -2,0; 100,0; 98,07; 1016475,8; 98,36
0,0; -1,0; 100,0; 99,32; 1029355,0; 99,57
0,0; 0,0; 100,0; 99,72; 1033580,3; 100,00
0,0; 1,0; 100,0; 99,33; 1029555,2; 99,60
0,0; 2,0; 100,0; 97,52; 1010800,3; 97,76
0,0; 3,0; 100,0; 93,13; 965282,0; 93,40
0,0; 4,0; 100,0; 83,83; 868845,2; 84,10
0,0; 5,0; 100,0; 61,89; 641414,4; 62,08
0,0; 6,0; 100,0; 27,78; 287883,0; 27,86
