Measurement time:; 12/04/2023 18:56:46
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-20,0; 0,0; 100,0; 2,36; 24477,1; 2,16
-19,0; 0,0; 100,0; 2,66; 27555,4; 2,43
-18,0; 0,0; 100,0; 3,01; 31181,1; 2,74
-17,0; 0,0; 100,0; 3,51; 36353,9; 3,20
-16,0; 0,0; 100,0; 4,25; 44083,9; 3,88
-15,0; 0,0; 100,0; 5,25; 54447,3; 4,79
-14,0; 0,0; 100,0; 6,90; 71499,9; 6,29
-13,0; 0,0; 100,0; 9,42; 97684,1; 8,60
-12,0; 0,0; 100,0; 14,24; 147604,1; 13,00
-11,0; 0,0; 100,0; 25,63; 265644,6; 23,38
-10,0; 0,0; 100,0; 57,04; 591210,3; 52,02
-9,0; 0,0; 100,0; 89,75; 930229,9; 81,86
-8,0; 0,0; 100,0; 99,67; 1033076,7; 90,91
-7,0; 0,0; 100,0; 103,81; 1075932,6; 94,68
-6,0; 0,0; 100,0; 106,26; 1101296,7; 96,94
-5,0; 0,0; 100,0; 107,80; 1117305,2; 98,29
-4,0; 0,0; 100,0; 108,80; 1127612,1; 99,21
-3,0; 0,0; 100,0; 109,11; 1130919,5; 99,53
-2,0; 0,0; 100,0; 109,61; 1136058,1; 99,97
-1,0; 0,0; 100,0; 109,53; 1135252,9; 99,91
0,0; 0,0; 100,0; 109,63; 1136255,0; 100,00
1,0; 0,0; 100,0; 109,62; 1136130,7; 100,00
2,0; 0,0; 100,0; 109,22; 1132001,9; 99,61
3,0; 0,0; 100,0; 108,65; 1126078,8; 99,10
4,0; 0,0; 100,0; 107,94; 1118781,9; 98,40
5,0; 0,0; 100,0; 106,49; 1103696,4; 97,07
6,0; 0,0; 100,0; 104,52; 1083347,0; 95,25
7,0; 0,0; 100,0; 100,16; 1038109,3; 91,31
8,0; 0,0; 100,0; 90,50; 937950,6; 82,51
9,0; 0,0; 100,0; 65,58; 679754,2; 59,81
10,0; 0,0; 100,0; 29,80; 308812,3; 27,17
11,0; 0,0; 100,0; 15,50; 160633,3; 14,13
12,0; 0,0; 100,0; 9,84; 101982,8; 8,97
13,0; 0,0; 100,0; 7,08; 73364,9; 6,46
14,0; 0,0; 100,0; 5,44; 56379,2; 4,96
15,0; 0,0; 100,0; 4,41; 45707,0; 4,02
16,0; 0,0; 100,0; 3,54; 36689,6; 3,23
17,0; 0,0; 100,0; 3,10; 32107,4; 2,82
18,0; 0,0; 100,0; 2,70; 27943,9; 2,46
19,0; 0,0; 100,0; 2,34; 24280,0; 2,13
20,0; 0,0; 100,0; 2,13; 22053,6; 1,94


Measurement time:; 12/04/2023 18:59:35
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -20,0; 100,0; 8,37; 25242,5; 2,22
0,0; -19,0; 100,0; 9,49; 28633,4; 2,52
0,0; -18,0; 100,0; 10,91; 32890,9; 2,90
0,0; -17,0; 100,0; 12,92; 38977,4; 3,43
0,0; -16,0; 100,0; 15,80; 47654,1; 4,19
0,0; -15,0; 100,0; 20,20; 60926,4; 5,37
0,0; -14,0; 100,0; 26,93; 81220,6; 7,16
0,0; -13,0; 100,0; 39,23; 118305,7; 10,41
0,0; -12,0; 100,0; 63,81; 192447,7; 16,95
0,0; -11,0; 100,0; 123,14; 371368,7; 32,71
0,0; -10,0; 100,0; 235,20; 709343,1; 62,46
0,0; -9,0; 100,0; 320,34; 966104,2; 85,10
0,0; -8,0; 100,0; 347,96; 1049400,9; 92,42
0,0; -7,0; 100,0; 358,52; 1081248,6; 95,19
0,0; -6,0; 100,0; 366,29; 1104686,4; 97,26
0,0; -5,0; 100,0; 369,84; 1115383,6; 98,22
0,0; -4,0; 100,0; 373,16; 1125407,3; 99,08
0,0; -3,0; 100,0; 374,70; 1130066,3; 99,56
0,0; -2,0; 100,0; 375,61; 1132800,8; 99,77
0,0; -1,0; 100,0; 376,73; 1136161,4; 100,09
0,0; 0,0; 100,0; 376,62; 1135834,9; 100,00
0,0; 1,0; 100,0; 376,14; 1134390,5; 99,93
0,0; 2,0; 100,0; 375,95; 1133810,6; 99,82
0,0; 3,0; 100,0; 374,39; 1129107,0; 99,44
0,0; 4,0; 100,0; 373,00; 1124927,6; 99,02
0,0; 5,0; 100,0; 369,38; 1114004,6; 98,02
0,0; 6,0; 100,0; 364,30; 1098676,7; 96,74
0,0; 7,0; 100,0; 356,17; 1074162,9; 94,54
0,0; 8,0; 100,0; 337,77; 1018665,2; 89,67
0,0; 9,0; 100,0; 301,06; 907950,2; 79,95
0,0; 10,0; 100,0; 214,11; 645718,7; 56,84
0,0; 11,0; 100,0; 107,01; 322733,8; 28,41
0,0; 12,0; 100,0; 54,45; 164216,5; 14,46
0,0; 13,0; 100,0; 33,96; 102408,8; 9,02
0,0; 14,0; 100,0; 24,60; 74177,9; 6,53
0,0; 15,0; 100,0; 18,30; 55196,8; 4,86
0,0; 16,0; 100,0; 14,96; 45126,1; 3,97
0,0; 17,0; 100,0; 12,23; 36881,8; 3,25
0,0; 18,0; 100,0; 10,61; 31991,5; 2,82
0,0; 19,0; 100,0; 9,16; 27622,8; 2,43
0,0; 20,0; 100,0; 8,04; 24252,4; 2,14


Measurement time:; 12/04/2023 19:01:28
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 20 x 20 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; -0,5; 343,52; 1036029,9; 48,60
0,0; 0,0; 0,5; 356,35; 1074711,8; 50,42
0,0; 0,0; 1,5; 426,14; 1285187,9; 60,30
0,0; 0,0; 2,5; 519,39; 1566424,7; 73,50
0,0; 0,0; 3,5; 579,38; 1747329,8; 81,98
0,0; 0,0; 4,5; 620,34; 1870882,4; 87,77
0,0; 0,0; 5,5; 648,47; 1955697,0; 91,72
0,0; 0,0; 6,5; 668,44; 2015951,6; 94,55
0,0; 0,0; 7,5; 682,51; 2058378,1; 96,56
0,0; 0,0; 8,5; 693,47; 2091417,7; 98,09
0,0; 0,0; 9,5; 701,13; 2114538,5; 99,13
0,0; 0,0; 10,5; 705,40; 2127399,3; 99,73
0,0; 0,0; 11,5; 706,61; 2131051,1; 99,92
0,0; 0,0; 12,5; 707,06; 2132425,1; 100,00
0,0; 0,0; 13,5; 706,47; 2130643,7; 99,93
0,0; 0,0; 14,5; 704,82; 2125664,5; 99,67
0,0; 0,0; 15,5; 702,30; 2118060,8; 99,30
0,0; 0,0; 16,5; 698,91; 2107841,9; 98,86
0,0; 0,0; 17,5; 695,22; 2096715,4; 98,36
0,0; 0,0; 18,5; 691,77; 2086302,9; 97,82
0,0; 0,0; 19,5; 687,63; 2073814,7; 97,24
0,0; 0,0; 20,5; 682,77; 2059158,6; 96,58
0,0; 0,0; 21,5; 677,99; 2044726,2; 95,91
0,0; 0,0; 22,5; 673,20; 2030293,8; 95,23
0,0; 0,0; 23,5; 668,41; 2015861,3; 94,55
0,0; 0,0; 24,5; 663,63; 2001428,9; 93,87
0,0; 0,0; 25,5; 658,84; 1986989,3; 93,19
0,0; 0,0; 26,5; 654,05; 1972544,9; 92,50
0,0; 0,0; 27,5; 649,26; 1958100,6; 91,82
0,0; 0,0; 28,5; 644,47; 1943656,2; 91,13
