Measurement time:; 12/04/2023 19:58:03
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; <none>
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-10,0; 0,0; 100,0; 2,45; 24823,8; 0,00
-9,0; 0,0; 100,0; 3,32; 33612,9; 0,00
-8,0; 0,0; 100,0; 4,89; 49482,1; 0,00
-7,0; 0,0; 100,0; 8,02; 81172,1; 0,00
-6,0; 0,0; 100,0; 15,78; 159648,2; 0,00
-5,0; 0,0; 100,0; 51,46; 520663,8; 0,00
-4,0; 0,0; 100,0; 85,76; 867669,5; 0,00
-3,0; 0,0; 100,0; 94,35; 954641,2; 0,00
-2,0; 0,0; 100,0; 98,12; 992759,6; 0,00
-1,0; 0,0; 100,0; 99,54; 1007162,3; 0,00
0,0; 0,0; 100,0; 100,00; 1011771,1; 0,00
1,0; 0,0; 100,0; 99,03; 1002006,3; 0,00
2,0; 0,0; 100,0; 96,86; 979972,6; 0,00
3,0; 0,0; 100,0; 92,34; 934225,4; 0,00
4,0; 0,0; 100,0; 79,06; 799865,2; 0,00
5,0; 0,0; 100,0; 33,12; 335071,7; 0,00
6,0; 0,0; 100,0; 11,68; 118167,2; 0,00
7,0; 0,0; 100,0; 6,30; 63785,2; 0,00
8,0; 0,0; 100,0; 4,10; 41504,1; 0,00
9,0; 0,0; 100,0; 2,85; 28820,4; 0,00
10,0; 0,0; 100,0; 2,08; 21021,6; 0,00


Measurement time:; 12/04/2023 19:59:40
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; <none>
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -10,0; 100,0; 2,24; 22637,2; 0,00
0,0; -9,0; 100,0; 3,13; 31662,8; 0,00
0,0; -8,0; 100,0; 4,64; 46935,0; 0,00
0,0; -7,0; 100,0; 7,13; 72101,0; 0,00
0,0; -6,0; 100,0; 13,52; 136750,9; 0,00
0,0; -5,0; 100,0; 40,22; 406869,4; 0,00
0,0; -4,0; 100,0; 81,57; 825182,8; 0,00
0,0; -3,0; 100,0; 92,65; 937296,8; 0,00
0,0; -2,0; 100,0; 97,17; 982992,6; 0,00
0,0; -1,0; 100,0; 99,16; 1003093,8; 0,00
0,0; 0,0; 100,0; 100,00; 1011616,1; 0,00
0,0; 1,0; 100,0; 99,45; 1006057,6; 0,00
0,0; 2,0; 100,0; 97,65; 987884,4; 0,00
0,0; 3,0; 100,0; 93,16; 942409,8; 0,00
0,0; 4,0; 100,0; 83,85; 848226,2; 0,00
0,0; 5,0; 100,0; 42,23; 427224,5; 0,00
0,0; 6,0; 100,0; 13,18; 133338,8; 0,00
0,0; 7,0; 100,0; 7,06; 71453,6; 0,00
0,0; 8,0; 100,0; 4,50; 45477,9; 0,00
0,0; 9,0; 100,0; 3,03; 30635,4; 0,00
0,0; 10,0; 100,0; 2,19; 22175,6; 0,00


Measurement time:; 12/04/2023 20:01:27
