Measurement time:; 12/04/2023 18:28:42
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-10,0; 0,0; 100,0; 2,24; 23220,6; 2,24
-9,5; 0,0; 100,0; 2,81; 29134,9; 2,81
-8,9; 0,0; 100,0; 3,55; 36812,3; 3,55
-8,5; 0,0; 100,0; 4,44; 46032,2; 4,44
-8,0; 0,0; 100,0; 5,67; 58807,9; 5,68
-7,5; 0,0; 100,0; 7,28; 75471,7; 7,29
-7,0; 0,0; 100,0; 9,78; 101327,9; 9,78
-6,5; 0,0; 100,0; 13,43; 139196,1; 13,44
-5,9; 0,0; 100,0; 20,42; 211640,3; 20,44
-5,5; 0,0; 100,0; 30,94; 320728,2; 30,98
-5,0; 0,0; 100,0; 50,52; 523631,7; 50,58
-4,5; 0,0; 100,0; 70,45; 730144,2; 70,51
-4,0; 0,0; 100,0; 84,37; 874466,9; 84,41
-3,5; 0,0; 100,0; 90,47; 937651,0; 90,61
-3,0; 0,0; 100,0; 94,39; 978284,7; 94,52
-2,5; 0,0; 100,0; 96,56; 1000806,1; 96,67
-2,0; 0,0; 100,0; 98,26; 1018395,3; 98,35
-1,5; 0,0; 100,0; 99,17; 1027821,6; 99,26
-1,0; 0,0; 100,0; 99,69; 1033220,0; 99,81
-0,4; 0,0; 100,0; 100,08; 1037245,6; 100,17
0,0; 0,0; 100,0; 99,94; 1035803,1; 100,05
0,5; 0,0; 100,0; 99,41; 1030325,9; 99,50
1,0; 0,0; 100,0; 99,05; 1026603,6; 99,16
1,5; 0,0; 100,0; 97,91; 1014791,9; 98,11
2,0; 0,0; 100,0; 96,17; 996789,1; 96,30
2,5; 0,0; 100,0; 93,43; 968307,9; 93,50
3,0; 0,0; 100,0; 89,17; 924157,1; 89,28
3,5; 0,0; 100,0; 82,73; 857417,4; 82,82
4,0; 0,0; 100,0; 70,87; 734548,8; 70,96
4,5; 0,0; 100,0; 52,02; 539187,9; 52,10
5,0; 0,0; 100,0; 32,11; 332774,7; 32,15
5,5; 0,0; 100,0; 20,66; 214162,9; 20,69
6,0; 0,0; 100,0; 13,29; 137747,3; 13,31
6,5; 0,0; 100,0; 9,52; 98680,8; 9,53
7,0; 0,0; 100,0; 7,04; 72998,1; 7,05
7,4; 0,0; 100,0; 5,49; 56952,5; 5,50
8,0; 0,0; 100,0; 4,29; 44483,7; 4,30
8,5; 0,0; 100,0; 3,44; 35604,4; 3,44
9,0; 0,0; 100,0; 2,71; 28130,3; 2,72
9,5; 0,0; 100,0; 2,18; 22588,5; 2,18
10,0; 0,0; 100,0; 1,76; 18254,1; 1,76


Measurement time:; 12/04/2023 18:30:13
Radiation device:; Novalis TB Accelerator
Energy:; 6 MV (FFF)
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; SFD parallele
Reference detector:; Stealth CI transmission
SAD:; 1000 mm
SSD:; 900 mm
Field size:; 10 x 10 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Crossline
Scan mode:; StepByStep
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; -10,0; 100,0; 2,55; 26458,6; 2,56
0,0; -9,5; 100,0; 3,22; 33400,9; 3,23
0,0; -9,0; 100,0; 3,97; 41189,2; 3,98
0,0; -8,5; 100,0; 5,28; 54759,5; 5,29
0,0; -8,0; 100,0; 7,17; 74319,0; 7,18
0,0; -7,5; 100,0; 9,63; 99804,0; 9,65
0,0; -7,0; 100,0; 13,33; 138150,2; 13,35
0,0; -6,4; 100,0; 20,27; 210139,7; 20,31
0,0; -6,0; 100,0; 29,43; 305029,8; 29,50
0,0; -5,5; 100,0; 43,21; 447869,2; 43,28
0,0; -5,0; 100,0; 61,58; 638248,4; 61,71
0,0; -4,5; 100,0; 75,85; 786119,9; 75,92
0,0; -4,1; 100,0; 86,35; 894976,4; 86,46
0,0; -3,6; 100,0; 92,01; 953651,3; 92,20
0,0; -3,0; 100,0; 95,17; 986387,3; 95,36
0,0; -2,6; 100,0; 96,71; 1002404,2; 96,89
0,0; -2,0; 100,0; 98,04; 1016119,6; 98,25
0,0; -1,4; 100,0; 99,10; 1027173,0; 99,30
0,0; -1,1; 100,0; 99,27; 1028878,4; 99,45
0,0; -0,6; 100,0; 99,66; 1032900,6; 99,87
0,0; 0,0; 100,0; 99,73; 1033632,5; 99,94
0,0; 0,5; 100,0; 99,66; 1032965,2; 99,84
0,0; 0,9; 100,0; 99,41; 1030332,0; 99,60
0,0; 1,4; 100,0; 98,70; 1023011,3; 98,92
0,0; 2,0; 100,0; 97,66; 1012214,8; 97,83
0,0; 2,4; 100,0; 95,99; 994904,5; 96,20
0,0; 3,0; 100,0; 93,47; 968799,1; 93,68
0,0; 3,5; 100,0; 89,49; 927488,6; 89,64
0,0; 4,0; 100,0; 83,71; 867614,6; 83,93
0,0; 4,4; 100,0; 75,95; 787173,4; 76,05
0,0; 5,0; 100,0; 62,60; 648801,1; 62,75
0,0; 5,4; 100,0; 45,69; 473582,2; 45,81
0,0; 6,0; 100,0; 28,23; 292540,2; 28,29
0,0; 6,5; 100,0; 17,79; 184337,6; 17,82
0,0; 7,0; 100,0; 12,20; 126413,8; 12,22
0,0; 7,5; 100,0; 8,76; 90768,4; 8,78
0,0; 7,9; 100,0; 6,52; 67526,4; 6,53
0,0; 8,4; 100,0; 5,02; 52025,8; 5,03
0,0; 8,9; 100,0; 3,85; 39936,5; 3,86
0,0; 9,4; 100,0; 3,06; 31711,0; 3,07
0,0; 10,0; 100,0; 2,43; 25216,2; 2,44


