Measurement time:; 02/08/2022 19:51:44;;;;;
Radiation device:; Novalis TB Accelerator;;;;;
Energy:; 6 MV ;;;;;
Controller:; CCU;;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;
Field detector:; CC 13 -  F;;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;
SAD:; 1000 mm;;;;;
SSD:; 900 mm;;;;;
Field size:; 100 x 100 mm;;;;;
Gantry angle:;0;;;;;
Measurement medium:; Water;;;;;
Scan type:; Beam;;;;;
Scan mode:; Continuous;;;;;
Wedge:; none;;;;;
;;;;;;
Points [mm]:;;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;Dose relative (%)
0;0;310;40,35;58577,9;19,25;19,12231648
0;0;309,1;40,78;59206,4;19,3;19,32609829
0;0;307,6;41,23;59856,5;19,52;19,53935832
0;0;306,6;41,54;60306,7;19,68;19,68627079
0;0;305,3;41,82;60709,2;19,77;19,81896593
0;0;304,1;42,11;61133,4;19,92;19,95640017
0;0;302,9;42,41;61564,9;20,12;20,09857353
0;0;301,7;42,73;62033;20,2;20,25022511
0;0;300,5;43,02;62454,6;20,36;20,38765935
0;0;299,3;43,28;62838;20,48;20,51087626
0;0;298,1;43,59;63276,6;20,62;20,65778873
0;0;296,9;43,8;63593,1;20,74;20,75731008
0;0;295,7;44,13;64061,4;20,87;20,91370077
0;0;294,5;44,44;64521,1;21,02;21,06061324
0;0;293,3;44,72;64923,2;21,18;21,19330837
0;0;292,1;45,06;65412,3;21,35;21,35443818
0;0;290,9;45,42;65936,4;21,51;21,52504621
0;0;289,7;45,68;66314,5;21,63;21,64826312
0;0;288,5;46,08;66898,4;21,84;21,83782759
0;0;287,3;46,33;67264,7;21,96;21,95630539
0;0;286,1;46,61;67665,8;22,09;22,08900052
0;0;284,9;46,86;68035,1;22,18;22,20747832
0;0;283,7;47,17;68487,2;22,32;22,35439079
0;0;282,5;47,61;69120,8;22,53;22,56291171
0;0;281,3;47,87;69503,8;22,67;22,68612862
0;0;280;48,23;70020;22,8;22,85673665
0;0;278,9;48,44;70328,8;22,94;22,956258
0;0;277,7;48,98;71108,6;23,21;23,21217004
0;0;276,4;49,16;71375;23,26;23,29747405
0;0;275,3;49,64;72070,7;23,49;23,52495142
0;0;274;49,98;72566,2;23,63;23,68608123
0;0;272,8;50,31;73033,9;23,82;23,84247192
0;0;271,6;50,65;73536,6;23,96;24,00360173
0;0;270,4;50,9;73890,7;24,13;24,12207952
0;0;269,3;51,14;74248,6;24,23;24,23581821
0;0;268;51,65;74984,1;24,49;24,47751291
0;0;266,8;52,03;75542;24,62;24,65759917
0;0;265,6;52,37;76033,9;24,78;24,81872897
0;0;264,4;52,79;76645,1;25;25,01777167
0;0;263,2;53;76939,5;25,06;25,11729302
0;0;262;53,52;77703,5;25,32;25,36372684
0;0;260,8;53,78;78075,6;25,45;25,48694375
0;0;259,6;54,24;78747,8;25,68;25,70494289
0;0;258,4;54,46;79062,3;25,79;25,80920336
0;0;257,2;55,14;80046,8;26,1;26,13146296
0;0;256;55,33;80327,6;26,2;26,22150609
0;0;254,8;55,71;80883,4;26,39;26,40159234
0;0;253,6;55,98;81278,2;26,51;26,52954836
0;0;252,4;56,44;81936,9;26,71;26,74754751
0;0;251,2;56,73;82362,8;26,89;26,88498175
0;0;250;57,15;82969,9;27,04;27,08402445
0;0;248,8;57,52;83512,4;27,27;27,25937159
0;0;247,6;57,94;84120,8;27,42;27,45841429
0;0;246,4;58,5;84923,6;27,71;27,72380456
0;0;245,2;58,81;85385,6;27,81;27,87071703
0;0;243,9;59,29;86073,5;28,05;28,0981944
0;0;242,8;59,63;86570,4;28,17;28,2593242
0;0;241,6;60,05;87184;28,41;28,4583669
0;0;240,3;60,33;87588,9;28,55;28,59106203
0;0;239,2;60,86;88352,7;28,78;28,84223497
0;0;237,9;61,24;88913,9;28,99;29,02232122
0;0;236,7;61,9;89863,1;29,28;29,3351026
0;0;235,5;62,27;90396,4;29,45;29,51044974
0;0;234,3;62,56;90827,4;29,63;29,64788399
0;0;233,1;63,08;91578,1;29,84;29,8943178
0;0;231,9;63,52;92217,3;30,05;30,10283873
0;0;230,7;63,91;92783,9;30,24;30,28766409
0;0;229,5;64,42;93528,9;30,49;30,5293588
0;0;228,3;64,79;94056;30,68;30,70470594
0;0;227,1;65,3;94800,1;30,89;30,94640064
0;0;225,9;65,74;95444,9;31,1;31,15492157
0;0;224,7;66,24;96168,1;31,36;31,39187716
0;0;223,5;66,65;96757,7;31,53;31,58618075
0;0;222,2;67,16;97496,5;31,76;31,82787546
0;0;221,1;67,58;98105,6;31,97;32,02691816
0;0;219,9;68,11;98884,4;32,28;32,27809109
0;0;218,7;68,62;99615,2;32,52;32,51978579
0;0;217,5;69,19;100445,6;32,67;32,78991517
0;0;216,3;69,66;101128,2;32,97;33,01265343
0;0;215,1;69,97;101585,8;33,11;33,1595659
0;0;213,8;70,46;102297,9;33,38;33,39178238
0;0;212,6;71,02;103101,1;33,65;33,65717265
0;0;211,4;71,58;103912,4;33,85;33,92256291
0;0;210,2;71,97;104491,1;34,07;34,10738828
0;0;209;72,39;105093,4;34,29;34,30643097
0;0;207,8;72,96;105922,5;34,53;34,57656035
0;0;206,6;73,64;106905,1;34,86;34,89881996
0;0;205,4;73,87;107249,3;34,99;35,00781953
0;0;204,2;74,43;108059,6;35,24;35,2732098
0;0;203;74,9;108736,9;35,43;35,49594806
0;0;201,8;75,46;109550;35,71;35,76133833
0;0;200,6;76,15;110555,2;36,04;36,08833705
0;0;199,4;76,48;111031,3;36,25;36,24472774
0;0;198,2;77,13;111973,8;36,47;36,55277001
0;0;197;77,76;112886,5;36,79;36,85133406
0;0;195,8;78,13;113422;36,99;37,0266812
0;0;194,6;78,85;114471,4;37,29;37,36789726
0;0;193,4;79,19;114967;37,47;37,52902706
0;0;192,2;79,91;116013,3;37,84;37,87024312
0;0;191;80,4;116730,1;38,06;38,1024596
0;0;189,8;81,12;117762,9;38,43;38,44367566
0;0;188,6;81,55;118392,4;38,6;38,64745747
0;0;187,3;82,14;119245;38,87;38,92706507
0;0;186,2;82,65;119997;39,15;39,16875977
0;0;185;83,54;121275,6;39,54;39,59054073
0;0;183,7;83,97;121910;39,74;39,79432254
0;0;182,6;84,58;122791,7;40;40,08340837
0;0;181,3;85,21;123700,2;40,31;40,38197242
0;0;180,1;85,61;124289,8;40,55;40,57153689
0;0;178,9;86,41;125442,4;40,87;40,95066585
0;0;177,7;86,87;126115;41,12;41,16866499
0;0;176,5;87,5;127037;41,44;41,46722904
0;0;175,3;88,04;127817,8;41,69;41,72314108
0;0;174,1;88,73;128810;41,97;42,0501398
0;0;172,9;89,35;129717,3;42,26;42,34396474
0;0;171,7;89,99;130641,5;42,6;42,6472679
0;0;170,5;90,63;131577,5;42,89;42,95057106
0;0;169,3;91,19;132389,4;43,16;43,21596133
0;0;168,1;92,2;133855,7;43,57;43,69461163
0;0;166,9;92,6;134437,3;43,73;43,88417611
0;0;165,7;93,42;135625,2;44,24;44,27278328
0;0;164,5;93,95;136388,9;44,43;44,52395621
0;0;163,3;94,77;137581,2;44,88;44,91256339
0;0;162,1;95,21;138223,7;45,05;45,12108431
0;0;160,9;95,85;139159,6;45,39;45,42438747
0;0;159,6;96,73;140425,7;45,78;45,84142932
0;0;158,5;97,38;141371,8;46,08;46,14947159
0;0;157,2;98;142276,3;46,36;46,44329653
0;0;156,1;98,78;143410,4;46,7;46,81294725
0;0;154,9;99,37;144262,8;47,02;47,09255486
