Measurement time:; 07/09/2022 18:47:58
Radiation device:; Clinac3 Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; ROOS
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 200,0; 2,73; 1356,2; 0,16
0,0; 0,0; 199,3; 2,24; 1113,3; 0,18
0,0; 0,0; 198,0; 2,08; 1033,1; 0,18
0,0; 0,0; 196,8; 2,25; 1116,7; 0,18
0,0; 0,0; 195,6; 2,15; 1067,2; 0,18
0,0; 0,0; 194,4; 2,18; 1084,5; 0,18
0,0; 0,0; 193,1; 2,23; 1109,8; 0,18
0,0; 0,0; 192,0; 2,22; 1103,9; 0,19
0,0; 0,0; 190,8; 2,15; 1070,4; 0,18
0,0; 0,0; 189,6; 2,35; 1169,7; 0,19
0,0; 0,0; 188,4; 2,45; 1217,6; 0,21
0,0; 0,0; 187,1; 2,29; 1138,4; 0,20
0,0; 0,0; 185,9; 2,64; 1313,9; 0,21
0,0; 0,0; 184,7; 2,40; 1190,7; 0,20
0,0; 0,0; 183,5; 2,45; 1217,9; 0,21
0,0; 0,0; 182,3; 2,38; 1183,5; 0,20
0,0; 0,0; 181,1; 2,49; 1235,4; 0,21
0,0; 0,0; 179,9; 2,56; 1270,7; 0,21
0,0; 0,0; 178,7; 2,62; 1303,6; 0,22
0,0; 0,0; 177,5; 2,52; 1252,3; 0,21
0,0; 0,0; 176,3; 2,58; 1280,8; 0,21
0,0; 0,0; 175,1; 2,48; 1229,7; 0,20
0,0; 0,0; 173,9; 2,50; 1243,1; 0,21
0,0; 0,0; 172,7; 2,68; 1330,4; 0,22
0,0; 0,0; 171,5; 2,74; 1361,0; 0,23
0,0; 0,0; 170,3; 2,53; 1258,2; 0,22
0,0; 0,0; 169,1; 2,70; 1340,4; 0,22
0,0; 0,0; 167,9; 2,64; 1311,6; 0,22
0,0; 0,0; 166,7; 2,73; 1356,0; 0,23
0,0; 0,0; 165,5; 2,88; 1428,5; 0,23
0,0; 0,0; 164,3; 2,82; 1399,0; 0,24
0,0; 0,0; 163,1; 2,74; 1360,0; 0,23
0,0; 0,0; 161,9; 2,80; 1391,2; 0,24
0,0; 0,0; 160,7; 2,99; 1486,8; 0,25
0,0; 0,0; 159,5; 3,04; 1508,8; 0,25
0,0; 0,0; 158,3; 2,77; 1378,4; 0,23
0,0; 0,0; 157,1; 2,86; 1422,5; 0,24
0,0; 0,0; 155,9; 2,94; 1461,2; 0,24
0,0; 0,0; 154,7; 2,95; 1464,3; 0,25
0,0; 0,0; 153,5; 2,87; 1427,5; 0,23
0,0; 0,0; 152,3; 2,99; 1486,9; 0,26
0,0; 0,0; 151,1; 3,02; 1502,4; 0,25
0,0; 0,0; 149,9; 3,10; 1539,4; 0,25
0,0; 0,0; 148,7; 3,04; 1509,8; 0,26
0,0; 0,0; 147,5; 2,93; 1454,9; 0,24
0,0; 0,0; 146,2; 3,08; 1529,2; 0,26
0,0; 0,0; 145,1; 3,20; 1592,0; 0,26
0,0; 0,0; 143,9; 3,10; 1541,4; 0,25
0,0; 0,0; 142,7; 3,03; 1505,9; 0,26
0,0; 0,0; 141,5; 3,21; 1592,5; 0,26
0,0; 0,0; 140,3; 3,23; 1603,8; 0,27
0,0; 0,0; 139,0; 3,24; 1607,8; 0,26
0,0; 0,0; 137,8; 2,93; 1456,6; 0,25
0,0; 0,0; 136,6; 3,17; 1577,0; 0,26
0,0; 0,0; 135,4; 3,12; 1552,4; 0,26
0,0; 0,0; 134,2; 3,38; 1677,0; 0,27
0,0; 0,0; 133,0; 3,02; 1501,5; 0,26
0,0; 0,0; 131,8; 3,25; 1617,1; 0,28
0,0; 0,0; 130,6; 3,36; 1668,5; 0,28
0,0; 0,0; 129,4; 3,47; 1722,0; 0,28
0,0; 0,0; 128,2; 3,38; 1681,5; 0,29
0,0; 0,0; 127,0; 3,71; 1845,2; 0,30
0,0; 0,0; 125,8; 3,46; 1719,0; 0,29
0,0; 0,0; 124,6; 3,54; 1756,7; 0,30
