Measurement time:; 02/09/2022 18:46:49
Radiation device:; Clinac3 Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-150,0; 0,0; 13,0; 0,11; 207,2; 0,11
-148,5; 0,0; 13,0; 0,07; 137,3; 0,07
-147,4; 0,0; 13,0; 0,09; 168,5; 0,08
-146,2; 0,0; 13,0; 0,08; 163,5; 0,09
-145,0; 0,0; 13,0; 0,04; 71,5; 0,04
-143,7; 0,0; 13,0; 0,08; 156,2; 0,08
-142,6; 0,0; 13,0; 0,03; 51,5; 0,03
-141,3; 0,0; 13,0; 0,03; 56,0; 0,03
-140,1; 0,0; 13,0; 0,07; 134,4; 0,07
-138,9; 0,0; 13,0; 0,07; 141,7; 0,07
-137,7; 0,0; 13,0; 0,08; 147,6; 0,08
-136,5; 0,0; 13,0; 0,08; 153,9; 0,08
-135,3; 0,0; 13,0; 0,04; 69,7; 0,03
-134,1; 0,0; 13,0; 0,04; 68,6; 0,04
-132,9; 0,0; 13,0; 0,03; 52,0; 0,03
-131,7; 0,0; 13,0; 0,02; 36,5; 0,02
-130,5; 0,0; 13,0; 0,00; 7,0; 0,00
-129,3; 0,0; 13,0; 0,04; 77,5; 0,04
-128,1; 0,0; 13,0; 0,01; 22,2; 0,01
-126,9; 0,0; 13,0; 0,01; 13,9; 0,01
-125,7; 0,0; 13,0; 0,02; 36,8; 0,02
-124,5; 0,0; 13,0; 0,04; 73,5; 0,04
-123,3; 0,0; 13,0; 0,00; 7,3; 0,00
-122,1; 0,0; 13,0; 0,02; 48,6; 0,03
-120,9; 0,0; 13,0; 0,05; 104,6; 0,05
-119,7; 0,0; 13,0; 0,01; 25,4; 0,01
-118,5; 0,0; 13,0; 0,02; 35,8; 0,02
-117,3; 0,0; 13,0; 0,02; 37,5; 0,02
-116,1; 0,0; 13,0; 0,05; 88,1; 0,05
-114,9; 0,0; 13,0; 0,03; 65,5; 0,03
-113,7; 0,0; 13,0; 0,04; 78,6; 0,04
-112,5; 0,0; 13,0; 0,05; 92,7; 0,05
-111,3; 0,0; 13,0; 0,08; 146,9; 0,08
-110,1; 0,0; 13,0; 0,05; 101,0; 0,05
-108,9; 0,0; 13,0; 0,00; 6,9; 0,00
-107,7; 0,0; 13,0; 0,01; 23,0; 0,01
-106,5; 0,0; 13,0; 0,04; 83,6; 0,04
-105,3; 0,0; 13,0; 0,04; 74,0; 0,04
-104,1; 0,0; 13,0; 0,05; 95,8; 0,05
-102,9; 0,0; 13,0; 0,06; 115,6; 0,06
-101,7; 0,0; 13,0; 0,07; 142,7; 0,08
-100,5; 0,0; 13,0; 0,05; 91,5; 0,04
-99,3; 0,0; 13,0; 0,04; 83,4; 0,04
-98,1; 0,0; 13,0; 0,06; 115,6; 0,06
-96,8; 0,0; 13,0; 0,00; 7,4; 0,00
-95,6; 0,0; 13,0; 0,04; 75,7; 0,04
-94,4; 0,0; 13,0; 0,03; 49,5; 0,03
-93,2; 0,0; 13,0; 0,00; 6,2; 0,00
-92,0; 0,0; 13,0; 0,06; 120,4; 0,06
-90,8; 0,0; 13,0; 0,01; 13,6; 0,01
-89,6; 0,0; 13,0; 0,01; 27,3; 0,01
-88,4; 0,0; 13,0; 0,01; 10,6; 0,01
-87,2; 0,0; 13,0; 0,04; 79,0; 0,04
-86,0; 0,0; 13,0; 0,01; 15,9; 0,01
-84,8; 0,0; 13,0; 0,03; 49,1; 0,03
-83,6; 0,0; 13,0; 0,05; 91,2; 0,05
-82,4; 0,0; 13,0; 0,10; 200,1; 0,10
-81,2; 0,0; 13,0; 0,10; 202,7; 0,10
-80,0; 0,0; 13,0; 0,15; 297,1; 0,15
-78,8; 0,0; 13,0; 0,18; 348,3; 0,17
-77,6; 0,0; 13,0; 0,24; 476,8; 0,24
-76,4; 0,0; 13,0; 0,29; 562,0; 0,29
-75,2; 0,0; 13,0; 0,44; 859,4; 0,43
-74,0; 0,0; 13,0; 0,50; 985,7; 0,51
-72,8; 0,0; 13,0; 0,65; 1271,4; 0,66
-71,6; 0,0; 13,0; 0,99; 1929,7; 0,97
-70,4; 0,0; 13,0; 1,26; 2466,0; 1,28
-69,2; 0,0; 13,0; 1,72; 3372,5; 1,75
-68,0; 0,0; 13,0; 2,46; 4815,1; 2,41
-66,8; 0,0; 13,0; 3,15; 6167,0; 3,22
-65,6; 0,0; 13,0; 4,26; 8332,1; 4,32
-64,4; 0,0; 13,0; 5,91; 11549,5; 5,75
-63,2; 0,0; 13,0; 7,38; 14438,0; 7,49
-62,0; 0,0; 13,0; 9,46; 18495,6; 9,64
-60,8; 0,0; 13,0; 12,82; 25063,8; 12,48
-59,6; 0,0; 13,0; 15,52; 30357,0; 15,72
-58,4; 0,0; 13,0; 19,55; 38223,4; 19,90
-57,2; 0,0; 13,0; 25,24; 49367,7; 24,63
-56,0; 0,0; 13,0; 30,01; 58679,1; 30,36
-54,8; 0,0; 13,0; 35,86; 70117,4; 36,58
-53,6; 0,0; 13,0; 44,20; 86432,0; 43,19
-52,3; 0,0; 13,0; 49,59; 96977,6; 50,37
-51,1; 0,0; 13,0; 55,95; 109405,5; 57,34
-49,9; 0,0; 13,0; 65,77; 128617,0; 64,16
-48,7; 0,0; 13,0; 69,19; 135301,6; 70,35
-47,5; 0,0; 13,0; 74,34; 145371,3; 75,35
-46,3; 0,0; 13,0; 82,15; 160646,2; 80,34
-45,1; 0,0; 13,0; 83,15; 162604,6; 83,92
-43,9; 0,0; 13,0; 85,30; 166815,9; 86,78
-42,7; 0,0; 13,0; 90,65; 177274,7; 89,29
-41,5; 0,0; 13,0; 89,28; 174589,5; 91,36
-40,3; 0,0; 13,0; 93,20; 182264,0; 92,70
-39,1; 0,0; 13,0; 94,98; 185743,6; 94,10
-37,9; 0,0; 13,0; 93,42; 182690,1; 95,06
-36,7; 0,0; 13,0; 96,34; 188394,1; 95,94
-35,5; 0,0; 13,0; 96,49; 188693,5; 96,52
-34,3; 0,0; 13,0; 97,92; 191482,2; 97,16
-33,1; 0,0; 13,0; 95,48; 186714,9; 97,65
-31,9; 0,0; 13,0; 98,15; 191942,2; 97,85
-30,7; 0,0; 13,0; 99,09; 193783,4; 98,09
-29,5; 0,0; 13,0; 97,42; 190509,6; 98,52
-28,3; 0,0; 13,0; 98,10; 191833,3; 98,75
-27,1; 0,0; 13,0; 97,18; 190039,4; 98,55
-25,9; 0,0; 13,0; 99,93; 195414,0; 98,98
-24,7; 0,0; 13,0; 99,90; 195354,1; 98,96
-23,5; 0,0; 13,0; 97,18; 190045,4; 98,96
-22,3; 0,0; 13,0; 100,39; 196308,0; 99,11
-21,1; 0,0; 13,0; 99,40; 194375,2; 99,19
-19,9; 0,0; 13,0; 100,14; 195830,8; 99,31
-18,7; 0,0; 13,0; 98,06; 191768,1; 99,50
-17,5; 0,0; 13,0; 98,76; 193126,8; 99,49
-16,3; 0,0; 13,0; 101,19; 197884,9; 99,55
-15,1; 0,0; 13,0; 97,65; 190966,9; 99,44
-13,9; 0,0; 13,0; 98,94; 193489,8; 99,59
-12,7; 0,0; 13,0; 100,98; 197476,8; 99,64
-11,5; 0,0; 13,0; 98,21; 192050,4; 99,51
-10,3; 0,0; 13,0; 99,09; 193778,8; 99,63
-9,1; 0,0; 13,0; 98,04; 191726,4; 99,74
-7,9; 0,0; 13,0; 101,72; 198919,5; 99,71
-6,7; 0,0; 13,0; 98,98; 193560,5; 99,53
-5,5; 0,0; 13,0; 102,02; 199514,3; 99,93
-4,3; 0,0; 13,0; 97,89; 191421,7; 99,92
-3,1; 0,0; 13,0; 98,37; 192376,4; 99,74
-1,9; 0,0; 13,0; 102,76; 200951,2; 99,80
-0,6; 0,0; 13,0; 97,70; 191053,8; 99,86
0,6; 0,0; 13,0; 98,67; 192950,7; 99,92
1,8; 0,0; 13,0; 102,54; 200513,7; 99,73
2,9; 0,0; 13,0; 97,99; 191620,3; 99,94
4,2; 0,0; 13,0; 98,06; 191762,5; 99,93
5,3; 0,0; 13,0; 102,92; 201262,1; 99,88
6,5; 0,0; 13,0; 97,96; 191574,8; 99,94
7,8; 0,0; 13,0; 98,69; 192983,7; 100,00
9,0; 0,0; 13,0; 98,12; 191883,1; 99,80
10,2; 0,0; 13,0; 102,64; 200713,0; 99,74
11,4; 0,0; 13,0; 98,53; 192674,3; 99,56
12,5; 0,0; 13,0; 98,53; 192685,6; 99,94
13,8; 0,0; 13,0; 101,64; 198753,9; 99,55
15,0; 0,0; 13,0; 97,90; 191457,1; 99,55
16,2; 0,0; 13,0; 97,60; 190862,4; 99,73
17,4; 0,0; 13,0; 102,33; 200104,5; 99,52
18,6; 0,0; 13,0; 98,35; 192319,7; 99,35
19,8; 0,0; 13,0; 101,89; 199252,2; 99,58
21,0; 0,0; 13,0; 97,49; 190652,0; 99,52
22,2; 0,0; 13,0; 99,21; 194009,9; 99,47
23,4; 0,0; 13,0; 97,39; 190456,5; 99,67
24,6; 0,0; 13,0; 101,32; 198127,3; 99,53
