Measurement time:; 02/09/2022 19:26:51
Radiation device:; Clinac3 Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-150,7; 0,0; 13,0; 0,89; 1308,3; 1,13
-150,0; 0,0; 13,0; 1,09; 1602,7; 0,84
-148,7; 0,0; 13,0; 1,08; 1587,1; 0,80
-147,5; 0,0; 13,0; 1,10; 1610,8; 0,84
-146,3; 0,0; 13,0; 1,11; 1624,9; 0,86
-145,1; 0,0; 13,0; 1,06; 1558,3; 0,78
-143,9; 0,0; 13,0; 1,08; 1580,6; 0,83
-142,7; 0,0; 13,0; 1,07; 1569,0; 0,82
-141,4; 0,0; 13,0; 1,02; 1498,1; 0,75
-140,2; 0,0; 13,0; 1,08; 1587,5; 0,83
-139,0; 0,0; 13,0; 1,08; 1576,7; 0,83
-137,8; 0,0; 13,0; 0,99; 1454,9; 0,73
-136,6; 0,0; 13,0; 1,02; 1496,6; 0,78
-135,4; 0,0; 13,0; 0,95; 1396,4; 0,73
-134,2; 0,0; 13,0; 1,05; 1540,1; 0,77
-133,0; 0,0; 13,0; 0,96; 1401,7; 0,73
-131,8; 0,0; 13,0; 0,97; 1419,1; 0,74
-130,6; 0,0; 13,0; 0,95; 1386,4; 0,70
-129,4; 0,0; 13,0; 0,95; 1386,7; 0,73
-128,2; 0,0; 13,0; 0,93; 1367,7; 0,71
-127,0; 0,0; 13,0; 0,94; 1384,1; 0,70
-125,8; 0,0; 13,0; 0,93; 1366,4; 0,72
-124,6; 0,0; 13,0; 0,92; 1344,1; 0,69
-123,4; 0,0; 13,0; 0,92; 1353,4; 0,69
-122,2; 0,0; 13,0; 0,93; 1364,8; 0,71
-121,0; 0,0; 13,0; 0,94; 1371,5; 0,70
-119,8; 0,0; 13,0; 0,99; 1450,2; 0,74
-118,6; 0,0; 13,0; 0,95; 1390,6; 0,72
-117,4; 0,0; 13,0; 0,97; 1425,6; 0,73
-116,2; 0,0; 13,0; 0,97; 1422,4; 0,73
-115,0; 0,0; 13,0; 1,02; 1488,6; 0,76
-113,8; 0,0; 13,0; 0,99; 1445,5; 0,75
-112,6; 0,0; 13,0; 0,97; 1420,9; 0,74
-111,4; 0,0; 13,0; 1,04; 1521,0; 0,80
-110,2; 0,0; 13,0; 0,99; 1453,1; 0,74
-109,0; 0,0; 13,0; 1,04; 1530,2; 0,79
-107,8; 0,0; 13,0; 1,06; 1550,2; 0,81
-106,6; 0,0; 13,0; 0,98; 1432,4; 0,73
-105,4; 0,0; 13,0; 1,08; 1581,1; 0,82
-104,2; 0,0; 13,0; 1,03; 1511,7; 0,77
-103,0; 0,0; 13,0; 1,04; 1523,4; 0,80
-101,8; 0,0; 13,0; 1,03; 1511,1; 0,78
-100,6; 0,0; 13,0; 1,00; 1459,1; 0,77
-99,4; 0,0; 13,0; 1,04; 1518,0; 0,77
-98,2; 0,0; 13,0; 1,03; 1503,5; 0,78
-97,0; 0,0; 13,0; 1,00; 1471,2; 0,75
-95,8; 0,0; 13,0; 1,04; 1522,7; 0,80
-94,6; 0,0; 13,0; 1,03; 1514,4; 0,79
-93,4; 0,0; 13,0; 0,96; 1399,3; 0,71
-92,2; 0,0; 13,0; 0,99; 1455,3; 0,76
-91,0; 0,0; 13,0; 0,98; 1433,1; 0,74
-89,8; 0,0; 13,0; 0,96; 1401,4; 0,71
-88,6; 0,0; 13,0; 0,98; 1428,6; 0,75
-87,4; 0,0; 13,0; 0,96; 1411,2; 0,73
-86,1; 0,0; 13,0; 0,90; 1321,1; 0,69
-84,9; 0,0; 13,0; 0,86; 1261,5; 0,64
-83,7; 0,0; 13,0; 0,87; 1278,2; 0,66
-82,5; 0,0; 13,0; 0,79; 1160,6; 0,58
-81,3; 0,0; 13,0; 0,84; 1233,7; 0,65
-80,1; 0,0; 13,0; 0,70; 1023,7; 0,53
-78,9; 0,0; 13,0; 0,72; 1060,0; 0,56
-77,7; 0,0; 13,0; 0,58; 849,4; 0,42
-76,5; 0,0; 13,0; 0,50; 733,6; 0,39
-75,3; 0,0; 13,0; 0,40; 579,4; 0,30
-74,1; 0,0; 13,0; 0,13; 197,3; 0,10
-72,9; 0,0; 13,0; 0,06; 81,6; 0,04
-71,7; 0,0; 13,0; 0,35; 519,8; 0,27
-70,5; 0,0; 13,0; 0,92; 1344,5; 0,68
-69,3; 0,0; 13,0; 1,44; 2106,5; 1,10
-68,1; 0,0; 13,0; 2,22; 3254,3; 1,70
-66,9; 0,0; 13,0; 3,55; 5195,5; 2,60
-65,7; 0,0; 13,0; 4,71; 6894,8; 3,60
-64,5; 0,0; 13,0; 6,55; 9600,9; 5,01
-63,3; 0,0; 13,0; 9,16; 13417,3; 6,75
-62,1; 0,0; 13,0; 11,68; 17104,3; 8,90
-60,9; 0,0; 13,0; 15,19; 22249,4; 11,62
-59,7; 0,0; 13,0; 20,40; 29884,3; 15,04
-58,5; 0,0; 13,0; 25,32; 37096,3; 19,28
-57,3; 0,0; 13,0; 31,49; 46122,7; 24,08
-56,1; 0,0; 13,0; 40,78; 59733,9; 30,06
-54,9; 0,0; 13,0; 48,09; 70440,0; 36,69
-53,7; 0,0; 13,0; 56,96; 83440,0; 43,65
-52,5; 0,0; 13,0; 69,57; 101904,3; 51,10
-51,3; 0,0; 13,0; 75,23; 110196,5; 58,27
-50,1; 0,0; 13,0; 86,42; 126589,7; 65,22
-48,9; 0,0; 13,0; 96,29; 141042,1; 71,42
-47,7; 0,0; 13,0; 99,39; 145581,7; 76,57
-46,5; 0,0; 13,0; 107,47; 157422,3; 81,19
-45,3; 0,0; 13,0; 113,45; 166182,6; 84,77
-44,1; 0,0; 13,0; 114,03; 167030,6; 87,60
-42,9; 0,0; 13,0; 121,89; 178546,2; 90,06
-41,7; 0,0; 13,0; 119,78; 175460,5; 91,67
-40,5; 0,0; 13,0; 121,98; 178671,7; 93,20
-39,3; 0,0; 13,0; 124,28; 182044,5; 94,19
-38,1; 0,0; 13,0; 128,31; 187949,2; 95,17
-36,9; 0,0; 13,0; 125,09; 183232,8; 95,71
-35,7; 0,0; 13,0; 126,69; 185571,7; 96,24
-34,5; 0,0; 13,0; 130,02; 190461,8; 96,95
-33,3; 0,0; 13,0; 125,12; 183275,8; 97,09
-32,0; 0,0; 13,0; 131,07; 191999,6; 97,63
-30,8; 0,0; 13,0; 129,60; 189843,7; 98,12
-29,7; 0,0; 13,0; 128,02; 187532,6; 98,18
-28,4; 0,0; 13,0; 134,49; 196998,1; 98,52
-27,3; 0,0; 13,0; 127,98; 187472,0; 98,63
-26,0; 0,0; 13,0; 128,52; 188262,4; 98,78
-24,8; 0,0; 13,0; 132,28; 193763,6; 98,94
-23,6; 0,0; 13,0; 131,45; 192547,2; 99,03
