Measurement time:; 02/09/2022 19:04:52
Radiation device:; Clinac3 Accelerator
Energy:; 6 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-150,7; 0,0; 13,0; 0,47; 918,3; 0,34
-150,0; 0,0; 13,0; 0,33; 642,8; 0,34
-148,6; 0,0; 13,0; 0,36; 703,0; 0,35
-147,4; 0,0; 13,0; 0,33; 636,3; 0,33
-146,2; 0,0; 13,0; 0,33; 634,3; 0,33
-145,0; 0,0; 13,0; 0,32; 625,5; 0,31
-143,8; 0,0; 13,0; 0,39; 750,9; 0,39
-142,6; 0,0; 13,0; 0,30; 591,9; 0,31
-141,4; 0,0; 13,0; 0,37; 718,2; 0,36
-140,2; 0,0; 13,0; 0,40; 774,4; 0,40
-139,0; 0,0; 13,0; 0,40; 783,1; 0,39
-137,8; 0,0; 13,0; 0,35; 682,8; 0,36
-136,6; 0,0; 13,0; 0,39; 756,7; 0,39
-135,4; 0,0; 13,0; 0,38; 746,9; 0,38
-134,2; 0,0; 13,0; 0,43; 847,1; 0,42
-133,0; 0,0; 13,0; 0,39; 761,3; 0,39
-131,8; 0,0; 13,0; 0,37; 724,5; 0,37
-130,6; 0,0; 13,0; 0,44; 858,5; 0,43
-129,4; 0,0; 13,0; 0,37; 723,4; 0,38
-128,2; 0,0; 13,0; 0,42; 822,3; 0,42
-127,0; 0,0; 13,0; 0,43; 838,3; 0,43
-125,8; 0,0; 13,0; 0,45; 877,7; 0,43
-124,6; 0,0; 13,0; 0,43; 839,5; 0,42
-123,4; 0,0; 13,0; 0,42; 818,3; 0,41
-122,2; 0,0; 13,0; 0,41; 790,7; 0,41
-121,0; 0,0; 13,0; 0,42; 821,6; 0,41
-119,8; 0,0; 13,0; 0,41; 791,5; 0,40
-118,6; 0,0; 13,0; 0,43; 833,9; 0,43
-117,4; 0,0; 13,0; 0,43; 837,0; 0,42
-116,2; 0,0; 13,0; 0,36; 705,7; 0,36
-115,0; 0,0; 13,0; 0,35; 683,5; 0,36
-113,8; 0,0; 13,0; 0,41; 803,9; 0,40
-112,6; 0,0; 13,0; 0,36; 704,1; 0,37
-111,4; 0,0; 13,0; 0,37; 729,8; 0,38
-110,2; 0,0; 13,0; 0,37; 726,6; 0,36
-109,0; 0,0; 13,0; 0,38; 741,2; 0,38
-107,8; 0,0; 13,0; 0,32; 629,3; 0,33
-106,6; 0,0; 13,0; 0,33; 646,7; 0,32
-105,4; 0,0; 13,0; 0,32; 633,4; 0,33
-104,2; 0,0; 13,0; 0,36; 699,9; 0,36
-102,9; 0,0; 13,0; 0,34; 672,1; 0,34
-101,8; 0,0; 13,0; 0,37; 712,6; 0,36
-100,5; 0,0; 13,0; 0,35; 672,9; 0,35
-99,4; 0,0; 13,0; 0,37; 729,0; 0,36
-98,1; 0,0; 13,0; 0,38; 748,5; 0,39
-96,9; 0,0; 13,0; 0,41; 796,6; 0,41
-95,7; 0,0; 13,0; 0,43; 845,7; 0,42
-94,5; 0,0; 13,0; 0,39; 765,9; 0,40
-93,3; 0,0; 13,0; 0,35; 688,5; 0,36
-92,1; 0,0; 13,0; 0,41; 795,6; 0,39
-90,9; 0,0; 13,0; 0,40; 781,3; 0,39
-89,7; 0,0; 13,0; 0,42; 815,4; 0,42
-88,5; 0,0; 13,0; 0,45; 874,1; 0,44
-87,3; 0,0; 13,0; 0,45; 875,3; 0,45
-86,1; 0,0; 13,0; 0,44; 865,4; 0,45
-84,9; 0,0; 13,0; 0,47; 923,0; 0,46
-83,7; 0,0; 13,0; 0,52; 1016,8; 0,52
-82,5; 0,0; 13,0; 0,50; 971,9; 0,50
-81,3; 0,0; 13,0; 0,55; 1073,5; 0,54
-80,1; 0,0; 13,0; 0,59; 1144,3; 0,59
-78,9; 0,0; 13,0; 0,58; 1132,8; 0,60
-77,7; 0,0; 13,0; 0,64; 1252,3; 0,63
-76,5; 0,0; 13,0; 0,75; 1460,7; 0,75
-75,3; 0,0; 13,0; 0,75; 1453,9; 0,75
-74,1; 0,0; 13,0; 0,95; 1847,3; 0,92
-72,9; 0,0; 13,0; 1,05; 2048,7; 1,06
-71,7; 0,0; 13,0; 1,35; 2626,8; 1,35
-70,5; 0,0; 13,0; 1,69; 3288,5; 1,65
-69,3; 0,0; 13,0; 2,19; 4267,6; 2,18
-68,1; 0,0; 13,0; 2,74; 5339,1; 2,76
-66,9; 0,0; 13,0; 3,60; 7017,9; 3,61
-65,7; 0,0; 13,0; 4,77; 9303,6; 4,65
-64,4; 0,0; 13,0; 5,95; 11601,4; 6,05
-63,3; 0,0; 13,0; 7,81; 15231,7; 7,77
-62,0; 0,0; 13,0; 9,82; 19151,3; 9,91
-60,8; 0,0; 13,0; 12,84; 25037,5; 12,64
-59,7; 0,0; 13,0; 16,08; 31353,6; 15,92
-58,4; 0,0; 13,0; 19,60; 38201,8; 19,86
-57,2; 0,0; 13,0; 25,23; 49190,3; 24,65
-56,0; 0,0; 13,0; 30,28; 59023,2; 30,24
-54,8; 0,0; 13,0; 37,38; 72867,5; 36,61
-53,6; 0,0; 13,0; 42,70; 83251,0; 43,38
-52,4; 0,0; 13,0; 50,18; 97827,5; 50,29
-51,2; 0,0; 13,0; 58,50; 114042,3; 57,46
-50,0; 0,0; 13,0; 63,04; 122896,1; 64,05
-48,8; 0,0; 13,0; 70,23; 136913,1; 70,12
-47,6; 0,0; 13,0; 77,42; 150931,0; 75,52
-46,4; 0,0; 13,0; 79,11; 154230,1; 79,79
-45,2; 0,0; 13,0; 83,76; 163293,3; 83,79
-44,0; 0,0; 13,0; 85,85; 167357,8; 86,41
-42,8; 0,0; 13,0; 91,52; 178414,3; 89,15
-41,6; 0,0; 13,0; 91,09; 177580,7; 91,20
-40,4; 0,0; 13,0; 94,25; 183737,8; 92,35
-39,2; 0,0; 13,0; 93,01; 181327,6; 93,83
-38,0; 0,0; 13,0; 95,06; 185320,9; 95,01
-36,8; 0,0; 13,0; 97,39; 189862,7; 95,93
-35,6; 0,0; 13,0; 96,20; 187551,4; 96,35
-34,4; 0,0; 13,0; 97,10; 189302,0; 97,10
-33,2; 0,0; 13,0; 96,22; 187576,7; 97,44
-32,0; 0,0; 13,0; 100,64; 196189,1; 97,67
-30,8; 0,0; 13,0; 97,97; 190984,6; 98,16
-29,6; 0,0; 13,0; 100,98; 196868,0; 98,26
-28,4; 0,0; 13,0; 96,38; 187896,3; 98,66
-27,2; 0,0; 13,0; 99,39; 193765,1; 98,82
-26,0; 0,0; 13,0; 101,21; 197315,0; 98,95
-24,8; 0,0; 13,0; 97,59; 190249,3; 99,04
-23,6; 0,0; 13,0; 98,79; 192600,8; 98,99
-22,4; 0,0; 13,0; 102,05; 198939,2; 99,37
-21,2; 0,0; 13,0; 98,09; 191217,6; 99,21
-20,0; 0,0; 13,0; 99,49; 193946,4; 99,32
-18,8; 0,0; 13,0; 101,93; 198708,0; 99,48
-17,6; 0,0; 13,0; 98,10; 191241,2; 99,51
-16,3; 0,0; 13,0; 98,99; 192972,1; 99,61
-15,1; 0,0; 13,0; 102,52; 199868,8; 99,30
-14,0; 0,0; 13,0; 98,17; 191390,3; 99,50
-12,7; 0,0; 13,0; 98,75; 192513,6; 99,64
-11,5; 0,0; 13,0; 102,99; 200783,7; 99,54
-10,3; 0,0; 13,0; 97,49; 190058,4; 99,44
-9,1; 0,0; 13,0; 99,89; 194741,8; 99,70
-7,9; 0,0; 13,0; 102,02; 198894,0; 99,63
-6,7; 0,0; 13,0; 99,35; 193689,9; 99,68
-5,5; 0,0; 13,0; 99,56; 194098,9; 99,90
-4,3; 0,0; 13,0; 102,40; 199624,9; 99,84
-3,1; 0,0; 13,0; 97,15; 189402,7; 99,70
-1,9; 0,0; 13,0; 101,25; 197393,0; 99,78
-0,7; 0,0; 13,0; 101,75; 198361,0; 99,93
0,5; 0,0; 13,0; 98,08; 191204,0; 99,74
1,7; 0,0; 13,0; 101,23; 197351,1; 99,90
2,9; 0,0; 13,0; 100,32; 195582,3; 100,00
4,1; 0,0; 13,0; 98,83; 192674,7; 99,89
5,3; 0,0; 13,0; 101,46; 197796,0; 99,94
6,5; 0,0; 13,0; 99,94; 194825,4; 100,00
7,7; 0,0; 13,0; 98,71; 192441,7; 99,94
8,9; 0,0; 13,0; 101,50; 197876,8; 99,95
10,1; 0,0; 13,0; 101,15; 197188,8; 99,82
11,3; 0,0; 13,0; 98,98; 192968,5; 99,92
12,5; 0,0; 13,0; 101,17; 197231,0; 99,99
13,7; 0,0; 13,0; 100,05; 195044,6; 99,84
14,9; 0,0; 13,0; 98,24; 191529,0; 99,63
16,1; 0,0; 13,0; 106,67; 207945,9; 99,84
17,3; 0,0; 13,0; 99,69; 194351,8; 99,52
18,5; 0,0; 13,0; 98,00; 191050,2; 99,33
19,7; 0,0; 13,0; 102,40; 199629,3; 99,63
20,9; 0,0; 13,0; 98,42; 191865,1; 99,47
22,1; 0,0; 13,0; 99,49; 193957,4; 99,41
23,4; 0,0; 13,0; 102,25; 199335,8; 99,61
24,5; 0,0; 13,0; 99,48; 193940,0; 99,35
25,8; 0,0; 13,0; 97,58; 190228,0; 99,13
27,0; 0,0; 13,0; 102,12; 199086,2; 99,20
28,2; 0,0; 13,0; 97,78; 190618,5; 98,84
29,4; 0,0; 13,0; 97,47; 190019,6; 98,66
30,6; 0,0; 13,0; 101,56; 197982,7; 98,41
31,8; 0,0; 13,0; 97,40; 189888,6; 98,05
33,0; 0,0; 13,0; 96,32; 187779,9; 97,59
