Measurement time:; 02/09/2022 20:12:07
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 250 x 250 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; 0,0199890136718182 mm
Position Crossline:; 0,0163879394531818 mm
Position Depth:; 28,0766130249023 mm
Dose:; 1,9776 Gy



Measurement time:; 02/09/2022 20:13:21
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 250 x 250 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Point
Scan mode:; Absolute
Wedge:; none
Position Inline:; 0,0299987792968182 mm
Position Crossline:; 0,0322265625000568 mm
Position Depth:; 28,066574230957 mm
Dose:; 1,9779 Gy



Measurement time:; 02/09/2022 20:14:29
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 250 x 250 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Beam
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0,0; 0,0; 200,0; 0,16; 230,9; 0,12
0,0; 0,0; 199,3; 0,68; 990,2; 0,70
0,0; 0,0; 198,0; 0,70; 1027,8; 0,75
0,0; 0,0; 196,8; 0,68; 996,3; 0,71
0,0; 0,0; 195,6; 0,64; 930,7; 0,66
0,0; 0,0; 194,4; 0,66; 971,0; 0,69
0,0; 0,0; 193,2; 0,63; 922,7; 0,66
0,0; 0,0; 192,0; 0,66; 968,0; 0,69
0,0; 0,0; 190,8; 0,60; 871,9; 0,62
0,0; 0,0; 189,6; 0,63; 917,3; 0,65
0,0; 0,0; 188,4; 0,65; 946,9; 0,68
0,0; 0,0; 187,2; 0,60; 882,2; 0,62
0,0; 0,0; 186,0; 0,64; 941,6; 0,69
0,0; 0,0; 184,8; 0,62; 910,4; 0,65
0,0; 0,0; 183,6; 0,55; 811,8; 0,57
0,0; 0,0; 182,4; 0,53; 776,3; 0,56
0,0; 0,0; 181,2; 0,60; 881,3; 0,65
0,0; 0,0; 180,0; 0,50; 735,4; 0,51
0,0; 0,0; 178,8; 0,60; 879,7; 0,63
0,0; 0,0; 177,6; 0,59; 868,4; 0,65
0,0; 0,0; 176,4; 0,54; 789,6; 0,55
0,0; 0,0; 175,2; 0,51; 746,4; 0,54
0,0; 0,0; 174,0; 0,57; 832,2; 0,62
0,0; 0,0; 172,8; 0,51; 746,0; 0,51
0,0; 0,0; 171,6; 0,57; 831,4; 0,63
0,0; 0,0; 170,4; 0,50; 733,1; 0,52
0,0; 0,0; 169,2; 0,44; 646,2; 0,44
0,0; 0,0; 167,9; 0,55; 801,8; 0,60
0,0; 0,0; 166,7; 0,51; 741,1; 0,53
0,0; 0,0; 165,5; 0,44; 638,2; 0,45
0,0; 0,0; 164,3; 0,43; 632,3; 0,45
0,0; 0,0; 163,1; 0,43; 622,9; 0,45
0,0; 0,0; 161,9; 0,46; 676,1; 0,48
0,0; 0,0; 160,7; 0,34; 498,4; 0,34
0,0; 0,0; 159,5; 0,46; 677,2; 0,51
0,0; 0,0; 158,3; 0,38; 549,8; 0,39
0,0; 0,0; 157,1; 0,40; 581,5; 0,41
0,0; 0,0; 155,9; 0,35; 515,2; 0,37
0,0; 0,0; 154,7; 0,41; 597,5; 0,43
0,0; 0,0; 153,5; 0,33; 477,3; 0,34
0,0; 0,0; 152,3; 0,42; 612,3; 0,44
0,0; 0,0; 151,1; 0,39; 576,5; 0,41
0,0; 0,0; 149,9; 0,33; 489,1; 0,35
0,0; 0,0; 148,7; 0,31; 448,0; 0,32
0,0; 0,0; 147,5; 0,26; 387,5; 0,26
0,0; 0,0; 146,3; 0,38; 554,3; 0,41
0,0; 0,0; 145,1; 0,27; 390,6; 0,28
0,0; 0,0; 143,9; 0,28; 406,1; 0,29
0,0; 0,0; 142,7; 0,30; 445,8; 0,31
0,0; 0,0; 141,5; 0,28; 413,6; 0,29
0,0; 0,0; 140,3; 0,26; 374,3; 0,27
0,0; 0,0; 139,1; 0,21; 312,2; 0,22
0,0; 0,0; 137,9; 0,18; 269,7; 0,19
0,0; 0,0; 136,7; 0,16; 234,4; 0,17
0,0; 0,0; 135,5; 0,14; 208,0; 0,15
0,0; 0,0; 134,3; 0,24; 347,9; 0,25
0,0; 0,0; 133,1; 0,19; 280,3; 0,20
0,0; 0,0; 131,9; 0,22; 315,8; 0,23
0,0; 0,0; 130,7; 0,21; 305,8; 0,22
0,0; 0,0; 129,5; 0,11; 165,0; 0,12
0,0; 0,0; 128,3; 0,19; 274,7; 0,20
0,0; 0,0; 127,1; 0,22; 322,6; 0,24
0,0; 0,0; 125,9; 0,14; 202,9; 0,14
0,0; 0,0; 124,7; 0,20; 287,3; 0,21
0,0; 0,0; 123,5; 0,17; 244,7; 0,18
0,0; 0,0; 122,3; 0,11; 163,0; 0,12
0,0; 0,0; 121,1; 0,18; 258,3; 0,19
0,0; 0,0; 119,9; 0,12; 172,6; 0,12
0,0; 0,0; 118,7; 0,14; 211,2; 0,15
0,0; 0,0; 117,4; 0,11; 168,1; 0,12
0,0; 0,0; 116,3; 0,06; 82,6; 0,06
0,0; 0,0; 115,1; 0,02; 36,1; 0,03
0,0; 0,0; 113,8; 0,07; 98,2; 0,07
0,0; 0,0; 112,6; 0,02; 31,9; 0,02
0,0; 0,0; 111,5; 0,05; 72,0; 0,05
0,0; 0,0; 110,2; 0,10; 143,4; 0,10
0,0; 0,0; 109,0; 0,07; 109,2; 0,08
0,0; 0,0; 107,8; 0,08; 113,6; 0,08
0,0; 0,0; 106,6; 0,15; 214,4; 0,15
0,0; 0,0; 105,4; 0,09; 132,8; 0,09
0,0; 0,0; 104,2; 0,13; 193,4; 0,14
0,0; 0,0; 103,0; 0,11; 161,1; 0,12
0,0; 0,0; 101,8; 0,18; 270,1; 0,19
0,0; 0,0; 100,6; 0,15; 220,2; 0,16
0,0; 0,0; 99,4; 0,20; 296,4; 0,21
0,0; 0,0; 98,2; 0,18; 267,0; 0,19
0,0; 0,0; 97,0; 0,18; 258,9; 0,19
0,0; 0,0; 95,8; 0,25; 373,1; 0,26
0,0; 0,0; 94,6; 0,20; 293,8; 0,21
0,0; 0,0; 93,4; 0,20; 299,4; 0,21
0,0; 0,0; 92,2; 0,20; 299,8; 0,21
0,0; 0,0; 91,0; 0,24; 349,8; 0,25
0,0; 0,0; 89,8; 0,26; 379,8; 0,27
0,0; 0,0; 88,6; 0,30; 437,5; 0,31
0,0; 0,0; 87,4; 0,28; 404,3; 0,29
0,0; 0,0; 86,2; 0,41; 605,3; 0,42
0,0; 0,0; 85,0; 0,30; 443,3; 0,32
0,0; 0,0; 83,8; 0,33; 487,2; 0,35
0,0; 0,0; 82,5; 0,41; 598,8; 0,42
0,0; 0,0; 81,3; 0,35; 508,2; 0,37
0,0; 0,0; 80,1; 0,42; 615,1; 0,44
0,0; 0,0; 78,9; 0,44; 641,6; 0,44
0,0; 0,0; 77,7; 0,40; 584,9; 0,43
0,0; 0,0; 76,5; 0,43; 633,6; 0,45
