Measurement time:; 07/09/2022 18:27:16
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; PTW31014 perpendiculaire
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-151,4; 0,0; 28,0; 4,88; 1002,3; 2,99
-150,7; 0,0; 28,0; 0,59; 120,8; 0,51
-149,3; 0,0; 28,0; 0,48; 98,7; 0,41
-148,1; 0,0; 28,0; 0,45; 92,1; 0,39
-146,9; 0,0; 28,0; 0,73; 150,1; 0,64
-145,7; 0,0; 28,0; 0,61; 124,9; 0,53
-144,5; 0,0; 28,0; 1,20; 246,3; 1,05
-143,3; 0,0; 28,0; 1,04; 214,5; 0,91
-142,1; 0,0; 28,0; 0,68; 140,1; 0,59
-140,9; 0,0; 28,0; 0,89; 183,0; 0,77
-139,7; 0,0; 28,0; 0,84; 173,0; 0,73
-138,5; 0,0; 28,0; 0,97; 199,5; 0,83
-137,3; 0,0; 28,0; 0,82; 168,4; 0,71
-136,1; 0,0; 28,0; 0,86; 176,4; 0,74
-134,9; 0,0; 28,0; 0,91; 186,6; 0,78
-133,7; 0,0; 28,0; 0,46; 94,3; 0,39
-132,5; 0,0; 28,0; 0,88; 180,1; 0,75
-131,3; 0,0; 28,0; 1,08; 221,2; 0,97
-130,1; 0,0; 28,0; 0,82; 168,3; 0,71
-128,9; 0,0; 28,0; 1,10; 225,9; 0,94
-127,7; 0,0; 28,0; 1,06; 217,3; 0,92
-126,5; 0,0; 28,0; 1,11; 229,1; 0,97
-125,3; 0,0; 28,0; 0,98; 201,5; 0,86
-124,1; 0,0; 28,0; 1,05; 214,8; 0,91
-122,9; 0,0; 28,0; 0,90; 184,1; 0,77
-121,7; 0,0; 28,0; 0,93; 191,8; 0,82
-120,5; 0,0; 28,0; 0,85; 173,9; 0,73
-119,3; 0,0; 28,0; 1,33; 272,6; 1,13
-118,1; 0,0; 28,0; 1,10; 225,8; 0,95
-116,9; 0,0; 28,0; 0,78; 159,8; 0,66
-115,7; 0,0; 28,0; 0,72; 148,6; 0,63
-114,5; 0,0; 28,0; 1,31; 268,6; 1,12
-113,3; 0,0; 28,0; 0,83; 170,3; 0,75
-112,0; 0,0; 28,0; 1,09; 224,8; 0,94
-110,9; 0,0; 28,0; 1,36; 280,5; 1,17
-109,6; 0,0; 28,0; 1,05; 216,3; 0,92
-108,5; 0,0; 28,0; 0,90; 185,2; 0,78
-107,3; 0,0; 28,0; 1,09; 224,8; 0,95
-106,0; 0,0; 28,0; 1,25; 257,5; 1,11
-104,9; 0,0; 28,0; 0,91; 186,4; 0,79
-103,6; 0,0; 28,0; 0,88; 180,4; 0,77
-102,4; 0,0; 28,0; 1,11; 228,1; 0,98
-101,2; 0,0; 28,0; 1,21; 248,0; 1,05
-100,0; 0,0; 28,0; 1,13; 232,9; 1,00
-98,8; 0,0; 28,0; 0,96; 196,5; 0,84
-97,6; 0,0; 28,0; 1,36; 278,9; 1,20
-96,4; 0,0; 28,0; 0,92; 188,9; 0,80
-95,2; 0,0; 28,0; 1,08; 221,3; 0,94
-94,0; 0,0; 28,0; 1,43; 294,6; 1,25
-92,8; 0,0; 28,0; 1,19; 244,3; 1,03
-91,6; 0,0; 28,0; 1,13; 233,1; 0,97
-90,4; 0,0; 28,0; 1,49; 305,9; 1,28
-89,2; 0,0; 28,0; 1,45; 297,4; 1,26
-88,0; 0,0; 28,0; 1,88; 385,7; 1,62
-86,8; 0,0; 28,0; 1,72; 354,1; 1,49
-85,6; 0,0; 28,0; 1,75; 359,8; 1,53
-84,4; 0,0; 28,0; 1,68; 344,4; 1,46
-83,2; 0,0; 28,0; 2,35; 482,3; 2,02
-82,0; 0,0; 28,0; 2,30; 472,9; 2,02
-80,8; 0,0; 28,0; 2,12; 435,5; 1,86
-79,6; 0,0; 28,0; 2,67; 548,3; 2,32
-78,4; 0,0; 28,0; 2,83; 581,1; 2,49
-77,2; 0,0; 28,0; 3,04; 624,3; 2,68
-76,0; 0,0; 28,0; 3,28; 674,0; 2,81
-74,8; 0,0; 28,0; 3,60; 739,3; 3,20
-73,6; 0,0; 28,0; 4,40; 903,7; 3,79
-72,4; 0,0; 28,0; 4,50; 925,3; 3,80
-71,2; 0,0; 28,0; 5,35; 1100,3; 4,74
-70,0; 0,0; 28,0; 6,32; 1298,4; 5,38
-68,8; 0,0; 28,0; 6,96; 1429,8; 5,90
-67,6; 0,0; 28,0; 7,66; 1574,9; 6,74
-66,4; 0,0; 28,0; 9,31; 1913,7; 8,07
-65,2; 0,0; 28,0; 10,37; 2131,0; 9,05
-64,0; 0,0; 28,0; 11,97; 2460,3; 10,68
-62,8; 0,0; 28,0; 14,67; 3014,7; 12,54
-61,6; 0,0; 28,0; 16,93; 3479,6; 14,71
-60,4; 0,0; 28,0; 19,53; 4012,4; 17,33
-59,2; 0,0; 28,0; 24,16; 4963,6; 20,73
-58,0; 0,0; 28,0; 29,75; 6113,8; 24,70
-56,8; 0,0; 28,0; 32,80; 6740,1; 29,56
-55,5; 0,0; 28,0; 40,69; 8360,6; 34,95
-54,3; 0,0; 28,0; 48,98; 10064,6; 40,79
-53,1; 0,0; 28,0; 52,41; 10768,9; 46,95
-51,9; 0,0; 28,0; 61,79; 12696,5; 53,34
-50,7; 0,0; 28,0; 70,84; 14555,8; 59,58
-49,5; 0,0; 28,0; 72,75; 14949,4; 65,71
-48,4; 0,0; 28,0; 81,10; 16663,8; 71,04
