Measurement time:; 07/09/2022 16:34:35
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 150 x 150 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-200,0; 0,0; 28,0; 0,25; 508,3; 0,21
-199,3; 0,0; 28,0; 0,28; 566,7; 0,28
-197,9; 0,0; 28,0; 0,30; 589,7; 0,30
-196,7; 0,0; 28,0; 0,30; 590,4; 0,30
-195,5; 0,0; 28,0; 0,26; 523,9; 0,26
-194,3; 0,0; 28,0; 0,30; 592,5; 0,30
-193,1; 0,0; 28,0; 0,31; 613,9; 0,30
-191,9; 0,0; 28,0; 0,31; 623,0; 0,31
-190,7; 0,0; 28,0; 0,32; 649,1; 0,32
-189,5; 0,0; 28,0; 0,30; 598,9; 0,30
-188,3; 0,0; 28,0; 0,31; 616,5; 0,30
-187,1; 0,0; 28,0; 0,27; 537,5; 0,28
-185,9; 0,0; 28,0; 0,34; 674,2; 0,33
-184,7; 0,0; 28,0; 0,28; 568,3; 0,28
-183,5; 0,0; 28,0; 0,33; 649,8; 0,32
-182,3; 0,0; 28,0; 0,32; 636,3; 0,32
-181,1; 0,0; 28,0; 0,32; 648,5; 0,32
-179,9; 0,0; 28,0; 0,37; 729,2; 0,36
-178,7; 0,0; 28,0; 0,34; 681,3; 0,35
-177,5; 0,0; 28,0; 0,34; 682,3; 0,34
-176,3; 0,0; 28,0; 0,38; 767,3; 0,39
-175,1; 0,0; 28,0; 0,39; 769,7; 0,38
-173,9; 0,0; 28,0; 0,35; 699,1; 0,35
-172,7; 0,0; 28,0; 0,40; 790,7; 0,40
-171,5; 0,0; 28,0; 0,39; 784,2; 0,38
-170,3; 0,0; 28,0; 0,36; 724,9; 0,36
-169,1; 0,0; 28,0; 0,34; 685,3; 0,34
-167,9; 0,0; 28,0; 0,35; 695,2; 0,34
-166,7; 0,0; 28,0; 0,35; 701,2; 0,36
-165,5; 0,0; 28,0; 0,36; 720,1; 0,36
-164,3; 0,0; 28,0; 0,34; 685,4; 0,34
-163,1; 0,0; 28,0; 0,39; 773,2; 0,39
-161,9; 0,0; 28,0; 0,37; 732,2; 0,38
-160,7; 0,0; 28,0; 0,43; 859,9; 0,41
-159,5; 0,0; 28,0; 0,37; 730,2; 0,37
-158,3; 0,0; 28,0; 0,36; 711,4; 0,35
-157,1; 0,0; 28,0; 0,37; 748,1; 0,36
-155,9; 0,0; 28,0; 0,35; 709,0; 0,36
-154,7; 0,0; 28,0; 0,38; 755,0; 0,38
-153,5; 0,0; 28,0; 0,39; 780,9; 0,38
-152,2; 0,0; 28,0; 0,36; 718,5; 0,37
-151,0; 0,0; 28,0; 0,38; 758,2; 0,38
-149,8; 0,0; 28,0; 0,40; 808,7; 0,39
-148,6; 0,0; 28,0; 0,38; 763,9; 0,39
-147,4; 0,0; 28,0; 0,40; 791,4; 0,39
-146,2; 0,0; 28,0; 0,39; 777,9; 0,37
-145,0; 0,0; 28,0; 0,35; 692,4; 0,36
-143,8; 0,0; 28,0; 0,38; 766,5; 0,39
-142,6; 0,0; 28,0; 0,41; 824,0; 0,40
-141,4; 0,0; 28,0; 0,42; 833,3; 0,42
-140,2; 0,0; 28,0; 0,39; 770,5; 0,39
-139,0; 0,0; 28,0; 0,42; 839,8; 0,40
-137,8; 0,0; 28,0; 0,39; 781,2; 0,40
-136,6; 0,0; 28,0; 0,42; 845,9; 0,42
-135,4; 0,0; 28,0; 0,45; 903,2; 0,43
-134,2; 0,0; 28,0; 0,39; 781,6; 0,40
-133,0; 0,0; 28,0; 0,45; 900,9; 0,45
-131,8; 0,0; 28,0; 0,42; 846,6; 0,41
-130,6; 0,0; 28,0; 0,43; 857,2; 0,43
-129,4; 0,0; 28,0; 0,42; 847,7; 0,44
-128,2; 0,0; 28,0; 0,48; 967,6; 0,47
-127,0; 0,0; 28,0; 0,44; 880,7; 0,46
-125,8; 0,0; 28,0; 0,50; 998,0; 0,49
-124,6; 0,0; 28,0; 0,56; 1126,5; 0,53
-123,4; 0,0; 28,0; 0,48; 959,9; 0,49
-122,2; 0,0; 28,0; 0,48; 958,4; 0,47
-121,0; 0,0; 28,0; 0,54; 1084,4; 0,52
-119,8; 0,0; 28,0; 0,53; 1066,9; 0,55
-118,6; 0,0; 28,0; 0,58; 1161,4; 0,58
-117,4; 0,0; 28,0; 0,65; 1288,6; 0,62
-116,2; 0,0; 28,0; 0,65; 1306,4; 0,68
-115,0; 0,0; 28,0; 0,71; 1416,5; 0,70
-113,8; 0,0; 28,0; 0,79; 1580,9; 0,77
-112,6; 0,0; 28,0; 0,81; 1616,8; 0,81
-111,4; 0,0; 28,0; 0,95; 1893,3; 0,93
-110,2; 0,0; 28,0; 1,04; 2087,1; 1,01
-109,0; 0,0; 28,0; 1,08; 2154,0; 1,11
-107,8; 0,0; 28,0; 1,30; 2587,3; 1,27
-106,6; 0,0; 28,0; 1,45; 2899,3; 1,45
-105,3; 0,0; 28,0; 1,59; 3179,9; 1,63
-104,2; 0,0; 28,0; 1,88; 3759,1; 1,86
-102,9; 0,0; 28,0; 2,23; 4457,6; 2,13
-101,8; 0,0; 28,0; 2,40; 4803,0; 2,45
-100,5; 0,0; 28,0; 2,79; 5572,5; 2,75
-99,3; 0,0; 28,0; 3,38; 6744,4; 3,24
-98,1; 0,0; 28,0; 3,63; 7253,0; 3,71
-96,9; 0,0; 28,0; 4,27; 8528,0; 4,29
-95,7; 0,0; 28,0; 4,98; 9958,2; 4,98
-94,5; 0,0; 28,0; 5,77; 11518,4; 5,85
-93,3; 0,0; 28,0; 7,01; 14005,7; 6,78
-92,1; 0,0; 28,0; 8,16; 16302,6; 7,94
-90,9; 0,0; 28,0; 9,29; 18553,1; 9,39
-89,7; 0,0; 28,0; 11,15; 22269,1; 11,03
-88,5; 0,0; 28,0; 13,52; 27016,5; 13,10
-87,3; 0,0; 28,0; 15,57; 31098,0; 15,63
-86,1; 0,0; 28,0; 18,48; 36910,1; 18,52
-84,9; 0,0; 28,0; 22,46; 44869,0; 22,19
-83,7; 0,0; 28,0; 26,07; 52076,3; 26,21
-82,5; 0,0; 28,0; 31,26; 62442,3; 31,02
-81,3; 0,0; 28,0; 37,37; 74667,2; 36,51
-80,1; 0,0; 28,0; 42,60; 85104,2; 42,42
-78,9; 0,0; 28,0; 48,91; 97712,4; 48,65
-77,7; 0,0; 28,0; 56,15; 112176,4; 54,90
-76,5; 0,0; 28,0; 60,38; 120633,6; 60,98
-75,3; 0,0; 28,0; 66,12; 132095,8; 66,76
-74,1; 0,0; 28,0; 73,41; 146655,7; 71,85
