Measurement time:; 07/09/2022 17:05:55
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1000 mm
Field size:; 200 x 200 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
-202,8; 0,0; 28,0; 0,20; 383,3; 0,53
-202,1; 0,0; 28,0; 0,50; 980,0; 0,49
-200,8; 0,0; 28,0; 0,45; 884,5; 0,46
-199,6; 0,0; 28,0; 0,47; 919,6; 0,47
-198,4; 0,0; 28,0; 0,54; 1064,0; 0,52
-197,2; 0,0; 28,0; 0,47; 921,5; 0,49
-196,0; 0,0; 28,0; 0,55; 1077,7; 0,55
-194,8; 0,0; 28,0; 0,56; 1104,3; 0,55
-193,6; 0,0; 28,0; 0,51; 990,8; 0,51
-192,4; 0,0; 28,0; 0,51; 1002,3; 0,53
-191,2; 0,0; 28,0; 0,56; 1091,9; 0,54
-190,0; 0,0; 28,0; 0,51; 1006,0; 0,53
-188,8; 0,0; 28,0; 0,55; 1080,1; 0,55
-187,5; 0,0; 28,0; 0,58; 1139,1; 0,55
-186,3; 0,0; 28,0; 0,49; 962,0; 0,51
-185,2; 0,0; 28,0; 0,53; 1038,1; 0,53
-184,0; 0,0; 28,0; 0,55; 1083,4; 0,53
-182,7; 0,0; 28,0; 0,50; 969,3; 0,52
-181,6; 0,0; 28,0; 0,58; 1129,9; 0,57
-180,3; 0,0; 28,0; 0,56; 1098,7; 0,54
-179,1; 0,0; 28,0; 0,52; 1015,3; 0,54
-178,0; 0,0; 28,0; 0,53; 1040,8; 0,52
-176,7; 0,0; 28,0; 0,56; 1098,8; 0,57
-175,5; 0,0; 28,0; 0,54; 1052,8; 0,54
-174,3; 0,0; 28,0; 0,50; 982,6; 0,52
-173,1; 0,0; 28,0; 0,58; 1136,4; 0,57
-171,9; 0,0; 28,0; 0,52; 1021,5; 0,53
-170,7; 0,0; 28,0; 0,53; 1032,2; 0,52
-169,5; 0,0; 28,0; 0,56; 1101,4; 0,55
-168,3; 0,0; 28,0; 0,51; 1002,2; 0,52
-167,1; 0,0; 28,0; 0,56; 1101,4; 0,56
-165,9; 0,0; 28,0; 0,58; 1139,7; 0,57
-164,7; 0,0; 28,0; 0,59; 1153,1; 0,59
-163,5; 0,0; 28,0; 0,59; 1159,6; 0,59
-162,3; 0,0; 28,0; 0,63; 1238,0; 0,63
-161,1; 0,0; 28,0; 0,61; 1192,7; 0,62
-159,9; 0,0; 28,0; 0,64; 1261,4; 0,64
-158,7; 0,0; 28,0; 0,67; 1302,8; 0,67
-157,5; 0,0; 28,0; 0,69; 1344,4; 0,70
-156,3; 0,0; 28,0; 0,67; 1303,0; 0,68
-155,1; 0,0; 28,0; 0,68; 1327,0; 0,68
-153,9; 0,0; 28,0; 0,70; 1379,8; 0,71
-152,7; 0,0; 28,0; 0,71; 1392,7; 0,72
-151,5; 0,0; 28,0; 0,75; 1462,8; 0,74
-150,3; 0,0; 28,0; 0,75; 1460,0; 0,75
-149,1; 0,0; 28,0; 0,74; 1455,5; 0,74
-147,9; 0,0; 28,0; 0,77; 1515,5; 0,77
-146,7; 0,0; 28,0; 0,77; 1500,2; 0,77
-145,5; 0,0; 28,0; 0,78; 1526,5; 0,78
-144,3; 0,0; 28,0; 0,85; 1658,6; 0,83
-143,1; 0,0; 28,0; 0,82; 1614,1; 0,82
-141,9; 0,0; 28,0; 0,86; 1687,9; 0,86
-140,7; 0,0; 28,0; 0,96; 1886,4; 0,95
-139,5; 0,0; 28,0; 0,96; 1886,8; 0,97
-138,3; 0,0; 28,0; 1,06; 2071,7; 1,05
-137,1; 0,0; 28,0; 1,16; 2268,6; 1,14
-135,9; 0,0; 28,0; 1,16; 2272,0; 1,16
-134,7; 0,0; 28,0; 1,33; 2599,6; 1,32
-133,5; 0,0; 28,0; 1,42; 2774,9; 1,40
-132,2; 0,0; 28,0; 1,53; 3001,1; 1,54
-131,1; 0,0; 28,0; 1,76; 3450,0; 1,74
-129,9; 0,0; 28,0; 1,98; 3874,8; 1,96
-128,6; 0,0; 28,0; 2,27; 4448,4; 2,27
-127,4; 0,0; 28,0; 2,53; 4952,9; 2,55
-126,2; 0,0; 28,0; 2,97; 5805,7; 2,91
-125,1; 0,0; 28,0; 3,30; 6453,1; 3,34
-123,8; 0,0; 28,0; 3,87; 7580,3; 3,85
-122,7; 0,0; 28,0; 4,42; 8657,1; 4,44
-121,5; 0,0; 28,0; 5,11; 9992,4; 5,13
-120,2; 0,0; 28,0; 5,86; 11472,3; 5,99
-119,1; 0,0; 28,0; 6,99; 13688,8; 6,93
-117,8; 0,0; 28,0; 8,13; 15911,5; 8,15
-116,6; 0,0; 28,0; 9,38; 18354,2; 9,49
-115,4; 0,0; 28,0; 11,00; 21533,6; 11,15
-114,2; 0,0; 28,0; 13,18; 25789,4; 13,19
-113,0; 0,0; 28,0; 15,50; 30339,6; 15,49
-111,8; 0,0; 28,0; 18,73; 36668,0; 18,40
-110,6; 0,0; 28,0; 21,65; 42371,8; 21,76
-109,4; 0,0; 28,0; 25,79; 50481,0; 25,66
-108,2; 0,0; 28,0; 30,75; 60180,5; 30,48
-107,0; 0,0; 28,0; 35,62; 69710,0; 35,75
-105,8; 0,0; 28,0; 41,98; 82172,9; 41,57
-104,6; 0,0; 28,0; 47,98; 93906,0; 47,66
-103,4; 0,0; 28,0; 54,37; 106427,1; 54,27
-102,2; 0,0; 28,0; 60,78; 118956,1; 60,69
-101,0; 0,0; 28,0; 66,40; 129974,8; 66,56
-99,8; 0,0; 28,0; 72,27; 141463,8; 72,33
-98,6; 0,0; 28,0; 76,43; 149598,3; 77,35
-97,4; 0,0; 28,0; 81,14; 158809,3; 81,58
-96,2; 0,0; 28,0; 85,14; 166652,6; 85,51
-95,0; 0,0; 28,0; 88,09; 172423,3; 88,33
-93,8; 0,0; 28,0; 90,05; 176261,5; 90,61
-92,6; 0,0; 28,0; 90,63; 177389,0; 92,59
-91,4; 0,0; 28,0; 94,79; 185539,9; 94,07
-90,2; 0,0; 28,0; 97,14; 190133,5; 95,25
-89,0; 0,0; 28,0; 95,50; 186930,0; 96,20
-87,8; 0,0; 28,0; 99,18; 194124,1; 96,96
-86,6; 0,0; 28,0; 96,42; 188722,9; 97,50
-85,4; 0,0; 28,0; 98,20; 192210,8; 97,94
-84,2; 0,0; 28,0; 98,90; 193581,2; 98,36
-83,0; 0,0; 28,0; 97,89; 191604,9; 98,48
-81,8; 0,0; 28,0; 98,83; 193446,0; 98,84
-80,6; 0,0; 28,0; 98,19; 192195,9; 98,98
-79,4; 0,0; 28,0; 101,78; 199219,5; 99,16
-78,2; 0,0; 28,0; 98,46; 192726,0; 99,57
-77,0; 0,0; 28,0; 101,41; 198497,3; 99,46
-75,8; 0,0; 28,0; 98,02; 191856,4; 99,73
-74,6; 0,0; 28,0; 101,02; 197734,4; 99,71
-73,4; 0,0; 28,0; 102,46; 200555,5; 99,62
-72,2; 0,0; 28,0; 99,20; 194159,6; 99,80
-71,0; 0,0; 28,0; 100,03; 195789,8; 99,92
-69,7; 0,0; 28,0; 100,11; 195937,3; 99,97
-68,6; 0,0; 28,0; 100,73; 197167,2; 100,02
-67,3; 0,0; 28,0; 100,07; 195864,7; 100,05
-66,1; 0,0; 28,0; 100,44; 196596,4; 99,96
-64,9; 0,0; 28,0; 100,27; 196267,8; 99,83
-63,7; 0,0; 28,0; 101,20; 198071,4; 100,15
-62,5; 0,0; 28,0; 100,74; 197178,4; 100,09
-61,3; 0,0; 28,0; 100,36; 196427,4; 100,08
-60,1; 0,0; 28,0; 101,30; 198282,6; 100,27
-58,9; 0,0; 28,0; 101,14; 197967,4; 100,31
-57,7; 0,0; 28,0; 100,98; 197658,3; 100,11
-56,5; 0,0; 28,0; 100,94; 197562,3; 100,23
-55,3; 0,0; 28,0; 100,94; 197567,2; 100,28
-54,1; 0,0; 28,0; 100,20; 196130,3; 100,32
-52,9; 0,0; 28,0; 100,23; 196178,7; 100,24
-51,7; 0,0; 28,0; 99,14; 194044,0; 100,05
-50,5; 0,0; 28,0; 98,78; 193335,4; 100,27
-49,3; 0,0; 28,0; 104,38; 204304,4; 100,19
-48,1; 0,0; 28,0; 99,33; 194418,5; 100,09
-46,9; 0,0; 28,0; 98,68; 193151,1; 100,00
-45,7; 0,0; 28,0; 98,23; 192270,7; 99,99
-44,5; 0,0; 28,0; 99,03; 193842,1; 100,05
-43,3; 0,0; 28,0; 95,31; 186559,9; 99,98
-42,1; 0,0; 28,0; 100,02; 195761,1; 100,21
-40,9; 0,0; 28,0; 100,21; 196138,8; 100,18
-39,7; 0,0; 28,0; 100,70; 197100,1; 99,90
-38,5; 0,0; 28,0; 100,27; 196253,9; 100,16
-37,3; 0,0; 28,0; 100,56; 196825,3; 100,15
-36,1; 0,0; 28,0; 99,91; 195547,1; 99,87
-34,9; 0,0; 28,0; 101,44; 198555,0; 100,07
-33,7; 0,0; 28,0; 100,43; 196576,2; 100,20
-32,5; 0,0; 28,0; 101,63; 198931,5; 99,94
-31,3; 0,0; 28,0; 101,22; 198119,3; 100,23
-30,1; 0,0; 28,0; 100,81; 197321,3; 100,20
-28,9; 0,0; 28,0; 100,94; 197570,7; 100,18
-27,7; 0,0; 28,0; 100,78; 197263,2; 100,07
-26,5; 0,0; 28,0; 100,82; 197333,1; 100,12
-25,3; 0,0; 28,0; 100,58; 196875,9; 100,22
-24,1; 0,0; 28,0; 100,81; 197312,1; 100,17
-22,9; 0,0; 28,0; 100,52; 196741,5; 100,21
-21,7; 0,0; 28,0; 100,02; 195768,9; 100,12
-20,5; 0,0; 28,0; 101,31; 198289,2; 100,22
-19,3; 0,0; 28,0; 99,85; 195438,0; 100,13
-18,1; 0,0; 28,0; 101,13; 197942,1; 100,06
-16,9; 0,0; 28,0; 100,48; 196662,8; 100,30
-15,6; 0,0; 28,0; 100,27; 196256,2; 100,09
