Measurement time:; 07/09/2022 17:35:28
Radiation device:; Clinac3 Accelerator
Energy:; 12 MeV 
Controller:; CCU
Measurement device:; Blue Phantom 2  (48*48*41)
Field detector:; CC 13 -  F
Reference detector:; CC 13 - R pas offset energie
SAD:; 1000 mm
SSD:; 1050 mm
Field size:; 100 x 100 mm
Gantry angle:; 0
Measurement medium:; Water
Scan type:; Inline
Scan mode:; Continuous
Wedge:; none

Points [mm]:
Inline; Crossline; Depth; Normalized field; Current field; Ratio
153,9; 0,0; 28,0; 0,28; 506,7; 0,19
153,2; 0,0; 28,0; 0,09; 161,1; 0,09
151,8; 0,0; 28,0; 0,11; 196,8; 0,11
150,6; 0,0; 28,0; 0,05; 90,8; 0,05
149,4; 0,0; 28,0; 0,10; 185,9; 0,10
148,2; 0,0; 28,0; 0,08; 139,3; 0,08
147,0; 0,0; 28,0; 0,06; 111,7; 0,06
145,8; 0,0; 28,0; 0,11; 194,2; 0,11
144,6; 0,0; 28,0; 0,10; 175,6; 0,10
143,4; 0,0; 28,0; 0,08; 146,0; 0,08
142,2; 0,0; 28,0; 0,10; 182,2; 0,10
141,0; 0,0; 28,0; 0,11; 196,8; 0,11
139,8; 0,0; 28,0; 0,14; 260,2; 0,14
138,6; 0,0; 28,0; 0,10; 177,2; 0,10
137,4; 0,0; 28,0; 0,11; 200,7; 0,11
136,2; 0,0; 28,0; 0,13; 233,7; 0,13
135,0; 0,0; 28,0; 0,12; 209,5; 0,11
133,8; 0,0; 28,0; 0,15; 268,7; 0,15
132,6; 0,0; 28,0; 0,17; 306,1; 0,17
131,4; 0,0; 28,0; 0,19; 338,5; 0,19
130,2; 0,0; 28,0; 0,15; 276,4; 0,15
129,0; 0,0; 28,0; 0,17; 303,6; 0,16
127,8; 0,0; 28,0; 0,14; 250,6; 0,14
126,6; 0,0; 28,0; 0,19; 353,5; 0,20
125,4; 0,0; 28,0; 0,20; 369,5; 0,20
124,2; 0,0; 28,0; 0,13; 242,8; 0,14
123,0; 0,0; 28,0; 0,23; 414,5; 0,23
121,8; 0,0; 28,0; 0,21; 383,6; 0,21
120,6; 0,0; 28,0; 0,22; 409,4; 0,22
119,4; 0,0; 28,0; 0,22; 403,6; 0,23
118,2; 0,0; 28,0; 0,27; 495,8; 0,27
117,0; 0,0; 28,0; 0,30; 551,0; 0,30
115,8; 0,0; 28,0; 0,26; 469,6; 0,26
114,6; 0,0; 28,0; 0,31; 566,6; 0,31
